报告ID,发布日期,观察窗,报告名称,作者,报告类型,资料角色,科技关联层级,主题标签,筛选依据,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-BRUEGEL-80BF6143DA,2020-02-06,W2,From climate change to cyber attacks: Incipient financial-stability risks for the euro area,Zsolt Darvas；Guntram B. Wolff；Marta Domínguez-Jiménez,policy-brief,作者/项目正式研究,核心科技直接材料,欧洲科技产业与经济安全政策,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/policy-brief/climate-change-cyber-attacks-incipient-financial-stability-risks-euro-area,https://www.bruegel.org/system/files/wp_attachments/PC-02_2020-no-citation.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-80BF6143DA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-80BF6143DA.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-80BF6143DA.md,455916,b1e87988ea94c1d8af1dcb00fa93ce7e161deb207a7ab9c4b0b9d7601bc68399,16,53643,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-2ED891EDE7,2020-06-15,W2,"Occupational change, artificial intelligence and the geography of EU labour markets",Georgios Petropoulos；Sybrand Brekelmans,working-paper,作者/项目正式研究,核心科技直接材料,人工智能、算力与数字技术；机器人、自动化与技术就业,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/working-paper/occupational-change-artificial-intelligence-and-geography-eu-labour-markets,https://www.bruegel.org/system/files/wp_attachments/WP-2020-03-120620.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-2ED891EDE7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-2ED891EDE7.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-2ED891EDE7.md,923686,35cec991cfc164fc08ca48891140c5a97455e774e52bcf5ecb76e838b5dd7346,32,82595,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-374D2192EC,2020-11-26,W2,Understanding the European Union’s regional potential in low-carbon technologies,Georg Zachmann；Enrico Bergamini,working-paper,作者/项目正式研究,核心科技直接材料,清洁技术、能源与绿色产业,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/working-paper/understanding-european-unions-regional-potential-low-carbon-technologies,https://www.bruegel.org/system/files/wp_attachments/WP-2020-07-Regional.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-374D2192EC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-374D2192EC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-374D2192EC.md,2776454,b7bc2a4ffd24f6fcec0d2cc79f15059f77a180e00528a11cffb8e3e2e21dbe28,36,66500,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-891C4F2E3F,2020-12-17,W2,A green industrial policy for Europe,Reinhilde Veugelers；Simone Tagliapietra,blueprint,作者/项目正式研究,科技产业与经济安全基线,工业政策、产业能力与竞争力,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/blueprint/green-industrial-policy-europe,https://www.bruegel.org/system/files/wp_attachments/Bruegel_Blueprint_31_Complete_151220.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-891C4F2E3F.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-891C4F2E3F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-891C4F2E3F.md,767369,dea3d7462d948dbf59cc32b4938e6cf658a64c098911849fdd11e897219c3d67,99,187864,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-BEF3CFF83F,2021-05-10,W2,Research and innovation policies and productivity growth,Reinhilde Veugelers,working-paper,作者/项目正式研究,核心科技直接材料,芯片、关键技术与科研创新,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/working-paper/research-and-innovation-policies-and-productivity-growth,https://www.bruegel.org/system/files/wp_attachments/WP-2021-08-100521.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-BEF3CFF83F.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-BEF3CFF83F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-BEF3CFF83F.md,724330,aca2c18a85ec35967f5026d1c9619f3a1bfd917e6e03d1016475efc9a4892b85,37,94495,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-89AE02C0E4,2021-07-01,W2,Commercialisation contracts: European support for low-carbon technology deployment,Georg Zachmann；Ben McWilliams,policy-brief,作者/项目正式研究,核心科技直接材料,清洁技术、能源与绿色产业,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/policy-brief/commercialisation-contracts-european-support-low-carbon-technology-deployment,https://www.bruegel.org/system/files/wp_attachments/PC-2021-15-commercialisation.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-89AE02C0E4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-89AE02C0E4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-89AE02C0E4.md,344557,44ae090603be0b29a881d3b94284aaf4b0ad794f41c22b8fee8a4afe6912fa49,13,45784,官方PDF已保存并校验,,2026-08-22
S-BR-2021-01,2021-07-15,W2,A new direction for the European Union’s half-hearted semiconductor strategy,Niclas Poitiers；Pauline Weil,policy-brief,作者/项目正式研究,核心科技直接材料,芯片、关键技术与科研创新,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/policy-brief/new-direction-european-unions-half-hearted-semiconductor-strategy,https://www.bruegel.org/system/files/wp_attachments/PC-2021-17-semiconductors-.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\S-BR-2021-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\S-BR-2021-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\S-BR-2021-01.md,516517,b41d7eb6f0246bf38c6812d1667fb5f09aecd7573e2a62252e9221af55c947b7,21,78449,复用库内既有资产,,2026-08-22
C-BRUEGEL-E2AFF05D1C,2021-11-17,W2,Biometric technologies at work: a proposed use-based taxonomy,Mario Mariniello；Mia Hoffmann,policy-brief,作者/项目正式研究,核心科技直接材料,人工智能、算力与数字技术,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/policy-brief/biometric-technologies-work-proposed-use-based-taxonomy,https://www.bruegel.org/system/files/wp_attachments/PC-23-171121-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-E2AFF05D1C.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-E2AFF05D1C.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-E2AFF05D1C.md,335226,708d390bec3d535b269bc885c134a7f4741fb0823f0d4237d3591477ed8f6d68,19,70948,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-ACC6129DA5,2021-11-30,W2,What is holding back artificial intelligence adoption in Europe?,Mia Hoffmann；Laura Nurski,policy-brief,作者/项目正式研究,核心科技直接材料,人工智能、算力与数字技术,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/policy-brief/what-holding-back-artificial-intelligence-adoption-europe,https://www.bruegel.org/system/files/wp_attachments/PC-24-261121.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-ACC6129DA5.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-ACC6129DA5.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-ACC6129DA5.md,797095,2d9cd23272dfdebbf9bd9bba9429cc441f882c1e281923df1a8f40328129a478,19,62061,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-CF42C48F87,2021-12-16,W2,Market power and artificial intelligence work on online labour markets,Néstor Duch-Brown；Estrella Gomez-Herrera；Frank Mueller-Langer；Songül Tolan,working-paper,作者/项目正式研究,核心科技直接材料,人工智能、算力与数字技术；机器人、自动化与技术就业,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/working-paper/market-power-and-artificial-intelligence-work-online-labour-markets,https://www.bruegel.org/system/files/wp_attachments/WP-14-161221-HB-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-CF42C48F87.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-CF42C48F87.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-CF42C48F87.md,1226646,cd543791c10fbcead95fbcb3b7a5321a37352fcaf3032f462128e42792eb4aa3,50,119856,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-A382B592F3,2022-07-26,W3,The impact of artificial intelligence on the nature and quality of jobs,Laura Nurski；Mia Hoffmann,working-paper,作者/项目正式研究,核心科技直接材料,人工智能、算力与数字技术；机器人、自动化与技术就业,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/working-paper/impact-artificial-intelligence-nature-and-quality-jobs,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-A382B592F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-A382B592F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BRUEGEL-A382B592F3.md,4040,dfe11a495b12cd1c1c87915f55f584cea371d659c4dfc69493e66b6ca71ae34d,0,3950,官方网页全文已保存,,2026-08-22
C-BRUEGEL-F49B7A7228,2022-08-30,W3,A gender perspective on artificial intelligence and jobs: The vicious cycle of digital inequality,Estrella Gomez-Herrera；Sabine T. Koeszegi,working-paper,作者/项目正式研究,核心科技直接材料,人工智能、算力与数字技术；机器人、自动化与技术就业,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/working-paper/gender-perspective-artificial-intelligence-and-jobs-vicious-cycle-digital-inequality,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-F49B7A7228.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-F49B7A7228.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BRUEGEL-F49B7A7228.md,3623,36c7cc47002f81e493e04862dce93158f9235ffe3daad15ac26d52512cfdf6e1,0,3528,官方网页全文已保存,,2026-08-22
C-BRUEGEL-5A9EDA7B6D,2022-11-18,W3,Lessons for Europe from China’s quest for semiconductor self-reliance,Alicia García-Herrero；Pauline Weil,policy-brief,作者/项目正式研究,核心科技直接材料,芯片、关键技术与科研创新；中国科技能力与中欧竞争合作,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/policy-brief/lessons-europe-chinas-quest-semiconductor-self-reliance,https://www.bruegel.org/sites/default/files/2022-11/PC%2019%202022_0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-5A9EDA7B6D.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-5A9EDA7B6D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BRUEGEL-5A9EDA7B6D.md,281304,6101a7589516ff740a17bea159d2b1b3d15a003efd3163360a474ab6594d9a83,10,32046,官方PDF已保存并校验,,2026-08-22
C-BRUEGEL-3A50B158F3,2022-12-12,W3,The European Health Data Space,J. Scott Marcus；Bertin Martens；Christophe Carugati；Anne Bucher；Ilsa Godlovitch,report,作者/项目正式研究,核心科技直接材料,欧洲科技产业与经济安全政策,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/report/european-health-data-space,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-3A50B158F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-3A50B158F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BRUEGEL-3A50B158F3.md,2722,53c5fef815217c293676551fdb46df2ce51077940b33850b2b944bbb575aaca5,0,2614,官方网页全文已保存,,2026-08-22
C-BRUEGEL-7067A07E7D,2023-01-09,W3,Pro- and anti-competitive provisions in the proposed European Union Data Act,Bertin Martens,working-paper,作者/项目正式研究,核心科技直接材料,欧洲科技产业与经济安全政策,Bruegel官方sitemap正式出版物；标题命中核心科技或科技产业与经济安全词族,https://www.bruegel.org/working-paper/pro-and-anti-competitive-provisions-proposed-european-union-data-act,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-7067A07E7D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-7067A07E7D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BRUEGEL-7067A07E7D.md,3921,58f4aa8ddba71502831b7f298319a73a336c2df736d314b0725ca3f476c8670c,0,3821,官方网页全文已保存,,2026-08-22
