主题标签,科技关联层级,观察窗,报告类型,本地状态,材料数
人工智能、数据与数字技术,科技创新政策与能力基线,W1,讨论论文,官方PDF已保存并校验,26
人工智能、数据与数字技术,科技创新政策与能力基线,W1,讨论论文,官方仓储PDF代理全文已保存,3
人工智能、数据与数字技术,科技创新政策与能力基线,W1,调查资料,官方HTML版报告已保存,2
人工智能、数据与数字技术,科技创新政策与能力基线,W1,调查资料,官方PDF已保存并校验,21
人工智能、数据与数字技术,科技创新政策与能力基线,W1,调查资料,官方仓储PDF代理全文已保存,3
人工智能、数据与数字技术,科技创新政策与能力基线,W2,NISTEP正式报告,官方PDF已保存并校验,5
人工智能、数据与数字技术,科技创新政策与能力基线,W2,NISTEP正式报告,官方仓储PDF代理全文已保存,3
人工智能、数据与数字技术,科技创新政策与能力基线,W2,NISTEP正式报告,官方发布页摘要已保存,4
人工智能、数据与数字技术,科技创新政策与能力基线,W2,讨论论文,官方PDF已保存并校验,16
人工智能、数据与数字技术,科技创新政策与能力基线,W2,讨论论文,官方仓储PDF代理全文已保存,12
人工智能、数据与数字技术,科技创新政策与能力基线,W2,讨论论文,官方发布页摘要已保存,1
人工智能、数据与数字技术,科技创新政策与能力基线,W2,调查资料,官方HTML版报告已保存,1
人工智能、数据与数字技术,科技创新政策与能力基线,W2,调查资料,官方PDF已保存并校验,15
人工智能、数据与数字技术,科技创新政策与能力基线,W2,调查资料,官方仓储PDF代理全文已保存,14
人工智能、数据与数字技术,科技创新政策与能力基线,W2,调查资料,官方发布页摘要已保存,3
人工智能、数据与数字技术,科技创新政策与能力基线,W3,NISTEP正式报告,官方PDF已保存并校验,1
人工智能、数据与数字技术,科技创新政策与能力基线,W3,NISTEP正式报告,官方仓储PDF代理全文已保存,3
人工智能、数据与数字技术,科技创新政策与能力基线,W3,NISTEP正式报告,官方发布页摘要已保存,5
人工智能、数据与数字技术,科技创新政策与能力基线,W3,讨论论文,官方PDF已保存并校验,15
人工智能、数据与数字技术,科技创新政策与能力基线,W3,讨论论文,官方仓储PDF代理全文已保存,19
人工智能、数据与数字技术,科技创新政策与能力基线,W3,讨论论文,官方发布页摘要已保存,3
人工智能、数据与数字技术,科技创新政策与能力基线,W3,调查资料,官方HTML版报告已保存,3
人工智能、数据与数字技术,科技创新政策与能力基线,W3,调查资料,官方PDF已保存并校验,9
人工智能、数据与数字技术,科技创新政策与能力基线,W3,调查资料,官方仓储PDF代理全文已保存,19
人工智能、数据与数字技术,科技创新政策与能力基线,W3,调查资料,官方发布页摘要已保存,8
企业研发、创新与产学合作,核心科技直接材料,W1,讨论论文,官方PDF已保存并校验,2
企业研发、创新与产学合作,核心科技直接材料,W1,调查资料,官方PDF已保存并校验,2
企业研发、创新与产学合作,核心科技直接材料,W2,讨论论文,官方PDF已保存并校验,7
企业研发、创新与产学合作,核心科技直接材料,W2,讨论论文,官方发布页摘要已保存,1
企业研发、创新与产学合作,核心科技直接材料,W2,调查资料,官方发布页摘要已保存,1
企业研发、创新与产学合作,核心科技直接材料,W3,讨论论文,官方PDF已保存并校验,1
企业研发、创新与产学合作,核心科技直接材料,W3,讨论论文,官方仓储PDF代理全文已保存,3
企业研发、创新与产学合作,科技创新政策与能力基线,W1,NISTEP正式报告,官方PDF已保存并校验,11
企业研发、创新与产学合作,科技创新政策与能力基线,W1,政策研究,官方PDF已保存并校验,1
企业研发、创新与产学合作,科技创新政策与能力基线,W1,讨论论文,官方PDF已保存并校验,27
企业研发、创新与产学合作,科技创新政策与能力基线,W1,讨论论文,官方仓储PDF代理全文已保存,3
企业研发、创新与产学合作,科技创新政策与能力基线,W1,调查资料,官方HTML版报告已保存,2
企业研发、创新与产学合作,科技创新政策与能力基线,W1,调查资料,官方PDF已保存并校验,20
企业研发、创新与产学合作,科技创新政策与能力基线,W1,调查资料,官方仓储PDF代理全文已保存,2
企业研发、创新与产学合作,科技创新政策与能力基线,W2,NISTEP正式报告,官方PDF已保存并校验,7
企业研发、创新与产学合作,科技创新政策与能力基线,W2,NISTEP正式报告,官方仓储PDF代理全文已保存,3
企业研发、创新与产学合作,科技创新政策与能力基线,W2,NISTEP正式报告,官方发布页摘要已保存,4
企业研发、创新与产学合作,科技创新政策与能力基线,W2,讨论论文,官方PDF已保存并校验,11
企业研发、创新与产学合作,科技创新政策与能力基线,W2,讨论论文,官方仓储PDF代理全文已保存,9
企业研发、创新与产学合作,科技创新政策与能力基线,W2,讨论论文,官方发布页摘要已保存,1
企业研发、创新与产学合作,科技创新政策与能力基线,W2,调查资料,官方HTML版报告已保存,1
企业研发、创新与产学合作,科技创新政策与能力基线,W2,调查资料,官方PDF已保存并校验,10
企业研发、创新与产学合作,科技创新政策与能力基线,W2,调查资料,官方仓储PDF代理全文已保存,13
企业研发、创新与产学合作,科技创新政策与能力基线,W2,调查资料,官方发布页摘要已保存,3
企业研发、创新与产学合作,科技创新政策与能力基线,W3,NISTEP正式报告,官方PDF已保存并校验,4
企业研发、创新与产学合作,科技创新政策与能力基线,W3,NISTEP正式报告,官方仓储PDF代理全文已保存,12
企业研发、创新与产学合作,科技创新政策与能力基线,W3,NISTEP正式报告,官方发布页摘要已保存,5
企业研发、创新与产学合作,科技创新政策与能力基线,W3,讨论论文,官方PDF已保存并校验,14
企业研发、创新与产学合作,科技创新政策与能力基线,W3,讨论论文,官方仓储PDF代理全文已保存,20
企业研发、创新与产学合作,科技创新政策与能力基线,W3,讨论论文,官方发布页摘要已保存,3
企业研发、创新与产学合作,科技创新政策与能力基线,W3,调查资料,官方HTML版报告已保存,3
企业研发、创新与产学合作,科技创新政策与能力基线,W3,调查资料,官方PDF已保存并校验,9
企业研发、创新与产学合作,科技创新政策与能力基线,W3,调查资料,官方仓储PDF代理全文已保存,13
企业研发、创新与产学合作,科技创新政策与能力基线,W3,调查资料,官方发布页摘要已保存,8
关键技术、专利与产业竞争力,核心科技直接材料,W1,讨论论文,官方PDF已保存并校验,2
关键技术、专利与产业竞争力,核心科技直接材料,W1,调查资料,官方PDF已保存并校验,2
关键技术、专利与产业竞争力,核心科技直接材料,W2,讨论论文,官方PDF已保存并校验,6
关键技术、专利与产业竞争力,核心科技直接材料,W2,讨论论文,官方发布页摘要已保存,1
关键技术、专利与产业竞争力,核心科技直接材料,W2,调查资料,官方发布页摘要已保存,1
关键技术、专利与产业竞争力,核心科技直接材料,W3,讨论论文,官方PDF已保存并校验,1
关键技术、专利与产业竞争力,核心科技直接材料,W3,讨论论文,官方仓储PDF代理全文已保存,3
关键技术、专利与产业竞争力,科技创新政策与能力基线,W1,NISTEP正式报告,官方PDF已保存并校验,7
关键技术、专利与产业竞争力,科技创新政策与能力基线,W1,政策研究,官方PDF已保存并校验,1
关键技术、专利与产业竞争力,科技创新政策与能力基线,W1,讨论论文,官方PDF已保存并校验,15
关键技术、专利与产业竞争力,科技创新政策与能力基线,W1,调查资料,官方HTML版报告已保存,2
关键技术、专利与产业竞争力,科技创新政策与能力基线,W1,调查资料,官方PDF已保存并校验,6
关键技术、专利与产业竞争力,科技创新政策与能力基线,W1,调查资料,官方仓储PDF代理全文已保存,2
关键技术、专利与产业竞争力,科技创新政策与能力基线,W2,NISTEP正式报告,官方PDF已保存并校验,6
关键技术、专利与产业竞争力,科技创新政策与能力基线,W2,NISTEP正式报告,官方仓储PDF代理全文已保存,3
关键技术、专利与产业竞争力,科技创新政策与能力基线,W2,讨论论文,官方PDF已保存并校验,5
关键技术、专利与产业竞争力,科技创新政策与能力基线,W2,讨论论文,官方仓储PDF代理全文已保存,4
关键技术、专利与产业竞争力,科技创新政策与能力基线,W2,调查资料,官方HTML版报告已保存,1
关键技术、专利与产业竞争力,科技创新政策与能力基线,W2,调查资料,官方PDF已保存并校验,5
关键技术、专利与产业竞争力,科技创新政策与能力基线,W2,调查资料,官方仓储PDF代理全文已保存,7
关键技术、专利与产业竞争力,科技创新政策与能力基线,W2,调查资料,官方发布页摘要已保存,2
关键技术、专利与产业竞争力,科技创新政策与能力基线,W3,NISTEP正式报告,官方PDF已保存并校验,3
关键技术、专利与产业竞争力,科技创新政策与能力基线,W3,NISTEP正式报告,官方仓储PDF代理全文已保存,8
关键技术、专利与产业竞争力,科技创新政策与能力基线,W3,讨论论文,官方PDF已保存并校验,6
关键技术、专利与产业竞争力,科技创新政策与能力基线,W3,讨论论文,官方仓储PDF代理全文已保存,7
关键技术、专利与产业竞争力,科技创新政策与能力基线,W3,讨论论文,官方发布页摘要已保存,1
关键技术、专利与产业竞争力,科技创新政策与能力基线,W3,调查资料,官方HTML版报告已保存,3
关键技术、专利与产业竞争力,科技创新政策与能力基线,W3,调查资料,官方PDF已保存并校验,4
关键技术、专利与产业竞争力,科技创新政策与能力基线,W3,调查资料,官方仓储PDF代理全文已保存,8
关键技术、专利与产业竞争力,科技创新政策与能力基线,W3,调查资料,官方发布页摘要已保存,1
开放科学、研究诚信与治理,核心科技直接材料,W1,讨论论文,官方PDF已保存并校验,2
开放科学、研究诚信与治理,核心科技直接材料,W1,调查资料,官方PDF已保存并校验,1
开放科学、研究诚信与治理,核心科技直接材料,W2,讨论论文,官方PDF已保存并校验,1
开放科学、研究诚信与治理,核心科技直接材料,W3,讨论论文,官方PDF已保存并校验,1
开放科学、研究诚信与治理,科技创新政策与能力基线,W1,讨论论文,官方PDF已保存并校验,8
开放科学、研究诚信与治理,科技创新政策与能力基线,W1,调查资料,官方PDF已保存并校验,9
开放科学、研究诚信与治理,科技创新政策与能力基线,W2,NISTEP正式报告,官方PDF已保存并校验,1
开放科学、研究诚信与治理,科技创新政策与能力基线,W2,NISTEP正式报告,官方发布页摘要已保存,2
开放科学、研究诚信与治理,科技创新政策与能力基线,W2,讨论论文,官方PDF已保存并校验,5
开放科学、研究诚信与治理,科技创新政策与能力基线,W2,讨论论文,官方仓储PDF代理全文已保存,2
开放科学、研究诚信与治理,科技创新政策与能力基线,W2,调查资料,官方HTML版报告已保存,1
开放科学、研究诚信与治理,科技创新政策与能力基线,W2,调查资料,官方PDF已保存并校验,3
开放科学、研究诚信与治理,科技创新政策与能力基线,W2,调查资料,官方仓储PDF代理全文已保存,5
开放科学、研究诚信与治理,科技创新政策与能力基线,W3,NISTEP正式报告,官方仓储PDF代理全文已保存,6
开放科学、研究诚信与治理,科技创新政策与能力基线,W3,NISTEP正式报告,官方发布页摘要已保存,2
开放科学、研究诚信与治理,科技创新政策与能力基线,W3,讨论论文,官方PDF已保存并校验,2
开放科学、研究诚信与治理,科技创新政策与能力基线,W3,讨论论文,官方仓储PDF代理全文已保存,7
开放科学、研究诚信与治理,科技创新政策与能力基线,W3,调查资料,官方HTML版报告已保存,3
开放科学、研究诚信与治理,科技创新政策与能力基线,W3,调查资料,官方PDF已保存并校验,4
开放科学、研究诚信与治理,科技创新政策与能力基线,W3,调查资料,官方仓储PDF代理全文已保存,7
开放科学、研究诚信与治理,科技创新政策与能力基线,W3,调查资料,官方发布页摘要已保存,5
科技人才、博士与职业流动,核心科技直接材料,W1,讨论论文,官方PDF已保存并校验,1
科技人才、博士与职业流动,核心科技直接材料,W1,调查资料,官方PDF已保存并校验,2
科技人才、博士与职业流动,核心科技直接材料,W2,讨论论文,官方PDF已保存并校验,3
科技人才、博士与职业流动,核心科技直接材料,W2,讨论论文,官方发布页摘要已保存,1
科技人才、博士与职业流动,核心科技直接材料,W2,调查资料,官方发布页摘要已保存,1
科技人才、博士与职业流动,核心科技直接材料,W3,讨论论文,官方PDF已保存并校验,1
科技人才、博士与职业流动,核心科技直接材料,W3,讨论论文,官方仓储PDF代理全文已保存,3
科技人才、博士与职业流动,科技创新政策与能力基线,W1,NISTEP正式报告,官方PDF已保存并校验,12
科技人才、博士与职业流动,科技创新政策与能力基线,W1,讨论论文,官方PDF已保存并校验,24
科技人才、博士与职业流动,科技创新政策与能力基线,W1,讨论论文,官方仓储PDF代理全文已保存,3
科技人才、博士与职业流动,科技创新政策与能力基线,W1,调查资料,官方HTML版报告已保存,2
科技人才、博士与职业流动,科技创新政策与能力基线,W1,调查资料,官方PDF已保存并校验,20
科技人才、博士与职业流动,科技创新政策与能力基线,W1,调查资料,官方仓储PDF代理全文已保存,3
科技人才、博士与职业流动,科技创新政策与能力基线,W2,NISTEP正式报告,官方PDF已保存并校验,6
科技人才、博士与职业流动,科技创新政策与能力基线,W2,NISTEP正式报告,官方仓储PDF代理全文已保存,3
科技人才、博士与职业流动,科技创新政策与能力基线,W2,NISTEP正式报告,官方发布页摘要已保存,4
科技人才、博士与职业流动,科技创新政策与能力基线,W2,讨论论文,官方PDF已保存并校验,11
科技人才、博士与职业流动,科技创新政策与能力基线,W2,讨论论文,官方仓储PDF代理全文已保存,8
科技人才、博士与职业流动,科技创新政策与能力基线,W2,讨论论文,官方发布页摘要已保存,1
科技人才、博士与职业流动,科技创新政策与能力基线,W2,调查资料,官方HTML版报告已保存,1
科技人才、博士与职业流动,科技创新政策与能力基线,W2,调查资料,官方PDF已保存并校验,11
科技人才、博士与职业流动,科技创新政策与能力基线,W2,调查资料,官方仓储PDF代理全文已保存,11
科技人才、博士与职业流动,科技创新政策与能力基线,W2,调查资料,官方发布页摘要已保存,3
科技人才、博士与职业流动,科技创新政策与能力基线,W3,NISTEP正式报告,官方PDF已保存并校验,4
科技人才、博士与职业流动,科技创新政策与能力基线,W3,NISTEP正式报告,官方仓储PDF代理全文已保存,11
科技人才、博士与职业流动,科技创新政策与能力基线,W3,NISTEP正式报告,官方发布页摘要已保存,5
科技人才、博士与职业流动,科技创新政策与能力基线,W3,讨论论文,官方PDF已保存并校验,11
科技人才、博士与职业流动,科技创新政策与能力基线,W3,讨论论文,官方仓储PDF代理全文已保存,17
科技人才、博士与职业流动,科技创新政策与能力基线,W3,讨论论文,官方发布页摘要已保存,3
科技人才、博士与职业流动,科技创新政策与能力基线,W3,讨论论文,获取失败,1
科技人才、博士与职业流动,科技创新政策与能力基线,W3,调查资料,官方HTML版报告已保存,3
科技人才、博士与职业流动,科技创新政策与能力基线,W3,调查资料,官方PDF已保存并校验,9
科技人才、博士与职业流动,科技创新政策与能力基线,W3,调查资料,官方仓储PDF代理全文已保存,11
科技人才、博士与职业流动,科技创新政策与能力基线,W3,调查资料,官方发布页摘要已保存,8
科技创新政策与研究体系,科技创新政策与能力基线,W1,调查资料,官方PDF已保存并校验,1
科技前瞻、新兴议题与社会,核心科技直接材料,W1,讨论论文,官方PDF已保存并校验,1
科技前瞻、新兴议题与社会,核心科技直接材料,W1,调查资料,官方PDF已保存并校验,2
科技前瞻、新兴议题与社会,核心科技直接材料,W2,讨论论文,官方PDF已保存并校验,3
科技前瞻、新兴议题与社会,核心科技直接材料,W2,讨论论文,官方发布页摘要已保存,1
科技前瞻、新兴议题与社会,核心科技直接材料,W2,调查资料,官方发布页摘要已保存,1
科技前瞻、新兴议题与社会,核心科技直接材料,W3,讨论论文,官方仓储PDF代理全文已保存,2
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W1,NISTEP正式报告,官方PDF已保存并校验,2
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W1,政策研究,官方PDF已保存并校验,1
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W1,讨论论文,官方PDF已保存并校验,7
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W1,调查资料,官方HTML版报告已保存,2
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W1,调查资料,官方PDF已保存并校验,9
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W2,NISTEP正式报告,官方PDF已保存并校验,1
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W2,NISTEP正式报告,官方发布页摘要已保存,4
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W2,讨论论文,官方PDF已保存并校验,5
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W2,讨论论文,官方仓储PDF代理全文已保存,8
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W2,讨论论文,官方发布页摘要已保存,1
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W2,调查资料,官方HTML版报告已保存,1
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W2,调查资料,官方PDF已保存并校验,6
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W2,调查资料,官方仓储PDF代理全文已保存,9
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W2,调查资料,官方发布页摘要已保存,3
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W3,NISTEP正式报告,官方PDF已保存并校验,2
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W3,NISTEP正式报告,官方仓储PDF代理全文已保存,6
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W3,NISTEP正式报告,官方发布页摘要已保存,5
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W3,讨论论文,官方PDF已保存并校验,6
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W3,讨论论文,官方仓储PDF代理全文已保存,17
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W3,讨论论文,官方发布页摘要已保存,3
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W3,调查资料,官方HTML版报告已保存,3
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W3,调查资料,官方PDF已保存并校验,2
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W3,调查资料,官方仓储PDF代理全文已保存,17
科技前瞻、新兴议题与社会,科技创新政策与能力基线,W3,调查资料,官方发布页摘要已保存,8
科技指标、论文与国际比较,核心科技直接材料,W1,讨论论文,官方PDF已保存并校验,1
科技指标、论文与国际比较,核心科技直接材料,W1,调查资料,官方PDF已保存并校验,3
科技指标、论文与国际比较,核心科技直接材料,W2,讨论论文,官方PDF已保存并校验,7
科技指标、论文与国际比较,核心科技直接材料,W2,讨论论文,官方发布页摘要已保存,1
科技指标、论文与国际比较,核心科技直接材料,W2,调查资料,官方发布页摘要已保存,1
科技指标、论文与国际比较,核心科技直接材料,W3,讨论论文,官方PDF已保存并校验,1
科技指标、论文与国际比较,核心科技直接材料,W3,讨论论文,官方仓储PDF代理全文已保存,4
科技指标、论文与国际比较,科技创新政策与能力基线,W1,NISTEP正式报告,官方PDF已保存并校验,11
科技指标、论文与国际比较,科技创新政策与能力基线,W1,政策研究,官方PDF已保存并校验,1
科技指标、论文与国际比较,科技创新政策与能力基线,W1,讨论论文,官方PDF已保存并校验,27
科技指标、论文与国际比较,科技创新政策与能力基线,W1,讨论论文,官方仓储PDF代理全文已保存,1
科技指标、论文与国际比较,科技创新政策与能力基线,W1,调查资料,官方HTML版报告已保存,2
科技指标、论文与国际比较,科技创新政策与能力基线,W1,调查资料,官方PDF已保存并校验,26
科技指标、论文与国际比较,科技创新政策与能力基线,W1,调查资料,官方仓储PDF代理全文已保存,3
科技指标、论文与国际比较,科技创新政策与能力基线,W2,NISTEP正式报告,官方PDF已保存并校验,7
科技指标、论文与国际比较,科技创新政策与能力基线,W2,NISTEP正式报告,官方仓储PDF代理全文已保存,3
科技指标、论文与国际比较,科技创新政策与能力基线,W2,NISTEP正式报告,官方发布页摘要已保存,4
科技指标、论文与国际比较,科技创新政策与能力基线,W2,讨论论文,官方PDF已保存并校验,14
科技指标、论文与国际比较,科技创新政策与能力基线,W2,讨论论文,官方仓储PDF代理全文已保存,12
科技指标、论文与国际比较,科技创新政策与能力基线,W2,讨论论文,官方发布页摘要已保存,1
科技指标、论文与国际比较,科技创新政策与能力基线,W2,调查资料,官方HTML版报告已保存,1
科技指标、论文与国际比较,科技创新政策与能力基线,W2,调查资料,官方PDF已保存并校验,14
科技指标、论文与国际比较,科技创新政策与能力基线,W2,调查资料,官方仓储PDF代理全文已保存,14
科技指标、论文与国际比较,科技创新政策与能力基线,W2,调查资料,官方发布页摘要已保存,3
科技指标、论文与国际比较,科技创新政策与能力基线,W3,NISTEP正式报告,官方PDF已保存并校验,4
科技指标、论文与国际比较,科技创新政策与能力基线,W3,NISTEP正式报告,官方仓储PDF代理全文已保存,12
科技指标、论文与国际比较,科技创新政策与能力基线,W3,NISTEP正式报告,官方发布页摘要已保存,5
科技指标、论文与国际比较,科技创新政策与能力基线,W3,讨论论文,官方PDF已保存并校验,15
科技指标、论文与国际比较,科技创新政策与能力基线,W3,讨论论文,官方仓储PDF代理全文已保存,23
科技指标、论文与国际比较,科技创新政策与能力基线,W3,讨论论文,官方发布页摘要已保存,3
科技指标、论文与国际比较,科技创新政策与能力基线,W3,调查资料,官方HTML版报告已保存,3
科技指标、论文与国际比较,科技创新政策与能力基线,W3,调查资料,官方PDF已保存并校验,9
科技指标、论文与国际比较,科技创新政策与能力基线,W3,调查资料,官方仓储PDF代理全文已保存,20
科技指标、论文与国际比较,科技创新政策与能力基线,W3,调查资料,官方发布页摘要已保存,8
科研体系、资助与研究基础,核心科技直接材料,W1,讨论论文,官方PDF已保存并校验,2
科研体系、资助与研究基础,核心科技直接材料,W1,调查资料,官方PDF已保存并校验,2
科研体系、资助与研究基础,核心科技直接材料,W2,讨论论文,官方PDF已保存并校验,7
科研体系、资助与研究基础,核心科技直接材料,W2,讨论论文,官方发布页摘要已保存,1
科研体系、资助与研究基础,核心科技直接材料,W2,调查资料,官方发布页摘要已保存,1
科研体系、资助与研究基础,核心科技直接材料,W3,讨论论文,官方PDF已保存并校验,1
科研体系、资助与研究基础,核心科技直接材料,W3,讨论论文,官方仓储PDF代理全文已保存,4
科研体系、资助与研究基础,科技创新政策与能力基线,W1,NISTEP正式报告,官方PDF已保存并校验,12
科研体系、资助与研究基础,科技创新政策与能力基线,W1,政策研究,官方PDF已保存并校验,1
科研体系、资助与研究基础,科技创新政策与能力基线,W1,讨论论文,官方PDF已保存并校验,29
科研体系、资助与研究基础,科技创新政策与能力基线,W1,讨论论文,官方仓储PDF代理全文已保存,2
科研体系、资助与研究基础,科技创新政策与能力基线,W1,调查资料,官方HTML版报告已保存,2
科研体系、资助与研究基础,科技创新政策与能力基线,W1,调查资料,官方PDF已保存并校验,21
科研体系、资助与研究基础,科技创新政策与能力基线,W1,调查资料,官方仓储PDF代理全文已保存,3
科研体系、资助与研究基础,科技创新政策与能力基线,W2,NISTEP正式报告,官方PDF已保存并校验,7
科研体系、资助与研究基础,科技创新政策与能力基线,W2,NISTEP正式报告,官方仓储PDF代理全文已保存,3
科研体系、资助与研究基础,科技创新政策与能力基线,W2,NISTEP正式报告,官方发布页摘要已保存,4
科研体系、资助与研究基础,科技创新政策与能力基线,W2,讨论论文,官方PDF已保存并校验,14
科研体系、资助与研究基础,科技创新政策与能力基线,W2,讨论论文,官方仓储PDF代理全文已保存,11
科研体系、资助与研究基础,科技创新政策与能力基线,W2,讨论论文,官方发布页摘要已保存,1
科研体系、资助与研究基础,科技创新政策与能力基线,W2,调查资料,官方HTML版报告已保存,1
科研体系、资助与研究基础,科技创新政策与能力基线,W2,调查资料,官方PDF已保存并校验,14
科研体系、资助与研究基础,科技创新政策与能力基线,W2,调查资料,官方仓储PDF代理全文已保存,13
科研体系、资助与研究基础,科技创新政策与能力基线,W2,调查资料,官方发布页摘要已保存,3
科研体系、资助与研究基础,科技创新政策与能力基线,W3,NISTEP正式报告,官方PDF已保存并校验,4
科研体系、资助与研究基础,科技创新政策与能力基线,W3,NISTEP正式报告,官方仓储PDF代理全文已保存,11
科研体系、资助与研究基础,科技创新政策与能力基线,W3,NISTEP正式报告,官方发布页摘要已保存,5
科研体系、资助与研究基础,科技创新政策与能力基线,W3,讨论论文,官方PDF已保存并校验,15
科研体系、资助与研究基础,科技创新政策与能力基线,W3,讨论论文,官方仓储PDF代理全文已保存,21
科研体系、资助与研究基础,科技创新政策与能力基线,W3,讨论论文,官方发布页摘要已保存,3
科研体系、资助与研究基础,科技创新政策与能力基线,W3,调查资料,官方HTML版报告已保存,3
科研体系、资助与研究基础,科技创新政策与能力基线,W3,调查资料,官方PDF已保存并校验,8
科研体系、资助与研究基础,科技创新政策与能力基线,W3,调查资料,官方仓储PDF代理全文已保存,17
科研体系、资助与研究基础,科技创新政策与能力基线,W3,调查资料,官方发布页摘要已保存,8
