报告ID,机构ID,机构名称,发布日期,日期精度,报告名称,官方文类,官方主题,摘要,官方落地页,官方PDF入口,来源列表页,科技创新相关度,科技创新主轴,中国直接信号,全文策略,获取日期
C-DE-ACATECH-22699,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-06-01,日,Arbeitsplatzeffekte einer umfassenden Förderung der Elektromobilität in Deutschland,Nationale Plattform Elektromobilität (NPE)；Plattformen und Kooperationen,Mobilität und Logistik,,https://www.acatech.de/publikation/arbeitsplatzeffekte-einer-umfassenden-foerderung-der-elektromobilitaet-in-deutschland/,https://www.acatech.de/publikation/arbeitsplatzeffekte-einer-umfassenden-foerderung-der-elektromobilitaet-in-deutschland/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-23547,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-06-01,日,Wegweiser Elektromobilität,Nationale Plattform Elektromobilität (NPE)；Plattformen und Kooperationen,Mobilität und Logistik,,https://www.acatech.de/publikation/wegweiser-elektromobilitaet/,https://www.acatech.de/publikation/wegweiser-elektromobilitaet/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2823,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-06-06,日,Wissenschaftliche und gesellschaftspolitische Bedeutung bevölkerungsweiter Längsschnittstudien,Schriftenreihe zur wissenschaftsbasierten Politikberatung,topic-12,,https://www.acatech.de/publikation/wissenschaftliche-und-gesellschaftspolitische-bedeutung-bevoelkerungsweiter-laengsschnittstudien/,https://www.acatech.de/publikation/wissenschaftliche-und-gesellschaftspolitische-bedeutung-bevoelkerungsweiter-laengsschnittstudien/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,科学体系与基础研究,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2808,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-06-15,日,Monitoring-Bericht 2016 (gemäß §3 Abs. 3 Wiss FG) – Berichtszeitraum 2015,acatech；Monitoringberichte,,,https://www.acatech.de/publikation/monitoring-bericht-2016-gemaess-%c2%a73-abs-3-wiss-fg-berichtszeitraum-2015/,https://www.acatech.de/publikation/monitoring-bericht-2016-gemaess-%c2%a73-abs-3-wiss-fg-berichtszeitraum-2015/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2813,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-06-23,日,Zellproduktion in Deutschland – Eine Betrachtung aus Sicht der Wissenschaft,acatech；acatech MATERIALIEN,Mobilität und Logistik,,https://www.acatech.de/publikation/zellproduktion-in-deutschland-eine-betrachtung-aus-sicht-der-wissenschaft/,https://www.acatech.de/publikation/zellproduktion-in-deutschland-eine-betrachtung-aus-sicht-der-wissenschaft/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,科学体系与基础研究；产业创新转化与区域生态,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2816,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-06-23,日,"Industrie 4.0 – Internationaler Benchmark, Zukunftsoptionen und Handlungsempfehlungen für die Produktionsforschung",Kooperationspublikationen；Plattformen und Kooperationen,Digitale Transformation；topic-20；Rahmenbedingungen für Innovation,,https://www.acatech.de/publikation/industrie-4-0-internationaler-benchmark-zukunftsoptionen-und-handlungsempfehlungen-fuer-die-produktionsforschung/,https://www.acatech.de/publikation/industrie-4-0-internationaler-benchmark-zukunftsoptionen-und-handlungsempfehlungen-fuer-die-produktionsforschung/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,科学体系与基础研究；技术创新与关键技术；产业创新转化与区域生态；国际合作开放科学与比较,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2819,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-08-24,日,Rohstoffe für die Energieversorgung der Zukunft: Geologie – Märkte – Umwelteinflüsse (Analyse),Plattformen und Kooperationen；Schriftenreihe Energiesysteme der Zukunft (ESYS),Energie und Ressourcen,,https://www.acatech.de/publikation/rohstoffe-fuer-die-energieversorgung-der-zukunft-geologie-maerkte-umwelteinfluesse/,https://www.acatech.de/publikation/rohstoffe-fuer-die-energieversorgung-der-zukunft-geologie-maerkte-umwelteinfluesse/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2804,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-09-16,日,Das Labor in der ingenieurwissenschaftlichen Ausbildung. Zukunftsorientierte Ansätze aus dem Projekt IngLab,acatech；acatech STUDIE,topic-17,,https://www.acatech.de/publikation/das-labor-in-der-ingenieurwissenschaftlichen-ausbildung-zukunftsorientierte-ansaetze-aus-dem-projekt-inglab/,https://www.acatech.de/publikation/das-labor-in-der-ingenieurwissenschaftlichen-ausbildung-zukunftsorientierte-ansaetze-aus-dem-projekt-inglab/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,科学体系与基础研究；人才大学与科研组织,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2799,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-10-17,日,In fünf Schritten zum zielführenden Evaluationsdesign – Eine Handreichung für Bildungsinitiativen im MINT-Bereich,acatech；acatech MATERIALIEN,topic-17,,https://www.acatech.de/publikation/in-fuenf-schritten-zum-zielfuehrenden-evaluationsdesign-eine-handreichung-fuer-bildungsinitiativen-im-mint-bereich/,https://www.acatech.de/publikation/in-fuenf-schritten-zum-zielfuehrenden-evaluationsdesign-eine-handreichung-fuer-bildungsinitiativen-im-mint-bereich/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,人才大学与科研组织,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2791,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-11-09,日,Engineering im Umfeld von Industrie 4.0 – Einschätzungen und Handlungsbedarf,acatech；acatech STUDIE,topic-17；Digitale Transformation,,https://www.acatech.de/publikation/engineering-im-umfeld-von-industrie-4-0-einschaetzungen-und-handlungsbedarf/,https://www.acatech.de/publikation/engineering-im-umfeld-von-industrie-4-0-einschaetzungen-und-handlungsbedarf/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,技术创新与关键技术；产业创新转化与区域生态,否,已进入精选全文；本地保存官方PDF、提取文本和科技创新切片,2026-08-23
C-DE-ACATECH-2777,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-11-16,日,Kompetenzen für Industrie 4.0 – Qualifizierungsbedarfe und Lösungsansätze,acatech；acatech POSITION,topic-17；Digitale Transformation,,https://www.acatech.de/publikation/kompetenzen-fuer-industrie-4-0-qualifizierungsbedarfe-und-loesungsansaetze/,https://www.acatech.de/publikation/kompetenzen-fuer-industrie-4-0-qualifizierungsbedarfe-und-loesungsansaetze/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,技术创新与关键技术；人才大学与科研组织；产业创新转化与区域生态,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2786,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-11-23,日,Industrie 4.0 im globalen Kontext – Strategien der Zusammenarbeit mit internationalen Partnern,acatech；acatech STUDIE,Digitale Transformation；topic-20；Rahmenbedingungen für Innovation,,https://www.acatech.de/publikation/industrie-4-0-im-globalen-kontext-strategien-der-zusammenarbeit-mit-internationalen-partnern/,https://www.acatech.de/publikation/industrie-4-0-im-globalen-kontext-strategien-der-zusammenarbeit-mit-internationalen-partnern/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,技术创新与关键技术；创新政策与研发治理；产业创新转化与区域生态；国际合作开放科学与比较,是,已进入精选全文；本地保存官方PDF、提取文本和科技创新切片,2026-08-23
C-DE-ACATECH-2772,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-12-05,日,SCIENCE FINANCE. Analysen – Beispiele – Meinungen. Ausgabe 1/2016,Sonstige Publikationen,,,https://www.acatech.de/publikation/science-finance-analysen-beispiele-meinungen-ausgabe-1-2016/,https://www.acatech.de/publikation/science-finance-analysen-beispiele-meinungen-ausgabe-1-2016/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,科学体系与基础研究,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2789,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2016-12-05,日,Neue autoMobilität – Automatisierter Straßenverkehr der Zukunft,acatech；acatech STUDIE,Mobilität und Logistik,,https://www.acatech.de/publikation/neue-automobilitaet-automatisierter-strassenverkehr-der-zukunft/,https://www.acatech.de/publikation/neue-automobilitaet-automatisierter-strassenverkehr-der-zukunft/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2769,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-02-06,日,Additive Fertigung,Plattformen und Kooperationen；Schriftenreihe zur wissenschaftsbasierten Politikberatung,Digitale Transformation；Rahmenbedingungen für Innovation,,https://www.acatech.de/publikation/additive-fertigung/,https://www.acatech.de/publikation/additive-fertigung/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2765,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-02-08,日,Rohstoffe für die Energiewende: Wege zu einer sicheren und nachhaltigen Versorgung,Schriftenreihe zur wissenschaftsbasierten Politikberatung,Energie und Ressourcen,,https://www.acatech.de/publikation/rohstoffe-fuer-die-energiewende-wege-zu-einer-sicheren-und-nachhaltigen-versorgung/,https://www.acatech.de/publikation/rohstoffe-fuer-die-energiewende-wege-zu-einer-sicheren-und-nachhaltigen-versorgung/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2761,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-03-15,日,Verbraucherpolitik für die Energiewende,Schriftenreihe zur wissenschaftsbasierten Politikberatung,Energie und Ressourcen,,https://www.acatech.de/publikation/verbraucherpolitik-fuer-die-energiewende/,https://www.acatech.de/publikation/verbraucherpolitik-fuer-die-energiewende/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,创新政策与研发治理,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2757,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-03-16,日,Werkstoffe und Materialien für die Energiewende,acatech；acatech MATERIALIEN,Energie und Ressourcen,,https://www.acatech.de/publikation/werkstoffe-und-materialien-fuer-die-energiewende/,https://www.acatech.de/publikation/werkstoffe-und-materialien-fuer-die-energiewende/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2754,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-03-20,日,"Fachforum autonome Systeme – Chancen und Risiken für Wirtschaft, Wissenschaft und Gesellschaft (Abschlussbericht)",Kooperationspublikationen；Plattformen und Kooperationen,Digitale Transformation,,https://www.acatech.de/publikation/fachforum-autonome-systeme-chancen-und-risiken-fuer-wirtschaft-wissenschaft-und-gesellschaft-abschlussbericht/,https://www.acatech.de/publikation/fachforum-autonome-systeme-chancen-und-risiken-fuer-wirtschaft-wissenschaft-und-gesellschaft-abschlussbericht/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,科学体系与基础研究；产业创新转化与区域生态,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-23543,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-04-01,日,Die Deutsche Normungs-Roadmap Elektromobilität 2020,Nationale Plattform Elektromobilität (NPE)；Plattformen und Kooperationen,Mobilität und Logistik,,https://www.acatech.de/publikation/die-deutsche-normungs-roadmap-elektromobilitaet-2020/,https://www.acatech.de/publikation/die-deutsche-normungs-roadmap-elektromobilitaet-2020/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2745,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-04-01,日,acatech Statusanalyse,acatech；Institutionelle Publikationen,,,https://www.acatech.de/publikation/acatech-statusanalyse/,https://www.acatech.de/publikation/acatech-statusanalyse/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2750,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-04-05,日,Innovationspotenziale der Biotechnologie,acatech；acatech IMPULS,topic-19,,https://www.acatech.de/publikation/innovationspotenziale-der-biotechnologie/,https://www.acatech.de/publikation/innovationspotenziale-der-biotechnologie/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,技术创新与关键技术；创新政策与研发治理,否,已进入生物技术与生物制造创新定点全文；按官方原始资产、净文本和科技创新切片调用,2026-08-23
C-DE-ACATECH-2731,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-04-25,日,Wegweiser Smart Service Welt – Smart Services im digitalen Wertschöpfungsnetz,Kooperationspublikationen；Plattformen und Kooperationen,Digitale Transformation,,https://www.acatech.de/publikation/wegweiser-smart-service-welt-smart-services-im-digitalen-wertschoepfungsnetz/,https://www.acatech.de/publikation/wegweiser-smart-service-welt-smart-services-im-digitalen-wertschoepfungsnetz/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,产业创新转化与区域生态,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2739,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-04-25,日,Industrie 4.0 Maturity Index – Die digitale Transformation von Unternehmen gestalten,acatech；acatech STUDIE,Digitale Transformation,,https://www.acatech.de/publikation/industrie-4-0-maturity-index-die-digitale-transformation-von-unternehmen-gestalten/,https://www.acatech.de/publikation/industrie-4-0-maturity-index-die-digitale-transformation-von-unternehmen-gestalten/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,技术创新与关键技术；产业创新转化与区域生态,否,已进入精选全文；本地保存官方PDF、提取文本和科技创新切片,2026-08-23
C-DE-ACATECH-2728,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-05-08,日,Industrie 4.0 und das Recht: Drei zentrale Herausforderungen,Kooperationspublikationen；Plattformen und Kooperationen,Digitale Transformation,,https://www.acatech.de/publikation/industrie-4-0-und-das-recht-drei-zentrale-herausforderungen/,https://www.acatech.de/publikation/industrie-4-0-und-das-recht-drei-zentrale-herausforderungen/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,技术创新与关键技术；产业创新转化与区域生态,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2718,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-05-18,日,Monitoring-Bericht 2017 (gemäß §3 Abs. 3 Wiss FG) – Berichtszeitraum 2016,acatech；Monitoringberichte,,,https://www.acatech.de/publikation/monitoring-bericht-2017-gemaess-%c2%a73-abs-3-wiss-fg-berichtszeitraum-2016/,https://www.acatech.de/publikation/monitoring-bericht-2017-gemaess-%c2%a73-abs-3-wiss-fg-berichtszeitraum-2016/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2725,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-05-19,日,Jahresbericht 2016,acatech；Jahresberichte,,,https://www.acatech.de/publikation/jahresbericht-2016/,https://www.acatech.de/publikation/jahresbericht-2016/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2721,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-05-23,日,Das Energiesystem resilient gestalten: Maßnahmen für eine gesicherte Versorgung,Plattformen und Kooperationen；Schriftenreihe zur wissenschaftsbasierten Politikberatung,Energie und Ressourcen,,https://www.acatech.de/publikation/das-energiesystem-resilient-gestalten-massnahmen-fuer-eine-gesicherte-versorgung/,https://www.acatech.de/publikation/das-energiesystem-resilient-gestalten-massnahmen-fuer-eine-gesicherte-versorgung/download-pdf?lang=de,https://www.acatech.de/publikationen/,语境,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2724,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-05-23,日,Das Energiesystem resilient gestalten: Szenarien – Handlungsspielräume – Zielkonflikte (Analyse),Plattformen und Kooperationen；Schriftenreihe Energiesysteme der Zukunft (ESYS),Energie und Ressourcen,,https://www.acatech.de/publikation/das-energiesystem-resilient-gestalten-szenarien-handlungsspielraeume-zielkonflikte/,https://www.acatech.de/publikation/das-energiesystem-resilient-gestalten-szenarien-handlungsspielraeume-zielkonflikte/download-pdf?lang=de,https://www.acatech.de/publikationen/,语境,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2715,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-06-13,日,IT-Plattformen für die Smart Service Welt. Verständnis und Handlungsfelder,acatech；acatech DISKUSSION,Digitale Transformation,,https://www.acatech.de/publikation/it-plattformen-fuer-die-smart-service-welt-verstaendnis-und-handlungsfelder/,https://www.acatech.de/publikation/it-plattformen-fuer-die-smart-service-welt-verstaendnis-und-handlungsfelder/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2708,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-06-22,日,MINT Nachwuchsbarometer 2017,Kooperationspublikationen；Plattformen und Kooperationen,topic-17,,https://www.acatech.de/publikation/mint-nachwuchsbarometer-2017/,https://www.acatech.de/publikation/mint-nachwuchsbarometer-2017/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2704,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-06-28,日,Social Media und digitale Wissenschaftskommunikation. Analyse und Empfehlungen zum Umgang mit Chancen und Risiken in der Demokratie,Schriftenreihe zur wissenschaftsbasierten Politikberatung,Digitale Transformation；topic-12,,https://www.acatech.de/publikation/social-media-und-digitale-wissenschaftskommunikation-analyse-und-empfehlungen-zum-umgang-mit-chancen-und-risiken-in-der-demokratie/,https://www.acatech.de/publikation/social-media-und-digitale-wissenschaftskommunikation-analyse-und-empfehlungen-zum-umgang-mit-chancen-und-risiken-in-der-demokratie/download-pdf?lang=de,https://www.acatech.de/publikationen/,核心,科学体系与基础研究,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
C-DE-ACATECH-2699,de-acatech,acatech – Deutsche Akademie der Technikwissenschaften,2017-06-29,日,"Arbeit in der digitalen Transformation – Agilität, lebenslanges Lernen und Betriebspartner im Wandel. Ein Beitrag des Human-Resources-Kreises von acatech und der Jacobs Foundation – Forum für Personalvorstände zur Zukunft der Arbeit",acatech；acatech DISKUSSION；Kooperationspublikationen；Plattformen und Kooperationen,topic-17；Digitale Transformation,,https://www.acatech.de/publikation/arbeit-in-der-digitalen-transformation/,https://www.acatech.de/publikation/arbeit-in-der-digitalen-transformation/download-pdf?lang=de,https://www.acatech.de/publikationen/,支撑,,否,轻量目录保留；安全语境不自动触发全文，仅按科学与技术创新跨期机制精选,2026-08-23
