报告ID,报告编号,发布日期,观察窗,日文题名,语言,报告类型,资料角色,科技关联层级,主题标签,官方落地页,仓储记录ID,官方PDF,页面来源,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-NISTEP-RM250-0AAA1923,RM:250,2016-05-01,W1,博士人材データベース（JGRAD）を用いた博士課程在籍者・修了者の所属確認とキャリアパス等に関する意識調査,日文,调查资料,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3139,4775,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-RM250-0AAA1923.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-RM250-0AAA1923.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-RM250-0AAA1923.md,10295473,ada8c6100c9eef13b47fe691e4f6381d4fc30d1ae4bc7f7a2f3df6eabba58623,158,113615,官方PDF已保存并校验,,2026-08-22
C-NISTEP-DP136-03FEB8AD,DP:136,2016-06-01,W1,製品市場の効率性と全要素生産性―日韓企業の比較研究-,日文,讨论论文,作者讨论论文,科技创新政策与能力基线,人工智能、数据与数字技术；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3140,4211,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NISTEP-DP136-03FEB8AD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NISTEP-DP136-03FEB8AD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NISTEP-DP136-03FEB8AD.md,3046,1d23347a0b213beac6de6d62f9fad599aa6ca0357185a4d43043b5434bfe6bd2,0,2148,官方仓储PDF代理全文已保存,,2026-08-22
C-NISTEP-DP137-D7C96B15,DP:137,2016-06-01,W1,研究開発活動における組織・人事マネジメントがイノベーションに与える影響,日文,讨论论文,作者讨论论文,科技创新政策与能力基线,科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3141,4212,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NISTEP-DP137-D7C96B15.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NISTEP-DP137-D7C96B15.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NISTEP-DP137-D7C96B15.md,3334,69480392febe3e885d2d8bcafb1945bca2792afacdc2ea472196543dee41066f,0,2056,官方仓储PDF代理全文已保存,,2026-08-22
C-NISTEP-DP138-07744430,DP:138,2016-08-01,W1,科学技術に関する国民意識調査－熊本地震－,日文,讨论论文,作者讨论论文,科技创新政策与能力基线,人工智能、数据与数字技术；科技指标、论文与国际比较；科研体系、资助与研究基础；企业研发、创新与产学合作；科技前瞻、新兴议题与社会；开放科学、研究诚信与治理,http://hdl.handle.net/11035/3144,4213,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP138-07744430.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP138-07744430.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-DP138-07744430.md,14729780,480a9dea1ec9c3ca51b3dc1d29e7c5d0dd3673a3f9ffc4806ab5b293c3468894,144,67663,官方PDF已保存并校验,,2026-08-22
C-NISTEP-DP139-A8D1B934,DP:139,2016-08-01,W1,研究開発型大学等発ベンチャー調査2016,日文,讨论论文,作者讨论论文,科技创新政策与能力基线,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作；科技前瞻、新兴议题与社会,http://hdl.handle.net/11035/3148,4214,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP139-A8D1B934.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP139-A8D1B934.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-DP139-A8D1B934.md,1750813,f097b878dd703a0a39f4b601cd17464d51da24b67bc59ee1bdd948d15c51af24,67,70108,官方PDF已保存并校验,,2026-08-22
C-NISTEP-RM251-12492A8B,RM:251,2016-08-01,W1,科学技術指標2016,日文,调查资料,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作；科技前瞻、新兴议题与社会；中国科技能力与国际比较,http://hdl.handle.net/11035/3143,4776,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NISTEP-RM251-12492A8B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NISTEP-RM251-12492A8B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NISTEP-RM251-12492A8B.md,506304,3bf87c1e7f0c6487fdb393757455de913a3e293709f248fa6f2629899d822e50,0,198650,官方HTML版报告已保存,,2026-08-22
C-NISTEP-RM252-F002DF7A,RM:252,2016-08-01,W1,第10回科学技術予測調査にみる人工知能・情報技術が切り拓く未来,日文,调查资料,机构正式研究,核心科技直接材料,人工智能、数据与数字技术；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作；科技前瞻、新兴议题与社会；开放科学、研究诚信与治理,http://hdl.handle.net/11035/3151,4777,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-RM252-F002DF7A.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-RM252-F002DF7A.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-RM252-F002DF7A.md,17316177,3fb8eda21f7ffb13073a3248b5470888a36b69558a92337f99f9581283004611,91,37556,官方PDF已保存并校验,,2026-08-22
C-NISTEP-RM253-EE344852,RM:253,2016-08-01,W1,国際・国内会議録の簡易分析に基づく我が国の人工知能研究動向把握の試み,日文,调查资料,机构正式研究,核心科技直接材料,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科技指标、论文与国际比较；科技前瞻、新兴议题与社会；中国科技能力与国际比较,http://hdl.handle.net/11035/3152,4778,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-RM253-EE344852.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-RM253-EE344852.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-RM253-EE344852.md,1323464,f527441c610e9dd182e77b7fc7141192197009086fead80145cc2e059d63da51,26,26397,官方PDF已保存并校验,,2026-08-22
C-NISTEP-NR169-249775D4,NR:169,2016-09-01,W1,サイエンスマップ2014-論文データベース分析（2009-2014年）による注目される研究領域の動向調査-,日文,NISTEP正式报告,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；中国科技能力与国际比较,http://hdl.handle.net/11035/3147,4496,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-NR169-249775D4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-NR169-249775D4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-NR169-249775D4.md,23685668,4ade9e8e32bbd09aed17525eb396a4b69da0168664bde06dffca9e0992b1a5f7,130,157951,官方PDF已保存并校验,,2026-08-22
C-NISTEP-RM254-2063A9FF,RM:254,2016-10-01,W1,ジャーナルに注目した主要国の論文発表の特徴―オープンアクセス、出版国、使用言語の分析―,日文,调查资料,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科技指标、论文与国际比较；开放科学、研究诚信与治理；中国科技能力与国际比较,http://hdl.handle.net/11035/3150,4779,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-RM254-2063A9FF.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-RM254-2063A9FF.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-RM254-2063A9FF.md,1671285,2207d99b5cab38f0644807071c51f58c76622dafcdac362fe213700b361dc56c,174,373138,官方PDF已保存并校验,,2026-08-22
C-NISTEP-NR170-9EF0404E,NR:170,2016-11-01,W1,第４回全国イノベーション調査統計報告,日文,NISTEP正式报告,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3154,4497,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-NR170-9EF0404E.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-NR170-9EF0404E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-NR170-9EF0404E.md,5256908,4e7ddc20e9f65edfcd86f55f85420dd7c44b7fa12930016d54340343746122cb,160,179439,官方PDF已保存并校验,,2026-08-22
C-NISTEP-RM255-3BFDB1E9,RM:255,2016-11-01,W1,博士人材データベースのパイロット運用－政策・制度・運用の現状と改善に関する検討報告書－,日文,调查资料,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科技指标、论文与国际比较；科研体系、资助与研究基础；科技人才、博士与职业流动；企业研发、创新与产学合作,http://hdl.handle.net/11035/3155,4780,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-RM255-3BFDB1E9.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-RM255-3BFDB1E9.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-RM255-3BFDB1E9.md,7564197,e70227bc7c40e4880c8c980d050a3732f1036e29ac369065f27e2f715c67508f,174,156511,官方PDF已保存并校验,,2026-08-22
C-NISTEP-DP140-6A67EE82,DP:140,2017-02-01,W1,Exchange Rate Uncertainty and R&D Investment: Evidence from Japanese Firms （為替変動の不確実性と研究開発投資：日本の企業データによる実証分析）,日文,讨论论文,作者讨论论文,科技创新政策与能力基线,人工智能、数据与数字技术；关键技术、专利与产业竞争力；科研体系、资助与研究基础；企业研发、创新与产学合作,http://hdl.handle.net/11035/3156,4215,,既有本地资产,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NISTEP-DP140-6A67EE82.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NISTEP-DP140-6A67EE82.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NISTEP-DP140-6A67EE82.md,429993,f9295ef79e9e1d12607f32fed2e3ea3e9f1341cdce2587a92281eed5006173ea,1,1816,官方PDF已保存并校验,,2026-08-22
