种子ID,机构ID,机构英文名,国家或地区,日期,观察窗,报告名称,报告类型,官方页面或PDF,示踪问题,机构观点等级,获取状态,预期用途
S-CEIP-2019-01,carnegie-tech,Carnegie Endowment for International Peace,美国,2019-10-10,W2,Competing With China on Technology and Innovation,政策简报,https://carnegieendowment.org/posts/2019/10/competing-with-china-on-technology-and-innovation,T4;T5;T6,L1,已定位官方页面,竞争与合作并置
S-CEIP-2022-01,carnegie-tech,Carnegie Endowment for International Peace,美国,2022-04-25,W3,U.S.-China Technological Decoupling: A Strategy and Policy Framework,研究报告,https://carnegieendowment.org/research/2022/04/us-china-technological-decoupling-a-strategy-and-policy-framework,T4;T5;T6;T7,L1,官方PDF已保存并校验,窄化管制与防止失控脱钩
S-CEIP-2025-01,carnegie-tech,Carnegie Endowment for International Peace,美国,2025-02-26,W3,How the U.S. Can Stop Losing the Race for Clean Energy,任务组报告,https://carnegieendowment.org/research/2025/02/how-the-us-can-stop-losing-the-race-for-clean-energy,T1;T2;T4;T5;T6,L2,官方PDF已保存并校验,产业政策与伙伴组合
S-FISI-2016-01,fraunhofer-isi,Fraunhofer Institute for Systems and Innovation Research ISI,德国,2016-01-01,W1,Innovation System – Thinking Broader: Five Theses Addressing Innovation Policy,政策简报,https://www.isi.fraunhofer.de/de/competence-center/politik-gesellschaft/publikationen/thesenpapiere.html,T1;T2;T3;T10,L2,官方PDF已保存并校验,广义创新系统
S-FISI-2020-01,fraunhofer-isi,Fraunhofer Institute for Systems and Innovation Research ISI,德国,2020-01-01,W2,Technologiesouveränität: Von der Forderung zum Konzept,政策简报,https://www.isi.fraunhofer.de/de/competence-center/politik-gesellschaft/publikationen/thesenpapiere.html,T1;T4;T5;T7,L2,官方PDF已保存并校验,技术主权概念化
S-FISI-2021-01,fraunhofer-isi,Fraunhofer Institute for Systems and Innovation Research ISI,德国,2021-01-01,W2,Missionsorientierte Innovationspolitik: Von der Ambition zur erfolgreichen Umsetzung,政策简报,https://www.isi.fraunhofer.de/de/competence-center/politik-gesellschaft/publikationen/thesenpapiere.html,T1;T2;T10,L2,官方PDF已保存并校验,任务导向政策实施
S-FISI-2022-01,fraunhofer-isi,Fraunhofer Institute for Systems and Innovation Research ISI,德国,2022-01-01,W3,Putting Mission-Oriented Innovation Policies to Work,讨论论文,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2022/discussionpaper_75_2022.pdf,T1;T2;T10,L1,官方PDF已保存并校验,任务从目标到执行
S-FISI-2026-01,fraunhofer-isi,Fraunhofer Institute for Systems and Innovation Research ISI,德国,2026-05-01,W3,Synergies and Tensions Brought by Security as a New Objective for Challenge-Led Innovation Policy,讨论论文,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2026/discussionpaper_92_2026.pdf,T1;T4;T5;T7;T10,L1,官方PDF已保存并校验,安全目标与转型政策张力
S-NISTEP-2016-01,nistep,National Institute of Science and Technology Policy,日本,2016-08-01,W1,Digest of Japanese Science and Technology Indicators 2016,旗舰系列,https://www.nistep.go.jp/en/?page_id=52,T1;T3;T10,L3,官方PDF已保存并校验,能力测度早期锚点
S-NISTEP-2019-01,nistep,National Institute of Science and Technology Policy,日本,2019-11-01,W2,The 11th Science and Technology Foresight: S&T Foresight 2019,旗舰预见,https://www.nistep.go.jp/en/?page_id=56,T3;T8;T10,L3,官方PDF已保存并校验,回溯与前瞻结合
S-NISTEP-2021-01,nistep,National Institute of Science and Technology Policy,日本,2021-04-01,W2,Perspectives of Science and Technology in the post COVID-19 era,研究材料,https://www.nistep.go.jp/en/?page_id=56,T1;T3;T5;T10,L2,官方PDF已保存并校验,危机后预见
S-NISTEP-2024-01,nistep,National Institute of Science and Technology Policy,日本,2024-08-01,W3,Japanese Science and Technology Indicators 2024,旗舰系列,https://www.nistep.go.jp/en/wp-content/uploads/NISTEP-RM341-SummaryE.pdf,T1;T3;T4;T10,L3,官方PDF已保存并校验,能力相对位置与开放科学
S-NISTEP-2025-01,nistep,National Institute of Science and Technology Policy,日本,2025-11-01,W3,Japanese Science and Technology Indicators 2025,旗舰系列,https://www.nistep.go.jp/en/?page_id=52,T1;T3;T10,L3,官方PDF已保存并校验,连续能力指标
S-CRDS-2017-01,jst-crds,JST Center for Research and Development Strategy,日本,2017-03-01,W1,Panoramic View of the Systems and Information Science and Technology Field 2017,旗舰系列,https://www.jst.go.jp/crds/en/publications/,T1;T8;T10,L3,官方PDF已保存并校验,技术全景与优先领域
S-CRDS-2019-01,jst-crds,JST Center for Research and Development Strategy,日本,2019-03-01,W2,Panoramic View Report 2019: Integrated Version,旗舰系列,https://www.jst.go.jp/crds/en/publications/,T1;T8;T10,L3,官方PDF已保存并校验,跨领域整合
S-CRDS-2021-01,jst-crds,JST Center for Research and Development Strategy,日本,2021-03-01,W2,System Software to Support Safety Security and Trust in the Era of Society 5.0,战略建议,https://www.jst.go.jp/crds/en/publications/CRDS-FY2020-SP-06.html,T1;T4;T5;T8,L3,官方PDF已保存并校验,自由数据流与安全可信平衡
S-CRDS-2023-01,jst-crds,JST Center for Research and Development Strategy,日本,2023-05-01,W3,Toward Responsible Innovation: Challenges for Strategic Technology Governance in Japan,战略建议,https://www.jst.go.jp/crds/en/publications/CRDS-FY2023-SP-01.html,T1;T2;T8,L3,官方PDF已保存并校验,竞争力与价值治理结合
S-CRDS-2024-01,jst-crds,JST Center for Research and Development Strategy,日本,2024-03-01,W3,Global Trends in Science Technology and Innovation Policies: Securitization of STI Policy,研究报告,https://www.jst.go.jp/crds/en/publications/,T4;T5;T7;T10,L3,官方PDF已保存并校验,安全化的制度比较
S-CRDS-2025-01,jst-crds,JST Center for Research and Development Strategy,日本,2025-03-01,W3,New Trends in Science and Technology Innovation Policy from the Perspective of Science and Technology Diplomacy,研究报告,https://www.jst.go.jp/crds/pdf/en/CRDS-FY2024-RR-14_EN.pdf,T4;T5;T7;T10,L3,官方PDF已保存并校验,科技外交与经济安全
S-BR-2016-01,bruegel,Bruegel,欧盟,2016-03-29,W1,The European Union’s Growing Innovation Divide,政策贡献,https://www.bruegel.org/system/files/wp_attachments/pc_2016_08.pdf,T1;T2;T3,L1,官方PDF已保存并校验,诊断与因地制宜政策组合
S-BR-2017-01,bruegel,Bruegel,欧盟,2017-09-13,W1,EU–China Economic Relations to 2025: Building a Common Future,联合报告,https://www.bruegel.org/system/files/wp_attachments/CHHJ5627_China_EU_Report_170913_WEB.pdf,T2;T4;T6,L2,官方PDF已保存并校验,合作型创新关系
S-BR-2021-01,bruegel,Bruegel,欧盟,2021-11-01,W2,A New Direction for the European Union’s Semiconductor Policy,政策贡献,https://www.bruegel.org/system/files/wp_attachments/PC-2021-17-semiconductors-.pdf,T1;T2;T5;T7,L1,官方PDF已保存并校验,技术主权与欧盟集中决策
S-BR-2023-01,bruegel,Bruegel,欧盟,2023-08-01,W3,Sparking Europe’s New Industrial Revolution,蓝皮书,https://www.bruegel.org/sites/default/files/2023-08/Bruegel%20Blueprint%2033_chapter%201.pdf,T1;T2;T4;T5;T7,L2,官方PDF已保存并校验,开放战略自主与去风险
S-BR-2024-01,bruegel,Bruegel,欧盟,2024-06-01,W3,A Green Industrial Policy for Europe,政策简报,https://www.bruegel.org/sites/default/files/2024-06/PB%2011%202024_1.pdf,T1;T2;T4;T5,L1,官方PDF已保存并校验,脱碳竞争力安全权衡
S-RAND-2022-01,rand,RAND Corporation,美国,2022-01-01,W3,Bridging the Gap: Assessing U.S. Business Community Support for U.S.-China Competition,研究报告,https://www.rand.org/content/dam/rand/pubs/research_reports/RRA1400/RRA1417-1/RAND_RRA1417-1.pdf,T2;T4;T5;T6;T7,L1,官方PDF已保存并校验,企业对脱钩与供应链政策反应
S-RAND-2023-01,rand,RAND Corporation,美国,2023-11-21,W3,The United States and China—Designing a Shared Future: The Potential for Track 2 Initiatives to Design an Agenda for Coexistence,研究报告,https://www.rand.org/content/dam/rand/pubs/research_reports/RRA2800/RRA2850-1/RAND_RRA2850-1.pdf,T4;T5;T6;T7,L1,官方PDF已保存并校验,零和竞争与共存议程的反证
S-RAND-2024-01,rand,RAND Corporation,美国,2024-10-22,W3,The Effectiveness of U.S. Economic Policies Regarding China Pursued from 2017 to 2024,研究报告,https://www.rand.org/content/dam/rand/pubs/research_reports/RRA3000/RRA3055-1/RAND_RRA3055-1.pdf,T2;T4;T5;T6;T7,L1,官方PDF已保存并校验,去风险政策效果评估
S-ASPI-2020-01,aspi,Australian Strategic Policy Institute,澳大利亚,2020-09-17,W2,Ensuring a Trusted 5G Ecosystem of Vendors and Technology,正式报告,https://www.aspi.org.au/report/ensuring-trusted-5g-ecosystem-vendors-and-technology/,T4;T5;T6;T7,L1,官方PDF已保存并校验,可信供应链与主权能力
S-ASPI-2021-01,aspi,Australian Strategic Policy Institute,澳大利亚,2021-12-01,W2,Benchmarking Critical Technologies,项目报告,https://www.aspi.org.au/report/benchmarking-critical-technologies/,T1;T4;T5;T6;T10,L2,官方PDF已保存并校验,同盟化能力测度
S-ASPI-2023-01,aspi,Australian Strategic Policy Institute,澳大利亚,2023-03-01,W3,ASPI’s Critical Technology Tracker,旗舰项目,https://www.aspi.org.au/report/critical-technology-tracker/,T1;T4;T5;T6;T10,L2,官方PDF已保存并校验,技术竞争能力监测
S-ASPI-2025-01,aspi,Australian Strategic Policy Institute,澳大利亚,2025-12-01,W3,ASPI Critical Technology Tracker 2025 Update,旗舰项目,https://www.aspi.org.au/news/coming-soon-aspis-2025-critical-technology-tracker-update/,T1;T4;T5;T6;T10,L2,官方预告页已定位待最终报告,依赖与人才流监测
