报告ID,统一目录报告ID,发布日期,报告名称,官方文类,官方文号,科技创新相关度,中国直接信号,官方落地页,页面摘要,资料层级,全文策略,采集日期
C-EU-STOA-EPRS-ATA-2017-598619,C-EU-STOA-EPRS-ATA-2017-598619,2017-02-08,What if animal farming were not so bad for the environment?,At a Glance,EPRS_ATA(2017)598619,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2017)598619,"What options exist, especially in terms of new technologies, for reducing the carbon footprint of the livestock industry, how effective might they be, and what could be done to encourage their implementation? The livestock industry is responsible for around 14.5 % of global greenhouse gas emissions. The magnitude of this percentage is due to the emission of large amounts of methane and nitrous oxide, which both result in greater global warming than carbon dioxide per gram of gas released. The main ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-IDA-2017-581948,C-EU-STOA-EPRS-IDA-2017-581948,2017-02-20,How blockchain technology could change our lives,In-Depth Analysis,EPRS_IDA(2017)581948,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_IDA(2017)581948,"Blockchain technology is of increasing interest to citizens, businesses and legislators across the European Union. This report is aimed at providing a point of entry for those curious about blockchain technology, so as to stimulate interest and provoke discussion around its potential impact. A general introduction is followed by a closer look at eight areas in which blockchain has been described as having a substantial potential impact. For each of these, an explanation is given of how the technology ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2017-598628,C-EU-STOA-EPRS-ATA-2017-598628,2017-03-06,What if intensification of farming could enhance biodiversity?,At a Glance,EPRS_ATA(2017)598628,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2017)598628,"Could introducing more precision agriculture in Europe allow us to obtain food resilience, while ensuring sustainability and jobs, and taking into account the EU’s wide agricultural diversity? Precision agriculture (PA), or precision farming, involves using technology to improve the ratio between agricultural output (usually food) and agricultural input (land, energy, water, fertilisers, pesticides, etc.). PA consists of using sensors to identify crop or livestock needs precisely (in space or time ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2017-598621,C-EU-STOA-EPRS-STU-2017-598621,2017-03-24,Language equality in the digital age - Towards a Human Language Project,Study,EPRS_STU(2017)598621,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2017)598621,"The EU is a unique endeavour involving more than 500 million citizens sharing about 80 different languages, and while multilingualism is a key feature, it is also one of the most substantial challenges for the creation of a truly integrated EU. Language barriers have a profound effect on cross-border public services, on fostering a common European identity, on workers’ mobility, and on cross-border e-commerce and trade, in the context of a Digital Single Market. The emergence of new technological ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2017-581942,C-EU-STOA-EPRS-STU-2017-581942,2017-03-30,Technological innovation strategies in substance use disorders,Study,EPRS_STU(2017)581942,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2017)581942,"Drug disorders are complex social and health problems that affect millions of people in the EU. In the last two decades, we have witnessed an extraordinary growth in computer and mobile technologies available to the general public. Researchers in the field of drug addiction have started to exploit the growth of the internet and new technologies, and an increasing number of interventions designed to promote changes in substance use disorders are now available. The study includes an extensive critical ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2017-603174,C-EU-STOA-EPRS-ATA-2017-603174,2017-04-03,What if we were to build skyscrapers from wood?,At a Glance,EPRS_ATA(2017)603174,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2017)603174,"Can new technologies contribute to a revival of wood as a source for biomass and construction material, and play a leading role in the fight against climate change? Wood has been part of human civilisation for many thousands of years, playing a key role as fuel or construction material, as well as a material for the manufacture of furniture, machinery, means of transport and everyday objects.",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2017-603176,C-EU-STOA-EPRS-ATA-2017-603176,2017-05-10,What if blockchain changed social values?,At a Glance,EPRS_ATA(2017)603176,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2017)603176,"Blockchain technology could shake up many aspects of our daily lives, from the currency we use to the purchases we make. But what is the impact on our social values, and what can policy-makers do about it?",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2017-603175,C-EU-STOA-EPRS-STU-2017-603175,2017-05-16,Cybersecurity in the EU Common Security and Defence Policy (CSDP): Challenges and risks for the EU,Study,EPRS_STU(2017)603175,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2017)603175,"This report is the result of a study conducted by the European Union Agency for Network and Information Security (ENISA) for the European Parliament’s Science and Technology Options Assessment (STOA) Panel with the aim of identifying risks, challenges and opportunities for cyber-defence in the context of the EU Common Security and Defence Policy (CSDP). Acceptance of cyber as an independent domain calls for the investigation of its integration with the EU’s current and future policies and capabilities ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2017-603188,C-EU-STOA-EPRS-ATA-2017-603188,2017-06-09,What if your personal health tracker could save your life?,At a Glance,EPRS_ATA(2017)603188,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2017)603188,"Through advances in technology, big data has become a major asset and can open up numerous opportunities in all areas, but how can we use this in the context of health care and ensure it benefits everyone?",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2017-603197,C-EU-STOA-EPRS-ATA-2017-603197,2017-06-28,What if technology helped society become more inclusive?,At a Glance,EPRS_ATA(2017)603197,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2017)603197,"There are already many ‘assistive technologies’ available, which can help people with disabilities participate more fully in society. More advanced assistive technologies are under development, but is technology the key to a more inclusive society?",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2017-603183,C-EU-STOA-EPRS-STU-2017-603183,2017-07-05,Horizon scanning and analysis of techno-scientific trends: Scientific Foresight Study,Study,EPRS_STU(2017)603183,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2017)603183,"This horizon scan has identified eight major technological trends relevant for STOA. First, a scan was conducted to measure controversy on social media, and this constituted an initial controversy ranking. After more detailed analysis of the main technology trends identified, a set of STOA-relevant areas were selected, which have not yet been investigated by STOA so far. These are big data, gene technology, electric vehicles, autonomous cars and impact of algorithms. A number of additional trend ...",轻量总目录,已进入精选全文；按官方PDF、页面HTML、提取文本和科技创新切片调用,2026-08-23
C-EU-STOA-EPRS-IDA-2017-598626,C-EU-STOA-EPRS-IDA-2017-598626,2017-07-14,Ten more technologies which could change our lives,In-Depth Analysis,EPRS_IDA(2017)598626,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_IDA(2017)598626,"In 2015, the European Parliament's Directorate-General for Parliamentary Research Services (DG EPRS) broke new ground with its publication 'Ten technologies which could change our lives – potential impacts and policy implications', with each chapter highlighting a particular technology, its promises and potential negative consequences, and the role that the European Parliament could and should play in shaping these developments. This new study continues this work, presenting ten additional technologies ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-BRI-2017-603205,C-EU-STOA-EPRS-BRI-2017-603205,2017-08-31,Forward-looking policy-making at the European Parliament through scientific foresight,Briefing,EPRS_BRI(2017)603205,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_BRI(2017)603205,"The European Parliament's Science and Technology Options Assessment (STOA) Panel, supported by the Scientific Foresight Unit (STOA), decided two years ago to experiment with a process involving scenario development and assessment to explore possible future techno-scientific developments and their potential impacts, while backcasting possible future opportunities and concerns to options available to policy-makers today. This was achieved with the involvement of experts from a variety of backgrounds ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2017-603199,C-EU-STOA-EPRS-ATA-2017-603199,2017-09-08,What if manmade biological organisms could help treat cancer?,At a Glance,EPRS_ATA(2017)603199,支撑,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2017)603199,"Synthetic biology is expected to begin to design, construct and develop artificial (i.e. man-made) biological systems that mimic or even go beyond naturally occurring biological systems. Applications of synthetic biology in the healthcare domain hold great promise, but also raise a number of questions. What are the benefits and challenges of this emerging field? What ethical and social issues arise from this engineering approach to biology?",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2017-581913,C-EU-STOA-EPRS-STU-2017-581913,2017-09-25,Towards a circular economy-Waste management in the EU,Study,EPRS_STU(2017)581913,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2017)581913,"This STOA study explores waste management in the EU. Around one third of EU municipal waste was sent to landfill in 2012. To turn waste into a resource, waste management objectives must be aligned with the goals of a circular economy transition. This report highlights progress and challenges across Member States and in municipalities for (1) reducing waste, and (2) generating high-quality waste streams for re-use and recovery. It focuses on the current policy landscape, trends, and technologies for ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2017-603219,C-EU-STOA-EPRS-ATA-2017-603219,2017-11-10,What if we could 3D-print our own body parts,At a Glance,EPRS_ATA(2017)603219,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2017)603219,"The 3D-printing sector has proven its commercial viability in recent years, reaching the high street and, indeed, many homes. The technology is already used in some medical domains, such as dentistry and prosthetics, and many scientists are now exploring methods of printing biological materials – even if reports about lifesaving 3D-printed hearts are certainly premature.",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2017-603207,C-EU-STOA-EPRS-STU-2017-603207,2017-11-13,"Precision agriculture in Europe:Legal, social and ethical considerations",Study,EPRS_STU(2017)603207,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2017)603207,"The aim of this study is to illustrate the different ways in which the current EU legislative framework may be affected by the digitisation and automation of farming activities and the respective technological trends. The study analyses the issues that might have to be dealt with, identifying the European Parliament committees concerned and the legislative acts that might need to be revisited, especially in view of the forthcoming Commission communication on the future of the Common Agricultural ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2017-614526,C-EU-STOA-EPRS-ATA-2017-614526,2017-12-05,What if mini-brains could help us understand dementia?,At a Glance,EPRS_ATA(2017)614526,语境,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2017)614526,"Organoids are artificially grown organs that mimic the properties of real organs. What new possibilities for treating diseases, drug development, and personalised and regenerative medicine do organoids provide?",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2017-614531,C-EU-STOA-EPRS-STU-2017-614531,2017-12-20,Achieving a sovereign and trustworthy ICT industry in the EU,Study,EPRS_STU(2017)614531,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2017)614531,"This study attempts to identify and assess policy options for the EU to achieve cyber-resilience, and to develop capabilities, and industrial and technological resources for a trustworthy EU cyberspace, with a view also to promoting core values, such as online privacy protection. The findings could form the basis for an assessment of alternative measures to improve the resilience of the European ICT industry and the EU's strategic decision-making capacity, and enhance the resilience of critical information ...",轻量总目录,已进入精选全文；按官方PDF、页面HTML、提取文本和科技创新切片调用,2026-08-23
C-EU-STOA-EPRS-IDA-2018-603218,C-EU-STOA-EPRS-IDA-2018-603218,2018-01-15,Assistive technologies for people with disabilities,In-Depth Analysis,EPRS_IDA(2018)603218,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_IDA(2018)603218,"Assistive technologies (ATs) are designed to improve the functional capabilities of people with disabilities. Some are relatively low-tech and very familiar, such as such as reading glasses, crutches and hearing aids. Others are more advanced, using cutting-edge science and technology, with future ATs under development that could have a huge impact on all our lives. This briefing provides an overview of a scientific foresight study of ATs for three specific types of disability: blindness and visual ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2018-614538,C-EU-STOA-EPRS-ATA-2018-614538,2018-01-17,What if all our meat were grown in a lab?,At a Glance,EPRS_ATA(2018)614538,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2018)614538,"Laboratory meat is grown from a small number of cells taken from a live animal and placed in a growth medium in a bioreactor where they proliferate independently. If meat cultured in this way became widely available, it could significantly alleviate the environmental problems currently caused by livestock production - such as greenhouse gas emissions and nitrogen pollution of waterways - without requiring humans to alter their consumption patterns. This publication provides an overview of the potential ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2018-603213,C-EU-STOA-EPRS-STU-2018-603213,2018-02-02,Prospects for e-democracy in Europe,Study,EPRS_STU(2018)603213,语境,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2018)603213,"Digital tools could create stronger connections between European citizens and the EU decision-making process and, by doing so, might contribute to reducing the EU democratic deficit. This report investigates what lessons can be drawn from local, national and European experiences of the use of digital tools for the functioning of EU decision-making procedures and institutions. For that purpose, a review of current literature on e-democracy and the European public sphere has been carried out; 22 local ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2018-614540,C-EU-STOA-EPRS-STU-2018-614540,2018-03-01,New ways of financing transport infrastructure projects in Europe,Study,EPRS_STU(2018)614540,支撑,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2018)614540,"This study assesses a range of mechanisms to finance transport infrastructure projects in cross-border regions, and analyses the strategic role that European Groupings of Territorial Cohesion (EGTC) could play in the planning and implementation of cross-border investments. Special attention is given to often neglected small-scale projects, whose investment is up to €1 million. Building on an in-depth literature review, and supported by interviews with various regional cooperation structures and an ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2018-614539,C-EU-STOA-EPRS-STU-2018-614539,2018-03-01,The impact of new technologies on the labour market and the social economy,Study,EPRS_STU(2018)614539,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2018)614539,"This STOA study investigates the potential employment effects of new information and communication technologies, by examining the relationship between innovation, new technologies, employment and inequality. It reviews the existing literature and experiences of previous technological revolutions, and argues that the race between job creation through new products, and job destruction from process innovation, has been won in the past by the job-creating effects of innovation. It concludes that there ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2018-614552,C-EU-STOA-EPRS-ATA-2018-614552,2018-03-02,What if all technologies were inherently social?,At a Glance,EPRS_ATA(2018)614552,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2018)614552,"How technology has shaped society and how future technologies might affect it in the years to come are subjects for frequent debate. It can be tempting in this context to think of technologies as neutral 'things' that can be used for good or bad depending on the user's intentions and skills. But what if technologies were social objects that reflected and reinforced human activities or even political values? In fact, while mechanisms, effects and implications remain open to debate, experts on the ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2018-614537,C-EU-STOA-EPRS-STU-2018-614537,2018-03-14,Overcoming innovation gaps in the EU-13 Member States,Study,EPRS_STU(2018)614537,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2018)614537,"Investing in research is considered essential for achieving smart, sustainable and inclusive growth and jobs in Europe. The EU Framework Programme for research and innovation is the EU’s primary instrument for building the European Research Area. Framework Programmes are expected to produce European added value: therefore the principle of juste retour does not apply. Research needs to be of the highest quality, produced in international collaboration and selected on a competitive basis. Under such ...",轻量总目录,已进入精选全文；按官方PDF、页面HTML、提取文本和科技创新切片调用,2026-08-23
C-EU-STOA-EPRS-IDA-2018-614547,C-EU-STOA-EPRS-IDA-2018-614547,2018-03-26,Should we fear artificial intelligence?,In-Depth Analysis,EPRS_IDA(2018)614547,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_IDA(2018)614547,"For better or worse, artificial intelligence (AI) is predicted to have a huge impact on the future of humanity. As new promises and concerns reach increasingly mainstream audiences, the debate is starting to capture the public imagination. In this publication, we present four opinion pieces, each responding to the question should we fear AI? The four authors come from different disciplinary backgrounds and present diverging perspectives on whether we should fear the future of AI, and how we should ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2018-614558,C-EU-STOA-EPRS-ATA-2018-614558,2018-04-12,What if we were to travel on levitating trains?,At a Glance,EPRS_ATA(2018)614558,支撑,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2018)614558,"Magnetic levitation-based transport might be about to enter our lives, providing for faster, safer and more energy-efficient journeys. As it will enable longer distances to be covered more rapidly and cleanly, could it affect where we choose to live?",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2018-614559,C-EU-STOA-EPRS-ATA-2018-614559,2018-05-22,What if social media were open and connected?,At a Glance,EPRS_ATA(2018)614559,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2018)614559,"Social media platforms are often thought of as open and connected spaces, since they allow users to communicate with a wide range of people and organisations. It seems obvious that to have access to a social network it should be necessary to open an account with the platform, and that on closing the account that access would be lost. However, telephone and email networks do not restrict access to their networks depending on which provider or platform is being used, and there are ways in which social ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2018-614567,C-EU-STOA-EPRS-ATA-2018-614567,2018-06-07,What if technologies shaped the law?,At a Glance,EPRS_ATA(2018)614567,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2018)614567,"Is there a relationship between law, technological innovation, and regulatory governance? Are technologies ordinary objects of formal law that can fit into the traditional doctrinal classification? What if technologies were legal artefacts that question and challenge the traditional boundaries of legal thought? Has technology been developed to the extent that it exerts the functions of law? Is there a gradual shift from the traditional notion of ""code is law"" (i.e. code having the effect of law) ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2018-614572,C-EU-STOA-EPRS-ATA-2018-614572,2018-06-28,What if law shaped technologies?,At a Glance,EPRS_ATA(2018)614572,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2018)614572,Existing legal structures may prove a poor match for new types of disputes raised by disruptive technologies. Can the legal system overcome the temporal gap between the emergence of a technology and the subsequent need for controlling its possible effects and retain both flexibility and responsiveness? What regulation is justified by a particular technology? How should a particular technology be regulated? How can law regulate uncertain and unknown futures in the face of limited knowledge?,轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-STU-2018-614546,C-EU-STOA-EPRS-STU-2018-614546,2018-07-04,New technologies and regional policy:Towards the next cohesion policy framework,Study,EPRS_STU(2018)614546,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2018)614546,"This study aims at highlighting the importance of the territorial dimension and structures for economic growth at European level. It focuses on the role and potential of the existing cohesion policy funding in planning and implementing ICT infrastructures in the regions, and in accompanying the efforts to digitalise European economy and society. In the same context, the study also highlights the role and potential of cohesion policy funding in planning and implementing integrated science and technology ...",轻量总目录,已进入精选全文；按官方PDF、页面HTML、提取文本和科技创新切片调用,2026-08-23
C-EU-STOA-EPRS-IDA-2018-614571,C-EU-STOA-EPRS-IDA-2018-614571,2018-07-20,3D bio-printing for medical and enhancement purposes,In-Depth Analysis,EPRS_IDA(2018)614571,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_IDA(2018)614571,"3D bio-printing is defined here as the use of 3D printing technology for applications related to the body, whether the products themselves include biological material or not, and whether or not their purpose is medical. It includes any application for rehabilitating, supporting or augmenting any kind of biological functionality. The impacts of 3D bio-printing are uncertain, and it is not clear which actions may be required to foster responsible development of the technology. A STOA study, 'Additive ...",轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
C-EU-STOA-EPRS-ATA-2018-624246,C-EU-STOA-EPRS-ATA-2018-624246,2018-09-06,What if technologies challenged our ethical norms?,At a Glance,EPRS_ATA(2018)624246,核心,否,https://www.europarl.europa.eu/stoa/en/document/EPRS_ATA(2018)624246,Exploring the relationship between ethics and technological innovation has always been a challenging task for policy-makers. Ethical considerations concerning the impact of research and innovation (R&I) are increasingly important owing to the quickening pace of technological innovation and the transformative potential and complexity of contemporary advances in science and technology. The multiplication of legal references to ethical principles and the mushrooming of ad hoc ethics committees indicate ...,轻量总目录,按科技创新机制、中国比较、跨期转向和独立方法定点精选,2026-08-23
