报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,主题标签,筛选依据,官方来源标识,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-BEL-B78469D299,2022-01-14,W3,政策简报,China’s Rise and U.S. Defense Implications,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；创新体系与产业政策；国防、航天与无人系统,china_topics,"from Belfer Center for Science and International Affairs, Harvard Kennedy School",https://www.belfercenter.org/publication/chinas-rise-and-us-defense-implications,https://www.belfercenter.org/sites/default/files/pantheon_files/files/publication/China%2520Rise%2520U.S.%2520Defense%2520Implications%2520-%2520Marco%2520Lyons.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-B78469D299.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-B78469D299.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BEL-B78469D299.md,75312,0ced32e2c51ad276133e79f54509fb5337392eb3450eff057d0639e34901c6cb,0,20963,官方网页全文已保存,HTTPError: HTTP Error 404: Not Found,2026-08-22
C-BEL-AE4CDA117C,2022-03-03,W3,研究报告与论文,The U.S.-China Tech Rivalry: Don't Decouple - Diversify,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制,tech_topics_with_china_keyword,"from Belfer Center for Science and International Affairs, Harvard Kennedy School",https://www.belfercenter.org/publication/us-china-tech-rivalry-dont-decouple-diversify,https://www.belfercenter.org/sites/default/files/pantheon_files/files/publication/US_China%2520Tech.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AE4CDA117C.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AE4CDA117C.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BEL-AE4CDA117C.md,57791,4d60e31dcfe70123bf9dbf361ef8aca2e1e4d15c5d6b401bc0e1a25dc9f72d0d,0,5896,官方网页全文已保存,HTTPError: HTTP Error 404: Not Found,2026-08-22
C-BEL-38F891EC2F,2022-03-17,W3,政策证词,Testimony before the U.S.-China Economic and Security Review Commission,作者/项目政策证词,人工智能、芯片与算力；网络安全与数字治理；创新体系与产业政策,china_topics,,https://www.belfercenter.org/publication/testimony-us-china-economic-and-security-review-commission-0,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-38F891EC2F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-38F891EC2F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BEL-38F891EC2F.md,64482,dbb70060f197c87d38cf6a487ad3e620fb868bdf7ee094ad0ed53cdf545ad77c,0,13920,官方网页全文已保存,,2026-08-22
C-BEL-2C19B76C8E,2023-11-08,W3,政策简报,Action on AI: Unpacking the Executive Order’s Security Implications and the Road Ahead,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；创新体系与产业政策；生物、量子及其他前沿技术,tech_topics_with_china_keyword,,https://www.belfercenter.org/publication/action-ai-unpacking-executive-orders-security-implications-and-road-ahead,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-2C19B76C8E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-2C19B76C8E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-BEL-2C19B76C8E.md,76875,6424b95a8935369144147622795ca0298e2af8565988da6f761d0ed815d0fc00,0,20035,官方网页全文已保存,,2026-08-22
C-BEL-AFD28CFBC0,2024-06-18,W3,研究报告与论文,A Just Transition for Coal Regions: Learning from Two Coal Cities in Western China,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策；国防、航天与无人系统；生物、量子及其他前沿技术,china_topics,"from Environment and Natural Resources Program, Belfer Center Science, Technology, and Public Policy Program, Belfer Center Institute for Climate Change and Sustainable Development, Tsinghua University",https://www.belfercenter.org/research-analysis/just-transition-coal-regions-learning-two-coal-cities-western-china,https://www.belfercenter.org/sites/default/files/2024-06/Yang%20Dong%20Hui_China%20Just%20Coal%20Transition.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-AFD28CFBC0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-AFD28CFBC0.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-AFD28CFBC0.md,4353892,5c73be6ac78a8f75c6d3dfc87fa59bed56ad3417c7a695f375da4b2e28494f14,64,122389,官方PDF已保存并校验,,2026-08-22
C-BEL-EB0689FAEA,2025-02-03,W3,研究报告与论文,"The Autonomous Arsenal in Defense of Taiwan: Technology, Law, and Policy of the Replicator Initiative",作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策；国防、航天与无人系统；生物、量子及其他前沿技术,china_topics,from Belfer Center for Science and International Affairs,https://www.belfercenter.org/replicator-autonomous-weapons-taiwan,https://www.belfercenter.org/sites/default/files/2025-02/DETS_The%20Autonomous%20Arsenal_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EB0689FAEA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EB0689FAEA.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-EB0689FAEA.md,6022429,888230176aff583f8a4998c2d18c94fb9e1ac925b228e3cfd7a621c12a2f5675,60,148813,官方PDF已保存并校验,,2026-08-22
C-BEL-9A478150BE,2025-03-14,W3,研究报告与论文,Beyond Rhetoric: The Enduring Political Appeal of U.S. Industrial Policy for Critical and Strategic Technologies,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策；国防、航天与无人系统,tech_topics_with_china_keyword,,https://www.belfercenter.org/research-analysis/beyond-rhetoric-us-industrial-policy,https://www.belfercenter.org/sites/default/files/2025-03/Beyond%20Rhetoric_2.5.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-9A478150BE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-9A478150BE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-9A478150BE.md,590478,4eccc5812ae7e7be91c8a52530094c071b23042ba2df413ba30be6a4b7f26ab2,28,115788,官方PDF已保存并校验,,2026-08-22
C-BEL-63B46FF729,2025-06-23,W3,政策简报,Cutting Through Narratives on Chinese Arctic Investments,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；国防、航天与无人系统,china_topics,from Belfer Center for Science and International Affairs,https://www.belfercenter.org/research-analysis/china-arctic-investments,https://www.belfercenter.org/sites/default/files/2025-07/Edstrom%20Hauksdottir%20Lackenbauer_Chinese%20Arctic%20Investments_20250708.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-63B46FF729.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-63B46FF729.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-63B46FF729.md,3905427,7e8f1827e6b7234a8aabcdd99d24e991fec1e9bd4ea88fac038bb23feabc071e,23,76496,官方PDF已保存并校验,,2026-08-22
C-BEL-2DBC6C6564,2025-07-23,W3,研究报告与论文,"Emerging Tech & American Isolationism: Consequences for AI, Drone, and Space Launch Technologies",作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策；国防、航天与无人系统,tech_topics_with_china_keyword,,https://www.belfercenter.org/research-analysis/emerging-tech-american-isolationism-consequences-ai-drone-and-space-launch,https://www.belfercenter.org/sites/default/files/2025-07/DETSP_EmergingTech-AmericanIsolationism_v1-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-2DBC6C6564.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-2DBC6C6564.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-2DBC6C6564.md,2622621,db273a9e1d0a970792c5a793bf40413350f4b5d1bea465d257c531035e2b486b,53,139705,官方PDF已保存并校验,,2026-08-22
C-BEL-6F869656AC,2025-11-20,W3,研究报告与论文,"Multi-Alignment as Strategy: How Brazil Navigates Between Washington, Beijing, and the Global South",作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策；国防、航天与无人系统；生物、量子及其他前沿技术,china_topics,,https://www.belfercenter.org/research-analysis/multi-alignment-strategy-how-brazil-navigates-between-washington-beijing-and,https://www.belfercenter.org/sites/default/files/2025-11/Brazil_MiddlePowers-CountryReport_2.2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-6F869656AC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-6F869656AC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-6F869656AC.md,429343,58dc35f0246b1ebb2bfcef26da9855b65f8236b2322eacd264f0833f1f2f2941,19,72165,官方PDF已保存并校验,,2026-08-22
C-BEL-85969F7BAD,2025-11-20,W3,研究报告与论文,Active Alignment: How Indonesia Can Shape the U.S.-China Strategic Competition,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策；国防、航天与无人系统,china_topics,,https://www.belfercenter.org/research-analysis/active-alignment-how-indonesia-can-shape-us-china-strategic-competition,https://www.belfercenter.org/sites/default/files/2025-11/Indonesia_MiddlePowers-CountryReport_2.1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85969F7BAD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85969F7BAD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-85969F7BAD.md,922731,805fb4e2833c049d903933c16bc7764f9fd4c49c0dae5c8e939dbcf17dafca1d,22,69795,官方PDF已保存并校验,,2026-08-22
C-BEL-B4FB9BAD13,2025-11-20,W3,研究报告与论文,India: Leaning to One Side (Cautiously),作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策；国防、航天与无人系统；生物、量子及其他前沿技术,china_topics,,https://www.belfercenter.org/research-analysis/india-leaning-one-side-cautiously,https://www.belfercenter.org/sites/default/files/2025-11/India_MiddlePowers-CountryReport_2.2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B4FB9BAD13.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B4FB9BAD13.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-B4FB9BAD13.md,377242,0eea2b48de58af38cd00d5c57f3721dde8b31b7d0d708a2f9a65209f854f184f,19,71111,官方PDF已保存并校验,,2026-08-22
C-BEL-393576F862,2025-12-08,W3,研究报告与论文,Governing Outer Space: A Conference of the Parties for the Outer Space Treaty,作者/项目正式研究,人工智能、芯片与算力；技术供应链与出口管制；创新体系与产业政策；国防、航天与无人系统,tech_topics_with_china_keyword,from Belfer Center for Science and International Affairs,https://www.belfercenter.org/research-analysis/space-cop-governance,https://www.belfercenter.org/sites/default/files/2025-12/Sandler_Governing%20Outer%20Space_20251218.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-393576F862.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-393576F862.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-393576F862.md,333839,7fcdc2d5a7531a97147f7d8588318ffc4ebfb7107ad11a461ce4db2c56e9736f,23,66568,官方PDF已保存并校验,,2026-08-22
C-BEL-85FA86A1D8,2025-12-12,W3,研究报告与论文,"Code, Command, and Conflict: Charting the Future of Military AI",作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系与产业政策；国防、航天与无人系统；生物、量子及其他前沿技术,tech_topics_with_china_keyword,,https://www.belfercenter.org/research-analysis/code-command-and-conflict-charting-future-military-ai,https://www.belfercenter.org/sites/default/files/2025-12/Belfer_Code%20Command%20and%20Conflict_1.1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85FA86A1D8.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85FA86A1D8.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-85FA86A1D8.md,288607,2b7e8b9a07e1e08dd1e122380f368d977567d42f22c3e6cb54411963abc92d60,16,51262,官方PDF已保存并校验,,2026-08-22
C-BEL-77F4F9A07F,2026-03-27,W3,政策简报,Risk of Influence Warfare in the Arctic: Lessons from Greenland,作者/项目正式研究,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；国防、航天与无人系统,china_topics；tech_topics_with_china_keyword,from Belfer Center for Science and International Affairs,https://www.belfercenter.org/research-analysis/risk-influence-warfare-arctic-lessons-greenland,https://www.belfercenter.org/sites/default/files/2026-03/Kirkegaard_Influence%20Warfare_Final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-77F4F9A07F.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-77F4F9A07F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-BEL-77F4F9A07F.md,282056,d3eb57bf33430a8e4a6a21e04146af4838d4439ccfd2417ad61e03cf0de5d9f0,9,21921,官方PDF已保存并校验,,2026-08-22
