报告ID,统一目录报告ID,发布日期,报告名称,报告类型,官方主题,科技创新相关度,中国关联,官方落地页,官方PDF入口,页面摘要,资料层级,全文策略,页面SHA256,采集日期
C-RATHENAU-2017-INTERNATIONAL-MOBILITY-RESEARCHERS,C-RATHENAU-2017-INTERNATIONAL-MOBILITY-RESEARCHERS,2017-03-30,International mobility of researchers,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/international-mobility-researchers,https://www.rathenau.nl/sites/default/files/2018-04/Internationale%20mobiliteit%20EN.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,127f50d3f9f4e8221e649f52d378e9b2e1173ae3f4791efd1030551f94d28faa,2026-08-23
C-RATHENAU-2017-FAIR-SHARE,C-RATHENAU-2017-FAIR-SHARE,2017-05-30,A fair share,Report,Digitalisation,语境,否,https://www.rathenau.nl/en/digitalisering/fair-share,https://www.rathenau.nl/sites/default/files/2018-07/Report%20Fair%20share_2.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,37d640b672c141a3d3d5b29db8799630dc6a8a29485ffd4b6ce258e407e58fff,2026-08-23
C-RATHENAU-2017-AMMONIA-DOSSIER,C-RATHENAU-2017-AMMONIA-DOSSIER,2017-09-11,The ammonia dossier,Report,Knowledge and innovation for transitions,核心,否,https://www.rathenau.nl/en/kennis-voor-transities/ammonia-dossier,https://www.rathenau.nl/sites/default/files/Ammoniakdossier%20Rathenau%20Instituut27_9_17.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,18ca47b0b28d4dafb608820ae6f783f656a3cd4e0714c1d8b2875a7dc7ba8105,2026-08-23
C-RATHENAU-2017-HUMAN-RIGHTS-ROBOT-AGE,C-RATHENAU-2017-HUMAN-RIGHTS-ROBOT-AGE,2017-10-11,Human rights in the robot age,Report,Digitalisation,语境,否,https://www.rathenau.nl/en/digitalisering/human-rights-robot-age,https://www.rathenau.nl/sites/default/files/2018-02/Human%20Rights%20in%20the%20Robot%20Age-Rathenau%20Instituut-2017.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,a2ff943a51cc3f358518a2054a7e4f58dfc768d102d44546a08f1708877b6755,2026-08-23
C-RATHENAU-2018-PROSPECTS-E-DEMOCRACY-EUROPE,C-RATHENAU-2018-PROSPECTS-E-DEMOCRACY-EUROPE,2018-01-10,Prospects for e-democracy in Europe,Report,Knowledge and innovation for transitions,语境,否,https://www.rathenau.nl/en/kennis-voor-transities/prospects-e-democracy-europe,https://www.rathenau.nl/sites/default/files/2018-05/EPRS_STU%282018%29603213_EN_0.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,1fb7dfd62b8a556ad6919e4dcba9a4baa682540e851031df275d1b292b22d312,2026-08-23
C-RATHENAU-2018-DUTCH-POLICY-PROMOTING-SCIENTIFIC-EXCELLENCE,C-RATHENAU-2018-DUTCH-POLICY-PROMOTING-SCIENTIFIC-EXCELLENCE,2018-02-14,Dutch policy promoting scientific excellence,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/dutch-policy-promoting-scientific-excellence,https://www.rathenau.nl/sites/default/files/2018-03/FC%20Scientific%20Excellence.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,f646318984419739fc4455966fec1945a11998df76805297974bd783154ea093,2026-08-23
C-RATHENAU-2018-REGIONAL-INNOVATION,C-RATHENAU-2018-REGIONAL-INNOVATION,2018-03-05,Regional innovation,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/regional-innovation,https://www.rathenau.nl/sites/default/files/2018-03/Regional%20Innovation_1.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,127d746ad7b7d98e04e6c240ac7dc8d57f81f7880c9e26485da23af263008486,2026-08-23
C-RATHENAU-2018-IMPACT-DOCTORATE,C-RATHENAU-2018-IMPACT-DOCTORATE,2018-04-10,The impact of a doctorate,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/impact-doctorate,https://www.rathenau.nl/sites/default/files/2018-11/The%20impact%20of%20a%20doctarate_def_0.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,24ef295c3b42344f5bf73d5d7285de911cce0fd70231fb652c7fdfa3de63eb0d,2026-08-23
C-RATHENAU-2018-TOTAL-INVESTMENT-RESEARCH-AND-INNOVATION-TWIN-2016-2022,C-RATHENAU-2018-TOTAL-INVESTMENT-RESEARCH-AND-INNOVATION-TWIN-2016-2022,2018-04-23,Total Investment in Research and Innovation (TWIN) 2016-2022,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/total-investment-research-and-innovation-twin-2016-2022,https://www.rathenau.nl/sites/default/files/2018-05/TWIN%202016-2022_UK.pdf；https://www.rathenau.nl/sites/default/files/inline-files/Total_Investment_in_Research_and_Innovation__TWIN__2012-2018_-_Rathenau_Instituut__01_0.pdf；https://www.rathenau.nl/sites/default/files/inline-files/Total_Investment_in_Research_and_Innovation__TWIN__2013-2019_-_Rathenau_01.pdf；https://www.rathenau.nl/sites/default/files/inline-files/Totale_Investeringen_in_Wetenschap_en_Innovatie_2012-2018_-_Rathenau.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,990acab930f0a966dca663c01777a262e8aab1374899f09b0b6a023b73ae48e1,2026-08-23
C-RATHENAU-2018-RESPONSIBLE-DIGITAL-HEALTH-MANAGEMENT,C-RATHENAU-2018-RESPONSIBLE-DIGITAL-HEALTH-MANAGEMENT,2018-05-25,Responsible digital health management,Report,Health,语境,否,https://www.rathenau.nl/en/gezondheid/responsible-digital-health-management,,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,cc91abf32260e240c4e57b34a6049a37118e70820dcd41699a623ac2c03e49af,2026-08-23
C-RATHENAU-2018-VALUABLE-DIGITALISATION,C-RATHENAU-2018-VALUABLE-DIGITALISATION,2018-06-26,Valuable Digitalisation,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisering/valuable-digitalisation,https://www.rathenau.nl/sites/default/files/2019-02/EN-F2-Ten-Perspectives-v7.pdf；https://www.rathenau.nl/sites/default/files/2019-02/EN-F2-Ten-Perspectives-v7_0.pdf；https://www.rathenau.nl/sites/default/files/2019-03/004-190001%5BWaardevol_digitaliseren_EN%5Ddef_lr.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,61a83dd74f758df5c61102a4491c889d8b4d3e156858efdf858482da4e242e98,2026-08-23
C-RATHENAU-2018-WHAT-MOTIVATES-RESEARCHERS,C-RATHENAU-2018-WHAT-MOTIVATES-RESEARCHERS,2018-07-09,What motivates researchers?,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/what-motivates-researchers,https://www.rathenau.nl/sites/default/files/2018-07/What%20motivates%20researchers.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,0506a9bc53b6e12ad02ccd3be0dde97726500e31c1b8ae78a03aa0dd83b1d0ad,2026-08-23
C-RATHENAU-2018-DECENT-DIGITISATION,C-RATHENAU-2018-DECENT-DIGITISATION,2018-07-20,Decent Digitisation,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisering/decent-digitisation,https://www.rathenau.nl/sites/default/files/2018-07/Decent%20Digitisation.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,5cbfd841ddb902925771c6c222a30f5227e64069317a27493de1782400e8b3f6,2026-08-23
C-RATHENAU-2018-ADDITIVE-BIO-MANUFACTURING-3D-PRINTING-MEDICAL-RECOVERY-AND-HUMAN-ENHANC,C-RATHENAU-2018-ADDITIVE-BIO-MANUFACTURING-3D-PRINTING-MEDICAL-RECOVERY-AND-HUMAN-ENHANC,2018-08-01,Additive bio-manufacturing: 3D printing for medical recovery and human enhancement,Report,Health,核心,否,https://www.rathenau.nl/en/gezondheid/additive-bio-manufacturing-3d-printing-medical-recovery-and-human-enhancement,https://www.rathenau.nl/sites/default/files/2018-07/Additive%20bio-manufacturing_EN.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,366cb719835655ea0ba96f15147841ab8e9290ac4940ed5283c4162a58e96d26,2026-08-23
C-RATHENAU-2018-TRUST-SCIENCE-NETHERLANDS,C-RATHENAU-2018-TRUST-SCIENCE-NETHERLANDS,2018-08-28,Trust in Science in the Netherlands,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/trust-science-netherlands,https://www.rathenau.nl/sites/default/files/2018-10/Trust%20in%20Science%202018.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,2bb96289f539da672d555655ec12ee76592b5217241ab5ab407a51ea44c1109b,2026-08-23
C-RATHENAU-2018-BALANCE-SCIENCE-2018,C-RATHENAU-2018-BALANCE-SCIENCE-2018,2018-09-27,The Balance of Science 2018,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/balance-science-2018,https://www.rathenau.nl/sites/default/files/2018-09/Balans%20van%20de%20wetenschap%202018_2.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,20ba20aaa926a73d52b110e3f8463b9a7b0e09ab885cef6a5029bf65c0c288a0,2026-08-23
C-RATHENAU-2018-EXCELLENCE-EXTRA-ORDINARY,C-RATHENAU-2018-EXCELLENCE-EXTRA-ORDINARY,2018-10-31,Excellence is extra-ordinary,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/excellence-extra-ordinary,https://www.rathenau.nl/sites/default/files/2019-01/Excellence%20is%20extra-ordinary%20-%20Rathenau%20Instituut_0.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,ec5d310730f745e5d4cf4ce2496d5aa3602019442ea04ab03b890aa89b4daa06,2026-08-23
C-RATHENAU-2018-DIRECTED-DIGITALISATION,C-RATHENAU-2018-DIRECTED-DIGITALISATION,2018-11-20,Directed digitalisation,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisering/directed-digitalisation,https://www.rathenau.nl/sites/default/files/2018-11/Directed%20Digitalisation.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,b48e0da509bc80894d07224d771b49f2aedf7d0f4957a40fe9394d2af411d927,2026-08-23
C-RATHENAU-2018-INDUSTRY-SEEKING-UNIVERSITY,C-RATHENAU-2018-INDUSTRY-SEEKING-UNIVERSITY,2018-11-27,Industry seeking university,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/industry-seeking-university,https://www.rathenau.nl/sites/default/files/2018-11/Industry%20seeking%20university%202018_11_27_0.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,b40a43f69430d1384f8d70984f6f3816b587701ee26bcdefa0c18005ba220385,2026-08-23
C-RATHENAU-2019-HEALTH-CENTRE,C-RATHENAU-2019-HEALTH-CENTRE,2019-06-06,Health at the centre,Report,Health,语境,否,https://www.rathenau.nl/en/gezondheid/health-centre,https://www.rathenau.nl/sites/default/files/2019-06/HealthAtTheCentre_report.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,457d05659b858f86ae1aa8536e9c5f957b5f52cb2bb6cb50eb242582e3714c6a,2026-08-23
C-RATHENAU-2019-GENOME-EDITING-PLANTS-AND-CROPS,C-RATHENAU-2019-GENOME-EDITING-PLANTS-AND-CROPS,2019-06-13,Genome editing in plants and crops,Report,Health,核心,否,https://www.rathenau.nl/en/gezondheid/genome-editing-plants-and-crops,https://www.rathenau.nl/sites/default/files/2019-06/Genome%20editing%20in%20plants%20and%20crops%20-%20Rathenau%20Instituut_1.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,23efb8a058979d913396b0fc0caca02a1c28133c70233bb111055b654e86878d,2026-08-23
C-RATHENAU-2019-TOTAL-INVESTMENT-RESEARCH-AND-INNOVATION-TWIN-2017-2023,C-RATHENAU-2019-TOTAL-INVESTMENT-RESEARCH-AND-INNOVATION-TWIN-2017-2023,2019-07-19,Total Investment in Research and Innovation (TWIN) 2017-2023,Report,How the science system works,核心,否,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/total-investment-research-and-innovation-twin-2017-2023,https://www.rathenau.nl/sites/default/files/2019-07/TWIN%202017-2023%20EN.pdf；https://www.rathenau.nl/sites/default/files/inline-files/Total_Investment_in_Research_and_Innovation__TWIN__2012-2018_-_Rathenau_Instituut__01_0.pdf；https://www.rathenau.nl/sites/default/files/inline-files/Total_Investment_in_Research_and_Innovation__TWIN__2013-2019_-_Rathenau_01.pdf；https://www.rathenau.nl/sites/default/files/inline-files/Totale_Investeringen_in_Wetenschap_en_Innovatie_2012-2018_-_Rathenau.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,4f8b9f101305e238defb2ecdc4ea4716135387dc90dc65a10f54e31f58625116,2026-08-23
C-RATHENAU-2019-CYBERSPACE-WITHOUT-CONFLICT,C-RATHENAU-2019-CYBERSPACE-WITHOUT-CONFLICT,2019-08-27,Cyberspace without conflict,Report,Digitalisation,语境,否,https://www.rathenau.nl/en/digitalisering/cyberspace-without-conflict,https://www.rathenau.nl/sites/default/files/2019-08/Cyberspace%20without%20conflict.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,2406fea8bb6b97797b50068a4f9fdb1312ef0696537f106a2af4600440948520,2026-08-23
C-RATHENAU-2020-CITIZENS-AND-SENSORS,C-RATHENAU-2020-CITIZENS-AND-SENSORS,2020-02-20,Citizens and sensors,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisation/citizens-and-sensors,https://www.rathenau.nl/sites/default/files/2020-03/Citizens%20and%20sensors.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,093c2ed715fd23d5a4133dbd9d44ddf800c4723cd988b15ef021147763d433b9,2026-08-23
C-RATHENAU-2020-RESPONSIBLE-VR,C-RATHENAU-2020-RESPONSIBLE-VR,2020-02-27,Responsible VR,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisering/responsible-vr,https://www.rathenau.nl/sites/default/files/2020-03/Responsible%20VR.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,29933fd5532edcc916d08722a7c6a14b1f899834d89eca1e8149f7bdf155b919,2026-08-23
C-RATHENAU-2020-DISCUSSING-MODIFICATION-HERITABLE-DNA-EMBRYOS,C-RATHENAU-2020-DISCUSSING-MODIFICATION-HERITABLE-DNA-EMBRYOS,2020-03-24,Discussing the modification of heritable DNA in embryos,Report,Health,核心,否,https://www.rathenau.nl/en/gezondheid/discussing-modification-heritable-dna-embryos,https://www.rathenau.nl/sites/default/files/2020-03/191113e0.rapport%20DNA%20in%20embryo%27s_final%20%28003%29_2.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,2ec6e1c39bcb639bb5f19a4aa3ff01f574ac497597cf8cd0227d2c5dd0ae0c9f,2026-08-23
C-RATHENAU-2020-EUROPEAN-RESEARCH-AND-INNOVATION-NEW-GEOPOLITICAL-ARENA,C-RATHENAU-2020-EUROPEAN-RESEARCH-AND-INNOVATION-NEW-GEOPOLITICAL-ARENA,2020-05-19,European research and innovation in a new geopolitical arena,Report,How the science system works,核心,是,https://www.rathenau.nl/en/werking-van-het-wetenschapssysteem/european-research-and-innovation-new-geopolitical-arena,https://www.rathenau.nl/sites/default/files/2020-05/European%20Research%20and%20Innovation%20in%20a%20new%20geopolitical%20arena.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,5949d566eed693a77830f73c38c4bdc5a781e4d54f81ff524f1126711647cfea,2026-08-23
C-RATHENAU-2020-CYBER-RESILIENCE-NEW-TECHNOLOGY,C-RATHENAU-2020-CYBER-RESILIENCE-NEW-TECHNOLOGY,2020-07-20,Cyber resilience with new technology,Report,Digitalisation,语境,否,https://www.rathenau.nl/en/digitalisering/cyber-resilience-new-technology,https://www.rathenau.nl/sites/default/files/2020-07/REPORT%20Cyber%20resilience%20with%20new%20technology%20-%20Rathenau%20Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,662b490922a778339fb9538aeae7ea0da6800560d8499c3058e0fa8c1a880903,2026-08-23
C-RATHENAU-2020-MORE-GRIP-DIGITISATION,C-RATHENAU-2020-MORE-GRIP-DIGITISATION,2020-10-05,More grip on digitisation,Report,Knowledge and innovation for transitions,核心,否,https://www.rathenau.nl/en/kennis-voor-transities/more-grip-digitisation,https://www.rathenau.nl/sites/default/files/2020-09/More%20grip%20on%20digitisation%20Appendix%201_0.pdf；https://www.rathenau.nl/sites/default/files/2020-09/Report%20More%20grip%20on%20digitisation%20%281%29.pdf；https://www.rathenau.nl/sites/default/files/2020-10/More%20grip%20on%20digitisation%20Appendix%202.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,2fbabee9c8d054aebd9aea539f0eb983c474ce7a0efe492bf7b6163007778b4d,2026-08-23
C-RATHENAU-2020-RATHENAU-MANIFESTO-SET-10-DESIGN-REQUIREMENTS-TOMORROWS-DIGITAL-SOCIETY-,C-RATHENAU-2020-RATHENAU-MANIFESTO-SET-10-DESIGN-REQUIREMENTS-TOMORROWS-DIGITAL-SOCIETY-,2020-10-22,Rathenau Manifesto: Set 10 design requirements for tomorrow's digital society now,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisering/rathenau-manifesto-set-10-design-requirements-tomorrows-digital-society-now-0,https://www.rathenau.nl/sites/default/files/2022-04/Manifesto_corrections_20-22.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,b755d1c46aa48fd7cd66fc0716e3446bef8ea438456e5c65204f163219ec7e4e,2026-08-23
C-RATHENAU-2020-VALUED-WORK,C-RATHENAU-2020-VALUED-WORK,2020-11-05,Valued at work,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisering/valued-work,https://www.rathenau.nl/sites/default/files/2020-09/Valued%20at%20work.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,0d23089f2d5d69c05cd3dcf31422f551fb4295be0c4acdfb012f911e855e8f2d,2026-08-23
