主题标签,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,本地原始资产,本地文本,官方落地页
创新体系与产业政策,C-BEL-D10E23125D,2019-06-19,W2,研究报告与论文,The Triangle in the Long Game,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-D10E23125D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-D10E23125D.txt,https://www.belfercenter.org/publication/triangle-long-game
人工智能、芯片与算力,C-BEL-AB8F5338AC,2019-12-18,W2,研究报告与论文,The Case for Transatlantic Cooperation in the Indo-Pacific,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-AB8F5338AC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-AB8F5338AC.txt,https://www.belfercenter.org/publication/case-transatlantic-cooperation-indo-pacific
网络安全与数字治理,C-BEL-AB8F5338AC,2019-12-18,W2,研究报告与论文,The Case for Transatlantic Cooperation in the Indo-Pacific,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-AB8F5338AC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-AB8F5338AC.txt,https://www.belfercenter.org/publication/case-transatlantic-cooperation-indo-pacific
技术供应链与出口管制,C-BEL-AB8F5338AC,2019-12-18,W2,研究报告与论文,The Case for Transatlantic Cooperation in the Indo-Pacific,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-AB8F5338AC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-AB8F5338AC.txt,https://www.belfercenter.org/publication/case-transatlantic-cooperation-indo-pacific
人工智能、芯片与算力,C-BEL-0B480CE661,2020-07-28,W2,研究报告与论文,Is China's Hydrogen Economy Coming?,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-0B480CE661.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-0B480CE661.txt,https://www.belfercenter.org/publication/chinas-hydrogen-economy-coming
网络安全与数字治理,C-BEL-0B480CE661,2020-07-28,W2,研究报告与论文,Is China's Hydrogen Economy Coming?,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-0B480CE661.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-0B480CE661.txt,https://www.belfercenter.org/publication/chinas-hydrogen-economy-coming
创新体系与产业政策,C-BEL-0B480CE661,2020-07-28,W2,研究报告与论文,Is China's Hydrogen Economy Coming?,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-0B480CE661.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-0B480CE661.txt,https://www.belfercenter.org/publication/chinas-hydrogen-economy-coming
生物、量子及其他前沿技术,C-BEL-0B480CE661,2020-07-28,W2,研究报告与论文,Is China's Hydrogen Economy Coming?,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-0B480CE661.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-0B480CE661.txt,https://www.belfercenter.org/publication/chinas-hydrogen-economy-coming
人工智能、芯片与算力,C-BEL-ECAC87CF00,2021-09-13,W2,研究报告与论文,A Next Generation National Information Operations Strategy and Architecture,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,https://www.belfercenter.org/publication/next-generation-national-information-operations-strategy-and-architecture
网络安全与数字治理,C-BEL-ECAC87CF00,2021-09-13,W2,研究报告与论文,A Next Generation National Information Operations Strategy and Architecture,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,https://www.belfercenter.org/publication/next-generation-national-information-operations-strategy-and-architecture
技术供应链与出口管制,C-BEL-ECAC87CF00,2021-09-13,W2,研究报告与论文,A Next Generation National Information Operations Strategy and Architecture,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,https://www.belfercenter.org/publication/next-generation-national-information-operations-strategy-and-architecture
创新体系与产业政策,C-BEL-ECAC87CF00,2021-09-13,W2,研究报告与论文,A Next Generation National Information Operations Strategy and Architecture,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,https://www.belfercenter.org/publication/next-generation-national-information-operations-strategy-and-architecture
国防、航天与无人系统,C-BEL-ECAC87CF00,2021-09-13,W2,研究报告与论文,A Next Generation National Information Operations Strategy and Architecture,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-ECAC87CF00.txt,https://www.belfercenter.org/publication/next-generation-national-information-operations-strategy-and-architecture
人工智能、芯片与算力,C-BEL-2B6EA4E672,2021-10-29,W2,研究报告与论文,Mission Hydrogen: Accelerating the Transition to a Low Carbon Economy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-2B6EA4E672.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-2B6EA4E672.txt,https://www.belfercenter.org/publication/mission-hydrogen-accelerating-transition-low-carbon-economy
网络安全与数字治理,C-BEL-2B6EA4E672,2021-10-29,W2,研究报告与论文,Mission Hydrogen: Accelerating the Transition to a Low Carbon Economy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-2B6EA4E672.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-2B6EA4E672.txt,https://www.belfercenter.org/publication/mission-hydrogen-accelerating-transition-low-carbon-economy
创新体系与产业政策,C-BEL-2B6EA4E672,2021-10-29,W2,研究报告与论文,Mission Hydrogen: Accelerating the Transition to a Low Carbon Economy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-2B6EA4E672.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-2B6EA4E672.txt,https://www.belfercenter.org/publication/mission-hydrogen-accelerating-transition-low-carbon-economy
生物、量子及其他前沿技术,C-BEL-2B6EA4E672,2021-10-29,W2,研究报告与论文,Mission Hydrogen: Accelerating the Transition to a Low Carbon Economy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-2B6EA4E672.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-2B6EA4E672.txt,https://www.belfercenter.org/publication/mission-hydrogen-accelerating-transition-low-carbon-economy
人工智能、芯片与算力,C-BEL-B78469D299,2022-01-14,W3,政策简报,China’s Rise and U.S. Defense Implications,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-B78469D299.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-B78469D299.txt,https://www.belfercenter.org/publication/chinas-rise-and-us-defense-implications
网络安全与数字治理,C-BEL-B78469D299,2022-01-14,W3,政策简报,China’s Rise and U.S. Defense Implications,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-B78469D299.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-B78469D299.txt,https://www.belfercenter.org/publication/chinas-rise-and-us-defense-implications
创新体系与产业政策,C-BEL-B78469D299,2022-01-14,W3,政策简报,China’s Rise and U.S. Defense Implications,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-B78469D299.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-B78469D299.txt,https://www.belfercenter.org/publication/chinas-rise-and-us-defense-implications
国防、航天与无人系统,C-BEL-B78469D299,2022-01-14,W3,政策简报,China’s Rise and U.S. Defense Implications,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-B78469D299.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-B78469D299.txt,https://www.belfercenter.org/publication/chinas-rise-and-us-defense-implications
人工智能、芯片与算力,C-BEL-AE4CDA117C,2022-03-03,W3,研究报告与论文,The U.S.-China Tech Rivalry: Don't Decouple - Diversify,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AE4CDA117C.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AE4CDA117C.txt,https://www.belfercenter.org/publication/us-china-tech-rivalry-dont-decouple-diversify
网络安全与数字治理,C-BEL-AE4CDA117C,2022-03-03,W3,研究报告与论文,The U.S.-China Tech Rivalry: Don't Decouple - Diversify,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AE4CDA117C.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AE4CDA117C.txt,https://www.belfercenter.org/publication/us-china-tech-rivalry-dont-decouple-diversify
技术供应链与出口管制,C-BEL-AE4CDA117C,2022-03-03,W3,研究报告与论文,The U.S.-China Tech Rivalry: Don't Decouple - Diversify,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AE4CDA117C.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AE4CDA117C.txt,https://www.belfercenter.org/publication/us-china-tech-rivalry-dont-decouple-diversify
人工智能、芯片与算力,C-BEL-38F891EC2F,2022-03-17,W3,政策证词,Testimony before the U.S.-China Economic and Security Review Commission,作者/项目政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-38F891EC2F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-38F891EC2F.txt,https://www.belfercenter.org/publication/testimony-us-china-economic-and-security-review-commission-0
网络安全与数字治理,C-BEL-38F891EC2F,2022-03-17,W3,政策证词,Testimony before the U.S.-China Economic and Security Review Commission,作者/项目政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-38F891EC2F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-38F891EC2F.txt,https://www.belfercenter.org/publication/testimony-us-china-economic-and-security-review-commission-0
创新体系与产业政策,C-BEL-38F891EC2F,2022-03-17,W3,政策证词,Testimony before the U.S.-China Economic and Security Review Commission,作者/项目政策证词,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-38F891EC2F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-38F891EC2F.txt,https://www.belfercenter.org/publication/testimony-us-china-economic-and-security-review-commission-0
人工智能、芯片与算力,C-BEL-2C19B76C8E,2023-11-08,W3,政策简报,Action on AI: Unpacking the Executive Order’s Security Implications and the Road Ahead,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-2C19B76C8E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-2C19B76C8E.txt,https://www.belfercenter.org/publication/action-ai-unpacking-executive-orders-security-implications-and-road-ahead
网络安全与数字治理,C-BEL-2C19B76C8E,2023-11-08,W3,政策简报,Action on AI: Unpacking the Executive Order’s Security Implications and the Road Ahead,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-2C19B76C8E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-2C19B76C8E.txt,https://www.belfercenter.org/publication/action-ai-unpacking-executive-orders-security-implications-and-road-ahead
