报告ID,机构ID,发布日期,报告名称,官方落地页,最终落地页,直接下载地址,本地资产,资产类型,字节数,SHA256,本地状态,错误或限制,获取日期
C-US-OSTP-2018-ADVANCED-MANUFACTURING-STRATEGIC-PLAN-2018,us-ostp,2018-10-05,Strategy for American Leadership in Advanced Manufacturing,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/10/Advanced-Manufacturing-Strategic-Plan-2018.pdf,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/10/Advanced-Manufacturing-Strategic-Plan-2018.pdf,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/10/Advanced-Manufacturing-Strategic-Plan-2018.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-US-OSTP-2018-ADVANCED-MANUFACTURING-STRATEGIC-PLAN-2018.pdf,PDF,1028075,729f1ae3c31bba9d1e2324df7fbf510ae3740ac6c4680ec9ec382f0e39d08094,官方PDF已获取,,2026-08-22
C-OECD-DOI-2AE8C0DC-EN,oecd-sti,2018-10-16,Effective operation of competitive research funding systems,https://www.oecd.org/en/publications/effective-operation-of-competitive-research-funding-systems_2ae8c0dc-en.html,https://www.oecd.org/en/publications/effective-operation-of-competitive-research-funding-systems_2ae8c0dc-en.html,https://www.oecd.org/content/dam/oecd/en/publications/reports/2018/10/effective-operation-of-competitive-research-funding-systems_0cb94718/2ae8c0dc-en.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-OECD-DOI-2AE8C0DC-EN.pdf,PDF,2340801,e214bf7f375311d67cd268533c1fd3647376d8c12b910c7f54fd6386fb6d3dc8,官方PDF已获取,,2026-08-22
C-KISTEP-RES0220180246,kistep,2018-12-11,2017년도 예비타당성조사 보고서-중소기업글로벌혁신기술개발사업,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180246&rpt_tp=831-003,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180246&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180246&seq=res_0026P@2,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-KISTEP-RES0220180246.pdf,PDF,5723216,a40cee0b0a83b8fccd26475a93d34fb366323443eeb515d77f4d0d7c38b0c834,官方PDF已获取,,2026-08-22
C-KISTEP-PRG0720180121,kistep,2018-12-13,바이오의료 분야 R&D 투자방향 및 혁신방안 연구,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180121&rpt_tp=831-007,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180121&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720180121&seq=prg_0071P@2,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-KISTEP-PRG0720180121.pdf,PDF,4262778,b92188ffb45023bb99b58f03e2437e4782cf5475541a7508b90041eee6077561,官方PDF已获取,,2026-08-22
C-KISTEP-PRG0720190004,kistep,2018-12-31,대학의 연구개발 관리 현황 분석 및 개선방안 연구,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720190004&rpt_tp=831-007,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720190004&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720190004&seq=prg_0071P@3,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-KISTEP-PRG0720190004.pdf,PDF,2446996,ade6c33ae33449dc01b9392f9d38764cda0f70a5b1784edf96b665f2d742bbfb,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-61,fraunhofer-isi,2019-01-01,Regional technological systems in transition - Dynamics of relatedness and techno-economic matches in China,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2019/discussionpaper_61_2019.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2019/discussionpaper_61_2019.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2019/discussionpaper_61_2019.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-61.pdf,PDF,317725,4438fe37eaa44d5a728b8ab4f642092de2c17c8fa486b78f811a6642af97f080,官方PDF已获取,,2026-08-22
C-STANFORD-HAI-AI-INDEX-2019,stanford-hai,2019-01-01,The 2019 AI Index Report,https://hai.stanford.edu/ai-index/2019-ai-index-report,https://hai.stanford.edu/ai-index/2019-ai-index-report,https://hai.stanford.edu/assets/files/ai_index_2019_report.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STANFORD-HAI-AI-INDEX-2019.pdf,PDF,15725294,d7a6f5fd575415a2aaf9402f68145d2839424809de789d28a416401aef681f99,官方PDF已获取,,2026-08-22
C-US-OSTP-2019-AI-RESEARCH-AND-DEVELOPMENT-PROGRESS-REPORT-2016-2019,us-ostp,2019-11-20,2016-2019 Progress Report: Advancing Artificial Intelligence R&D,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/11/AI-Research-and-Development-Progress-Report-2016-2019.pdf,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/11/AI-Research-and-Development-Progress-Report-2016-2019.pdf,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/11/AI-Research-and-Development-Progress-Report-2016-2019.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-US-OSTP-2019-AI-RESEARCH-AND-DEVELOPMENT-PROGRESS-REPORT-2016-2019.pdf,PDF,857961,0f3eb7a6bed0845e296381c6527c70efded8b598106a08b520835463f4b3c6c9,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-62,fraunhofer-isi,2020-01-01,The development of China's R&I system in the past 10 years,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_62_2020.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_62_2020.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_62_2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-62.pdf,PDF,218619,8825d32d982995640de3a6360f09fb07667063c0cf49c153ab4011b883ac4544,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-63,fraunhofer-isi,2020-01-01,Current R&I policy: The future development of China´s R&I system,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_63_2020.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_63_2020.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_63_2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-63.pdf,PDF,505365,ca28238b2a23c0d13f81ad78143f428fc5263c359f732d168ad846669f27c3ae,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-64,fraunhofer-isi,2020-01-01,Developing a Typology for Mission-Oriented Innovation Policies,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_64_2020.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_64_2020.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_64_2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-64.pdf,PDF,674162,9846ac6c0ca1b8180793fa95a377fc8b78b18592fb5dc86ab39202b8de1e6a73,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-66,fraunhofer-isi,2020-01-01,Understanding Conceptual Impact of Scientific Knowledge on Policy: the Role of Policy-making Conditions,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_66_2020.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_66_2020.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_66_2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-66.pdf,PDF,404527,7af0d9a7201cd129e3d2e2bd2980bcb9a2b1c1785ac420dc9cc7b7e9320f174e,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-67,fraunhofer-isi,2020-01-01,Transformation des Innovationssystems: Neue Anforderungen an die Innovationspolitik,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_67_2020.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_67_2020.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_67_2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-67.pdf,PDF,303140,c3a2b7963eb802200f4e0cf3974bf22f0d3c204bf88620a6a255e1e11a106a8b,官方PDF已获取,,2026-08-22
C-US-OSTP-2020-A-STRATEGIC-VISION-FOR-AMERICAS-QUANTUM-NETWORKS-FEB-2020,us-ostp,2020-02-07,A Strategic Vision for America’s Quantum Networks,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/A-Strategic-Vision-for-Americas-Quantum-Networks-Feb-2020.pdf,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/A-Strategic-Vision-for-Americas-Quantum-Networks-Feb-2020.pdf,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/A-Strategic-Vision-for-Americas-Quantum-Networks-Feb-2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-US-OSTP-2020-A-STRATEGIC-VISION-FOR-AMERICAS-QUANTUM-NETWORKS-FEB-2020.pdf,PDF,252070,5436181e04abb0fe4cbff83eeb678e3a39581e25b5f54314675c4119ad766998,官方PDF已获取,,2026-08-22
C-KISTEP-RES0220200140,kistep,2020-03-24,2019년 기초연구진흥협의회 운영 지원,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200140&rpt_tp=831-002,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200140&rpt_tp=831-002,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220200140&seq=res_0026P@2,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-KISTEP-RES0220200140.pdf,PDF,56839488,6ffbe94cbdfbdb43a3e0be3c60ed216c0c3df48224223e1ca7db808c78e949b9,官方PDF已获取,,2026-08-22
C-OECD-DOI-7CC876F7-EN,oecd-sti,2020-08-03,Optimising the operation and use of national research infrastructures,https://www.oecd.org/en/publications/optimising-the-operation-and-use-of-national-research-infrastructures_7cc876f7-en.html,https://www.oecd.org/en/publications/optimising-the-operation-and-use-of-national-research-infrastructures_7cc876f7-en.html,https://www.oecd.org/content/dam/oecd/en/publications/reports/2020/08/optimising-the-operation-and-use-of-national-research-infrastructures_fcf87118/7cc876f7-en.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-OECD-DOI-7CC876F7-EN.pdf,PDF,3851325,e6139e0e55abe57ab8ba82d44f4c54472b76dc697123d522d6fcced65061a643,官方PDF已获取,,2026-08-22
C-US-OSTP-2020-ARTIFICIAL-INTELLIGENCE-QUANTUM-INFORMATION-SCIENCE-R-D-SUMMARY-AUGUST-2020,us-ostp,2020-08-14,Artificial Intelligence and Quantum Information Science Research and Development Summary: Fiscal Years 2020 – 2021,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/Artificial-Intelligence-Quantum-Information-Science-R-D-Summary-August-2020.pdf,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/Artificial-Intelligence-Quantum-Information-Science-R-D-Summary-August-2020.pdf,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/Artificial-Intelligence-Quantum-Information-Science-R-D-Summary-August-2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-US-OSTP-2020-ARTIFICIAL-INTELLIGENCE-QUANTUM-INFORMATION-SCIENCE-R-D-SUMMARY-AUGUST-2020.pdf,PDF,277591,698e336178e417db267d0ab9c572ac0a1ee50693883a00c995ff76cfbea2decb,官方PDF已获取,,2026-08-22
C-STANFORD-HAI-POLICY-BRIEF-AIS-PROMISE-AND-PERIL-US-GOVERNMENT,stanford-hai,2020-09-01,AI's Promise and Peril for the U.S. Government,https://hai.stanford.edu/policy/policy-brief-ais-promise-and-peril-us-government,https://hai.stanford.edu/policy/policy-brief-ais-promise-and-peril-us-government,https://hai.stanford.edu/assets/files/2020-09/HAI_PromisePeril_Sep20.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STANFORD-HAI-POLICY-BRIEF-AIS-PROMISE-AND-PERIL-US-GOVERNMENT.pdf,PDF,347073,6ac870598ed997b791edd3f14a2ec51e11cd3b7d97023d804082a6757142d89c,官方PDF已获取,,2026-08-22
S-CSIS-2020-01,csis,2020-09-01,"From Industrial Policy to Innovation Strategy: Lessons from Japan, Europe, and the United States",https://www.csis.org/analysis/industrial-policy-innovation-strategy-lessons-japan-europe-and-united-states,https://www.csis.org/analysis/industrial-policy-innovation-strategy-lessons-japan-europe-and-united-states,https://csis-website-prod.s3.amazonaws.com/s3fs-public/publication/200901_Gerstel_InnovationStrategy_FullReport_FINAL_0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\S-CSIS-2020-01.pdf,PDF,3157206,c11e352653885fdb6fd19d98fa0d4cd8c30ce6bbfc4cb42bebcd5f9ae43714a6,官方PDF与既有资产重复，已关联,,2026-08-22
C-OECD-DOI-65234003-EN,oecd-sti,2020-09-03,The effects of R&D tax incentives and their role in the innovation policy mix,https://www.oecd-ilibrary.org/science-and-technology/the-effects-of-r-d-tax-incentives-and-their-role-in-the-innovation-policy-mix_65234003-en,https://www.oecd-ilibrary.org/science-and-technology/the-effects-of-r-d-tax-incentives-and-their-role-in-the-innovation-policy-mix_65234003-en,https://www.oecd.org/content/dam/oecd/en/publications/reports/2020/09/the-effects-of-r-d-tax-incentives-and-their-role-in-the-innovation-policy-mix_b7f9884d/65234003-en.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-OECD-DOI-65234003-EN.pdf,PDF,6903817,3cd90cfd5c68fc9e316387b9ceeb0b55d763cf3085811af2ab71f3c74e1c20f8,官方PDF已获取,,2026-08-22
C-US-OSTP-2020-TRUMP-ADMINISTRATION-ST-HIGHLIGHTS-2017-2020,us-ostp,2020-10-27,"Advancing America’s Global Leadership in Science and Technology, Trump Administration Highlights: 2017-2020",https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/10/Trump-Administration-ST-Highlights-2017-2020.pdf,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/10/Trump-Administration-ST-Highlights-2017-2020.pdf,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/10/Trump-Administration-ST-Highlights-2017-2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-US-OSTP-2020-TRUMP-ADMINISTRATION-ST-HIGHLIGHTS-2017-2020.pdf,PDF,14703099,b7637f6398da7839d58bc4455b25b570c3497fb62b7361849cd0554bbebf2541,官方PDF已获取,,2026-08-22
C-FRAUNHOFER-ISI-DP-71,fraunhofer-isi,2021-01-01,From mission definition to implementation: Conceptualizing mission-oriented policies as a multi-stage translation process,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2021/discussionpaper_71_2021.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2021/discussionpaper_71_2021.pdf,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2021/discussionpaper_71_2021.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-FRAUNHOFER-ISI-DP-71.pdf,PDF,293047,3c957c885fd2e175ee64844d4577e5e51ad098db8a9d586e3c3da303efcdf57b,官方PDF已获取,,2026-08-22
C-STANFORD-HAI-AI-INDEX-2021,stanford-hai,2021-01-01,The 2021 AI Index Report,https://hai.stanford.edu/ai-index/2021-ai-index-report,https://hai.stanford.edu/ai-index/2021-ai-index-report,https://hai.stanford.edu/assets/files/2021-ai-index-report_master.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STANFORD-HAI-AI-INDEX-2021.pdf,PDF,14236424,9a00d657d883b8dbdb31d497338702722358544abc10ac8804c339c7447b98a5,官方PDF已获取,,2026-08-22
C-KISTEP-RES0220210142,kistep,2021-04-02,2020년 기초연구진흥협의회 운영 지원,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210142&rpt_tp=831-002,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220210142&rpt_tp=831-002,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220210142&seq=res_0026P@3,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-KISTEP-RES0220210142.pdf,PDF,5719561,de0f828fe71c87cccbf7da1dd5791ffb0e989b5bca319c14b16a3deb46bb6383,官方PDF已获取,,2026-08-22
