报告ID,机构ID,发布日期,报告名称,转向节点,战略主题,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-STANFORD-HAI-POLICY-BRIEF-AIS-PROMISE-AND-PERIL-US-GOVERNMENT,stanford-hai,2020-09-01,AI's Promise and Peril for the U.S. Government,N2,T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织;T5_产业创新转化与区域生态,否,https://hai.stanford.edu/policy/policy-brief-ais-promise-and-peril-us-government,高,公共部门AI采用与内部创新能力,第二批精选全文,本地资产已保存,补足政府机构采用AI时的技术能力、内部研发和组织实施机制,2026-08-22
C-KISTEP-PRG0720220058,kistep,2022-10-31,중소기업의 디지털 전환 지원정책 재설계를 위한 기업 R&D 활동 빅데이터 실증분석 연구,N3,T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220058&rpt_tp=831-007,中或低,目录层关注方向,保留轻量目录,不下载,与已选基础研究、生物医疗或量子项目机制重叠，保留韩文正式目录,2026-08-22
C-KISTEP-RES0220220146,kistep,2022-10-19,2021년도 예비타당성조사 보고서 바이오파운드리 구축 및 활용기술개발사업,N3,T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220146&rpt_tp=831-003,中或低,目录层关注方向,保留轻量目录,不下载,与已选基础研究、生物医疗或量子项目机制重叠，保留韩文正式目录,2026-08-22
C-KISTEP-RES0220220145,kistep,2022-10-19,2022년도 사업계획 적정성 재검토 보고서 바이오 연구 소재 활용기반 조성 사업,N3,T2_技术创新与关键技术;T4_人才大学与科研组织,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220145&rpt_tp=831-003,中或低,目录层关注方向,保留轻量目录,不下载,与已选基础研究、生物医疗或量子项目机制重叠，保留韩文正式目录,2026-08-22
C-OECD-DOI-2DB44E8B-EN,oecd-sti,2023-11-24,Income-based tax relief for R&D and innovation,N4,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.oecd.org/en/publications/income-based-tax-relief-for-r-d-and-innovation_2db44e8b-en.html,中或低,目录层关注方向,保留轻量目录,不下载,税收激励或同类数字政策工具已有较充分本地证据，保留目录待专题触发,2026-08-22
C-OECD-DOI-4889F5F2-EN,oecd-sti,2023-10-16,Measuring governments’ R&D funding response to COVID-19,N4,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.oecd-ilibrary.org/science-and-technology/measuring-governments-r-d-funding-response-to-covid-19_4889f5f2-en,中或低,目录层关注方向,保留轻量目录,不下载,税收激励或同类数字政策工具已有较充分本地证据，保留目录待专题触发,2026-08-22
C-OECD-DOI-1937AC6B-EN,oecd-sti,2023-10-09,The Impact of R&D tax incentives,N4,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.oecd-ilibrary.org/science-and-technology/the-impact-of-r-d-tax-incentives_1937ac6b-en,中或低,目录层关注方向,保留轻量目录,不下载,税收激励或同类数字政策工具已有较充分本地证据，保留目录待专题触发,2026-08-22
C-OECD-DOI-154981D7-EN,oecd-sti,2022-12-19,Identifying and characterising AI adopters,N3,T2_技术创新与关键技术,否,https://www.oecd-ilibrary.org/science-and-technology/identifying-and-characterising-ai-adopters_154981d7-en,高,企业AI采用者特征,第二批精选全文,本地资产已保存,提供技术采用、人才、企业生产率和区域集聚的微观数据证据,2026-08-22
C-OECD-DOI-F94DF8EC-EN,oecd-sti,2022-11-15,Harnessing the power of AI and emerging technologies,N3,T2_技术创新与关键技术,否,https://www.oecd.org/en/publications/harnessing-the-power-of-ai-and-emerging-technologies_f94df8ec-en.html,中或低,目录层关注方向,保留轻量目录,不下载,税收激励或同类数字政策工具已有较充分本地证据，保留目录待专题触发,2026-08-22
C-OECD-DOI-F0A7BAAF-EN,oecd-sti,2022-11-15,Digital enablers of the global economy,N3,T2_技术创新与关键技术;T6_国际合作开放科学与比较,否,https://www.oecd-ilibrary.org/science-and-technology/digital-enablers-of-the-global-economy_f0a7baaf-en,中或低,目录层关注方向,保留轻量目录,不下载,税收激励或同类数字政策工具已有较充分本地证据，保留目录待专题触发,2026-08-22
C-OECD-DOI-EE847E5F-EN,oecd-sti,2026-03-23,Building business readiness for quantum computing,N5,T2_技术创新与关键技术;T5_产业创新转化与区域生态,否,https://www.oecd.org/en/publications/building-business-readiness-for-quantum-computing_ee847e5f-en.html,中或低,目录层关注方向,保留轻量目录,不下载,税收激励或同类数字政策工具已有较充分本地证据，保留目录待专题触发,2026-08-22
C-OECD-DOI-EBC2DEBE-EN,oecd-sti,2026-01-22,Digital technology diffusion in the age of AI,N5,T2_技术创新与关键技术,否,https://www.oecd.org/en/publications/digital-technology-diffusion-in-the-age-of-ai_ebc2debe-en.html,高,AI时代数字技术扩散,第二批精选全文,本地资产已保存,形成2017—2023年跨国企业技术扩散、互补资产与生产率比较,2026-08-22
C-KISTEP-RES0220200166,kistep,2020-05-29,분야별 이질성을 고려한 기초과학분야 정부R&D 투자의 생산성 분석 연구,N2,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200166&rpt_tp=831-001,中或低,目录层关注方向,保留轻量目录,不下载,官方PDF为112160241字节，超过当前单文件版本化阈值；保留目录、入口和体量核验记录,2026-08-22
C-KISTEP-RES0220200140,kistep,2020-03-24,2019년 기초연구진흥협의회 운영 지원,N2,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200140&rpt_tp=831-002,中或低,目录层关注方向,保留轻量目录,不下载,与已选基础研究、生物医疗或量子项目机制重叠，保留韩文正式目录,2026-08-22
C-KISTEP-RES0220190142,kistep,2019-04-17,2018년 기초연구진흥협의회 운영 지원,N2,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190142&rpt_tp=831-002,中或低,目录层关注方向,保留轻量目录,不下载,与已选基础研究、生物医疗或量子项目机制重叠，保留韩文正式目录,2026-08-22
C-KISTEP-PRG0720180121,kistep,2018-12-13,바이오의료 분야 R&D 투자방향 및 혁신방안 연구,N1,T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180121&rpt_tp=831-007,高,生物医疗R&D投资方向,第二批精选全文,本地资产已保存,补足早期生物医疗研发投入、创新政策和技术路线选择,2026-08-22
C-KISTEP-RES0220180215,kistep,2018-05-31,양자정보통신 중장기기술개발사업 예비타당성조사 보고서,N1,T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180215&rpt_tp=831-003,高,量子信息长期技术开发,第二批精选全文,本地资产已保存,补足量子技术早期项目论证、研发组织和长期投资机制,2026-08-22
C-US-OSTP-2020-TRUMP-ADMINISTRATION-ST-HIGHLIGHTS-2017-2020,us-ostp,2020-10-27,"Advancing America’s Global Leadership in Science and Technology, Trump Administration Highlights: 2017-2020",N2,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T6_国际合作开放科学与比较,否,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/10/Trump-Administration-ST-Highlights-2017-2020.pdf,中或低,目录层关注方向,保留轻量目录,不下载,峰会摘要、愿景或综合政绩材料与已保存正式战略和研发计划重复,2026-08-22
C-US-OSTP-2020-A-STRATEGIC-VISION-FOR-AMERICAS-QUANTUM-NETWORKS-FEB-2020,us-ostp,2020-02-07,A Strategic Vision for America’s Quantum Networks,N2,T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/A-Strategic-Vision-for-Americas-Quantum-Networks-Feb-2020.pdf,中或低,目录层关注方向,保留轻量目录,不下载,峰会摘要、愿景或综合政绩材料与已保存正式战略和研发计划重复,2026-08-22
C-US-OSTP-2019-AI-RESEARCH-AND-DEVELOPMENT-PROGRESS-REPORT-2016-2019,us-ostp,2019-11-20,2016-2019 Progress Report: Advancing Artificial Intelligence R&D,N2,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/11/AI-Research-and-Development-Progress-Report-2016-2019.pdf,中或低,目录层关注方向,保留轻量目录,不下载,峰会摘要、愿景或综合政绩材料与已保存正式战略和研发计划重复,2026-08-22
C-FRAUNHOFER-ISI-DP-86,fraunhofer-isi,2024-01-01,Redefining Criticality in a Changing World Combining Domestic and Global Perspectives on Enabling Technologies,N4,T6_国际合作开放科学与比较,否,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_86_2024.pdf,中或低,目录层关注方向,保留轻量目录,不下载,与前两批已选材料的跨期或机制增量不足，继续保留目录,2026-08-22
C-FRAUNHOFER-ISI-DP-84,fraunhofer-isi,2024-01-01,Does New Public Management repel Talent? Findings from a Choice Experiment among German Researchers,N4,T4_人才大学与科研组织,否,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_84_2024.pdf,高,科研管理与人才吸引,第二批精选全文,本地资产已保存,检验新公共管理工具对科研人员组织选择和人才配置的影响,2026-08-22
C-US-OSTP-2018-SUMMARY-OF-THE-2018-WHITE-HOUSE-SUMMIT-ON-ADVANCING-AMERICAN-LEADERSHIP-IN-QUANTUM-INFORMATION-SCIENCE-UPDATED,us-ostp,2018-09-28,Summary of the 2018 White House Summit on Advancing American Leadership in Quantum Information Science,N1,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/Summary-of-the-2018-White-House-Summit-on-Advancing-American-Leadership-in-Quantum-Information-Science-Updated.pdf,中或低,目录层关注方向,保留轻量目录,不下载,峰会摘要、愿景或综合政绩材料与已保存正式战略和研发计划重复,2026-08-22
C-US-OSTP-2018-NATIONAL-STRATEGIC-OVERVIEW-FOR-QUANTUM-INFORMATION-SCIENCE,us-ostp,2018-09-24,National Strategic Overview for Quantum Information Science,N1,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/09/National-Strategic-Overview-for-Quantum-Information-Science.pdf,中或低,目录层关注方向,保留轻量目录,不下载,峰会摘要、愿景或综合政绩材料与已保存正式战略和研发计划重复,2026-08-22
C-US-OSTP-2016-QUANTUM-INFO-SCI-REPORT-2016-07-22-FINAL,us-ostp,2016-07-22,Advancing Quantum Information Science: National Challenges and Opportunities,N1,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T4_人才大学与科研组织,否,https://obamawhitehouse.archives.gov/sites/default/files/quantum_info_sci_report_2016_07_22_final.pdf,高,量子信息科学早期国家战略,第二批精选全文,本地资产已保存,形成2016年国家挑战、科研基础与技术机会基线，可与2020年研发计划对照,2026-08-22
C-FRAUNHOFER-ISI-DP-58,fraunhofer-isi,2018-01-01,Effects of Automatisation and Digitalisation on Manufacturing Companies' Production Efficiency and Innovation Performance,N1,T5_产业创新转化与区域生态,否,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_58_2018.pdf,高,制造业数字化与创新绩效,第二批精选全文,本地资产已保存,补足自动化、数字化、生产效率和企业创新绩效之间的经验关系,2026-08-22
