报告ID,发布日期,观察窗,材料类型,原始类型,报告名称,作者,资料角色,项目分类,中国关联层级,科技关联层级,主题标签,筛选依据,官方落地页,官方PDF,页面来源,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-NBR-E917ECB57A,2019-10-03,W2,NBR背景材料,Backgrounder,A Concise Guide to Huawei’s Cybersecurity Risks and the Global Responses,Ashley Dutta and Jonathon Marek,作者/项目正式研究,Cybersecurity,直接涉华科技,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/a-concise-guide-to-huaweis-cybersecurity-risks-and-the-global-responses/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E917ECB57A.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E917ECB57A.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-E917ECB57A.md,221784,48f0c9e5e1199a3fa90d6d6ae4a7d592bdc2cd6876b402c2e0ed4b47ff89316a,0,34325,官方网页全文已保存,,2026-08-22
C-NBR-787D6470AE,2019-11-04,W2,NBR研究报告,Report,Partial Disengagement A New U.S. Strategy for Economic Competition with China,Charles W. Boustany and Aaron L. Friedberg,作者/项目正式研究,U.S. China Strategy,直接涉华科技,科技地缘经济基线,技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/partial-disengagement-a-new-u-s-strategy-for-economic-competition-with-china/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-787D6470AE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-787D6470AE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-787D6470AE.md,171749,d482c244855abd64ffa9aeb437c5f3ff9c79043cbf22f9dcb79ac01d53e97b32,0,4438,官方网页全文已保存,,2026-08-22
C-NBR-062DB43D39,2020-01-06,W2,NBR评论,Commentary,China's Ten-Year Struggle against U.S. Financial Power,Rush Doshi,作者评论或论文,Chinese Economy,直接涉华科技,科技地缘经济基线,网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/chinas-ten-year-struggle-against-u-s-financial-power/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-062DB43D39.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-062DB43D39.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-062DB43D39.md,186225,bde13064f9a6ec797f88b564d8caafeba5ac5c4aa7535f2050adbf9940ff7a6f,0,19234,官方网页全文已保存,,2026-08-22
C-NBR-3F366CC44D,2020-01-06,W2,NBR评论,Commentary,Assessing the Dollar's Status as a Reserve Currency in a Multipolar World,Richard Dzina,作者评论或论文,Financial Architecture,含中国比较的印太技术材料,科技地缘经济基线,网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/assessing-the-dollars-status-as-a-reserve-currency-in-a-multipolar-world/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F366CC44D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F366CC44D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-3F366CC44D.md,184015,5c65f584fa58bb8378fe126b555b8a9b732f5aef49d0cebf49b175cf4aaa3253,0,18252,官方网页全文已保存,,2026-08-22
C-NBR-E27FC99DE4,2020-03-16,W2,NBR评论,Commentary,Data Security in a 5G World Why It Matters More than Ever,Robert Spalding,作者评论或论文,Data Security,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权；生物、量子及其他前沿技术,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/data-security-in-a-5g-world-why-it-matters-more-than-ever/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-E27FC99DE4.md,182428,70b0718d36eb98274c701a046209287e9f35daefe2f9ac92a48f662c195dfc2b,0,16293,官方网页全文已保存,,2026-08-22
C-NBR-CC06B8B7E4,2020-04-01,W2,NBR访谈,Interview,What Covid-19 Reveals about the Risks of Global Medical Supply Chains,Benjamin Shobert,作者访谈,Covid-19 and Supply Chains,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/what-covid-19-reveals-about-the-risks-of-global-medical-supply-chains/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CC06B8B7E4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CC06B8B7E4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-CC06B8B7E4.md,177709,ec17fd46b5bd79dfd0b8abfe72c9b7acc8195a4384fa39df011c1a3e6ee69570,0,11148,官方网页全文已保存,,2026-08-22
C-NBR-2D49B967C4,2020-04-10,W2,NBR评论,Commentary,Covid-19’s Challenge to U.S. Leadership,Charles W. Boustany,作者评论或论文,Covid-19 & U.S. Leadership,含中国比较的印太技术材料,科技地缘经济基线,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/covid-19s-challenge-to-u-s-leadership/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2D49B967C4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2D49B967C4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-2D49B967C4.md,177393,cc4a917d1486744dc251024140ece771ec8e81cbdc1768f671100f27ae38fa61,0,11406,官方网页全文已保存,,2026-08-22
C-NBR-BC3DC9DDC8,2020-05-01,W2,NBR评论,Commentary,The Emerging Public Health Challenges of Data Access in an Era of Globalization,Benjamin Shobert,作者评论或论文,Healthcare Data,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；创新体系、标准与知识产权；生物、量子及其他前沿技术,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/the-emerging-public-health-challenges-of-data-access-in-an-era-of-globalization/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BC3DC9DDC8.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BC3DC9DDC8.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-BC3DC9DDC8.md,179194,2dbc894464c6f7c682ecca933fa5eafca26821b181d09c10732e861a28a5c1d5,0,13318,官方网页全文已保存,,2026-08-22
C-NBR-51B65A1460,2020-05-19,W2,NBR研究报告,Report,Networked Benefits: Realizing the Potential of 5G in South Korea,Clara Gillispie,作者/项目正式研究,Innovation,区域技术基线,核心科技直接材料,网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/networked-benefits-realizing-the-potential-of-5g-in-south-korea/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-51B65A1460.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-51B65A1460.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-51B65A1460.md,168899,2424d1d4e2782136e2444d92fe08be0acc1f5cca1f4d314e18151436bc32f9c4,0,3497,官方网页全文已保存,,2026-08-22
C-NBR-5FF8763A08,2020-07-01,W2,NBR评论,Commentary,Balancing Standards: U.S. and Chinese Strategies for Developing Technical Standards in AI,Jeffrey Ding,作者评论或论文,Technical Standardization,直接涉华科技,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/balancing-standards-u-s-and-chinese-strategies-for-developing-technical-standards-in-ai/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5FF8763A08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5FF8763A08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-5FF8763A08.md,188069,459ff65d03be37b8735c8f2d0b9923f70d9b8f05fa4e6ca7de7533d01d8f0c79,0,20635,官方网页全文已保存,,2026-08-22
C-NBR-0644046702,2020-08-28,W2,NBR访谈,Interview,The United States’ Choices amid China’s Rise,Charles W. Boustany,作者访谈,U.S.-China Competition,直接涉华科技,科技地缘经济基线,网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/the-united-states-choices-amid-chinas-rise/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0644046702.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-0644046702.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-0644046702.md,180511,5ccaa704a535ad9edf131c28246768546e813f45bb21876063ca0a9e439f5775,0,14293,官方网页全文已保存,,2026-08-22
C-NBR-C87DEA6823,2020-12-09,W2,NBR评论,Commentary,Challenges for U.S. Trade Policy in 2021 A Brief Look Ahead,Charles W. Boustany,作者评论或论文,U.S. Trade Policy,含中国比较的印太技术材料,科技地缘经济基线,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/challenges-for-u-s-trade-policy-in-2021-a-brief-look-ahead/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C87DEA6823.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C87DEA6823.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-C87DEA6823.md,182075,6a9a348477e1ee74fbb7db743655ad1204a98a5f88088aec13d0fbfe865c542b,0,15531,官方网页全文已保存,,2026-08-22
C-NBR-1914F01417,2020-12-21,W2,NBR评论,Commentary,The Importance of a U.S.-Taiwan Bilateral Trade Agreement,Lotta Danielsson,作者评论或论文,U.S.-Taiwan Relations,含中国比较的印太技术材料,科技地缘经济基线,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/the-importance-of-a-u-s-taiwan-bilateral-trade-agreement/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1914F01417.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1914F01417.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-1914F01417.md,177417,46bd1a780904d99c268b0b76203cfc5ce1d14c318ca093afd497c5371bed588f,0,12085,官方网页全文已保存,,2026-08-22
C-NBR-52E8F50F39,2021-01-06,W2,NBR评论,Commentary,Taiwan’s Trade Policies Strategies and Constraints,Vinod K. Aggarwal,作者评论或论文,Trade Policy,含中国比较的印太技术材料,科技地缘经济基线,人工智能、芯片与算力；技术供应链与出口管制；创新体系、标准与知识产权；生物、量子及其他前沿技术,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/taiwans-trade-policies-strategies-and-constraints/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-52E8F50F39.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-52E8F50F39.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-52E8F50F39.md,180001,b34514c189ca5cf34ce92087a6efb9acc499f16b005782523223d4d9836dd1d3,0,13138,官方网页全文已保存,,2026-08-22
C-NBR-F93B87EA61,2021-01-09,W2,NBR评论,Commentary,Data Governance and Trade The Asia-Pacific Leads the Way,Robert Holleyman,作者评论或论文,Data Governance,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/data-governance-and-trade-the-asia-pacific-leads-the-way/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F93B87EA61.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F93B87EA61.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-F93B87EA61.md,183937,0ed364c495417588aadcb26d653fc4c1b4091406f1497697c0a316d16058ec53,0,17451,官方网页全文已保存,,2026-08-22
C-NBR-A3EF719B5B,2021-03-01,W2,NBR政策简报,NBR政策简报,IP Commission 2021 Review: Updated Recommendations,,作者/项目正式研究,IP Theft,含中国比较的印太技术材料,核心科技直接材料,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR知识产权委员会官方更新附件,https://www.nbr.org/publication/the-ip-commission-report/,https://www.nbr.org/wp-content/uploads/pdfs/publications/ip_commission_2021_recommendations_mar2021.pdf,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-A3EF719B5B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-A3EF719B5B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NBR-A3EF719B5B.md,86204,a442999263601fa6d7172aca010be1e62025e1bb8f2bf23414bb1f0c26f5b12e,4,6191,官方PDF已保存并校验,,2026-08-22
