报告ID,官方记录ID,官方分类代码,韩文报告类型,发布日期,观察窗,韩文题名,作者,语言,资料角色,科技关联层级,主题标签,官方落地页,官方PDF,本地原始资产,本地文本,本地切片,字节数,SHA256,PDF页数,提取文本字符数,文本质量,本地状态,错误,获取日期
C-STEPI-A0203-274,274,A0203,조사연구,2022-12-30,W3,과학기술기반 미래연구사업 ⅩⅣ (5권: 기술과 사회적 문제가 야기하는 미래전망),"윤정섭
										
										외 4명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；能源、气候与绿色转型；科研体系、研发投入与评价；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=274,https://www.stepi.re.kr/common/report/Download.do?reIdx=274&streFileNm=d0373343-1fbc-4587-a17c-e7e3e3ba700b.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-274.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-274.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-274.md,6924781,5095607bffa56177f8b08e515c5a97420743f109bde0ff7259b77984a34b36cb,295,263199,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-275,275,A0203,조사연구,2022-11-30,W3,증거기반 R&D 정책연구를 위한 STI 통합데이터 구축·관리·활용 연구,"이정우
										
										외 8명",韩文,机构正式研究,核心科技直接材料,人工智能、数据与数字技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=275,https://www.stepi.re.kr/common/report/Download.do?reIdx=275&streFileNm=76c6cea7-7ce1-4d55-a302-6a2ccb44a2cf.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-275.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-275.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-275.md,2640467,f8fc8af3af88870c9ed6df37459a2ed63789dd1af74ab5f84db6ab6ea0dbd124,306,371968,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-276,276,A0203,조사연구,2022-11-30,W3,정부 R&D 지원의 임계규모와 역효과 분석: 수혜 기업 성과에 미치는 영향,"황석원
										
										외 3명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；半导体、量子与战略技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=276,https://www.stepi.re.kr/common/report/Download.do?reIdx=276&streFileNm=394fcc6e-fd7c-44a8-a94c-ab2c1c9b1ee5.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-276.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-276.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-276.md,8641225,e138e60e187e278e383ad50514ef820a239a500ab6619765a0645cb78fe56379,224,255601,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-277,277,A0203,조사연구,2022-11-30,W3,정부R&D 수행 이력 분석을 통한 대학 연구자 성장경로 모형 개발 연구,"양현채
										
										외 10명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；半导体、量子与战略技术；科研体系、研发投入与评价；科技人才、大学与知识流动；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=277,https://www.stepi.re.kr/common/report/Download.do?reIdx=277&streFileNm=8e9e689c-bd2b-45db-8570-62cbe66e4583.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-277.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-277.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-277.md,12898811,a1b039ef1d1a3a48b772d0ac637a19386b619eda3b23bab7f3640be3d8185dce,293,295062,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-278,278,A0203,조사연구,2022-11-30,W3,"""문제해결""지향의 연구개발사업에서 나타나는 과학기술-인문사회 협업 실태고찰 및 개선방안 모색","서지영
										
										외 1명",韩文,机构正式研究,科技创新政策与能力基线,能源、气候与绿色转型；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=278,https://www.stepi.re.kr/common/report/Download.do?reIdx=278&streFileNm=730d847a-2bf9-4754-85f9-ecbd4a19313c.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-278.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-278.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-278.md,3631763,5ccea01c196b79203b72974ee310511700c8b91d7dd4b208ca7a3b758289e77d,217,234354,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-279,279,A0203,조사연구,2022-11-30,W3,혁신에 대한 공간 영향분석과 활용방안 연구 - 사회적 인프라로서 창업 지원 공간과 커뮤니티의 효과 -,"정미애
										
										외 3명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科研体系、研发投入与评价；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=279,https://www.stepi.re.kr/common/report/Download.do?reIdx=279&streFileNm=433708d2-c312-47ab-8997-83b7016f2c80.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-279.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-279.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-279.md,2775424,42d0dea1ebcce7de933adddd7348467cd6f09fb2950c2dd0e582471d91f8c81c,154,140475,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-280,280,A0203,조사연구,2022-11-30,W3,글로벌 연구생태계에서의 안보와 자율성 충돌 - 해외 사례 분석-,"선인경
										
										외 3명",韩文,机构正式研究,科技创新政策与能力基线,中国科技与国际比较；半导体、量子与战略技术；科研体系、研发投入与评价；科技人才、大学与知识流动；技术安全、供应链与国际合作；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=280,https://www.stepi.re.kr/common/report/Download.do?reIdx=280&streFileNm=e56c1d86-1956-4b97-9e1e-de1281d92d24.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-280.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-280.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-280.md,3571141,f2fa28d27c2b0300303dfaa1b31718af627f19ccd28c0eaf309fc6071788eec8,250,295183,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-281,281,A0203,조사연구,2022-11-30,W3,청년과학자 초기경력 불안정성 진단과 대응,"조가원
										
										외 4명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=281,https://www.stepi.re.kr/common/report/Download.do?reIdx=281&streFileNm=07fefac6-b66a-4560-abf8-e65e54d1918a.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-281.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-281.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-281.md,4452756,25111ce8fb92dbccffaeb97aab1b1071df49288f257bfa7cf398c234bc17d0e3,120,119700,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-283,283,A0203,조사연구,2022-12-30,W3,혁신창업 및 기업가정신 생태계 모니터링 사업(8차년도)(1권: 2022년 혁신창업생태계 대시보드),"김선우
										
										외 8명",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=283,https://www.stepi.re.kr/common/report/Download.do?reIdx=283&streFileNm=0fa27dc5-a7dd-479d-a9f7-d1ec276987a3.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-283.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-283.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-283.md,3792825,b84f92186c7ef5aabdbc718d65c485a5ee9a13da32825d8fbf0d31d9d4d0428e,206,192659,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-284,284,A0203,조사연구,2022-12-30,W3,혁신창업 및 기업가정신 생태계 모니터링 사업(8차년도)(2권: 혁신창업 활성화 및 창업생태계 발전방안),"김선우
										
										외 16명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；生命科学、生物技术与健康；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=284,https://www.stepi.re.kr/common/report/Download.do?reIdx=284&streFileNm=f6eb2382-6105-4e68-a908-57853f83759e.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-284.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-284.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-284.md,5297249,5218088076de6442254526d847a29657ece72220385c4d7c7e184cc289c53cdd,463,491651,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-285,285,A0203,조사연구,2022-12-30,W3,국가 기술안보 전략 연구: 미국의 기술패권 전략을 중심으로,"송치웅
										
										외 3명",韩文,机构正式研究,核心科技直接材料,半导体、量子与战略技术；能源、气候与绿色转型；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；技术安全、供应链与国际合作；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=285,https://www.stepi.re.kr/common/report/Download.do?reIdx=285&streFileNm=dfc76f1c-597d-4cdb-87bb-009a8f9963be.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-285.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-285.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-285.md,1179653,e133f016c82fa0db13385535b50e7dacc2da50b3bd37b1242d4e925d0d28c6f3,109,126977,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-286,286,A0203,조사연구,2022-12-30,W3,2022년 한국기업혁신조사: 제조업 부문,"이정우
										
										외 7명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；能源、气候与绿色转型；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=286,https://www.stepi.re.kr/common/report/Download.do?reIdx=286&streFileNm=9ab103ae-d4cf-4df4-a055-21fb4e9327f9.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-286.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-286.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-286.md,39974562,808087bbccbed826608eecb3cf126bb090ff56bc1b0a0475f5a28c26fdaa09c8,588,1548022,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-299,299,A0203,조사연구,2023-11-30,W3,코리아 R&D 패러독스에 관한 실증적 접근,"장필성
										
										외 14명",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=299,https://www.stepi.re.kr/common/report/Download.do?reIdx=299&streFileNm=e54e36dd-590a-4549-8c88-495503bf87d3.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-299.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-299.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-299.md,8917646,64c9406095eecb58f541f14d512569f402fdf9fbb63205f1fbb5bc4bc5cb75f5,418,429116,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-300,300,A0203,조사연구,2023-11-30,W3,재정건전성을 고려한 국가연구개발 예산 대응방안 모색,"정기철
										
										외 12명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=300,https://www.stepi.re.kr/common/report/Download.do?reIdx=300&streFileNm=bc976d99-cc23-4c27-997d-bb7c291ce036.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-300.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-300.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-300.md,1706450,fc7d1f73b04aab538c9cf73f7c0a35284e553e930462779bd0572ca1d6edfc10,132,142314,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-301,301,A0203,조사연구,2023-11-30,W3,대학 이공계 연구조직의 현황 및 유형별 역할 모색,"양현채
										
										외 4명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；生命科学、生物技术与健康；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=301,https://www.stepi.re.kr/common/report/Download.do?reIdx=301&streFileNm=2c8ed4a5-2c9a-4ce7-909f-57c6f7b3d688.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-301.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-301.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-301.md,3048677,0497ea1d8704972e63e4242e430beb258b852af65b74243b60afb419890bd593,254,285128,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-302,302,A0203,조사연구,2023-11-30,W3,민간주도 R&D 지원을 위한 석사연구원 양성 방향 연구,"이혜선
										
										외 3명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=302,https://www.stepi.re.kr/common/report/Download.do?reIdx=302&streFileNm=9f6aee10-a0d8-499c-805f-5d44e1ab5c22.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-302.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-302.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-302.md,2188523,0a033b0a7cb7f145a408ee3d23f39ffcad7b5f893f18b045e2eacca08bc97394,182,204918,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-303,303,A0203,조사연구,2023-11-30,W3,R&D 투자가 노동 및 자본 생산성에 미치는 영향,"황석원
										
										외 2명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=303,https://www.stepi.re.kr/common/report/Download.do?reIdx=303&streFileNm=a310e6c7-f2c5-4cc2-aa8c-c622002d2b98.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-303.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-303.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-303.md,23256228,c2142182701d48988e532d98d0fd46b5eea26d9c817c1f4131167ca16a705c06,298,258304,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-304,304,A0203,조사연구,2023-11-30,W3,지역주도 과학기술혁신 기반 국가혁신성장 개념 연구,"한웅규
										
										외 3명",韩文,机构正式研究,科技创新政策与能力基线,半导体、量子与战略技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=304,https://www.stepi.re.kr/common/report/Download.do?reIdx=304&streFileNm=f274c166-41c3-4b00-ba87-64d42744b4bb.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-304.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-304.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-304.md,2686074,2dc8a74d38cbed51b6cf4c66ae604286726734ac069d55b7809b286b4f5d6c11,208,237717,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-305,305,A0203,조사연구,2023-11-30,W3,한국의 과학기술혁신정책 특성과 개발협력 자문 가이드라인 모색,"김왕동
										
										외 4명",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=305,https://www.stepi.re.kr/common/report/Download.do?reIdx=305&streFileNm=9c302e12-8a01-498c-b668-a9295acbdeb4.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-305.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-305.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-305.md,5699665,15da0bb9b5f67af6410371785470892aa2387bcfead911f1776d685374d80f58,155,143129,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-306,306,A0203,조사연구,2023-12-31,W3,2023년 한국기업혁신조사: 서비스업 부문,"장필성
										
										외 7명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=306,https://www.stepi.re.kr/common/report/Download.do?reIdx=306&streFileNm=a8f76e80-a203-48ef-a5fc-a87cb1d52701.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-306.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-306.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-306.md,18348746,f73f47294157b8e57023b7e0c9a1956db5f06a1aceae6ab4c9c34a436a04bb29,530,1138607,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-307,307,A0203,조사연구,2023-12-31,W3,기술혁신 성과지표 분석 및 DB구축사업(18차년도),"진승화
										
										외 8명",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=307,https://www.stepi.re.kr/common/report/Download.do?reIdx=307&streFileNm=1488b8c0-77c6-488c-ab05-7577916dcc00.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-307.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-307.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-307.md,4889819,f74f1167c6c8e4593314c3010a15821174a2dd78000298835f0bdf31cb555aae,413,517043,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-308,308,A0203,조사연구,2023-12-31,W3,과학기술기반 미래연구사업 XV,"윤정섭
										
										외 14명",韩文,机构正式研究,科技创新政策与能力基线,人工智能、数据与数字技术；半导体、量子与战略技术；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；科技前瞻与未来社会,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=308,https://www.stepi.re.kr/common/report/Download.do?reIdx=308&streFileNm=b8d623fd-0486-4cd9-9e87-b3dad7ba1a75.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-308.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-308.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-308.md,6110683,c0c5c2f4557aa6b0205332743f81671d58c0f5584a2f0a461ca6e957f8f7cbb5,372,390291,可检索文本,官方PDF已保存并校验,,2026-08-22
C-STEPI-A0203-311,311,A0203,조사연구,2023-12-31,W3,국가 난제 해결을 위한 과학기술 관점의 경제·사회 시스템 혁신전략 연구(5차년도) (제1권: 총괄),"홍성주
										
										외 12명",韩文,机构正式研究,科技创新政策与能力基线,能源、气候与绿色转型；科研体系、研发投入与评价；科技人才、大学与知识流动；产业创新、创业与区域体系；技术安全、供应链与国际合作,https://www.stepi.re.kr/site/stepiko/report/View.do?reIdx=311,https://www.stepi.re.kr/common/report/Download.do?reIdx=311&streFileNm=722a5f66-32d6-4455-b9e8-071d6b985be9.pdf&cateCont=A0203&purpose=&jobGroup=,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-311.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-311.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-311.md,5298885,85d25bab66717b680d66322859c90f262716d39d973768c83f794247f7cc707d,244,256476,可检索文本,官方PDF已保存并校验,,2026-08-22
