报告ID,机构ID,发布日期,报告名称,报告类型,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-OECD-DOI-BB222C73-EN,oecd-sti,2021-04-09,Report on China’s shipbuilding industry and policies affecting it,"OECD Science, Technology and Industry Policy Papers",https://www.oecd-ilibrary.org/science-and-technology/report-on-china-s-shipbuilding-industry-and-policies-affecting-it_bb222c73-en,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
S-RAND-2022-01,rand,2022-01-01,Bridging the Gap: Assessing U.S. Business Community Support for U.S.-China Competition,研究报告,https://www.rand.org/content/dam/rand/pubs/research_reports/RRA1400/RRA1417-1/RAND_RRA1417-1.pdf,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
S-CEIP-2022-01,carnegie-tech,2022-04-25,U.S.-China Technological Decoupling: A Strategy and Policy Framework,研究报告,https://carnegieendowment.org/research/2022/04/us-china-technological-decoupling-a-strategy-and-policy-framework,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
C-ITIF-2023-WAKE-UP-AMERICA-CHINA-IS-OVERTAKING-THE-UNITED-STATES-IN-INNOVATION-CAPACITY,itif,2023-01-23,"Wake Up, America: China Is Overtaking the United States in Innovation Capacity",ITIF科学技术创新节点/国家创新能力比较,https://itif.org/publications/2023/01/23/wake-up-america-china-is-overtaking-the-united-states-in-innovation-capacity/,高,中国创新能力比较,第七批精选全文,本地资产已保存,提供中国创新能力跨指标比较及追赶判断,2026-08-22
C-CSET-15208,cset,2023-09-20,The PRC’s Domestic Approach,CSET正式报告轻量目录,https://cset.georgetown.edu/publication/the-prcs-domestic-approach/,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
C-CSET-15209,cset,2023-09-20,The PRC’s Efforts Abroad,CSET正式报告轻量目录,https://cset.georgetown.edu/publication/the-prcs-efforts-abroad/,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
S-RAND-2023-01,rand,2023-11-21,The United States and China—Designing a Shared Future: The Potential for Track 2 Initiatives to Design an Agenda for Coexistence,研究报告,https://www.rand.org/content/dam/rand/pubs/research_reports/RRA2800/RRA2850-1/RAND_RRA2850-1.pdf,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
C-ITIF-2024-HOW-INNOVATIVE-IS-CHINA-IN-THE-ROBOTICS-INDUSTRY,itif,2024-03-11,How Innovative Is China in the Robotics Industry?,ITIF中国创新能力系列/行业研究,https://itif.org/publications/2024/03/11/how-innovative-is-china-in-the-robotics-industry/,高,机器人产业创新,第七批精选全文,本地资产已保存,补足机器人技术、企业与产业创新能力证据,2026-08-22
C-ITIF-2024-HOW-INNOVATIVE-IS-CHINA-IN-THE-CHEMICALS-INDUSTRY,itif,2024-04-15,How Innovative Is China in the Chemicals Industry?,ITIF中国创新能力系列/行业研究,https://itif.org/publications/2024/04/15/how-innovative-is-china-in-the-chemicals-industry/,高,化学工业创新,第七批精选全文,本地资产已保存,补足化学工业研发、企业与产业创新证据,2026-08-22
C-CSET-18346,cset,2024-05-06,Gao Huajian and the China Talent Returnee Question,CSET正式报告轻量目录,https://cset.georgetown.edu/publication/gao-huajian-and-the-china-talent-returnee-question/,高,科技人才回流,第七批精选全文,本地资产已保存,以高华健个案观察中国高层次科技人才回流与科研组织机制,2026-08-22
C-CSET-18319,cset,2024-05-09,"China, Biotechnology, and BGI",CSET正式报告轻量目录,https://cset.georgetown.edu/publication/china-biotechnology-and-bgi/,高,中国生物技术企业,第七批精选全文,本地资产已保存,补足BGI及中国生物技术企业、科研网络与技术能力证据,2026-08-22
C-ITIF-2024-HOW-INNOVATIVE-IS-CHINA-IN-NUCLEAR-POWER,itif,2024-06-17,How Innovative Is China in Nuclear Power?,ITIF中国创新能力系列/行业研究,https://itif.org/publications/2024/06/17/how-innovative-is-china-in-nuclear-power/,高,核能技术创新,第七批精选全文,本地资产已保存,补足核电技术能力、产业组织与创新表现,2026-08-22
C-CSET-18782,cset,2024-06-18,China’s Military AI Roadblocks,CSET正式报告轻量目录,https://cset.georgetown.edu/publication/chinas-military-ai-roadblocks/,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
C-ITIF-2024-HOW-INNOVATIVE-IS-CHINA-IN-THE-ELECTRIC-VEHICLE-AND-BATTERY-INDUSTRIES,itif,2024-07-29,How Innovative Is China in the Electric Vehicle and Battery Industries?,ITIF中国创新能力系列/行业研究,https://itif.org/publications/2024/07/29/how-innovative-is-china-in-the-electric-vehicle-and-battery-industries/,高,电动汽车与电池创新,第七批精选全文,本地资产已保存,补足新能源汽车和电池技术路线、企业能力与产业生态,2026-08-22
C-ITIF-2024-HOW-INNOVATIVE-IS-CHINA-IN-BIOTECHNOLOGY,itif,2024-07-30,How Innovative Is China in Biotechnology?,ITIF中国创新能力系列/行业研究,https://itif.org/publications/2024/07/30/how-innovative-is-china-in-biotechnology/,高,生物技术创新,第七批精选全文,本地资产已保存,补足中国生物技术研发、企业与成果转化能力,2026-08-22
C-ITIF-2024-HOW-INNOVATIVE-IS-CHINA-IN-SEMICONDUCTORS,itif,2024-08-19,How Innovative Is China in Semiconductors?,ITIF中国创新能力系列/行业研究,https://itif.org/publications/2024/08/19/how-innovative-is-china-in-semiconductors/,高,半导体产业创新,第七批精选全文,本地资产已保存,补足中国半导体研发、制造能力与创新绩效,2026-08-22
C-ITIF-2024-CHINA-IS-RAPIDLY-BECOMING-A-LEADING-INNOVATOR-IN-ADVANCED-INDUSTRIES,itif,2024-09-16,China Is Rapidly Becoming a Leading Innovator in Advanced Industries,ITIF中国创新能力系列/综合报告,https://itif.org/publications/2024/09/16/china-is-rapidly-becoming-a-leading-innovator-in-advanced-industries/,高,先进产业综合创新,第七批精选全文,本地资产已保存,形成中国先进产业创新能力的跨行业综合判断,2026-08-22
C-ITIF-2024-HOW-INNOVATIVE-IS-CHINA-IN-THE-DISPLAY-INDUSTRY,itif,2024-09-16,How Innovative Is China in the Display Industry?,ITIF中国创新能力系列/行业研究,https://itif.org/publications/2024/09/16/how-innovative-is-china-in-the-display-industry/,高,显示产业创新,第七批精选全文,本地资产已保存,补足显示技术研发、制造与企业创新能力,2026-08-22
C-CSET-19825,cset,2024-10-15,Fueling China’s Innovation: The Chinese Academy of Sciences and Its Role in the PRC’s S&T Ecosystem,CSET正式报告轻量目录,https://cset.georgetown.edu/publication/fueling-chinas-innovation-the-chinese-academy-of-sciences-and-its-role-in-the-prcs-st-ecosystem/,高,中国科学院创新体系,第七批精选全文,本地资产已保存,直接分析中国科学院在国家科技创新体系中的组织、资助与转化作用,2026-08-22
S-RAND-2024-01,rand,2024-10-22,The Effectiveness of U.S. Economic Policies Regarding China Pursued from 2017 to 2024,研究报告,https://www.rand.org/content/dam/rand/pubs/research_reports/RRA3000/RRA3055-1/RAND_RRA3055-1.pdf,中或低,目录层中国议题,保留轻量目录,不下载,宏观竞争、脱钩、安全治理、资源治理或一般经济关系材料保持目录级覆盖,2026-08-22
S-CSIS-2026-01,csis,2026-03-02,The Power of Innovation: The Strategic Value of China’s High-Tech Drive,正式报告,https://www.csis.org/analysis/power-innovation-strategic-value-chinas-high-tech-drive,高,中国高技术创新驱动,第七批精选全文,本地资产已保存,补足中国高技术产业创新的近期综合判断并保持机构归因,2026-08-22
C-ITIF-2026-HAMILTON-INDEX-2026-CHINAS-DOMINANCE-IN-ADVANCED-INDUSTRIES-IS-GROWING,itif,2026-05-06,"The Hamilton Index, 2026: China’s Dominance in Advanced Industries Is Growing",ITIF科学技术创新节点/先进产业创新能力更新,https://itif.org/publications/2026/05/06/hamilton-index-2026-chinas-dominance-in-advanced-industries-is-growing/,高,先进产业全球份额,第七批精选全文,本地资产已保存,以Hamilton Index更新中国先进产业全球生产份额与结构,2026-08-22
