机构ID,机构英文名,机构中文名,国家或地区,配置机构类型,来源组,当前优先级,本地归档数,本地最早年份,本地最晚年份,成立年份,科技政策业务起始年,官网存档最早年份,Wayback最早年份,主要出版语言,研究分层,备注
cset,Center for Security and Emerging Technology,乔治城安全与新兴技术中心,United States,university_research_center,core_technology,P0,55,2023,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"High-priority source for emerging technology, hardware and compute, supply chains, technology talent, strategic competition, AI governance, and China technology analysis."
csis,Center for Strategic and International Studies,战略与国际研究中心,United States,think_tank,core_technology,P0,20,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Technology, China, geopolitics, semiconductor, critical minerals, innovation policy, industrial competitiveness, digital infrastructure, and strategic competition."
csis-rai,CSIS Renewing American Innovation,战略与国际研究中心美国创新复兴项目,United States,think_tank,core_technology,P0,176,2021,2026,1962,2021,2021,待核验,English,议题验证,"Program-bounded science and technology innovation source covering R&D investment, innovation ecosystems, commercialization, talent, semiconductors, quantum, biotechnology, compute infrastructure, and China comparison; general CSIS security analysis remains outside this unit."
ecipe,European Centre for International Political Economy,欧洲国际政治经济中心,European Union,think_tank,,P1,5,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Digital trade, economic security, industrial policy, productivity, technology diffusion, life sciences, and EU technology policy."
eu-commission-strategy,European Commission Research Innovation and Technology Strategy,欧盟委员会研究创新与技术战略,European Union,government,official_strategy,P0,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"EU-level research, innovation, technology, competitiveness, and strategic industrial policy."
eu-jrc,European Commission Joint Research Centre,欧盟委员会联合研究中心,European Union,government_research_institute,core_technology,P1,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"Evidence for EU policy, technology assessment, industrial transitions, digital systems, and scientific foresight."
eu-stoa,European Parliament Panel for the Future of Science and Technology,欧洲议会科学技术未来小组,European Union,parliamentary_research_body,core_technology,P1,243,2016,2026,待核验,待核验,2016,待核验,English,战略主轴,"Technology assessment and scientific foresight for the European Parliament. 近十年轻量目录243项，精选20项科技创新与技术评估跨期全文；安全主导材料维持目录级。"
fas,Federation of American Scientists,美国科学家联合会,United States,think_tank,core_technology,P0,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"Technology, science policy, emerging technology, national security, and public-interest R&D."
fraunhofer-isi,Fraunhofer Institute for Systems and Innovation Research ISI,弗劳恩霍夫系统与创新研究所,Germany,research_institute,core_technology,P1,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"Technology foresight, innovation systems, industrial transformation, energy, mobility, and emerging technologies."
gartner,Gartner,高德纳,United States,commercial_research,,P0,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"Commercial research. Do not archive paid full text; save metadata, public abstract, links, and original analysis only."
germany-bmftr,German Federal Ministry of Research Technology and Space,德国联邦研究技术与航天部,Germany,government,official_strategy,P0,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"German federal research, technology, space, innovation, and high-tech strategies."
govai,Institute for AI Policy and Strategy,AI治理研究所,International,think_tank,,P0,40,2022,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Frontier AI governance and AI risk policy source. Keep as a specialist source, but prevent large governance-only batches from crowding out broader innovation-support retrieval."
hoover-tpa,Hoover Technology Policy Accelerator,胡佛技术政策加速器,United States,university_research_center,,P1,6,2025,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"US technology policy, AI, cyber, intellectual property, innovation economics, science and technology, and national security. Uses focused research-team and topic pages; the global RSS and sitemap are too broad for Technology Policy Accelerator monitoring."
ida-stpi,IDA Science and Technology Policy Institute,IDA科学技术政策研究所,United States,federally_funded_research_center,core_technology,P1,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"US science and technology policy, R&D, innovation systems, and federal policy support."
ifp,Institute for Progress,进步研究所,United States,think_tank,core_technology,P0,1,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Metascience, R&D institutions, industrial capacity, biotechnology, energy, and technology policy."
iiss,International Institute for Strategic Studies,国际战略研究所,United Kingdom,think_tank,,P1,16,2023,2025,待核验,待核验,待核验,待核验,待核验,待筛选,"Cyber power, defense technology, strategy, geoeconomics, critical technologies, industrial resilience, and geopolitical technology analysis."
interface,interface,interface欧洲科技政策智库,European Union,think_tank,,P0,10,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"European technology policy, AI governance, digital regulation, innovation-friendly policy, interoperability, digital markets, and industrial competitiveness."
itif,Information Technology and Innovation Foundation,信息技术与创新基金会,United States,think_tank,core_technology,P0,69,2022,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Industrial policy, innovation, semiconductor, digital economy, and technology competition."
japan-csti,Japan Council for Science Technology and Innovation,日本综合科学技术创新会议,Japan,government,official_strategy,P0,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"Japan STI basic plans, annual integrated innovation strategies, strategic technologies, and cross-ministerial programs."
jst-crds,JST Center for Research and Development Strategy,日本科学技术振兴机构研发战略中心,Japan,government_research_institute,core_technology,P1,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"R&D strategy, technology foresight, science policy, and international technology trends."
korea-msit,Republic of Korea Ministry of Science and ICT,韩国科学技术信息通信部,Republic of Korea,government,official_strategy,P0,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"Korea national science and technology master plans, strategic technology, AI, ICT, R&D, and industrial transformation strategies."
merics,MERICS Industrial Policy and Technology,墨卡托中国研究中心产业政策与技术,Germany,think_tank,core_technology,P0,34,2023,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"China industrial policy, technology strategy, innovation capacity, science-tech innovation, sectoral competitiveness, and EU-China policy analysis."
nbr,National Bureau of Asian Research Technology and Geoeconomic Affairs,美国国家亚洲研究局技术与地缘经济事务项目,United States,think_tank,,P1,4,2025,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Technology and geoeconomic affairs, Asia, China, and industrial policy."
nistep,National Institute of Science and Technology Policy Japan,日本科学技术与学术政策研究所,Japan,government_research_institute,core_technology,P1,4,2024,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Science and technology indicators, STI policy, talent, and Japanese policy trends."
oecd-ai,OECD.AI Policy Observatory,经合组织人工智能政策观察站,International,intergovernmental,,P0,16,2024,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"AI policy observatory. Prefer metadata, links, and short summaries."
oecd-sti,OECD Science Technology and Innovation,经合组织科学技术与创新,International,intergovernmental,core_technology,P0,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"STI outlooks, R&D statistics, science systems, industrial innovation, and technology policy. Metadata and short summaries only."
orf-america,ORF America Technology Policy,ORF美国技术政策项目,United States / India,think_tank,,P1,23,2022,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Technology policy, digital public infrastructure, AI infrastructure, critical minerals, semiconductor supply chains, clean industry, India-US technology policy, and geopolitics."
rand,RAND Corporation,兰德公司,United States,think_tank,core_technology,P0,56,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Verified pilot source. Future retrieval should cover broad innovation-support reports, including science systems, R&D, STEM talent, clean technology, biotechnology, digital infrastructure, advanced manufacturing, China technology, and AI governance. Store public metadata, links, summaries, and private full-text research copy when accessible."
rusi,RUSI Artificial Intelligence and National Security,皇家联合军种研究所人工智能与国家安全,United Kingdom,think_tank,,P1,10,2023,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Defense AI, national security, cyber, and UK security policy."
scsp,Special Competitive Studies Project,美国特别竞争研究项目,United States,think_tank,core_technology,P0,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"Strategic technology competition, AI, compute, industrial capacity, and national security."
stanford-hai,Stanford Institute for Human-Centered Artificial Intelligence,斯坦福以人为本人工智能研究院,United States,university_research_center,core_technology,P0,8,2024,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"AI Index, AI research, data science, economy, workforce, education, R&D, and policy source. First version keeps metadata and accessible summaries."
stepi,Science and Technology Policy Institute Korea,韩国科学技术政策研究院,Korea,government_research_institute,core_technology,P1,12,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,"Science, technology, innovation policy, STI agenda-setting, innovation systems, industrial strategy, and East Asian policy comparison. Uses a site-specific publications parser because public list rows expose report metadata and PDF links through Korean e-government board markup."
uk-dsit,UK Department for Science Innovation and Technology,英国科学创新与技术部,United Kingdom,government,official_strategy,P0,0,,,待核验,待核验,待核验,待核验,待核验,待筛选,"UK cross-government science, technology, digital, R&D, standards, and sector strategies. Policy papers only."
us-ostp,White House Office of Science and Technology Policy,美国白宫科技政策办公室,United States,government,official_strategy,P0,1,2026,2026,待核验,待核验,待核验,待核验,待核验,待筛选,United States national science and technology strategies and major cross-government policy reports.
