报告ID,WordPress_ID,发布日期,观察窗,材料类型,报告名称,资料角色,主题标签,筛选依据,官方摘要,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-ATL-373955,373955,2021-04-06,W2,议题简报,"The digital Yuan, digital Euro, and the Diem: Key issues for public debate",作者/项目政策简报,网络安全与数字治理,官方科技议题分类；标题或摘要科技关键词,"As momentum grows for the development of CBDCs many policy questions remain unanswered. For insights into how CBDCs may develop, it will be important to watch where the current leaders, the People’s Bank of China (PBOC) and the European Central Bank (ECB), converge and diverge.",https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/the-digital-yuan-digital-euro-and-the-diem-key-issues-for-public-debate/,https://www.atlanticcouncil.org/wp-content/uploads/2021/04/The_digital_yuan_digital_euro_and_the_diem.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-373955.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-373955.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-373955.md,566763,139b101a4cda4ebc729dd5a0138267b657c71af887e7925b6f7ca39167212eeb,10,34904,官方PDF已保存并校验,,2026-08-22
C-ATL-418681,418681,2021-07-29,W2,议题简报,Xi Jinping’s politics in command economy,作者/项目政策简报,综合科技竞争,官方科技议题分类,This issue brief examines the key role of Xi Jinping and the CCP in the development of a new strategy for state capitalism in modern China.,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/issue-brief-xi-jinpings-politics-in-command-economy/,https://www.atlanticcouncil.org/wp-content/uploads/2021/07/Xi-Jinpings-politics-in-command-economy.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-418681.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-418681.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-418681.md,475759,d365ac18a1a940c97368f78f3712f0f48a8c5c28d69cb67549a3a4573b8f9eac,18,81583,官方PDF已保存并校验,,2026-08-22
C-ATL-428120,428120,2021-08-31,W2,议题简报,"Trusted connectivity: A framework for a free, open, and connected world",作者/项目政策简报,综合科技竞争,官方科技议题分类,"As democracies address the global demand for a free, open, and connected world while ensuring that local and global emissions targets are met, they need an organizing framework: the concept of “trusted connectivity.”",https://www.atlanticcouncil.org/in-depth-research-reports/trusted-connectivity-a-framework-for-a-free-open-and-connected-world/,https://www.atlanticcouncil.org/wp-content/uploads/2021/09/Trusted-connectivity-a-framework-for-a-free-open-and-connected-world.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-428120.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-428120.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-428120.md,3960090,e482b8309b06cb70fa83780d571342bde147c0c1706f0485c4b385e1a1413b35,24,67623,官方PDF已保存并校验,,2026-08-22
C-ATL-444219,444219,2021-10-14,W2,正式研究报告,Standardizing the future: How can the United States navigate the geopolitics of international technology standards?,作者/项目正式研究,网络安全与数字治理,官方科技议题分类；GeoTech或Cyber项目归属；标题或摘要科技关键词,"Standards for data and technology represent a key part of the world’s digital ecosystem, and as such, they can have significant implications for geopolitics. This report, published in partnership with the American Edge Project, endeavors to study the geopolitical dynamics surrounding technology standards setting to better inform related US policy.",https://www.atlanticcouncil.org/in-depth-research-reports/report/standardizing-the-future-how-can-the-united-states-navigate-the-geopolitics-of-international-technology-standards/,https://www.atlanticcouncil.org/wp-content/uploads/2021/10/Standardizing-the-future-How-can-the-United-States-navigate-the-geopolitics-of-international-technology-standards.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-444219.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-444219.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-444219.md,1618105,1933bdc45d14f0ff3e559adce2a47eed3ae38280aa2a8b0681a4f6af698731b8,23,72808,官方PDF已保存并校验,,2026-08-22
C-ATL-448323,448323,2021-11-02,W2,正式研究报告,Deterring Chinese strategic attack: Grappling with the implications of China’s strategic forces buildup,作者/项目正式研究,综合科技竞争,官方科技议题分类,"To counter the increasing threat from China’s assertive foreign policy and growing nuclear capabilities, Matthew Kroenig outlines a strategy for Washington and allies to reliably deter Chinese strategic attack.",https://www.atlanticcouncil.org/in-depth-research-reports/report/deterring-chinese-strategic-attack-grappling-with-the-implications-of-chinas-strategic-forces-buildup/,https://www.atlanticcouncil.org/wp-content/uploads/2021/11/Deterring_Chinese_Strategic_Attack_Rpt_10312190.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-448323.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-448323.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-448323.md,3280324,413a4c63c45a12a90a98de850fddaced06966f9b9c4496c34f59c8bb22fb6be0,28,99108,官方PDF已保存并校验,,2026-08-22
C-ATL-460660,460660,2021-11-23,W2,议题简报,Competing data governance models threaten the free flow of information and hamper world trade,作者/项目政策简报,网络安全与数字治理,官方科技议题分类；标题或摘要科技关键词,The EU framework is comprehensive and puts a strong emphasis on the protection of personal data both from the government and private companies. It also establishes that EU citizens’ data can be transferred only to countries with an adequate privacy protection regime (adequacy to be determined by the European Commission).,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/competing-data-governance-models-threaten-the-free-flow-of-information-and-hamper-world-trade/,https://www.atlanticcouncil.org/wp-content/uploads/2021/11/Competing-Data-Governance-Models-Threaten-the-Free-Flow-of-Information-and-Hamper-World-Trade.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-460660.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-460660.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-460660.md,622599,72d18effc3a23787d52a89be174a1e97ace161058aec4a01b06dcd3c8088c6aa,11,41964,官方PDF已保存并校验,,2026-08-22
C-ATL-465525,465525,2021-12-08,W2,正式研究报告,Unpacking the geopolitics of technology,作者/项目正式研究,综合科技竞争,官方科技议题分类；GeoTech或Cyber项目归属；标题或摘要科技关键词,"In this paper, authors from the Atlantic Council and the Ministry for Foreign Affairs of Finland examine the transformation of technology and work in a broader social and political context, look at strategies that different regions of the world employ, and evaluate the transition’s geopolitical impact through alternative futures.",https://www.atlanticcouncil.org/in-depth-research-reports/report/unpacking-the-geopolitics-of-technology/,https://www.atlanticcouncil.org/wp-content/uploads/2021/12/GTC_Unpacking-the-Geopolitics-of-Technology.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-465525.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-465525.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-465525.md,4283157,3f6f49adb5475756b8044ffb6522b3130af7cdc53093891e6ef1536fb8a45f99,27,102841,官方PDF已保存并校验,,2026-08-22
C-ATL-465922,465922,2021-12-08,W2,正式研究报告,Europe in a bipolar tech world,作者/项目正式研究,综合科技竞争,官方科技议题分类；GeoTech或Cyber项目归属,"With no sign of Beijing backing down, the US administration lays out a strategy for restructuring NATO to be targeted on Russia and China, combining its allies from Asia and Europe into an enlarged, redefined alliance.",https://www.atlanticcouncil.org/blogs/geotech-cues/europe-in-a-bipolar-tech-world/,https://www.atlanticcouncil.org/wp-content/uploads/2021/12/GTC_Unpacking-the-Geopolitics-of-Technology.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-465525.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-465525.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-465525.md,4283157,3f6f49adb5475756b8044ffb6522b3130af7cdc53093891e6ef1536fb8a45f99,27,102841,关联既有官方PDF,,2026-08-22
C-ATL-470291,470291,2021-12-22,W2,议题简报,Beyond the peninsula: US-ROK cooperation on digital connectivity in the Indo-Pacific,作者/项目政策简报,网络安全与数字治理,官方科技议题分类；标题或摘要科技关键词,This issue brief examines digital connectivity efforts through a snapshot of Indonesia and Vietnam to show how China’s neighbors in Asia are on different trajectories in response to US-China strategic competition.,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/beyond-the-peninsula-us-rok-cooperation-on-digital-connectivity-in-the-indo-pacific/,https://www.atlanticcouncil.org/wp-content/uploads/2021/12/Beyond-the-Peninsula-IB-2021.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-470291.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-470291.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-470291.md,447265,883ef1718cad87b24bddcda086ba35ff0695034f5ae984a0dd706f22d975f350,14,61580,官方PDF已保存并校验,,2026-08-22
C-ATL-479132,479132,2022-01-25,W3,正式研究报告,Cybersecurity for innovative small and medium enterprises and academia,作者/项目正式研究,网络安全与数字治理；创新体系与产业政策,官方科技议题分类；GeoTech或Cyber项目归属；标题或摘要科技关键词,"Innovation is fundamental to United States global leadership, critical both for the economy and for national security. Yet the resilience of the US innovation ecosystem against adversary cyber espionage and attack—most specifically from China—has not received the attention required, particularly given the essential innovation roles played by small and medium-sized enterprises (SMEs) and by academia.",https://www.atlanticcouncil.org/in-depth-research-reports/report/cybersecurity-for-innovative-small-and-medium-enterprises-and-academia/,https://www.atlanticcouncil.org/wp-content/uploads/2022/01/Cybersecurity-for-Innovative-Small-and-Medium-Enterprises-and-Academia.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-479132.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-479132.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-479132.md,610836,71f1dac354d912cf7b8da9de94374056e42f132a78d82d67a24d7f0ffe81ec24,28,119990,官方PDF已保存并校验,,2026-08-22
C-ATL-508327,508327,2022-04-01,W3,议题简报,"Foreign direct investment, infrastructure, and supply chain resiliency: A new nexus for US industrial strategy",作者/项目政策简报,人工智能、芯片与算力；技术供应链与出口管制,标题或摘要科技关键词,"Introduction The United States’ aging infrastructure is currently unable to support the kind of economic growth and productivity it needs to successfully compete with other advanced and emerging economies. This includes the present state of nontraditional infrastructure, such as the semiconductor industry; and recent shortages have highlighted US dependency on foreign producers. Inbound FDI stock […]",https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/foreign-direct-investment-infrastructure-and-supply-chain-resiliency-a-new-nexus-for-us-industrial-strategy/,https://www.atlanticcouncil.org/wp-content/uploads/2022/04/Foreign_Direct_Investment_Infrastructure_and_Supply_Chain_Resiliency.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-508327.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-508327.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-508327.md,2871629,3d50ba68f0ab8ce8e4893d1d14c81a9552957f80e61b8e891dd41402a124582d,16,60710,官方PDF已保存并校验,,2026-08-22
C-ATL-514493,514493,2022-04-19,W3,议题简报,Can China transform its economy to be innovation-led?,作者/项目政策简报,创新体系与产业政策,官方科技议题分类；标题或摘要科技关键词,"The ability of the Chinese economy to transform itself will depends on three key areas: input mobilization, R&D, and output implementation.",https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/can-china-transform-its-economy-to-be-innovation-led/,https://www.atlanticcouncil.org/wp-content/uploads/2022/04/China_Transform_041922.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-514493.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-514493.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-514493.md,3281632,c7eadffe1de035458d27794b2aa633441b9d35af00a506de05498464409d2dd0,12,36178,官方PDF已保存并校验,,2026-08-22
C-ATL-513726,513726,2022-04-20,W3,正式研究报告,China’s discourse power operations in the Global South,作者/项目正式研究,综合科技竞争,官方科技议题分类,"An overview of China’s discourse power activities in the Global South, including the regions of Sub-Saharan Africa, Latin America, and the Middle East. It outlines the processes through which China leverages its diplomatic, media, and political positions in these regions to gain influence, and assesses the impacts of these activities for democratic resilience worldwide.",https://www.atlanticcouncil.org/in-depth-research-reports/report/chinas-discourse-power-operations-in-the-global-south/,https://www.atlanticcouncil.org/wp-content/uploads/2022/04/Chinas_Discourse_Power_in_the_Global_South.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-513726.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-513726.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-513726.md,2351475,44de9299a70fac434d73f75f01be14c6ab711f063fcb7ef9ffa09bc198eb88bf,32,126442,官方PDF已保存并校验,,2026-08-22
C-ATL-513154,513154,2022-05-05,W3,正式研究报告,Small satellites: The implications for national security,作者/项目正式研究,国防、航天与无人系统,标题或摘要科技关键词,Forward Defense nonresident senior fellow Nicholas Eftimiades considers how the US government can better leverage commercial satellites to enhance space security.,https://www.atlanticcouncil.org/in-depth-research-reports/report/small-satellites-the-implications-for-national-security/,https://www.atlanticcouncil.org/wp-content/uploads/2022/05/Small_satellites-Implications_for_national_security.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-513154.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-513154.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-ATL-513154.md,5534335,b6a2c74ee0db1eb8ececc18c37d259273926eb5a5a294a7d1cf60149e2dc4948,44,149870,官方PDF已保存并校验,,2026-08-22
