报告ID,WordPress_ID,发布日期,报告名称,官方摘要,科学技术创新主题,中国关联,官方落地页,官方PDF入口,附件数,资料层级,全文策略,采集日期
C-CSET-13312,13312,2023-05-11,Financing “The New Oil”,"Israel has by far the largest AI ecosystem in the Middle East as measured in AI companies and financial investments, and foreign investors play a critical role in Israel’s AI market growth. This issue brief finds that AI investments in Israel have mostly originated from the United States. To date, Chinese investors have played a limited role in funding Israel’s dynamic AI companies. But understanding the risk of Chinese investments into the Israeli AI ecosystem will be important for the national security of both the United States and Israel.",技术创新与关键技术；创新政策与研发治理；产业创新转化与区域生态；中国科技横向维度；安全供应链与治理边界（次级）,是,https://cset.georgetown.edu/publication/financing-the-new-oil/,https://cset.georgetown.edu/wp-content/uploads/Financing-22The-New-Oil22-1.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-13458,13458,2023-05-17,Spotlight on Beijing Institute for General Artificial Intelligence,"In late 2020, China established the Beijing Institute for General Artificial Intelligence, a state-backed institution dedicated to building software that emulates or surpasses human cognition in many or all of its aspects. Open source materials now available provide insight into BIGAI’s goals, scope, organization, methodology, and staffing. The project formalizes a trend evident in Chinese AI development toward broadly capable (general) AI.",技术创新与关键技术；中国科技横向维度,是,https://cset.georgetown.edu/publication/spotlight-on-beijing-institute-for-general-artificial-intelligence/,https://cset.georgetown.edu/wp-content/uploads/CSET-Spotlight-on-Beijing-Institute-for-General-Artificial-Intelligence-1.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-13591,13591,2023-05-24,A Shot of Resilience,"Vaccines keep the U.S. public healthy while safeguarding economic stability and biosecurity. This report assesses the domestic vaccine manufacturing landscape and identifies two major vulnerabilities: a reliance on foreign manufacturers and a lack of manufacturing redundancy. Maintaining a resilient vaccine supply will require the U.S. government to take steps to protect the existing supply, identify and monitor manufacturing vulnerabilities, and create a stronger domestic production base.",技术创新与关键技术；产业创新转化与区域生态；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/a-shot-of-resilience/,https://cset.georgetown.edu/wp-content/uploads/CSET-A-Shot-of-Resilience-1.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-13719,13719,2023-06-01,A Matrix for Selecting Responsible AI Frameworks,"Process frameworks provide a blueprint for organizations implementing responsible artificial intelligence (AI), but the sheer number of frameworks, along with their loosely specified audiences, can make it difficult for organizations to select ones that meet their needs. This report presents a matrix that organizes approximately 40 public process frameworks according to their areas of focus and the teams that can use them. Ultimately, the matrix helps organizations select the right resources for implementing responsible AI.",技术创新与关键技术,否,https://cset.georgetown.edu/publication/a-matrix-for-selecting-responsible-ai-frameworks/,https://cset.georgetown.edu/wp-content/uploads/CSET-A-Matrix-for-Selecting-Responsible-AI-Frameworks.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-13865,13865,2023-06-07,The Policy Playbook,"This brief provides a framework for a systems-oriented approach to technology and national security strategy. It identifies and discusses the tensions among three strategic goals of technology and national security policy—driving technological innovation, impeding adversaries’ progress, and promoting safe, values-driven technology deployment—and highlights various levers of power that policymakers can use to pursue those goals. This adaptable framework, suitable for any country or international body, emphasizes the importance of creative problem-solving and maintaining a comprehensive understanding of the policy landscape.",技术创新与关键技术；创新政策与研发治理；国际合作开放科学与比较；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/the-policy-playbook/,https://cset.georgetown.edu/wp-content/uploads/The-Policy-Playbook.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-14078,14078,2023-06-21,Autonomous Cyber Defense,"The current AI-for-cybersecurity paradigm focuses on detection using automated tools, but it has largely neglected holistic autonomous cyber defense systems — ones that can act without human tasking. That is poised to change as tools are proliferating for training reinforcement learning-based AI agents to provide broader autonomous cybersecurity capabilities. The resulting agents are still rudimentary and publications are few, but the current barriers are surmountable and effective agents would be a substantial boon to society.",技术创新与关键技术；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/autonomous-cyber-defense/,https://cset.georgetown.edu/wp-content/uploads/Autonomous-Cyber-Defense-1.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-14366,14366,2023-07-10,China’s Cognitive AI Research,"An expert assessment of Chinese scientific literature validates China’s public claim to be working toward artificial general intelligence (AGI). At a time when other nations are contemplating safeguards on AI research, China’s push toward AGI challenges emerging global norms, underscoring the need for a serious open-source monitoring program to serve as a foundation for outreach and mitigation.",科学体系与基础研究；技术创新与关键技术；国际合作开放科学与比较；中国科技横向维度,是,https://cset.georgetown.edu/publication/chinas-cognitive-ai-research/,https://cset.georgetown.edu/wp-content/uploads/Chinas-Cognitive-AI-Research.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-14280,14280,2023-07-12,Defending the Ultimate High Ground,China has poured resources into improving the resilience of its space architecture. But how much progress has Beijing made? This issue brief analyzes China’s space resilience efforts and identifies areas where the United States may need to invest to keep pace.,技术创新与关键技术；中国科技横向维度,是,https://cset.georgetown.edu/publication/defending-the-ultimate-high-ground/,https://cset.georgetown.edu/wp-content/uploads/CSET-Defending-the-Ultimate-High-Ground.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-14591,14591,2023-07-26,Adding Structure to AI Harm,"Real-world harms caused by the use of AI technologies are widespread. Tracking and analyzing them improves our understanding of the variety of harms and the circumstances that lead to their occurrence once AI systems are deployed. This report presents a standardized conceptual framework for defining, tracking, classifying, and understanding harms caused by AI. It lays out the key elements required for the identification of AI harm, their basic relational structure, and definitions without imposing a single interpretation of AI harm. The brief concludes with an example of how to apply and customize the framework while keeping its modular structure.",技术创新与关键技术,否,https://cset.georgetown.edu/publication/adding-structure-to-ai-harm/,,0,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-14556,14556,2023-08-01,The Race for U.S. Technical Talent,"Technical talent is vital to innovation and economic growth, and attracting these highly mobile workers is critical to staying on the cutting-edge of the technological frontier. Conventional wisdom holds that the defense community generally struggles to access this talent pool. This policy brief uses LinkedIn data to track the movement of tech workers between industries and metro areas, with a particular focus on the U.S. Department of Defense, the defense industrial base, and the so-called “Big Tech” companies.",技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/the-race-for-us-technical-talent/,https://cset.georgetown.edu/wp-content/uploads/CSET-The-Race-for-U.S.-Technical-Talent.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-14642,14642,2023-08-02,"Through a Glass, Darkly: Mapping Emerging Technologies and Their Supply Chains","Identifying emerging technologies is critical to governments, the private sector, and researchers, but these groups lack a shared analytical approach when it comes to assessing the trajectories of new technologies. To better calibrate efforts to protect and promote emerging technologies, supply chain security research provides a mature, relevant analytical framework. This report offers policymakers a template to map emerging technology supply chains using two tools developed by CSET’s Emerging Technology Observatory: the Map of Science and the Supply Chain Explorer.",科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/through-a-glass-darkly-mapping-emerging-technologies-and-their-supply-chains/,https://cset.georgetown.edu/wp-content/uploads/CSET-Through-a-Glass-Darkly-Mapping-Emerging-Technologies-and-their-Supply-Chains.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-23051,23051,2023-08-03,Confidence-Building Measures for Artificial Intelligence,"Foundation models could eventually introduce several pathways for undermining state security: accidents, inadvertent escalation, unintentional conflict, the proliferation of weapons, and the interference with human diplomacy are just a few on a long list. The Confidence-Building Measures for Artificial Intelligence workshop hosted by the Geopolitics Team at OpenAI and the Berkeley Risk and Security Lab at the University of California brought together a multistakeholder group to think through the tools and strategies to mitigate the potential risks introduced by foundation models to international security.",技术创新与关键技术；人才大学与科研组织；国际合作开放科学与比较；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/confidence-building-measures-for-artificial-intelligence/,https://cset.georgetown.edu/wp-content/uploads/Confidence-Building-Measures-for-Artificial-Intelligence-Workshop-Proceedings.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-14873,14873,2023-08-22,Onboard AI: Constraints and Limitations,"Artificial intelligence that makes news headlines, such as ChatGPT, typically runs in well-maintained data centers with an abundant supply of compute and power. However, these resources are more limited on many systems in the real world, such as drones, satellites, or ground vehicles. As a result, the AI that can run onboard these devices will often be inferior to state of the art models. That can affect their usability and the need for additional safeguards in high-risk contexts. This issue brief contextualizes these challenges and provides policymakers with recommendations on how to engage with these technologies.",技术创新与关键技术；创新政策与研发治理,否,https://cset.georgetown.edu/publication/onboard-ai-constraints-and-limitations/,https://cset.georgetown.edu/wp-content/uploads/2022CA008_-Onboard-AI_-Constraints-and-Limitations_Final-2.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-15022,15022,2023-08-30,Understanding the Global Gain-of-Function Research Landscape,"Gain- and loss-of-function research have contributed to breakthroughs in vaccine development, genetic research, and gene therapy. At the same time, a subset of gain- and loss-of-function studies involve high-risk, highly virulent pathogens that could spread widely among humans if deliberately or unintentionally released. In this report, we map the gain- and loss-of-function global research landscape using a quantitative approach that combines machine learning with subject-matter expert review.",国际合作开放科学与比较,否,https://cset.georgetown.edu/publication/understanding-the-global-gain-of-function-research-landscape/,https://cset.georgetown.edu/wp-content/uploads/20220035_Gain-of-Function-Research_FINAL.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-15208,15208,2023-09-20,The PRC’s Domestic Approach,"This report summarizes more than 20 CSET reports, translations, and data analyses to provide insight into China’s internal actions to advance and implement its technology-related policy goals",技术创新与关键技术；创新政策与研发治理；中国科技横向维度,是,https://cset.georgetown.edu/publication/the-prcs-domestic-approach/,https://cset.georgetown.edu/wp-content/uploads/20230035_The-PRCs-Domestic-Approach.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-15209,15209,2023-09-20,The PRC’s Efforts Abroad,"This report summarizes more than 20 CSET reports, translations, and data analyses to provide insight into the steps China has taken to increase its technological competitiveness beyond its own borders.",中国科技横向维度,是,https://cset.georgetown.edu/publication/the-prcs-efforts-abroad/,https://cset.georgetown.edu/wp-content/uploads/20230036_The-PRCs-Efforts-Abroad_FINAL9.20.2023.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-15584,15584,2023-10-12,The Inigo Montoya Problem for Trustworthy AI (International Version),"Australia, Canada, Japan, the United Kingdom, and the United States emphasize principles of accountability, explainability, fairness, privacy, security, and transparency in their high-level AI policy documents. But while the words are the same, these countries define each of these principles in slightly different ways that could have large impacts on interoperability and the formulation of international norms. This creates, what we call the “Inigo Montoya problem” in trustworthy AI, inspired by “The Princess Bride” movie quote: “You keep using that word. I do not think it means what you think it means.”",技术创新与关键技术；创新政策与研发治理；国际合作开放科学与比较；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/the-inigo-montoya-problem-for-trustworthy-ai-international-version/,https://cset.georgetown.edu/wp-content/uploads/Inigio-Montoya-Problem-International-Version_FINAL-Report-.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-15975,15975,2023-10-23,Decoding Intentions,"How can policymakers credibly reveal and assess intentions in the field of artificial intelligence? Policymakers can send credible signals of their intent by making pledges or committing to undertaking certain actions for which they will pay a price—political, reputational, or monetary—if they back down or fail to make good on their initial promise or threat. Talk is cheap, but inadvertent escalation is costly to all sides.",技术创新与关键技术；创新政策与研发治理,否,https://cset.georgetown.edu/publication/decoding-intentions/,https://cset.georgetown.edu/wp-content/uploads/CSET-Decoding-Intentions.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-15861,15861,2023-10-24,Skating to Where the Puck Is Going,"AI capabilities are evolving quickly and pose novel—and likely significant—risks. In these rapidly changing conditions, how can policymakers effectively anticipate and manage risks from the most advanced and capable AI systems at the frontier of the field? This Roundtable Report summarizes some of the key themes and conclusions of a July 2023 workshop on this topic jointly hosted by CSET and Google DeepMind.",技术创新与关键技术；创新政策与研发治理,否,https://cset.georgetown.edu/publication/skating-to-where-the-puck-is-going/,https://cset.georgetown.edu/wp-content/uploads/Frontier-AI-Roundtable-Paper-Final-2023CA004-v2.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-15908,15908,2023-10-25,DOD’s Emerging Digital Workforce,"This report summarizes recent DOD digital workforce trends as an update to our 2021 report. We expanded our definition of AI talent to include data, analytics, software, and AI, referred to here as the “digital workforce,” to be more aligned with Department needs and current workforce planning efforts. We find that the Department of Defense continues to struggle with their ability to define, identify, develop, assign, promote, and retain digital talent.",技术创新与关键技术；人才大学与科研组织；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/dods-emerging-digital-workforce/,https://cset.georgetown.edu/wp-content/uploads/DODs-Emerging-Digital-Workforce-20230014-10.20.2023-1.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-16526,16526,2023-11-29,Assessing China’s AI Workforce,"Demand for talent is one of the core elements of technological competition between the United States and China. In this issue brief, we explore demand signals in China’s domestic AI workforce in two ways: geographically and within the defense and surveillance sectors. Our exploration of job postings from Spring 2021 finds that more than three-quarters of all AI job postings are concentrated in just three regions: the Yangtze River Delta region, the Pearl River Delta, and the Beijing-Tianjin-Hebei area.",技术创新与关键技术；人才大学与科研组织；中国科技横向维度；安全供应链与治理边界（次级）,是,https://cset.georgetown.edu/publication/assessing-chinas-ai-workforce/,https://cset.georgetown.edu/wp-content/uploads/CSET-Assessing-Chinas-AI-Workforce.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-16648,16648,2023-11-30,Repurposing the Wheel: Lessons for AI Standards,"Standards enable good governance practices by establishing consistent measurement and norms for interoperability, but creating standards for AI is a challenging task. The Center for Security and Emerging Technology and the Center for a New American Security hosted a series of workshops in the fall of 2022 to examine standards development in the areas of finance, worker safety, cybersecurity, sustainable buildings, and medical devices in order to apply the lessons learned in these domains to AI. This workshop report summarizes our findings and recommendations.",技术创新与关键技术；创新政策与研发治理；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/repurposing-the-wheel/,https://cset.georgetown.edu/wp-content/uploads/20230021-Repurposing-the-Wheel-Final-11.29.2023-1.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-16826,16826,2023-12-14,Controlling Large Language Model Outputs: A Primer,"Concerns over risks from generative artificial intelligence systems have increased significantly over the past year, driven in large part by the advent of increasingly capable large language models. But, how do AI developers attempt to control the outputs of these models? This primer outlines four commonly used techniques and explains why this objective is so challenging.",技术创新与关键技术,否,https://cset.georgetown.edu/publication/controlling-large-language-models-a-primer/,https://cset.georgetown.edu/wp-content/uploads/CSET-Controlling-Large-Language-Model-Outputs-A-Primer.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-16920,16920,2023-12-19,Scaling AI,"While recent progress in artificial intelligence (AI) has relied primarily on increasing the size and scale of the models and computing budgets for training, we ask if those trends will continue. Financial incentives are against scaling, and there can be diminishing returns to further investment. These effects may already be slowing growth among the very largest models. Future progress in AI may rely more on ideas for shrinking models and inventive use of existing models than on simply increasing investment in compute resources.",技术创新与关键技术,否,https://cset.georgetown.edu/publication/scaling-ai/,https://cset.georgetown.edu/wp-content/uploads/Scaling-AI-Cost-and-Performance-of-AI-at-the-Leading-Edge.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-17081,17081,2024-01-17,The Core of Federal Cyber Talent,"Strengthening the federal cyber workforce is one of the main priorities of the National Cyber Workforce and Education Strategy. The National Science Foundation’s CyberCorps Scholarship-for-Service program is a direct cyber talent pipeline into the federal workforce. As the program tries to satisfy increasing needs for cyber talent, it is apparent that some form of program expansion is needed. This policy brief summarizes trends from participating institutions to understand how the program might expand and illustrates a potential future artificial intelligence (AI) federal scholarship-for-service program.",科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/the-core-of-federal-cyber-talent/,https://cset.georgetown.edu/wp-content/uploads/CSET-The-Core-of-Federal-Cyber-Talent.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-17370,17370,2024-02-20,How Persuasive is AI-Generated Propaganda?,"Research participants who read propaganda generated by GPT-3 davinci (a large language model) were nearly as persuaded as those who read real propaganda from Iran or Russia, according to a new peer-reviewed study by Josh A. Goldstein and co-authors.",技术创新与关键技术,否,https://cset.georgetown.edu/publication/how-persuasive-is-ai-generated-propaganda/,,0,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-17378,17378,2024-02-22,Which Ties Will Bind?,"U.S. technology companies have become important actors in modern conflicts, and several of them have meaningfully contributed to Ukraine’s defense. But many of these companies are deeply entangled with China, potentially complicating their decision-making in a potential Taiwan contingency.",技术创新与关键技术；中国科技横向维度；安全供应链与治理边界（次级）,是,https://cset.georgetown.edu/publication/which-ties-will-bind/,https://cset.georgetown.edu/wp-content/uploads/CSET-Which-Ties-Will-Bind.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-17919,17919,2024-03-19,An Argument for Hybrid AI Incident Reporting,"Artificial Intelligence incidents have been occurring with the rapid advancement of AI capabilities over the past decade. However, there is not yet a concerted policy effort in the United States to monitor, document, and aggregate AI incident data to enhance the understanding of AI-related harm and inform safety policies. This report proposes a federated approach consisting of hybrid incident reporting frameworks to standardize reporting practices and prevent missing data.",技术创新与关键技术；创新政策与研发治理,否,https://cset.georgetown.edu/publication/an-argument-for-hybrid-ai-incident-reporting/,https://cset.georgetown.edu/wp-content/uploads/CSET-An-Argument-for-Hybrid-AI-Incident-Reporting.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-17987,17987,2024-03-28,Bibliometric Analysis of China’s Non-Therapeutic Brain-Computer Interface Research,"China’s brain-computer interface research has two dimensions. Besides its usual applications in neuropathology, China is extending the benefits of BCI to the general population, aiming at enhanced cognition and a “merger” of natural and artificial intelligence. This report, authored in collaboration with researchers from the Department of War Studies at King’s College London uses bibliometric analysis and expert assessment of technical documents to evaluate China’s BCI, and conclude that the research is on track to achieve its targets.",技术创新与关键技术；人才大学与科研组织；国际合作开放科学与比较；中国科技横向维度,是,https://cset.georgetown.edu/publication/bibliometric-analysis-of-chinas-non-therapeutic-brain-computer-interface-research/,https://cset.georgetown.edu/wp-content/uploads/CSET-Bibliometric-Analysis-of-Chinas-Non-Therapeutic-Brain-Computer-Interface-Research.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
