主题标签,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,官方摘要,本地原始资产,本地文本,官方落地页
国家创新体系与产业政策,C-CSET-540,2019-09-30,W2,中国科技政策英译,Project to Strengthen Development of the Defense Technology Industry at the Grassroots Level: Guidelines for Basic Research and Cutting-Edge Technology Projects (2018),翻译材料，不代表机构观点,"See our translation of a document issued by China’s State Administration of Science, Technology and Industry for National Defence (SASTIND) that identifies several emerging technologies of interest to the Chinese military.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-540.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-540.txt,https://cset.georgetown.edu/publication/project-to-strengthen-development-of-the-defense-technology-industry-at-the-grassroots-level-guidelines-for-basic-research-and-cutting-edge-technology-projects-2018/
军民融合与国防科技,C-CSET-548,2019-10-14,W2,中国科技政策英译,Tianjin Municipal Action Plan for Military-Civil Fusion Special Projects in Intelligent Technology,翻译材料，不代表机构观点,See our translation of one of the most detailed local government plans for “military-civil fusion.” It provides insight into local efforts to steer the development of emerging technologies in directions that fulfill PLA requirements.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-548.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-548.txt,https://cset.georgetown.edu/publication/tianjin-municipal-action-plan-for-military-civil-fusion-special-projects-in-intelligent-technology/
国家创新体系与产业政策,C-CSET-552,2019-11-08,W2,中国科技政策英译,Sensitive Science and Technology Protection Bill,翻译材料，不代表机构观点,See our translation of a bill proposed in Taiwan’s parliament that provides for up to seven years in prison or a $1 million fine for leaks of sensitive technology. The bill aims to counter Chinese industrial espionage and reassure U.S. firms that they can conduct R&D in Taiwan without fear of their proprietary technology being disclosed to Chinese competitors.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-552.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-552.txt,https://cset.georgetown.edu/publication/sensitive-science-and-technology-protection-bill/
人工智能与算力,C-CSET-554,2019-11-14,W2,中国科技政策英译,AI Innovation Action Plan for Institutions of Higher Education,翻译材料，不代表机构观点,See our translation of a Ministry of Education plan issued in April 2018. The plan lays out objectives designed to significantly enhance China’s cadre of AI talent and its university AI curricula by 2030.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-554.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-554.txt,https://cset.georgetown.edu/publication/ai-innovation-action-plan-for-institutions-of-higher-education/
科技人才与科研安全,C-CSET-554,2019-11-14,W2,中国科技政策英译,AI Innovation Action Plan for Institutions of Higher Education,翻译材料，不代表机构观点,See our translation of a Ministry of Education plan issued in April 2018. The plan lays out objectives designed to significantly enhance China’s cadre of AI talent and its university AI curricula by 2030.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-554.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-554.txt,https://cset.georgetown.edu/publication/ai-innovation-action-plan-for-institutions-of-higher-education/
军民融合与国防科技,C-CSET-554,2019-11-14,W2,中国科技政策英译,AI Innovation Action Plan for Institutions of Higher Education,翻译材料，不代表机构观点,See our translation of a Ministry of Education plan issued in April 2018. The plan lays out objectives designed to significantly enhance China’s cadre of AI talent and its university AI curricula by 2030.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-554.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-554.txt,https://cset.georgetown.edu/publication/ai-innovation-action-plan-for-institutions-of-higher-education/
国家创新体系与产业政策,C-CSET-554,2019-11-14,W2,中国科技政策英译,AI Innovation Action Plan for Institutions of Higher Education,翻译材料，不代表机构观点,See our translation of a Ministry of Education plan issued in April 2018. The plan lays out objectives designed to significantly enhance China’s cadre of AI talent and its university AI curricula by 2030.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-554.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-554.txt,https://cset.georgetown.edu/publication/ai-innovation-action-plan-for-institutions-of-higher-education/
科技人才与科研安全,C-CSET-556,2019-11-21,W2,中国科技政策英译,Program to Build a National Technology Transfer System,翻译材料，不代表机构观点,"See our translation of a tech transfer plan, which briefly addresses China’s system for acquiring foreign technology, but the bulk of the document deals with transfers of technology within China, such as finding practical, commercially viable applications of new discoveries and putting technological advancements to work in rural areas and economically disadvantaged regions.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-556.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-556.txt,https://cset.georgetown.edu/publication/program-to-build-a-national-technology-transfer-system/
技术转移与出口管制,C-CSET-556,2019-11-21,W2,中国科技政策英译,Program to Build a National Technology Transfer System,翻译材料，不代表机构观点,"See our translation of a tech transfer plan, which briefly addresses China’s system for acquiring foreign technology, but the bulk of the document deals with transfers of technology within China, such as finding practical, commercially viable applications of new discoveries and putting technological advancements to work in rural areas and economically disadvantaged regions.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-556.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-556.txt,https://cset.georgetown.edu/publication/program-to-build-a-national-technology-transfer-system/
军民融合与国防科技,C-CSET-556,2019-11-21,W2,中国科技政策英译,Program to Build a National Technology Transfer System,翻译材料，不代表机构观点,"See our translation of a tech transfer plan, which briefly addresses China’s system for acquiring foreign technology, but the bulk of the document deals with transfers of technology within China, such as finding practical, commercially viable applications of new discoveries and putting technological advancements to work in rural areas and economically disadvantaged regions.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-556.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-556.txt,https://cset.georgetown.edu/publication/program-to-build-a-national-technology-transfer-system/
科技人才与科研安全,C-CSET-1206,2019-11-27,W2,中国科技政策英译,Outline of the National Plan for Medium- and Long-Term Education Reform and Development,翻译材料，不代表机构观点,"See our translation of a CPC Central Committee and PRC State Council strategy for education reform issued in July 2010. The strategy doesn’t mention emerging technologies explicitly, but does address international educational exchange and cultivation of world-class talent, which has implications for emerging technology.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1206.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1206.txt,https://cset.georgetown.edu/publication/outline-of-the-national-plan-for-medium-and-long-term-education-reform-and-development/
军民融合与国防科技,C-CSET-1206,2019-11-27,W2,中国科技政策英译,Outline of the National Plan for Medium- and Long-Term Education Reform and Development,翻译材料，不代表机构观点,"See our translation of a CPC Central Committee and PRC State Council strategy for education reform issued in July 2010. The strategy doesn’t mention emerging technologies explicitly, but does address international educational exchange and cultivation of world-class talent, which has implications for emerging technology.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1206.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1206.txt,https://cset.georgetown.edu/publication/outline-of-the-national-plan-for-medium-and-long-term-education-reform-and-development/
人工智能与算力,C-CSET-712,2019-12-01,W2,CSET原创研究报告,Chinese Public AI R&D Spending: Provisional Findings,作者/项目正式研究,"China aims to become “the world’s primary AI innovation center” by 2030. Toward that end, the Chinese government is spending heavily on AI research and development (R&D)—but perhaps not as heavily as some have thought. This memo provides a provisional, open-source estimate of China’s spending.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-712.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-712.txt,https://cset.georgetown.edu/publication/chinese-public-ai-rd-spending-provisional-findings/
国家创新体系与产业政策,C-CSET-712,2019-12-01,W2,CSET原创研究报告,Chinese Public AI R&D Spending: Provisional Findings,作者/项目正式研究,"China aims to become “the world’s primary AI innovation center” by 2030. Toward that end, the Chinese government is spending heavily on AI research and development (R&D)—but perhaps not as heavily as some have thought. This memo provides a provisional, open-source estimate of China’s spending.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-712.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-712.txt,https://cset.georgetown.edu/publication/chinese-public-ai-rd-spending-provisional-findings/
人工智能与算力,C-CSET-732,2019-12-01,W2,CSET原创研究报告,Maintaining the AI Chip Competitive Advantage of the United States and its Allies,作者/项目正式研究,The United States and its allies enjoy a competitive advantage in the production of artificial intelligence chips necessary for leading AI research and implementation. This memo identifies chokepoints for limiting China’s access to key chipmaking equipment.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-732.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-732.txt,https://cset.georgetown.edu/publication/maintaining-the-ai-chip-competitive-advantage-of-the-united-states-and-its-allies/
技术转移与出口管制,C-CSET-732,2019-12-01,W2,CSET原创研究报告,Maintaining the AI Chip Competitive Advantage of the United States and its Allies,作者/项目正式研究,The United States and its allies enjoy a competitive advantage in the production of artificial intelligence chips necessary for leading AI research and implementation. This memo identifies chokepoints for limiting China’s access to key chipmaking equipment.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-732.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-732.txt,https://cset.georgetown.edu/publication/maintaining-the-ai-chip-competitive-advantage-of-the-united-states-and-its-allies/
军民融合与国防科技,C-CSET-987,2019-12-09,W2,中国科技政策英译,National 13th Five-Year Plan for the Development of Strategic Emerging Industries,翻译材料，不代表机构观点,See our translation of the PRC government’s five-year (2016-2020) industrial development strategy for emerging technology.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-987.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-987.txt,https://cset.georgetown.edu/publication/national-13th-five-year-plan-for-the-development-of-strategic-emerging-industries/
国家创新体系与产业政策,C-CSET-987,2019-12-09,W2,中国科技政策英译,National 13th Five-Year Plan for the Development of Strategic Emerging Industries,翻译材料，不代表机构观点,See our translation of the PRC government’s five-year (2016-2020) industrial development strategy for emerging technology.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-987.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-987.txt,https://cset.georgetown.edu/publication/national-13th-five-year-plan-for-the-development-of-strategic-emerging-industries/
科技人才与科研安全,C-CSET-1205,2019-12-11,W2,中国科技政策英译,Outline of the National Innovation-Driven Development Strategy,翻译材料，不代表机构观点,See our translation of a CPC Central Committee and PRC State Council strategy identifying industries that China feels would most benefit from increased indigenous innovation. The document also identifies foreign talent and technology transfer as crucial for China’s emerging technology sectors.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1205.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1205.txt,https://cset.georgetown.edu/publication/outline-of-the-national-innovation-driven-development-strategy/
技术转移与出口管制,C-CSET-1205,2019-12-11,W2,中国科技政策英译,Outline of the National Innovation-Driven Development Strategy,翻译材料，不代表机构观点,See our translation of a CPC Central Committee and PRC State Council strategy identifying industries that China feels would most benefit from increased indigenous innovation. The document also identifies foreign talent and technology transfer as crucial for China’s emerging technology sectors.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1205.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1205.txt,https://cset.georgetown.edu/publication/outline-of-the-national-innovation-driven-development-strategy/
国家创新体系与产业政策,C-CSET-1205,2019-12-11,W2,中国科技政策英译,Outline of the National Innovation-Driven Development Strategy,翻译材料，不代表机构观点,See our translation of a CPC Central Committee and PRC State Council strategy identifying industries that China feels would most benefit from increased indigenous innovation. The document also identifies foreign talent and technology transfer as crucial for China’s emerging technology sectors.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1205.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1205.txt,https://cset.georgetown.edu/publication/outline-of-the-national-innovation-driven-development-strategy/
军民融合与国防科技,C-CSET-1406,2020-01-08,W2,中国科技政策英译,State Council Notice on the Publication of the National 13th Five-Year Plan for S&T Innovation,翻译材料，不代表机构观点,See our translation of China’s plan for science and technology innovation during the years of the 13th Five-Year Plan (2016-2020). The plan puts forward plan details specific technologies identified as near-term priorities for research and investment.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1406.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1406.txt,https://cset.georgetown.edu/publication/state-council-notice-on-the-publication-of-the-national-13th-five-year-plan-for-st-innovation/
国家创新体系与产业政策,C-CSET-1406,2020-01-08,W2,中国科技政策英译,State Council Notice on the Publication of the National 13th Five-Year Plan for S&T Innovation,翻译材料，不代表机构观点,See our translation of China’s plan for science and technology innovation during the years of the 13th Five-Year Plan (2016-2020). The plan puts forward plan details specific technologies identified as near-term priorities for research and investment.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1406.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1406.txt,https://cset.georgetown.edu/publication/state-council-notice-on-the-publication-of-the-national-13th-five-year-plan-for-st-innovation/
人工智能与算力,C-CSET-1403,2020-01-15,W2,中国科技政策英译,WAIC Artificial Intelligence Security and Rule of Law Guidelines,翻译材料，不代表机构观点,See our translation of the World Artificial Intelligence Conference proposed legal guidelines related to AI security. The document puts forward legal means to ameliorate a wide variety of potential dangers posed by the rise of AI technology.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1403.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1403.txt,https://cset.georgetown.edu/publication/waic-artificial-intelligence-security-and-rule-of-law-guidelines/
人工智能与算力,C-CSET-1376,2020-01-23,W2,CSET原创研究报告,The Question of Comparative Advantage in Artificial Intelligence: Enduring Strengths and Emerging Challenges for the United States,作者/项目正式研究,"How do we measure leadership in artificial intelligence, and where does the United States rank? This policy brief examines potential AI strengths of the United States and China and prescribes recommendations to ensure the United States remains ahead.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1376.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1376.txt,https://cset.georgetown.edu/publication/the-question-of-comparative-advantage-in-artificial-intelligence-enduring-strengths-and-emerging-challenges-for-the-united-states/
人工智能与算力,C-CSET-1618,2020-02-01,W2,CSET原创研究报告,Recommendations on Export Controls for Artificial Intelligence,作者/项目正式研究,"What U.S. export controls on AI-relevant technologies would help further aims such as stability and human rights abroad without impeding U.S. R&D? This issue brief assesses where such controls will be effective, ineffective or even damaging to the interests of the United States and its allies.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1618.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1618.txt,https://cset.georgetown.edu/publication/recommendations-on-export-controls-for-artificial-intelligence/
技术转移与出口管制,C-CSET-1618,2020-02-01,W2,CSET原创研究报告,Recommendations on Export Controls for Artificial Intelligence,作者/项目正式研究,"What U.S. export controls on AI-relevant technologies would help further aims such as stability and human rights abroad without impeding U.S. R&D? This issue brief assesses where such controls will be effective, ineffective or even damaging to the interests of the United States and its allies.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1618.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1618.txt,https://cset.georgetown.edu/publication/recommendations-on-export-controls-for-artificial-intelligence/
科技人才与科研安全,C-CSET-1740,2020-02-13,W2,中国科技政策英译,Notice on Applying for 2020 National Foreign Expert Projects,翻译材料，不代表机构观点,"See our translation of three different Chinese government programs designed to recruit foreign talent in 2020 in support of China’s economic development, particularly in tech fields.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1740.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1740.txt,https://cset.georgetown.edu/publication/notice-on-applying-for-2020-national-foreign-expert-projects/
人工智能与算力,C-CSET-1742,2020-03-01,W2,中国科技政策英译,Notice Regarding the Establishment of the Ministry of Education AI Technology Innovation Expert Group,翻译材料，不代表机构观点,"See our translation of the announcement of the formation of the Ministry’s Artificial Intelligence Technology Innovation Expert Group and lists all members of the group. CSET has annotated this translation with additional information about each group member, gleaned from publicly available information.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1742.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1742.txt,https://cset.georgetown.edu/publication/notice-of-the-office-of-the-ministry-of-education-regarding-the-establishment-of-the-ministry-of-education-ai-technology-innovation-expert-group/
