报告ID,机构ID,发布日期,观察窗,报告名称,资料角色,主题线索,本地PDF,逐页文本,示踪切片,官方落地页
E-CRDS-2021-NANO,jst-crds,2021-03-01,W2,Panoramic View Report: Nanotechnology/Materials Research Field (2021),全球科技基线与中国比较,关键技术国际比较；先进材料,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2021-NANO.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2021-NANO.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2021-NANO.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2020-FR-03.html
E-CRDS-2021-LIFE,jst-crds,2021-03-01,W2,Panoramic View Report: Life Science and Clinical Research Field (2021),全球科技基线与中国比较,关键技术国际比较；生命科学,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2021-LIFE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2021-LIFE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CRDS-2021-LIFE.md,https://www.jst.go.jp/crds/en/publications/CRDS-FY2020-FR-04.html
E-NISTEP-2017-IND,nistep,2017-08-01,W1,Digest of Japanese Science and Technology Indicators 2017,全球科技基线与中国比较,科技实力指标；中国国际比较,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-NISTEP-2017-IND.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-NISTEP-2017-IND.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-NISTEP-2017-IND.md,https://www.nistep.go.jp/en/?p=4248
E-NISTEP-2018-IND,nistep,2018-10-01,W1,Digest of Japanese Science and Technology Indicators 2018,全球科技基线与中国比较,科技实力指标；中国国际比较,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-NISTEP-2018-IND.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-NISTEP-2018-IND.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-NISTEP-2018-IND.md,https://www.nistep.go.jp/en/?page_id=52
E-NISTEP-2019-IND,nistep,2019-11-01,W2,Digest of Japanese Science and Technology Indicators 2019,全球科技基线与中国比较,科技实力指标；中国国际比较,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-NISTEP-2019-IND.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-NISTEP-2019-IND.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-NISTEP-2019-IND.md,https://www.nistep.go.jp/en/?page_id=52
E-NISTEP-2020-IND,nistep,2020-11-01,W2,Digest of Japanese Science and Technology Indicators 2020,全球科技基线与中国比较,科技实力指标；中国国际比较,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-NISTEP-2020-IND.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-NISTEP-2020-IND.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-NISTEP-2020-IND.md,https://www.nistep.go.jp/en/?page_id=52
E-NISTEP-2021-IND,nistep,2021-11-01,W2,Digest of Japanese Science and Technology Indicators 2021,全球科技基线与中国比较,科技实力指标；中国国际比较,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-NISTEP-2021-IND.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-NISTEP-2021-IND.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-NISTEP-2021-IND.md,https://www.nistep.go.jp/en/?page_id=52
E-OECD-2017-DEO,oecd-sti,2017-10-11,W1,OECD Digital Economy Outlook 2017,全球科技基线与中国比较,数字转型；开放与治理,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-OECD-2017-DEO.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-OECD-2017-DEO.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-OECD-2017-DEO.md,https://www.oecd.org/en/publications/oecd-digital-economy-outlook-2017_9789264276284-en.html
E-OECD-2019-GOING,oecd-sti,2019-03-11,W2,"Going Digital: Shaping Policies, Improving Lives",全球科技基线与中国比较,数字转型；综合政策框架,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-OECD-2019-GOING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-OECD-2019-GOING.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-OECD-2019-GOING.md,https://www.oecd.org/en/publications/going-digital-shaping-policies-improving-lives_9789264312012-en.html
E-OECD-2019-MEASURE,oecd-sti,2019-03-11,W2,Measuring the Digital Transformation: A Roadmap for the Future,全球科技基线与中国比较,数字转型；指标体系,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-OECD-2019-MEASURE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-OECD-2019-MEASURE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-OECD-2019-MEASURE.md,https://www.oecd.org/en/publications/measuring-the-digital-transformation_9789264311992-en.html
E-OECD-2019-AI,oecd-sti,2019-06-11,W2,Artificial Intelligence in Society,全球科技基线与中国比较,人工智能；可信治理,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-OECD-2019-AI.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-OECD-2019-AI.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-OECD-2019-AI.md,https://www.oecd.org/en/publications/2019/06/artificial-intelligence-in-society_c0054fa1.html
E-OECD-2020-DEO,oecd-sti,2020-11-27,W2,OECD Digital Economy Outlook 2020,全球科技基线与中国比较,数字转型；疫情冲击；数据治理,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-OECD-2020-DEO.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-OECD-2020-DEO.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-OECD-2020-DEO.md,https://www.oecd.org/en/publications/oecd-digital-economy-outlook-2020_bb167041-en.html
E-MERICS-2016-MIC,merics-tech,2016-08-12,W1,Made in China 2025: The Making of a High-Tech Superpower and Consequences for Industrial Countries,涉华科技直接分析,中国制造2025；产业政策,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2016-MIC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2016-MIC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-MERICS-2016-MIC.md,https://merics.org/en/report/made-china-2025
E-MERICS-2018-SERVE,merics-tech,2018-10-18,W1,Serve the People: Innovation and IT in China’s Social Development Agenda,涉华科技直接分析,中国数字治理；社会应用,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2018-SERVE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2018-SERVE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-MERICS-2018-SERVE.md,https://merics.org/report/serve-people
E-MERICS-2019-DIGITAL,merics-tech,2019-04-08,W2,China's Digital Rise: Challenges for Europe,涉华科技直接分析,中国数字崛起；欧洲应对,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2019-DIGITAL.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2019-DIGITAL.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-MERICS-2019-DIGITAL.md,https://merics.org/en/report/chinas-digital-rise
E-MERICS-2019-MIC,merics-tech,2019-07-02,W2,Evolving Made in China 2025: China’s Industrial Policy in the Quest for Global Tech Leadership,涉华科技直接分析,中国制造2025；技术领导力,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2019-MIC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2019-MIC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-MERICS-2019-MIC.md,https://merics.org/en/report/evolving-made-china-2025
E-MERICS-2020-DECOUPLING,merics-tech,2020-08-20,W2,Resilience and Decoupling in the Era of Great Power Competition,涉华科技直接分析,中美科技竞争；脱钩；韧性,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2020-DECOUPLING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2020-DECOUPLING.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-MERICS-2020-DECOUPLING.md,https://merics.org/en/report/resilience-and-decoupling-era-great-power-competition
E-MERICS-2021-DECOUPLING,merics-tech,2021-01-14,W2,Decoupling: Severed Ties and Patchwork Globalisation,涉华科技直接分析,技术脱钩；供应链；数据治理,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2021-DECOUPLING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2021-DECOUPLING.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-MERICS-2021-DECOUPLING.md,https://merics.org/en/report/decoupling-severed-ties-and-patchwork-globalisation
E-ASPI-2018-BIGDATA,aspi,2018-06-22,W1,Big Data in China and the Battle for Privacy,涉华科技直接分析,中国大数据；隐私；治理,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2018-BIGDATA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-ASPI-2018-BIGDATA.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-ASPI-2018-BIGDATA.md,https://www.aspi.org.au/report/big-data-china-and-battle-privacy
E-ASPI-2018-ENTANGLE,aspi,2018-06-28,W1,"Technological Entanglement: Cooperation, Competition and the Dual-Use Dilemma in Artificial Intelligence",涉华科技直接分析,中美AI合作；双用途风险,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2018-ENTANGLE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-ASPI-2018-ENTANGLE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-ASPI-2018-ENTANGLE.md,https://www.aspi.org.au/report/technological-entanglement
E-ASPI-2018-HACKING,aspi,2018-09-25,W1,Hacking for Ca$h,涉华科技直接分析,中国网络活动；技术安全,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2018-HACKING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-ASPI-2018-HACKING.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-ASPI-2018-HACKING.md,https://www.aspi.org.au/report/hacking-cash/
E-ASPI-2019-MAP,aspi,2019-04-18,W2,Mapping China's Tech Giants,涉华科技直接分析,中国科技企业；全球扩张,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2019-MAP.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-ASPI-2019-MAP.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-ASPI-2019-MAP.md,https://www.aspi.org.au/report/mapping-chinas-tech-giants/
E-ASPI-2019-MAP2,aspi,2019-11-28,W2,Mapping More of China's Tech Giants: AI and Surveillance,涉华科技直接分析,中国AI企业；监控技术,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2019-MAP2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-ASPI-2019-MAP2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-ASPI-2019-MAP2.md,https://www.aspi.org.au/report/mapping-more-chinas-tech-giants/
E-ASPI-2020-TIKTOK,aspi,2020-09-08,W2,TikTok and WeChat: Curating and Controlling Global Information Flows,涉华科技直接分析,中国平台企业；信息治理,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2020-TIKTOK.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-ASPI-2020-TIKTOK.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-ASPI-2020-TIKTOK.md,https://www.aspi.org.au/report/tiktok-wechat/
E-ASPI-2021-SUPPLY,aspi,2021-06-08,W2,Mapping China's Tech Giants: Supply Chains and the Global Data Collection Ecosystem,涉华科技直接分析,数字供应链；全球数据生态,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2021-SUPPLY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-ASPI-2021-SUPPLY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-ASPI-2021-SUPPLY.md,https://www.aspi.org.au/report/mapping-chinas-tech-giants-supply-chains-and-global-data-collection-ecosystem/
E-ASPI-2021-REINING,aspi,2021-06-08,W2,Mapping China's Technology Giants: Reining in China’s Technology Giants,涉华科技直接分析,中国科技企业；技术自立,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2021-REINING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-ASPI-2021-REINING.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-ASPI-2021-REINING.md,https://www.aspi.org.au/report/mapping-chinas-technology-giants-reining-chinas-technology-giants/
E-CSIS-2018-DISRUPT,csis,2018-01-08,W1,"Disruptors, Innovators, and Thieves: Assessing Innovation in China’s Digital Economy",涉华科技直接分析,中国数字创新；产业竞争,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CSIS-2018-DISRUPT.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CSIS-2018-DISRUPT.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CSIS-2018-DISRUPT.md,https://www.csis.org/analysis/disruptors-innovators-and-thieves
E-CSIS-2019-TRANSFER,csis,2019-09-04,W2,Emerging Technologies and Managing the Risk of Tech Transfer to China,涉华科技直接分析,技术转移；开放边界,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CSIS-2019-TRANSFER.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CSIS-2019-TRANSFER.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CSIS-2019-TRANSFER.md,https://www.csis.org/analysis/emerging-technologies-and-managing-risk-tech-transfer-china
E-CSIS-2020-DRIVE,csis,2020-02-27,W2,China’s Uneven High-Tech Drive: Implications for the United States,涉华科技直接分析,中国高技术产业；竞争力,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CSIS-2020-DRIVE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CSIS-2020-DRIVE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CSIS-2020-DRIVE.md,https://www.csis.org/analysis/chinas-uneven-high-tech-drive-implications-united-states
E-CSIS-2020-301,csis,2020-04-10,W2,"Section 301 Investigation: China’s Acts, Policies and Practices Related to Technology Transfer, Intellectual Property, and Innovation",涉华科技直接分析,技术转移；知识产权；产业政策,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CSIS-2020-301.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CSIS-2020-301.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-CSIS-2020-301.md,https://www.csis.org/analysis/section-301-investigation
