报告ID,统一目录报告ID,系列编号,发布日期,日期精度,报告名称,作者,科学技术创新主题,中国关联,官方系列页,官方PDF入口,资料层级,全文策略,源文件SHA256,采集日期
C-FRAUNHOFER-ISI-DP-58,C-FRAUNHOFER-ISI-DP-58,58,2018-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Effects of Automatisation and Digitalisation on Manufacturing Companies' Production Efficiency and Innovation Performance,"N o . 5 8 Henning Kroll, Djerdj Horvat, Angela Jäger",产业创新转化与区域生态,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_58_2018.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-59,C-FRAUNHOFER-ISI-DP-59,59,2018-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,From strategy to implementation – what is desirable and what realistic?,Henning Kroll,创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_59_2018.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-60,C-FRAUNHOFER-ISI-DP-60,60,2019-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Probabilistic concordance schemes for the re-assignment of patents to economic sectors and scientific publications to technology fields,"Peter Neuhäusler, Rainer Frietsch, Henning Kroll",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2019/discussionpaper_60_2019.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-61,C-FRAUNHOFER-ISI-DP-61,61,2019-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Regional technological systems in transition - Dynamics of relatedness and techno-economic matches in China,"Henning Kroll, Peter Neuhäusler",创新政策与研发治理；中国科技横向维度,是,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2019/discussionpaper_61_2019.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-62,C-FRAUNHOFER-ISI-DP-62,62,2020-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,The development of China's R&I system in the past 10 years,Rainer Frietsch,创新政策与研发治理；中国科技横向维度,是,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_62_2020.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-63,C-FRAUNHOFER-ISI-DP-63,63,2020-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Current R&I policy: The future development of China´s R&I system,Rainer Frietsch,创新政策与研发治理；中国科技横向维度,是,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_63_2020.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-64,C-FRAUNHOFER-ISI-DP-64,64,2020-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Developing a Typology for Mission-Oriented Innovation Policies,"Florian Wittmann, Miriam Hufnagl, Ralf Lindner, Florian Roth, Jakob Edler",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_64_2020.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-65,C-FRAUNHOFER-ISI-DP-65,65,2020-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,The Roles of the State in the Governance of Socio-Technical Systems' Transformation,"Susana Borrás, Jakob Edler",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_65_2020.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-66,C-FRAUNHOFER-ISI-DP-66,66,2020-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Understanding Conceptual Impact of Scientific Knowledge on Policy: the Role of Policy-making Conditions,"Jakob Edler, Maria Karaulova, Katharine Barker",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_66_2020.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-67,C-FRAUNHOFER-ISI-DP-67,67,2020-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Transformation des Innovationssystems: Neue Anforderungen an die Innovationspolitik,"Alfons Botthof, Jakob Edler, Katrin Hahn, Hartmut Hirsch-Kreinsen, Matthias Weber, Jan Wessels",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_67_2020.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-68,C-FRAUNHOFER-ISI-DP-68,68,2020-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Beiträge zur Analyse der Digitalisierung aus Innovationsperspektive,"Bernd Beckert, Lorenz Erdmann, Alexander Feidenheimer, Matthias Gotsch, Henning Kroll, Andreas Röß, Torben Schubert",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_68_2020.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-69,C-FRAUNHOFER-ISI-DP-69,69,2021-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Generating a classification for EUIPO trademark filings - A string matching approach,"Peter Neuhäusler, Alexander Feidenheimer, Rainer Frietsch, Henning Kroll",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2021/discussionpaper_69_2021.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-70,C-FRAUNHOFER-ISI-DP-70,70,2021-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,"Technology Sovereignty as an Emerging Frame for Innovation Policy - Defining Rationales, Ends and Means","Jakob Edler, Knut Blind, Henning Kroll, Torben Schubert",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2021/discussionpaper_70_2021.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-71,C-FRAUNHOFER-ISI-DP-71,71,2021-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,From mission definition to implementation: Conceptualizing mission-oriented policies as a multi-stage translation process,"Florian Wittmann, Miriam Hufnagl, Florian Roth, Merve Yorulmaz, Ralf Lindner",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2021/discussionpaper_71_2021.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-72,C-FRAUNHOFER-ISI-DP-72,72,2022-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Understanding the macroeconomic Effects of public Research: an Application of a Regression-microfounded CGE-model to the Case of the Fraunhofer-Gesellschaft in Germany,"Allan Grant, Gioele Figus, Torben Schubert",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2022/discussionpaper_72_2022.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-73,C-FRAUNHOFER-ISI-DP-73,73,2022-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,China's Changing Role in Global Science and Innovation,"Henning Kroll, Rainer Frietsch",国际合作开放科学与比较；中国科技横向维度,是,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2022/discussionpaper_73_2022.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-74,C-FRAUNHOFER-ISI-DP-74,74,2022-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Concepts and methods to measure societal impacts – an overview,"Susanne Bührer, Alexander Feidenheimer, Rainer Walz, Ralf Lindner, Bernd Beckert, Elisa Wallwaey",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2022/discussionpaper_74_2022.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-75,S-FISI-2022-01,75,2022-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Putting Mission-Oriented Innovation Policies to Work: A case study of the German High-Tech Strategy 2025,"Florian Roth, Florian Wittmann, Miriam Hufnagl, Ralf Lindner",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2022/discussionpaper_75_2022.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-78,C-FRAUNHOFER-ISI-DP-78,78,2022-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Entwicklung eines gestaltungsorientierten Evaluations- und Monitoring-Systems zur Erfassung komplexer Wirkungen,"Susanne Bührer, Florian Roth",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2023/discussionpaper_78_2022.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-76,C-FRAUNHOFER-ISI-DP-76,76,2023-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Post-growth and the demand-pull hypothesis of innovation: Biting the hand that feeds you?,"Johannes Jasny, Torben Schubert",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2023/discussionpaper_76_2023.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-77,C-FRAUNHOFER-ISI-DP-77,77,2023-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Bringing Research into Policy: Understanding Context-specific Requirements for Productive Knowledge Brokering in Legislatures,"Maria Karaulova, Jakob Edler",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2023/discussionpaper_77_2023.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-79,C-FRAUNHOFER-ISI-DP-79,79,2023-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,"Demand, public procurement and transformation",Jakob Edler,创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2023/discussionpaper_79_2023.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-80,C-FRAUNHOFER-ISI-DP-80,80,2023-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Public sector organisations as agents of transformations - A framework for analysing structural changes within Public Sector Organisations (PSO),"Thomas Jackwerth-Rice, Nof Afghani, Stephanie Daimer, Ralf Lindner, Florian Wittmann",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2023/discussionpaper_80_2023.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-81,C-FRAUNHOFER-ISI-DP-81,81,2023-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Digitale Geschäftsmodelle: Zugrundeliegende Trends und kennzeichnende Charakteristika,Frederik M. Metzger,创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2023/discussionpaper_81_2023.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-82,C-FRAUNHOFER-ISI-DP-82,82,2024-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Potential and resilience: Evidence from peripheral regions of Germany,"Valeria Maruseva, Henning Kroll",安全供应链与治理边界,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/2024/discussionpaper_82_2024.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-83,C-FRAUNHOFER-ISI-DP-83,83,2024-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Innovation without growth? Exploring the (in)dependency of innovation on economic growth,"Nils B. Heyen, Andrea Zenker, Heike Aichinger, Tanja Bratan, Tanja Kaufmann, Esther Schnabl",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/2024/discussionpaper_83_2024.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
