报告ID,发布日期,报告名称,官方落地页,官方PDF入口,本地原始PDF,本地页面HTML,本地文本,本地切片,页数,字节数,清洗文本字符数,China词形命中数,SHA256,科技创新主轴,科技创新复用角色,选择理由,获取日期,中国直接信号
C-EU-JRC-JRC119974,2020-01-01,AI Watch - National strategies on Artificial Intelligence: A European perspective in 2019,https://publications.jrc.ec.europa.eu/repository/handle/JRC119974,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC119974/national_strategies_on_artificial_intelligence_final_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC119974.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC119974.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC119974.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC119974.md,90,2770623,287214,0,637c24862d5aa743baec110e866be8d8a2df94e834d51aaaf49586cd55bfa654,关键与新兴技术；研发投入与创新政策,国家AI战略比较与政策工具节点,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,否
C-EU-JRC-JRC121184,2020-01-01,Global race for robotisation – Looking at the entire robotisation chain,https://publications.jrc.ec.europa.eu/repository/handle/JRC121184,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC121184/jrc121184_global_race_for_robotisation_final_online_identifiers_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC121184.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC121184.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC121184.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC121184.md,39,1837619,100817,17,c6822bf90e416d33d92190451a48d96432e7e886722c4711f0131be4598aa483,研发投入与创新政策；关键与新兴技术；产业创新与成果转化；国际合作与中国比较,中欧美机器人科研、专利、制造与应用链条的系统比较,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC121318,2020-01-01,New and Emerging Transport Technologies and Trends in European Research and Innovation Projects,https://publications.jrc.ec.europa.eu/repository/handle/JRC121318,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC121318/netts_report_online_final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC121318.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC121318.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC121318.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC121318.md,94,3238226,299225,20,fcdeffa13750b632a19b02777ced1da677bc234a8c247b91d77cf35d35c723a0,关键与新兴技术；创新测量与政策方法,以项目数据识别新兴技术和技术趋势的方法样本,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,否
C-EU-JRC-JRC124072,2021-01-01,The impact of Smart Specialisation on the governance of research and innovation policy systems,https://publications.jrc.ec.europa.eu/repository/handle/JRC124072,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC124072/JRC124072_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC124072.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC124072.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC124072.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC124072.md,5,399809,22344,0,b59ec7dde9aaed10f7aec0f9d752741d804d873589cd76e678a77b885342ae87,研发投入与创新政策；科学体系与科研能力,区域专门化对科研创新治理结构的影响,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,否
C-EU-JRC-JRC125613,2021-01-01,EU in the global Artificial Intelligence landscape,https://publications.jrc.ec.europa.eu/repository/handle/JRC125613,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC125613/JRC125613_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC125613.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC125613.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC125613.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC125613.md,10,1566004,42529,23,7ae0934f2d5ba2c17099d31cf71eec597fc6a52780a1e719926b1ade58ae3632,关键与新兴技术；国际合作与中国比较,欧盟在全球AI科研和产业格局中的定位,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC129967,2022-01-01,Where the EU stands vis-à-vis the USA and China? Corporate R&D intensity gap and structural change,https://publications.jrc.ec.europa.eu/repository/handle/JRC129967,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC129967/JRC129967_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC129967.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC129967.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC129967.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC129967.md,6,1608439,19582,35,3f8e65d0350be644bdd3f83e63e4eb70704a6a33a732f93220889a5e2128bdb5,研发投入与创新政策；国际合作与中国比较,欧中美企业研发强度差距和产业结构变化的直接证据,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC131882,2022-01-01,"China 2.0 - Status and Foresight of EU-China Trade, Investment and Technological Race",https://publications.jrc.ec.europa.eu/repository/handle/JRC131882,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC131882/JRC131882_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC131882.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC131882.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC131882.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC131882.md,128,7529492,380348,1405,ce311677fb866e76210926d119f6aa668b640940d9650452829c81582c3e604e,关键与新兴技术；国际合作与中国比较,中欧技术竞争、投资和产业能力的综合前瞻,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC134319,2023-01-01,Everybody is looking into the Future! A literature review of reports on emerging technologies and disruptive innovation,https://publications.jrc.ec.europa.eu/repository/handle/JRC134319,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC134319/JRC134319_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC134319.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC134319.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC134319.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC134319.md,98,1123650,228495,0,13473d4d3e17cff59e7caf4c5decc131951d75b74d60dbe303bb744e2d8b3cc7,关键与新兴技术；创新测量与政策方法,新兴技术报告的系统综述和识别框架,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,否
C-EU-JRC-JRC133613,2023-01-01,Mapping the Scientific Base for SDGs and Digital Technologies,https://publications.jrc.ec.europa.eu/repository/handle/JRC133613,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC133613/JRC133613_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC133613.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC133613.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC133613.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC133613.md,47,2817435,97105,15,8dc9671116fbec3c953afb8c6dbd738ad3f2c3dc0fa04a37a6047d61e51bb667,科学体系与科研能力；关键与新兴技术；国际合作与中国比较,数字技术与可持续发展目标的全球科学基础和中国科研位置比较,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC134544,2023-01-01,Technology Foresight for Public Funding of Innovation: Methods and Best Practices,https://publications.jrc.ec.europa.eu/repository/handle/JRC134544,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC134544/JRC134544_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC134544.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC134544.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC134544.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC134544.md,72,2678575,215582,1,1ba7782c17a9d0208729c68aef7a15a66ef4768d1bddc51454e999d03495a5d9,创新测量与政策方法；研发投入与创新政策,技术前瞻介入公共创新资助的机制节点,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,否
C-EU-JRC-JRC137266,2024-01-01,Exploring the global landscape of biotech Innovation: preliminary insights from patent analysis,https://publications.jrc.ec.europa.eu/repository/handle/JRC137266,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC137266/JRC137266_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC137266.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC137266.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC137266.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC137266.md,27,1172486,55240,16,60fe7f0675b05f06baaa475b7d74d43ba987dba5fdb7081a97191a43fda35ffc,关键与新兴技术；产业创新与成果转化；国际合作与中国比较,以专利数据比较中国、美国和欧洲生物技术创新版图,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC137811,2024-01-01,Eyes on the Future - Signals from recent reports on emerging technologies and breakthrough innovations to support European Innovation Council strategic intelligence - Volume 1,https://publications.jrc.ec.europa.eu/repository/handle/JRC137811,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC137811/JRC137811_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC137811.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC137811.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC137811.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC137811.md,91,5098532,158665,0,6e5781d12a2613883d4c05022db108be35c9419a6d4ed871d1f757789f4911d0,关键与新兴技术；创新测量与政策方法,突破性创新信号进入资助决策的情报方法,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,否
C-EU-JRC-JRC138601,2024-01-01,Scientific Excellence 2018-2022,https://publications.jrc.ec.europa.eu/repository/handle/JRC138601,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC138601/JRC138601_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC138601.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC138601.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC138601.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC138601.md,29,889036,57588,3,626ba30dffdbec8eb8ccdca0d272fe7bd6a2e7f74ae5be9a4c4b8a345a840140,科学体系与科研能力；国际合作与中国比较,科研卓越度、学科结构和全球位置的比较节点,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,否
