主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
清洁技术、能源与绿色产业,科技产业与经济安全基线,C-BRUEGEL-B389F75D31,2018-12-20,W1,Is the European automotive industry ready for the global electric vehicle revolution?,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-B389F75D31.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-B389F75D31.txt,https://www.bruegel.org/policy-brief/european-automotive-industry-ready-global-electric-vehicle-revolution,官方PDF已保存并校验
欧洲科技产业与经济安全政策,核心科技直接材料,C-BRUEGEL-5C765C33B5,2019-09-12,W2,Hybrid and cybersecurity threats and the European Union’s financial system,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-5C765C33B5.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-5C765C33B5.txt,https://www.bruegel.org/policy-brief/hybrid-and-cybersecurity-threats-and-european-unions-financial-system,官方PDF已保存并校验
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-7E330CE417,2019-12-11,W2,Bridging the divide: new evidence about firms and digitalisation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-7E330CE417.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-7E330CE417.txt,https://www.bruegel.org/policy-brief/bridging-divide-new-evidence-about-firms-and-digitalisation,官方PDF已保存并校验
欧洲科技产业与经济安全政策,核心科技直接材料,C-BRUEGEL-80BF6143DA,2020-02-06,W2,From climate change to cyber attacks: Incipient financial-stability risks for the euro area,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-80BF6143DA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-80BF6143DA.txt,https://www.bruegel.org/policy-brief/climate-change-cyber-attacks-incipient-financial-stability-risks-euro-area,官方PDF已保存并校验
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-2ED891EDE7,2020-06-15,W2,"Occupational change, artificial intelligence and the geography of EU labour markets",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-2ED891EDE7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-2ED891EDE7.txt,https://www.bruegel.org/working-paper/occupational-change-artificial-intelligence-and-geography-eu-labour-markets,官方PDF已保存并校验
机器人、自动化与技术就业,核心科技直接材料,C-BRUEGEL-2ED891EDE7,2020-06-15,W2,"Occupational change, artificial intelligence and the geography of EU labour markets",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-2ED891EDE7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-2ED891EDE7.txt,https://www.bruegel.org/working-paper/occupational-change-artificial-intelligence-and-geography-eu-labour-markets,官方PDF已保存并校验
清洁技术、能源与绿色产业,核心科技直接材料,C-BRUEGEL-374D2192EC,2020-11-26,W2,Understanding the European Union’s regional potential in low-carbon technologies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-374D2192EC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-374D2192EC.txt,https://www.bruegel.org/working-paper/understanding-european-unions-regional-potential-low-carbon-technologies,官方PDF已保存并校验
工业政策、产业能力与竞争力,科技产业与经济安全基线,C-BRUEGEL-891C4F2E3F,2020-12-17,W2,A green industrial policy for Europe,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-891C4F2E3F.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-891C4F2E3F.txt,https://www.bruegel.org/blueprint/green-industrial-policy-europe,官方PDF已保存并校验
芯片、关键技术与科研创新,核心科技直接材料,C-BRUEGEL-BEF3CFF83F,2021-05-10,W2,Research and innovation policies and productivity growth,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-BEF3CFF83F.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-BEF3CFF83F.txt,https://www.bruegel.org/working-paper/research-and-innovation-policies-and-productivity-growth,官方PDF已保存并校验
清洁技术、能源与绿色产业,核心科技直接材料,C-BRUEGEL-89AE02C0E4,2021-07-01,W2,Commercialisation contracts: European support for low-carbon technology deployment,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-89AE02C0E4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-89AE02C0E4.txt,https://www.bruegel.org/policy-brief/commercialisation-contracts-european-support-low-carbon-technology-deployment,官方PDF已保存并校验
芯片、关键技术与科研创新,核心科技直接材料,S-BR-2021-01,2021-07-15,W2,A new direction for the European Union’s half-hearted semiconductor strategy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\S-BR-2021-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\S-BR-2021-01.txt,https://www.bruegel.org/policy-brief/new-direction-european-unions-half-hearted-semiconductor-strategy,复用库内既有资产
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-E2AFF05D1C,2021-11-17,W2,Biometric technologies at work: a proposed use-based taxonomy,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-E2AFF05D1C.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-E2AFF05D1C.txt,https://www.bruegel.org/policy-brief/biometric-technologies-work-proposed-use-based-taxonomy,官方PDF已保存并校验
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-ACC6129DA5,2021-11-30,W2,What is holding back artificial intelligence adoption in Europe?,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-ACC6129DA5.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-ACC6129DA5.txt,https://www.bruegel.org/policy-brief/what-holding-back-artificial-intelligence-adoption-europe,官方PDF已保存并校验
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-CF42C48F87,2021-12-16,W2,Market power and artificial intelligence work on online labour markets,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-CF42C48F87.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-CF42C48F87.txt,https://www.bruegel.org/working-paper/market-power-and-artificial-intelligence-work-online-labour-markets,官方PDF已保存并校验
机器人、自动化与技术就业,核心科技直接材料,C-BRUEGEL-CF42C48F87,2021-12-16,W2,Market power and artificial intelligence work on online labour markets,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-CF42C48F87.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-CF42C48F87.txt,https://www.bruegel.org/working-paper/market-power-and-artificial-intelligence-work-online-labour-markets,官方PDF已保存并校验
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-A382B592F3,2022-07-26,W3,The impact of artificial intelligence on the nature and quality of jobs,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-A382B592F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-A382B592F3.txt,https://www.bruegel.org/working-paper/impact-artificial-intelligence-nature-and-quality-jobs,官方网页全文已保存
机器人、自动化与技术就业,核心科技直接材料,C-BRUEGEL-A382B592F3,2022-07-26,W3,The impact of artificial intelligence on the nature and quality of jobs,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-A382B592F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-A382B592F3.txt,https://www.bruegel.org/working-paper/impact-artificial-intelligence-nature-and-quality-jobs,官方网页全文已保存
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-F49B7A7228,2022-08-30,W3,A gender perspective on artificial intelligence and jobs: The vicious cycle of digital inequality,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-F49B7A7228.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-F49B7A7228.txt,https://www.bruegel.org/working-paper/gender-perspective-artificial-intelligence-and-jobs-vicious-cycle-digital-inequality,官方网页全文已保存
机器人、自动化与技术就业,核心科技直接材料,C-BRUEGEL-F49B7A7228,2022-08-30,W3,A gender perspective on artificial intelligence and jobs: The vicious cycle of digital inequality,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-F49B7A7228.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-F49B7A7228.txt,https://www.bruegel.org/working-paper/gender-perspective-artificial-intelligence-and-jobs-vicious-cycle-digital-inequality,官方网页全文已保存
芯片、关键技术与科研创新,核心科技直接材料,C-BRUEGEL-5A9EDA7B6D,2022-11-18,W3,Lessons for Europe from China’s quest for semiconductor self-reliance,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-5A9EDA7B6D.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-5A9EDA7B6D.txt,https://www.bruegel.org/policy-brief/lessons-europe-chinas-quest-semiconductor-self-reliance,官方PDF已保存并校验
中国科技能力与中欧竞争合作,核心科技直接材料,C-BRUEGEL-5A9EDA7B6D,2022-11-18,W3,Lessons for Europe from China’s quest for semiconductor self-reliance,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-5A9EDA7B6D.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-5A9EDA7B6D.txt,https://www.bruegel.org/policy-brief/lessons-europe-chinas-quest-semiconductor-self-reliance,官方PDF已保存并校验
欧洲科技产业与经济安全政策,核心科技直接材料,C-BRUEGEL-3A50B158F3,2022-12-12,W3,The European Health Data Space,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-3A50B158F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-3A50B158F3.txt,https://www.bruegel.org/report/european-health-data-space,官方网页全文已保存
欧洲科技产业与经济安全政策,核心科技直接材料,C-BRUEGEL-7067A07E7D,2023-01-09,W3,Pro- and anti-competitive provisions in the proposed European Union Data Act,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-7067A07E7D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-7067A07E7D.txt,https://www.bruegel.org/working-paper/pro-and-anti-competitive-provisions-proposed-european-union-data-act,官方网页全文已保存
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-50E9D330BF,2023-01-23,W3,The hidden inequalities of digitalisation in the  post-pandemic context,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-50E9D330BF.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-50E9D330BF.txt,https://www.bruegel.org/working-paper/hidden-inequalities-digitalisation-post-pandemic-context,官方网页全文已保存
机器人、自动化与技术就业,核心科技直接材料,C-BRUEGEL-50E9D330BF,2023-01-23,W3,The hidden inequalities of digitalisation in the  post-pandemic context,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-50E9D330BF.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-50E9D330BF.txt,https://www.bruegel.org/working-paper/hidden-inequalities-digitalisation-post-pandemic-context,官方网页全文已保存
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-DA99B61B38,2023-03-09,W3,Artificial intelligence: how to get the most from the labour-productivity boost,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-DA99B61B38.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-DA99B61B38.txt,https://www.bruegel.org/analysis/artificial-intelligence-how-get-most-labour-productivity-boost,官方PDF已保存并校验
机器人、自动化与技术就业,核心科技直接材料,C-BRUEGEL-DA99B61B38,2023-03-09,W3,Artificial intelligence: how to get the most from the labour-productivity boost,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-DA99B61B38.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-DA99B61B38.txt,https://www.bruegel.org/analysis/artificial-intelligence-how-get-most-labour-productivity-boost,官方PDF已保存并校验
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-8A4E6A09F8,2023-03-14,W3,A high-level view of the impact of AI on the workforce,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-8A4E6A09F8.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-8A4E6A09F8.txt,https://www.bruegel.org/analysis/high-level-view-impact-ai-workforce,官方PDF已保存并校验
机器人、自动化与技术就业,核心科技直接材料,C-BRUEGEL-8A4E6A09F8,2023-03-14,W3,A high-level view of the impact of AI on the workforce,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-8A4E6A09F8.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-8A4E6A09F8.txt,https://www.bruegel.org/analysis/high-level-view-impact-ai-workforce,官方PDF已保存并校验
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-FF9A4EB37E,2023-03-16,W3,Artificial intelligence adoption in the public sector: a case study,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-FF9A4EB37E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-FF9A4EB37E.txt,https://www.bruegel.org/working-paper/artificial-intelligence-adoption-public-sector-case-study,官方网页全文已保存
人工智能、算力与数字技术,核心科技直接材料,C-BRUEGEL-0E69452490,2023-04-06,W3,China’s 2023 work report and what it means: an AI post-mortem,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-0E69452490.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-0E69452490.txt,https://www.bruegel.org/analysis/chinas-2023-work-report-and-what-it-means-ai-post-mortem,官方PDF已保存并校验
中国科技能力与中欧竞争合作,核心科技直接材料,C-BRUEGEL-0E69452490,2023-04-06,W3,China’s 2023 work report and what it means: an AI post-mortem,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-0E69452490.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-0E69452490.txt,https://www.bruegel.org/analysis/chinas-2023-work-report-and-what-it-means-ai-post-mortem,官方PDF已保存并校验
清洁技术、能源与绿色产业,核心科技直接材料,C-BRUEGEL-4F38CB199F,2023-05-17,W3,Cleantech manufacturing: where does Europe really stand?,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BRUEGEL-4F38CB199F.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BRUEGEL-4F38CB199F.txt,https://www.bruegel.org/analysis/cleantech-manufacturing-where-does-europe-really-stand-0,官方PDF已保存并校验
供应链、技术管制与经济安全,科技产业与经济安全基线,C-BRUEGEL-E870E3ACD4,2023-06-18,W3,Resilience of Global Supply Chain: Facts and Implications,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-E870E3ACD4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-E870E3ACD4.txt,https://www.bruegel.org/report/resilience-global-supply-chain-facts-and-implications-0,官方网页全文已保存
供应链、技术管制与经济安全,科技产业与经济安全基线,C-BRUEGEL-D95DD06482,2023-06-27,W3,Resilience of Global Supply Chain: Facts and Implications,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-D95DD06482.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-D95DD06482.txt,https://www.bruegel.org/report/resilience-global-supply-chain-facts-and-implications,官方网页全文已保存
中国科技能力与中欧竞争合作,科技产业与经济安全基线,C-BRUEGEL-D95DD06482,2023-06-27,W3,Resilience of Global Supply Chain: Facts and Implications,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-D95DD06482.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BRUEGEL-D95DD06482.txt,https://www.bruegel.org/report/resilience-global-supply-chain-facts-and-implications,官方网页全文已保存
