报告ID,发布日期,报告名称,WordPress记录ID,官方落地页,官方API入口,本地原始资产,本地文本,本地切片,字节数,字符数,清洗文本字符数,China词形命中数,SHA256,中国直接信号,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-FAS-2023-118TH-CONGRESS,2023-01-12,Science and Innovation in the 118th Congress,4677,https://fas.org/publication/118th-congress/,"https://fas.org/wp-json/wp/v2/publications/4677?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2023-118TH-CONGRESS.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2023-118TH-CONGRESS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2023-118TH-CONGRESS.md,5186,5184,1763,0,b4fa4f40431e19fef28b07739663e5cb276ce02b8a4e31104ddcbee935ab4e60,否,科学体系与基础研究；研发治理与科研组织,国会科学创新议程、科研投入与创新制度组合,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2023-118TH-CONGRESS-EMERGING-TECH-COMPETITIVENESS,2023-01-12,118th Congress: Emerging Tech & Competitiveness,4678,https://fas.org/publication/118th-congress-emerging-tech-competitiveness/,"https://fas.org/wp-json/wp/v2/publications/4678?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2023-118TH-CONGRESS-EMERGING-TECH-COMPETITIVENESS.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2023-118TH-CONGRESS-EMERGING-TECH-COMPETITIVENESS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2023-118TH-CONGRESS-EMERGING-TECH-COMPETITIVENESS.md,14564,14557,10483,1,2f5d76bc741214bd85a661403f8edf7214e72669f210d07b079a1a780e7fd9bb,是,关键与通用技术；技术创新与产业转化,先进技术、产业竞争力与中国科技竞争议程,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2023-APPLYING-ARPA-I-A-PROVEN-MODEL-FOR-TRANSPORTATION-INFRASTRUCTURE,2023-06-06,Applying ARPA-I: A Proven Model for Transportation Infrastructure,22228,https://fas.org/publication/applying-arpa-i-a-proven-model-for-transportation-infrastructure/,"https://fas.org/wp-json/wp/v2/publications/22228?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2023-APPLYING-ARPA-I-A-PROVEN-MODEL-FOR-TRANSPORTATION-INFRASTRUCTURE.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2023-APPLYING-ARPA-I-A-PROVEN-MODEL-FOR-TRANSPORTATION-INFRASTRUCTURE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2023-APPLYING-ARPA-I-A-PROVEN-MODEL-FOR-TRANSPORTATION-INFRASTRUCTURE.md,54791,54669,37721,0,b1c8408680c9be2ee8384ac37acd85f0a16e08c45a7efa1ebcbdff895a0679ec,否,研发治理与科研组织；技术创新与产业转化,把ARPA型高风险研发机制移植到交通基础设施,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2024-PREDICTING-PROGRESS-UTILITY-FORECASTING,2024-03-18,Predicting Progress: A Pilot of Expected Utility Forecasting in Science Funding,28975,https://fas.org/publication/predicting-progress-utility-forecasting/,"https://fas.org/wp-json/wp/v2/publications/28975?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2024-PREDICTING-PROGRESS-UTILITY-FORECASTING.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2024-PREDICTING-PROGRESS-UTILITY-FORECASTING.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2024-PREDICTING-PROGRESS-UTILITY-FORECASTING.md,64041,63808,45857,0,415557c0e69ed6db944d16ecea5f7b132f4de3b31ab9652843a364ff97f3f382,否,科学体系与基础研究；研发治理与科研组织,以预期效用预测改善科研资助决策,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2024-AGENCY-PERSPECTIVES-BIOECONOMY,2024-07-16,Understanding the U.S. Bioeconomy: Agency Perspectives,31722,https://fas.org/publication/agency-perspectives-bioeconomy/,"https://fas.org/wp-json/wp/v2/publications/31722?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2024-AGENCY-PERSPECTIVES-BIOECONOMY.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2024-AGENCY-PERSPECTIVES-BIOECONOMY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2024-AGENCY-PERSPECTIVES-BIOECONOMY.md,32887,32814,25140,0,35ba06940abbc969fb56a14882c53781addf2f39438efd1bfa924b5fd98cd169,否,关键与通用技术；研发治理与科研组织,跨部门生物经济定义、任务分工与政策协调,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2024-MICRO-ARPA,2024-12-09,Micro-ARPAs: Enhancing Scientific Innovation Through Small Grant Programs,34583,https://fas.org/publication/micro-arpa/,"https://fas.org/wp-json/wp/v2/publications/34583?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2024-MICRO-ARPA.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2024-MICRO-ARPA.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2024-MICRO-ARPA.md,16547,16495,11153,0,59900ba5e98ac81d9cc82c661a7db3546c1ca2e4c84a4447bc0ac69aba5f96cb,否,科学体系与基础研究；研发治理与科研组织,小额快速拨款与分布式ARPA式科学创新,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2024-CREATING-A-SCIENCE-AND-TECHNOLOGY-HUB-IN-CONGRESS,2024-12-16,Creating a Science and Technology Hub in Congress,34761,https://fas.org/publication/creating-a-science-and-technology-hub-in-congress/,"https://fas.org/wp-json/wp/v2/publications/34761?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2024-CREATING-A-SCIENCE-AND-TECHNOLOGY-HUB-IN-CONGRESS.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2024-CREATING-A-SCIENCE-AND-TECHNOLOGY-HUB-IN-CONGRESS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2024-CREATING-A-SCIENCE-AND-TECHNOLOGY-HUB-IN-CONGRESS.md,14654,14611,9891,0,adbcc1d837297abc771956bc2fa8a3a07178e2c1f05350bf63c8806959c997e8,否,研发治理与科研组织；科技人才与科研职业,增强立法机构科技评估和科学政策能力,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2025-CONTAIN-CHINA-ON-LEGACY-CHIPS,2025-02-06,Taking on the World’s Factory: A Path to Contain China on Legacy Chips,35848,https://fas.org/publication/contain-china-on-legacy-chips/,"https://fas.org/wp-json/wp/v2/publications/35848?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2025-CONTAIN-CHINA-ON-LEGACY-CHIPS.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2025-CONTAIN-CHINA-ON-LEGACY-CHIPS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2025-CONTAIN-CHINA-ON-LEGACY-CHIPS.md,42892,42812,34168,122,e3d8849762c27a8e3f1a8bced72ffa67c45d8780a903d7a088857fc374d2d6e8,是,关键与通用技术；技术创新与产业转化,成熟制程芯片产能、产业政策与中国制造竞争,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2025-FUELING-THE-BIOECONOMY-CLEAN-ENERGY,2025-07-02,Fueling the Bioeconomy: Clean Energy Policies Driving Biotechnology Innovation,38266,https://fas.org/publication/fueling-the-bioeconomy-clean-energy/,"https://fas.org/wp-json/wp/v2/publications/38266?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2025-FUELING-THE-BIOECONOMY-CLEAN-ENERGY.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2025-FUELING-THE-BIOECONOMY-CLEAN-ENERGY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2025-FUELING-THE-BIOECONOMY-CLEAN-ENERGY.md,26933,26928,23967,0,a27c812397b15581c70a2a3359f07d053b35a333596c800870fee38409237509,否,关键与通用技术；技术创新与产业转化,清洁能源政策如何形成生物技术创新需求和市场,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2025-MEASURING-RESEARCH-BUREAUCRACY,2025-07-07,Measuring Research Bureaucracy to Boost Scientific Efficiency and Innovation,38282,https://fas.org/publication/measuring-research-bureaucracy/,"https://fas.org/wp-json/wp/v2/publications/38282?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2025-MEASURING-RESEARCH-BUREAUCRACY.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2025-MEASURING-RESEARCH-BUREAUCRACY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2025-MEASURING-RESEARCH-BUREAUCRACY.md,12316,12294,9074,0,856b14d0fb1f2b5dcee05b0d2f86e3d43a730dac1dade3c1e47c35ca7b5c8667,否,科学体系与基础研究；研发治理与科研组织,测量行政负担并提高科研人员有效研究时间,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-FAS-2025-REBUILD-CORPORATE-RESEARCH,2025-07-09,Rebuild Corporate Research for a Stronger American Future,38303,https://fas.org/publication/rebuild-corporate-research/,"https://fas.org/wp-json/wp/v2/publications/38303?_fields=id,date,slug,link,title,content,excerpt,publication-type",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-FAS-2025-REBUILD-CORPORATE-RESEARCH.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-FAS-2025-REBUILD-CORPORATE-RESEARCH.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-FAS-2025-REBUILD-CORPORATE-RESEARCH.md,13953,13893,10162,0,a0134c239276fdcbfea30faedf11bdd353beaaa233ecaf86e38f3ad8d68b2290,否,科学体系与基础研究；技术创新与产业转化,企业研究实验室衰退与长期产业创新能力重建,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
