主题标签,科技关联层级,观察窗,韩文报告类型,下载优先级,本地状态,材料数
产业创新、创业与区域体系,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,1
产业创新、创业与区域体系,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方PDF已保存并校验,2
产业创新、创业与区域体系,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,5
产业创新、创业与区域体系,核心科技直接材料,W3,정책기획,P0-China-tech,官方PDF已保存并校验,2
产业创新、创业与区域体系,核心科技直接材料,W3,정책기획,P0-core-tech,官方PDF已保存并校验,12
产业创新、创业与区域体系,核心科技直接材料,W3,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,9
产业创新、创业与区域体系,核心科技直接材料,W3,조사평가,P0-core-tech,官方PDF已保存并校验,2
产业创新、创业与区域体系,核心科技直接材料,W3,조사평가,P0-core-tech,官方目录元数据，附件未列入本批,1
产业创新、创业与区域体系,科技创新政策与能力基线,W1,예비타당성조사,P1-global-STI,官方目录元数据，附件未列入本批,3
产业创新、创业与区域体系,科技创新政策与能力基线,W1,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,5
产业创新、创业与区域体系,科技创新政策与能力基线,W1,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,1
产业创新、创业与区域体系,科技创新政策与能力基线,W1,조사평가,P1-global-STI,官方目录元数据，附件未列入本批,1
产业创新、创业与区域体系,科技创新政策与能力基线,W1,조사평가,P2-STI-baseline,官方目录元数据，附件未列入本批,1
产业创新、创业与区域体系,科技创新政策与能力基线,W2,미래예측,P0-China-tech,官方PDF已保存并校验,1
产业创新、创业与区域体系,科技创新政策与能力基线,W2,미래예측,P1-global-STI,官方目录元数据，附件未列入本批,1
产业创新、创业与区域体系,科技创新政策与能力基线,W2,미래예측,P2-STI-baseline,官方目录元数据，附件未列入本批,2
产业创新、创业与区域体系,科技创新政策与能力基线,W2,사업조정,P1-global-STI,官方目录元数据，附件未列入本批,3
产业创新、创业与区域体系,科技创新政策与能力基线,W2,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,14
产业创新、创业与区域体系,科技创新政策与能力基线,W2,성과확산,P1-global-STI,官方目录元数据，附件未列入本批,1
产业创新、创业与区域体系,科技创新政策与能力基线,W2,성과확산,P2-STI-baseline,官方目录元数据，附件未列入本批,1
产业创新、创业与区域体系,科技创新政策与能力基线,W2,예비타당성조사,P1-global-STI,官方目录元数据，附件未列入本批,4
产业创新、创业与区域体系,科技创新政策与能力基线,W2,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,17
产业创新、创业与区域体系,科技创新政策与能力基线,W2,위탁/협동/공동연구보고서,P1-global-STI,官方目录元数据，附件未列入本批,3
产业创新、创业与区域体系,科技创新政策与能力基线,W2,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,21
产业创新、创业与区域体系,科技创新政策与能力基线,W2,정책기획,P0-China-tech,官方PDF已保存并校验,1
产业创新、创业与区域体系,科技创新政策与能力基线,W2,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,14
产业创新、创业与区域体系,科技创新政策与能力基线,W2,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,65
产业创新、创业与区域体系,科技创新政策与能力基线,W2,조사평가,P2-STI-baseline,官方目录元数据，附件未列入本批,14
产业创新、创业与区域体系,科技创新政策与能力基线,W3,미래예측,P2-STI-baseline,官方目录元数据，附件未列入本批,3
产业创新、创业与区域体系,科技创新政策与能力基线,W3,사업조정,P1-global-STI,官方目录元数据，附件未列入本批,4
产业创新、创业与区域体系,科技创新政策与能力基线,W3,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,11
产业创新、创业与区域体系,科技创新政策与能力基线,W3,성과확산,P1-global-STI,官方目录元数据，附件未列入本批,5
产业创新、创业与区域体系,科技创新政策与能力基线,W3,성과확산,P2-STI-baseline,官方目录元数据，附件未列入本批,7
产业创新、创业与区域体系,科技创新政策与能力基线,W3,예비타당성조사,P1-global-STI,官方目录元数据，附件未列入本批,4
产业创新、创业与区域体系,科技创新政策与能力基线,W3,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,8
产业创新、创业与区域体系,科技创新政策与能力基线,W3,위탁/협동/공동연구보고서,P1-global-STI,官方目录元数据，附件未列入本批,3
产业创新、创业与区域体系,科技创新政策与能力基线,W3,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,19
产业创新、创业与区域体系,科技创新政策与能力基线,W3,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,16
产业创新、创业与区域体系,科技创新政策与能力基线,W3,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,85
产业创新、创业与区域体系,科技创新政策与能力基线,W3,조사평가,P2-STI-baseline,官方目录元数据，附件未列入本批,17
人工智能、数据与数字技术,核心科技直接材料,W2,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,5
人工智能、数据与数字技术,核心科技直接材料,W2,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,3
人工智能、数据与数字技术,核心科技直接材料,W2,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,16
人工智能、数据与数字技术,核心科技直接材料,W2,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,1
人工智能、数据与数字技术,核心科技直接材料,W2,조사평가,P0-core-tech,官方目录元数据，附件未列入本批,5
人工智能、数据与数字技术,核心科技直接材料,W3,미래예측,P0-core-tech,官方PDF已保存并校验,1
人工智能、数据与数字技术,核心科技直接材料,W3,사업조정,P0-core-tech,官方PDF已保存并校验,9
人工智能、数据与数字技术,核心科技直接材料,W3,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,8
人工智能、数据与数字技术,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方PDF已保存并校验,9
人工智能、数据与数字技术,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,7
人工智能、数据与数字技术,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方PDF已保存并校验,1
人工智能、数据与数字技术,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,5
人工智能、数据与数字技术,核心科技直接材料,W3,정책기획,P0-China-tech,官方PDF已保存并校验,2
人工智能、数据与数字技术,核心科技直接材料,W3,정책기획,P0-core-tech,官方PDF已保存并校验,10
人工智能、数据与数字技术,核心科技直接材料,W3,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,8
人工智能、数据与数字技术,核心科技直接材料,W3,조사평가,P0-core-tech,官方PDF已保存并校验,3
人工智能、数据与数字技术,核心科技直接材料,W3,조사평가,P0-core-tech,官方目录元数据，附件未列入本批,6
人工智能、数据与数字技术,科技创新政策与能力基线,W2,미래예측,P0-China-tech,官方PDF已保存并校验,1
人工智能、数据与数字技术,科技创新政策与能力基线,W2,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,1
半导体、量子与战略技术,核心科技直接材料,W1,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,1
半导体、量子与战略技术,核心科技直接材料,W2,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,2
半导体、量子与战略技术,核心科技直接材料,W2,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,1
半导体、量子与战略技术,核心科技直接材料,W2,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,3
半导体、量子与战略技术,核心科技直接材料,W2,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,2
半导体、量子与战略技术,核心科技直接材料,W3,미래예측,P0-core-tech,官方PDF已保存并校验,1
半导体、量子与战略技术,核心科技直接材料,W3,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,5
半导体、量子与战略技术,核心科技直接材料,W3,사업조정,P0-core-tech,官方PDF已保存并校验,5
半导体、量子与战略技术,核心科技直接材料,W3,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,4
半导体、量子与战略技术,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方PDF已保存并校验,9
半导体、量子与战略技术,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,3
半导体、量子与战略技术,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方PDF已保存并校验,2
半导体、量子与战略技术,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,3
半导体、量子与战略技术,核心科技直接材料,W3,정책기획,P0-China-tech,官方PDF已保存并校验,3
半导体、量子与战略技术,核心科技直接材料,W3,정책기획,P0-core-tech,官方PDF已保存并校验,11
半导体、量子与战略技术,核心科技直接材料,W3,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,18
半导体、量子与战略技术,科技创新政策与能力基线,W2,미래예측,P0-China-tech,官方PDF已保存并校验,1
半导体、量子与战略技术,科技创新政策与能力基线,W2,정책기획,P0-China-tech,官方PDF已保存并校验,1
技术安全、供应链与国际合作,核心科技直接材料,W2,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,1
技术安全、供应链与国际合作,核心科技直接材料,W2,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,2
技术安全、供应链与国际合作,核心科技直接材料,W2,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,1
技术安全、供应链与国际合作,核心科技直接材料,W2,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,1
技术安全、供应链与国际合作,核心科技直接材料,W3,미래예측,P0-core-tech,官方PDF已保存并校验,1
技术安全、供应链与国际合作,核心科技直接材料,W3,사업조정,P0-core-tech,官方PDF已保存并校验,5
技术安全、供应链与国际合作,核心科技直接材料,W3,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,1
技术安全、供应链与国际合作,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方PDF已保存并校验,8
技术安全、供应链与国际合作,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方PDF已保存并校验,1
技术安全、供应链与国际合作,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,1
技术安全、供应链与国际合作,核心科技直接材料,W3,정책기획,P0-China-tech,官方PDF已保存并校验,3
技术安全、供应链与国际合作,核心科技直接材料,W3,정책기획,P0-core-tech,官方PDF已保存并校验,11
技术安全、供应链与国际合作,核心科技直接材料,W3,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,8
技术安全、供应链与国际合作,核心科技直接材料,W3,조사평가,P0-core-tech,官方PDF已保存并校验,1
技术安全、供应链与国际合作,科技创新政策与能力基线,W2,미래예측,P1-global-STI,官方目录元数据，附件未列入本批,1
技术安全、供应链与国际合作,科技创新政策与能力基线,W2,정책기획,P0-China-tech,官方PDF已保存并校验,1
技术安全、供应链与国际合作,科技创新政策与能力基线,W2,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,7
技术安全、供应链与国际合作,科技创新政策与能力基线,W2,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,3
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,사업조정,P1-global-STI,官方目录元数据，附件未列入本批,1
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,성과확산,P1-global-STI,官方目录元数据，附件未列入本批,2
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,성과확산,P2-STI-baseline,官方目录元数据，附件未列入本批,1
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,예비타당성조사,P1-global-STI,官方目录元数据，附件未列入本批,1
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,위탁/협동/공동연구보고서,P1-global-STI,官方目录元数据，附件未列入本批,4
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,5
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,17
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,4
生命科学、生物技术与健康,核心科技直接材料,W1,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,1
生命科学、生物技术与健康,核心科技直接材料,W2,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,1
生命科学、生物技术与健康,核心科技直接材料,W2,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,5
生命科学、生物技术与健康,核心科技直接材料,W2,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,5
生命科学、生物技术与健康,核心科技直接材料,W2,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,2
生命科学、生物技术与健康,核心科技直接材料,W2,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,2
生命科学、生物技术与健康,核心科技直接材料,W3,사업조정,P0-core-tech,官方PDF已保存并校验,5
生命科学、生物技术与健康,核心科技直接材料,W3,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,5
生命科学、生物技术与健康,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方PDF已保存并校验,3
生命科学、生物技术与健康,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,5
生命科学、生物技术与健康,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方PDF已保存并校验,1
生命科学、生物技术与健康,核心科技直接材料,W3,정책기획,P0-China-tech,官方PDF已保存并校验,1
生命科学、生物技术与健康,核心科技直接材料,W3,정책기획,P0-core-tech,官方PDF已保存并校验,7
生命科学、生物技术与健康,核心科技直接材料,W3,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,2
生命科学、生物技术与健康,科技创新政策与能力基线,W1,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,4
生命科学、生物技术与健康,科技创新政策与能力基线,W2,미래예측,P2-STI-baseline,官方目录元数据，附件未列入本批,1
生命科学、生物技术与健康,科技创新政策与能力基线,W2,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,5
生命科学、生物技术与健康,科技创新政策与能力基线,W2,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,1
生命科学、生物技术与健康,科技创新政策与能力基线,W3,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,1
生命科学、生物技术与健康,科技创新政策与能力基线,W3,예비타당성조사,P1-global-STI,官方目录元数据，附件未列入本批,1
生命科学、生物技术与健康,科技创新政策与能力基线,W3,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,1
生命科学、生物技术与健康,科技创新政策与能力基线,W3,조사평가,P2-STI-baseline,官方目录元数据，附件未列入本批,1
科技人才、大学与知识流动,核心科技直接材料,W2,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,1
科技人才、大学与知识流动,核心科技直接材料,W2,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,2
科技人才、大学与知识流动,核心科技直接材料,W3,사업조정,P0-core-tech,官方PDF已保存并校验,9
科技人才、大学与知识流动,核心科技直接材料,W3,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,1
科技人才、大学与知识流动,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方PDF已保存并校验,13
科技人才、大学与知识流动,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,1
科技人才、大学与知识流动,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方PDF已保存并校验,1
科技人才、大学与知识流动,核心科技直接材料,W3,정책기획,P0-China-tech,官方PDF已保存并校验,1
科技人才、大学与知识流动,核心科技直接材料,W3,정책기획,P0-core-tech,官方PDF已保存并校验,11
科技人才、大学与知识流动,核心科技直接材料,W3,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,3
科技人才、大学与知识流动,核心科技直接材料,W3,조사평가,P0-core-tech,官方PDF已保存并校验,2
科技人才、大学与知识流动,科技创新政策与能力基线,W1,위탁/협동/공동연구보고서,P1-global-STI,官方目录元数据，附件未列入本批,1
科技人才、大学与知识流动,科技创新政策与能力基线,W2,미래예측,P0-China-tech,官方PDF已保存并校验,1
科技人才、大学与知识流动,科技创新政策与能力基线,W2,사업조정,P1-global-STI,官方目录元数据，附件未列入本批,1
科技人才、大学与知识流动,科技创新政策与能力基线,W2,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,5
科技人才、大学与知识流动,科技创新政策与能力基线,W2,성과확산,P2-STI-baseline,官方目录元数据，附件未列入本批,2
科技人才、大学与知识流动,科技创新政策与能力基线,W2,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,2
科技人才、大学与知识流动,科技创新政策与能力基线,W2,위탁/협동/공동연구보고서,P1-global-STI,官方目录元数据，附件未列入本批,1
科技人才、大学与知识流动,科技创新政策与能力基线,W2,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,12
科技人才、大学与知识流动,科技创新政策与能力基线,W2,정책기획,P0-China-tech,官方PDF已保存并校验,1
科技人才、大学与知识流动,科技创新政策与能力基线,W2,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,5
科技人才、大学与知识流动,科技创新政策与能力基线,W2,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,13
科技人才、大学与知识流动,科技创新政策与能力基线,W2,조사평가,P2-STI-baseline,官方目录元数据，附件未列入本批,6
科技人才、大学与知识流动,科技创新政策与能力基线,W3,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,1
科技人才、大学与知识流动,科技创新政策与能力基线,W3,성과확산,P2-STI-baseline,官方目录元数据，附件未列入本批,2
科技人才、大学与知识流动,科技创新政策与能力基线,W3,예비타당성조사,P1-global-STI,官方目录元数据，附件未列入本批,1
科技人才、大学与知识流动,科技创新政策与能力基线,W3,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,19
科技人才、大学与知识流动,科技创新政策与能力基线,W3,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,2
科技人才、大学与知识流动,科技创新政策与能力基线,W3,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,24
科技人才、大学与知识流动,科技创新政策与能力基线,W3,조사평가,P2-STI-baseline,官方目录元数据，附件未列入本批,13
科技创新政策与研究体系,科技创新政策与能力基线,W1,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,1
科技创新政策与研究体系,科技创新政策与能力基线,W1,조사평가,P1-global-STI,官方目录元数据，附件未列入本批,1
科技创新政策与研究体系,科技创新政策与能力基线,W2,미래예측,P2-STI-baseline,官方目录元数据，附件未列入本批,3
科技创新政策与研究体系,科技创新政策与能力基线,W2,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,1
科技创新政策与研究体系,科技创新政策与能力基线,W2,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,4
科技创新政策与研究体系,科技创新政策与能力基线,W2,위탁/협동/공동연구보고서,P1-global-STI,官方目录元数据，附件未列入本批,1
科技创新政策与研究体系,科技创新政策与能力基线,W2,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,7
科技创新政策与研究体系,科技创新政策与能力基线,W2,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,9
科技创新政策与研究体系,科技创新政策与能力基线,W2,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,19
科技创新政策与研究体系,科技创新政策与能力基线,W2,조사평가,P2-STI-baseline,官方目录元数据，附件未列入本批,5
科技创新政策与研究体系,科技创新政策与能力基线,W3,미래예측,P2-STI-baseline,官方目录元数据，附件未列入本批,4
科技创新政策与研究体系,科技创新政策与能力基线,W3,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,2
科技创新政策与研究体系,科技创新政策与能力基线,W3,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,1
科技创新政策与研究体系,科技创新政策与能力基线,W3,위탁/협동/공동연구보고서,P1-global-STI,官方目录元数据，附件未列入本批,1
科技创新政策与研究体系,科技创新政策与能力基线,W3,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,13
科技创新政策与研究体系,科技创新政策与能力基线,W3,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,3
科技创新政策与研究体系,科技创新政策与能力基线,W3,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,16
科技创新政策与研究体系,科技创新政策与能力基线,W3,조사평가,P1-global-STI,官方目录元数据，附件未列入本批,1
科技创新政策与研究体系,科技创新政策与能力基线,W3,조사평가,P2-STI-baseline,官方目录元数据，附件未列入本批,5
科技前瞻与未来社会,核心科技直接材料,W2,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,6
科技前瞻与未来社会,核心科技直接材料,W2,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,1
科技前瞻与未来社会,核心科技直接材料,W2,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,1
科技前瞻与未来社会,核心科技直接材料,W2,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,1
科技前瞻与未来社会,核心科技直接材料,W3,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,1
科技前瞻与未来社会,核心科技直接材料,W3,사업조정,P0-core-tech,官方PDF已保存并校验,8
科技前瞻与未来社会,核心科技直接材料,W3,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,2
科技前瞻与未来社会,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方PDF已保存并校验,11
科技前瞻与未来社会,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,1
科技前瞻与未来社会,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方PDF已保存并校验,1
科技前瞻与未来社会,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,2
科技前瞻与未来社会,核心科技直接材料,W3,정책기획,P0-core-tech,官方PDF已保存并校验,8
科技前瞻与未来社会,核心科技直接材料,W3,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,6
科技前瞻与未来社会,科技创新政策与能力基线,W2,미래예측,P0-China-tech,官方PDF已保存并校验,1
科技前瞻与未来社会,科技创新政策与能力基线,W2,미래예측,P1-global-STI,官方目录元数据，附件未列入本批,2
科技前瞻与未来社会,科技创新政策与能力基线,W2,미래예측,P2-STI-baseline,官方目录元数据，附件未列入本批,9
科技前瞻与未来社会,科技创新政策与能力基线,W2,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,1
科技前瞻与未来社会,科技创新政策与能力基线,W2,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,7
科技前瞻与未来社会,科技创新政策与能力基线,W2,정책기획,P0-China-tech,官方PDF已保存并校验,1
科技前瞻与未来社会,科技创新政策与能力基线,W2,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,11
科技前瞻与未来社会,科技创新政策与能力基线,W3,미래예측,P1-global-STI,官方目录元数据，附件未列入本批,3
科技前瞻与未来社会,科技创新政策与能力基线,W3,미래예측,P2-STI-baseline,官方目录元数据，附件未列入本批,13
科技前瞻与未来社会,科技创新政策与能力基线,W3,사업조정,P1-global-STI,官方目录元数据，附件未列入本批,1
科技前瞻与未来社会,科技创新政策与能力基线,W3,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,2
科技前瞻与未来社会,科技创新政策与能力基线,W3,예비타당성조사,P1-global-STI,官方目录元数据，附件未列入本批,1
科技前瞻与未来社会,科技创新政策与能力基线,W3,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,2
科技前瞻与未来社会,科技创新政策与能力基线,W3,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,2
科技前瞻与未来社会,科技创新政策与能力基线,W3,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,5
科技前瞻与未来社会,科技创新政策与能力基线,W3,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,8
科研体系、研发投入与评价,核心科技直接材料,W1,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,1
科研体系、研发投入与评价,核心科技直接材料,W1,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,1
科研体系、研发投入与评价,核心科技直接材料,W2,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,4
科研体系、研发投入与评价,核心科技直接材料,W2,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,8
科研体系、研发投入与评价,核心科技直接材料,W2,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,31
科研体系、研发投入与评价,核心科技直接材料,W2,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,2
科研体系、研发投入与评价,核心科技直接材料,W2,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,1
科研体系、研发投入与评价,核心科技直接材料,W2,조사평가,P0-core-tech,官方目录元数据，附件未列入本批,3
科研体系、研发投入与评价,核心科技直接材料,W3,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,5
科研体系、研发投入与评价,核心科技直接材料,W3,사업조정,P0-core-tech,官方PDF已保存并校验,9
科研体系、研发投入与评价,核心科技直接材料,W3,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,6
科研体系、研发投入与评价,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方PDF已保存并校验,14
科研体系、研发投入与评价,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,18
科研体系、研发投入与评价,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方PDF已保存并校验,2
