报告ID,机构ID,机构名称,发布日期,日期精度,报告编号,报告名称,官方文类,语言,作者,官方落地页,官方PDF入口,来源列表页,科技创新相关度,科技创新主轴,中国直接信号,全文策略,获取日期
C-JP-RIETI-16-J-014,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-03-01,月,16-J-014,Questionnaire Survey Regarding the Situation of Technological Know-how and its Leakage in Japanese firms,Japanese Discussion Paper,Japanese,"WATANABE Toshiya (Faculty Fellow, RIETI) / HIRAI Yuri (University of Tokyo)",https://www.rieti.go.jp/en/publications/summary/16030008.html,https://www.rieti.go.jp/jp/publications/dp/16j014.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2015.html,核心,关键与新兴技术；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-J-020,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-03-01,月,16-J-020,"Startup and Expansion of High-speed Economic Growth in Postwar South Korea: ""Miracle of the Han River""",Japanese Discussion Paper,Japanese,Chaisung LIM (Rikkyo University),https://www.rieti.go.jp/en/publications/summary/16030021.html,https://www.rieti.go.jp/jp/publications/dp/16j020.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2015.html,核心,产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-E-066,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-04-01,月,16-E-066,The Effects of Artificial Intelligence and Robotics on Business and Employment: Evidence from a survey on Japanese firms,English Discussion Paper,English,"MORIKAWA Masayuki (Vice Chairman & Vice President, RIETI)",https://www.rieti.go.jp/en/publications/summary/16040008.html,https://www.rieti.go.jp/jp/publications/dp/16e066.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,核心,关键与新兴技术；产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-P-007,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-04-01,月,16-P-007,Does Standardization Affect Science Linkage? Implications for society and organizational management: Evidence from artificial intelligence-related technology,English Policy Discussion Paper,English,"TAMURA Suguru (Senior Fellow, RIETI) / IWAMI Shino (University of Tokyo) / SAKATA Ichiro (Consulting Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/16040001.html,https://www.rieti.go.jp/jp/publications/pdp/16p007.pdf,https://www.rieti.go.jp/en/publications/act_pdp.html,核心,科学体系与科研能力；关键与新兴技术；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-E-067,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-05-01,月,16-E-067,Location and Productivity of Knowledge- and Information-intensive Business Services,English Discussion Paper,English,"MORIKAWA Masayuki (Vice Chairman & Vice President, RIETI)",https://www.rieti.go.jp/en/publications/summary/16050001.html,https://www.rieti.go.jp/jp/publications/dp/16e067.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,支撑,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-E-086,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-09-01,月,16-E-086,The Effects of Diversity in Innovation: The moderating role of universal-diverse leaders,English Discussion Paper,English,SUZUKI Satoko (Kyoto University) / TAKEMURA Kosuke (Shiga University),https://www.rieti.go.jp/en/publications/summary/16090002.html,https://www.rieti.go.jp/jp/publications/dp/16e086.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,核心,产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-E-092,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-11-01,月,16-E-092,Contribution of Patent Examination to Making the Patent Scope Consistent with the Invention: Evidence from Japan,English Discussion Paper,English,"OKADA Yoshimi (Hitotsubashi University) / NAITO Yusuke (Hitotsubashi University) / NAGAOKA Sadao (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/16110005.html,https://www.rieti.go.jp/jp/publications/dp/16e092.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,核心,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-J-059,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-11-01,月,16-J-059,Can Artificial Intelligence Heal Human Hearts? A randomized controlled trial on the effects of internet cognitive behavioral therapy with artificial intelligence on depression,Japanese Discussion Paper,Japanese,"SO Mirai (Keio University) / SEKIZAWA Yoichi (Senior Fellow, RIETI) / TAKEBAYASHI Yoshitake (Fukushima Medical University)",https://www.rieti.go.jp/en/publications/summary/16110002.html,https://www.rieti.go.jp/jp/publications/dp/16j059.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2016.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-E-102,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-12-01,月,16-E-102,Absorptive Capacity and External Technology Sourcing: Empirical investigation of vertical and horizontal relationships in the research and development process,English Discussion Paper,English,"FUJIKAWA Naoto (University of Tokyo) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/16120005.html,https://www.rieti.go.jp/jp/publications/dp/16e102.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,核心,研发投入与创新政策；关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-16-E-104,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2016-12-01,月,16-E-104,Understanding External Technology Sourcing in New Product Development Projects: Bilateral vs. unilateral contracts,English Discussion Paper,English,"KANI Masayo (Tezukayama University) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/16120008.html,https://www.rieti.go.jp/jp/publications/dp/16e104.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-J-005,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-02-01,月,17-J-005,The Impact of Artificial Intelligence and Robotics on Employment: Evidence from a survey on individuals,Japanese Discussion Paper,Japanese,"MORIKAWA Masayuki (Vice Chairman & Vice President, RIETI)",https://www.rieti.go.jp/en/publications/summary/17020010.html,https://www.rieti.go.jp/jp/publications/dp/17j005.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2016.html,核心,关键与新兴技术；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-032,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-03-01,月,17-E-032,Consumer Demand for Fully Automated Driving Technology: Evidence from Japan,English Discussion Paper,English,"Kong Joo SHIN (Kyushu University) / MANAGI Shunsuke (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/17030033.html,https://www.rieti.go.jp/jp/publications/dp/17e032.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,核心,关键与新兴技术；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-034,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-03-01,月,17-E-034,The Impact of the Opening of High-Speed Rail on Innovation,English Discussion Paper,English,"INOUE Hiroyasu (University of Hyogo) / NAKAJIMA Kentaro (Tohoku University) / SAITO Yukiko (Senior Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/17030035.html,https://www.rieti.go.jp/jp/publications/dp/17e034.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,核心,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-040,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-03-01,月,17-E-040,Information Constraint of the Patent Office and Examination Quality: Evidence from the effects of initiation lags,English Discussion Paper,English,"NAGAOKA Sadao (Faculty Fellow, RIETI) / YAMAUCHI Isamu (Research Associate, RIETI)",https://www.rieti.go.jp/en/publications/summary/17030049.html,https://www.rieti.go.jp/jp/publications/dp/17e040.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,核心,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-055,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-03-01,月,17-E-055,Creative Destruction in the Era of Open Innovation: Empirical investigation into the relationship between patenting and survival of Japanese firms,English Discussion Paper,English,"IKEUCHI Kenta (Fellow, RIETI) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/17030072.html,https://www.rieti.go.jp/jp/publications/dp/17e055.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,核心,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-056,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-03-01,月,17-E-056,"Measuring Science Intensity of Industry using Linked Dataset of Science, Technology and Industry",English Discussion Paper,English,"IKEUCHI Kenta (Fellow, RIETI) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI) / TAMURA Ryuichi (Hitotsubashi University) / TSUKADA Naotoshi (Research Associate, RIETI)",https://www.rieti.go.jp/en/publications/summary/17030073.html,https://www.rieti.go.jp/jp/publications/dp/17e056.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,核心,科学体系与科研能力；关键与新兴技术；产业创新与成果转化,否,已进入精选全文；按官方PDF、页面HTML、提取文本和科技创新切片调用,2026-08-23
C-JP-RIETI-17-E-057,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-03-01,月,17-E-057,Industry Growth through Spinoffs and Startups,English Discussion Paper,English,OHYAMA Atsushi (Hitotsubashi University),https://www.rieti.go.jp/en/publications/summary/17030074.html,https://www.rieti.go.jp/jp/publications/dp/17e057.pdf,https://www.rieti.go.jp/en/publications/act_dp2016.html,核心,产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-J-011,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-03-01,月,17-J-011,An Economic Analysis of the Legal Issues of Artificial Intelligence,Japanese Discussion Paper,Japanese,MORITA Hatsuru (Tohoku University),https://www.rieti.go.jp/en/publications/summary/17030004.html,https://www.rieti.go.jp/jp/publications/dp/17j011.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2016.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-J-015,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-03-01,月,17-J-015,History of Changes to the Curriculum Guidelines and the Decline in Research and Development Productivity in Japan,Japanese Discussion Paper,Japanese,"NISHIMURA Kazuo (Faculty Fellow, RIETI) / MIYAMOTO Dai (Doshisha University) / YAGI Tadashi (Doshisha University)",https://www.rieti.go.jp/en/publications/summary/17030024.html,https://www.rieti.go.jp/jp/publications/dp/17j015.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2016.html,核心,研发投入与创新政策；产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-J-023,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-03-01,月,17-J-023,Regional Employment and Artificial Intelligence,Japanese Discussion Paper,Japanese,"HAMAGUCHI Nobuaki (Faculty Fellow, RIETI) / KONDO Keisuke (Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/17030060.html,https://www.rieti.go.jp/jp/publications/dp/17j023.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2016.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-P-007,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-03-01,月,17-P-007,"Empirical Analysis: Technological character, type of function, and longevity of standardized knowledge",English Policy Discussion Paper,English,"TAMURA Suguru (Senior Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/17030022.html,https://www.rieti.go.jp/jp/publications/pdp/17p007.pdf,https://www.rieti.go.jp/en/publications/act_pdp.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-062,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-04-01,月,17-E-062,Bank-Firm Relationship and Small Business Innovation,English Discussion Paper,English,XU Peng (Hosei University),https://www.rieti.go.jp/en/publications/summary/17040012.html,https://www.rieti.go.jp/jp/publications/dp/17e062.pdf,https://www.rieti.go.jp/en/publications/act_dp2017.html,核心,产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-J-032,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-04-01,月,17-J-032,Defining the Relevant Market in the Digital Platform Industry,Japanese Discussion Paper,Japanese,"KAWAHAMA Noboru (Faculty Fellow, RIETI) / TAKEDA Kuninobu (Osaka University)",https://www.rieti.go.jp/en/publications/summary/17040008.html,https://www.rieti.go.jp/jp/publications/dp/17j032.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2017.html,核心,关键与新兴技术；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-J-034,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-04-01,月,17-J-034,Does Inter-firm Collaboration Network Improve Quality of Innovation? International comparative analysis from worldwide patent data,Japanese Discussion Paper,Japanese,"IINO Takashi (Niigata University) / INOUE Hiroyasu (University of Hyogo) / SAITO Yukiko (Senior Fellow, RIETI) / TODO Yasuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/17040011.html,https://www.rieti.go.jp/jp/publications/dp/17j034.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2017.html,核心,关键与新兴技术；产业创新与成果转化；创新测量与政策方法；国际合作与中国比较,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-066,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-05-01,月,17-E-066,Trends and Priority Shifts in Artificial Intelligence Technology Invention: A global patent analysis,English Discussion Paper,English,"FUJII Hidemichi (Nagasaki University) / MANAGI Shunsuke (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/17050002.html,https://www.rieti.go.jp/jp/publications/dp/17e066.pdf,https://www.rieti.go.jp/en/publications/act_dp2017.html,核心,关键与新兴技术；产业创新与成果转化；创新测量与政策方法；国际合作与中国比较,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-069,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-05-01,月,17-E-069,Who Are Afraid of Losing Their Jobs to Artificial Intelligence and Robots? Evidence from a survey,English Discussion Paper,English,"MORIKAWA Masayuki (Vice Chairman & Vice President, RIETI)",https://www.rieti.go.jp/en/publications/summary/17050007.html,https://www.rieti.go.jp/jp/publications/dp/17e069.pdf,https://www.rieti.go.jp/en/publications/act_dp2017.html,核心,关键与新兴技术；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-J-037,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-05-01,月,17-J-037,University-Industry R&D Collaboration as an Engine of Firm Growth? An empirical evaluation of knowledge cluster policies in Japan,Japanese Discussion Paper,Japanese,"OKAMURO Hiroyuki (Hitotsubashi University) / IKEUCHI Kenta (Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/17050018.html,https://www.rieti.go.jp/jp/publications/dp/17j037.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2017.html,核心,科学体系与科研能力；研发投入与创新政策；产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-098,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-07-01,月,17-E-098,To Support R&D or Linkages? Seeking a better policy mix for SME support,English Discussion Paper,English,SUZUKI Jun (GRIPS),https://www.rieti.go.jp/en/publications/summary/17070005.html,https://www.rieti.go.jp/jp/publications/dp/17e098.pdf,https://www.rieti.go.jp/en/publications/act_dp2017.html,核心,研发投入与创新政策,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-099,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-07-01,月,17-E-099,Does Foreign Ownership Explain Company Export and Innovation Decisions? Evidence from Japan,English Discussion Paper,English,OKUBO Toshihiro (Keio University) / Alexander F. WAGNER (University of Zurich) / YAMADA Kazuo (Nagasaki University),https://www.rieti.go.jp/en/publications/summary/17070006.html,https://www.rieti.go.jp/jp/publications/dp/17e099.pdf,https://www.rieti.go.jp/en/publications/act_dp2017.html,核心,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-101,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-07-01,月,17-E-101,R&D and Product Dynamics,English Discussion Paper,English,"MIYAGAWA Tsutomu (Faculty Fellow, RIETI) / EDAMURA Kazuma (Japan Productivity Center) / KAWAKAMI Atsushi (Toyo University)",https://www.rieti.go.jp/en/publications/summary/17070010.html,https://www.rieti.go.jp/jp/publications/dp/17e101.pdf,https://www.rieti.go.jp/en/publications/act_dp2017.html,核心,研发投入与创新政策,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-111,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-08-01,月,17-E-111,Accounting for the Role of Information and Communication Technology in China's Productivity Growth,English Discussion Paper,English,Harry X. WU (Hitotsubashi University) / David T. LIANG (Hitotsubashi University),https://www.rieti.go.jp/en/publications/summary/17080024.html,https://www.rieti.go.jp/jp/publications/dp/17e111.pdf,https://www.rieti.go.jp/en/publications/act_dp2017.html,核心,关键与新兴技术；产业创新与成果转化；创新测量与政策方法；国际合作与中国比较,是,已进入精选全文；按官方PDF、页面HTML、提取文本和科技创新切片调用,2026-08-23
C-JP-RIETI-17-J-048,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-08-01,月,17-J-048,Location of Universities and National Research Institutes and Firms' Location Choice of R&D Facilities,Japanese Discussion Paper,Japanese,"EDAMURA Kazuma (Japan Productivity Center) / INUI Tomohiko (Faculty Fellow, RIETI) / YAMAUCHI Isamu (Research Associate, RIETI)",https://www.rieti.go.jp/en/publications/summary/17080007.html,https://www.rieti.go.jp/jp/publications/dp/17j048.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2017.html,核心,研发投入与创新政策；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-J-049,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-08-01,月,17-J-049,Background Analysis on the Anxiety toward New Technology: Comparison between Japan and the United States,Japanese Discussion Paper,Japanese,"TODA Akihito (Recruit Works Institute) / CHUMA Hiroyuki (Faculty Fellow, RIETI) / HAYASHI Susumu (Kyoto University) / KUME Koichi (Toyo University)",https://www.rieti.go.jp/en/publications/summary/17080009.html,https://www.rieti.go.jp/jp/publications/dp/17j049.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2017.html,核心,关键与新兴技术；国际合作与中国比较,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-J-052,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-08-01,月,17-J-052,On the Effects of Teachers' Majors in Natural Science on Students' Academic Achievement in Science: An analysis of TIMSS data for Japan,Japanese Discussion Paper,Japanese,INOUE Atsushi (GRIPS) / TANAKA Ryuichi (University of Tokyo),https://www.rieti.go.jp/en/publications/summary/17080016.html,https://www.rieti.go.jp/jp/publications/dp/17j052.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2017.html,核心,科学体系与科研能力；关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
