报告ID,发布日期,报告名称,官方内容类型,官方子类型,官方落地页,官方PDF入口,本地原始资产,本地页面HTML,本地文本,本地切片,资产类型,页数,字节数,清洗文本字符数,China词形命中数,SHA256,中国直接信号,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-CSIS-RAI-2024-INVESTING-SCIENCE-AND-TECHNOLOGY,2024-06-18,Investing in Science and Technology,Report,Report,https://www.csis.org/analysis/investing-science-and-technology,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2024-06/240618_Shivakumar_Investing_Innovation.pdf?VersionId=H_QrqUNMCV7VKT37P3AkJZS7OHEILXmL,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2024-INVESTING-SCIENCE-AND-TECHNOLOGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2024-INVESTING-SCIENCE-AND-TECHNOLOGY.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2024-INVESTING-SCIENCE-AND-TECHNOLOGY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2024-INVESTING-SCIENCE-AND-TECHNOLOGY.md,官方PDF,43,1837257,97075,296,9884d2ed60ae7427abbcd7c142a47ff009e03d60f036ee6541b8b4f6378113a4,是,科学体系与研发投入；关键与通用技术,中美研发投入与科技机构能力比较的核心报告,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2024-UNDERSTANDING-US-BIOPHARMACEUTICAL-INNOVATION-ECOSYSTEM,2024-08-15,Understanding the U.S. Biopharmaceutical Innovation Ecosystem,Report,Report,https://www.csis.org/analysis/understanding-us-biopharmaceutical-innovation-ecosystem,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2024-08/240815_Shivakumar_Biopharma_Ecosystem.pdf?VersionId=p5wl4SeCNNHFWLfGG.LqCxMWR_uEhFhj,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2024-UNDERSTANDING-US-BIOPHARMACEUTICAL-INNOVATION-ECOSYSTEM.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2024-UNDERSTANDING-US-BIOPHARMACEUTICAL-INNOVATION-ECOSYSTEM.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2024-UNDERSTANDING-US-BIOPHARMACEUTICAL-INNOVATION-ECOSYSTEM.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2024-UNDERSTANDING-US-BIOPHARMACEUTICAL-INNOVATION-ECOSYSTEM.md,官方PDF,8,257187,25344,25,33cde6b56b7b0064818ba02ff6d99ab64b3dac92401552a92af3aa8e9d697495,是,技术创新与产业转化；关键与通用技术,生物医药从基础研究、知识产权到制造和市场的创新生态链,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2024-IMEC-WORLD-LEADING-COOPERATIVE-RESEARCH-CENTER-MICROELECTRONICS,2024-10-08,Imec: A World-Leading Cooperative Research Center for Microelectronics,Report,Report,https://www.csis.org/analysis/imec-world-leading-cooperative-research-center-microelectronics,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2024-10/241008_Shivakumar_IMEC_Research.pdf?VersionId=6WSDEOv3NbjtpUAibEYDp4Q.rZuiHxfS,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2024-IMEC-WORLD-LEADING-COOPERATIVE-RESEARCH-CENTER-MICROELECTRONICS.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2024-IMEC-WORLD-LEADING-COOPERATIVE-RESEARCH-CENTER-MICROELECTRONICS.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2024-IMEC-WORLD-LEADING-COOPERATIVE-RESEARCH-CENTER-MICROELECTRONICS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2024-IMEC-WORLD-LEADING-COOPERATIVE-RESEARCH-CENTER-MICROELECTRONICS.md,官方PDF,34,3355115,65359,5,a448c3d25944f01b463a384fde6d5a2681325e3e6db29e08e54638f5a0f4c2bb,否,研发治理与科研组织；关键与通用技术,开放合作型微电子研发平台及其公共投入和产业协作机制,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2025-ALBANY-NANOTECHS-POTENTIAL-SUPPORT-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER,2025-02-14,Albany NanoTech’s Potential to Support the National Semiconductor Technology Center,Report,Report,https://www.csis.org/analysis/albany-nanotechs-potential-support-national-semiconductor-technology-center,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2025-02/250214_Wessner_Albany_NanoTech.pdf?VersionId=6mUN_F_yeOCYmuI16UvJtaNi2r78fhCd,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2025-ALBANY-NANOTECHS-POTENTIAL-SUPPORT-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2025-ALBANY-NANOTECHS-POTENTIAL-SUPPORT-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2025-ALBANY-NANOTECHS-POTENTIAL-SUPPORT-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2025-ALBANY-NANOTECHS-POTENTIAL-SUPPORT-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER.md,官方PDF,11,224198,35155,2,4fb5411e3b29591f0c4b8d5dc476c41ee9016b8f14aac68d2311127afc0b7378,否,研发治理与科研组织；关键与通用技术,国家级共享研发基础设施与半导体技术转化平台,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2025-NETHERLANDS-INNOVATION-LANDSCAPE,2025-08-29,The Netherlands’ Innovation Landscape,Report,Report,https://www.csis.org/analysis/netherlands-innovation-landscape,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2025-08/250829_Shivakumar_Netherlands_Innovation.pdf?VersionId=tY0CUrO_ZKR5RzegIc2cAnUOBooOzs_0,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2025-NETHERLANDS-INNOVATION-LANDSCAPE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2025-NETHERLANDS-INNOVATION-LANDSCAPE.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2025-NETHERLANDS-INNOVATION-LANDSCAPE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2025-NETHERLANDS-INNOVATION-LANDSCAPE.md,官方PDF,43,2507983,102568,10,303e28031cc1ce2d86db3baf8ce836969b02f46ef90b73cac3ca076fe3af2e06,否,科技人才与创新生态；技术创新与产业转化,区域创新生态、研究机构和高技术企业协同的国际比较,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2025-INNOVATION-LIGHTBULB-EXAMINING-CHINAS-STRATEGIC-REGIONAL-INNOVATION-AND-RD-DISTRIBUTION,2025-07-28,Innovation Lightbulb: Examining China’s Strategic Regional Innovation and R&D Distribution,Article,Newsletter,https://www.csis.org/analysis/innovation-lightbulb-examining-chinas-strategic-regional-innovation-and-rd-distribution,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2025-INNOVATION-LIGHTBULB-EXAMINING-CHINAS-STRATEGIC-REGIONAL-INNOVATION-AND-RD-DISTRIBUTION.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2025-INNOVATION-LIGHTBULB-EXAMINING-CHINAS-STRATEGIC-REGIONAL-INNOVATION-AND-RD-DISTRIBUTION.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2025-INNOVATION-LIGHTBULB-EXAMINING-CHINAS-STRATEGIC-REGIONAL-INNOVATION-AND-RD-DISTRIBUTION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2025-INNOVATION-LIGHTBULB-EXAMINING-CHINAS-STRATEGIC-REGIONAL-INNOVATION-AND-RD-DISTRIBUTION.md,官方网页正文,0,29195,4132,8,d18b61b2a90b254224bcf01e54942eb79427b2c5f8b25d9a34f5e20d859fe637,是,科学体系与研发投入；科技人才与创新生态,中国区域研发空间分布和创新集群布局的直接材料,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2025-PUBLIC-AND-PRIVATE-RD-ARE-COMPLEMENTS-NOT-SUBSTITUTES,2025-08-20,Public and Private R&D Are Complements—Not Substitutes,Article,Newsletter,https://www.csis.org/analysis/public-and-private-rd-are-complements-not-substitutes,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2025-PUBLIC-AND-PRIVATE-RD-ARE-COMPLEMENTS-NOT-SUBSTITUTES.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2025-PUBLIC-AND-PRIVATE-RD-ARE-COMPLEMENTS-NOT-SUBSTITUTES.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2025-PUBLIC-AND-PRIVATE-RD-ARE-COMPLEMENTS-NOT-SUBSTITUTES.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2025-PUBLIC-AND-PRIVATE-RD-ARE-COMPLEMENTS-NOT-SUBSTITUTES.md,官方网页正文,0,31044,5137,1,5e13b0f66fea66cdce4483dd971206335a029544b4a40c4da9ad45bbd14599b3,是,科学体系与研发投入；技术创新与产业转化,公共研发与企业研发互补关系及其创新外溢机制,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2025-COMPETING-CHINAS-PUBLIC-RD-MODEL-LESSONS-AND-RISKS-US-INNOVATION-STRATEGY,2025-09-17,Competing with China’s Public R&D Model: Lessons and Risks for U.S. Innovation Strategy,Article,Commentary,https://www.csis.org/analysis/competing-chinas-public-rd-model-lessons-and-risks-us-innovation-strategy,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2025-COMPETING-CHINAS-PUBLIC-RD-MODEL-LESSONS-AND-RISKS-US-INNOVATION-STRATEGY.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2025-COMPETING-CHINAS-PUBLIC-RD-MODEL-LESSONS-AND-RISKS-US-INNOVATION-STRATEGY.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2025-COMPETING-CHINAS-PUBLIC-RD-MODEL-LESSONS-AND-RISKS-US-INNOVATION-STRATEGY.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2025-COMPETING-CHINAS-PUBLIC-RD-MODEL-LESSONS-AND-RISKS-US-INNOVATION-STRATEGY.md,官方网页正文,0,51327,11527,32,56717cbfb859edbe96cdeac34777bcec83d1c389a15ade8df1bfe14c316ddab2,是,科学体系与研发投入；研发治理与科研组织,中美公共研发模式及国家创新战略的直接比较,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2026-UNDERSTANDING-CHINAS-QUEST-QUANTUM-ADVANCEMENT,2026-01-29,Understanding China’s Quest for Quantum Advancement,Report,Report,https://www.csis.org/analysis/understanding-chinas-quest-quantum-advancement,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2026-01/260129_Tomoshige_China_Quantum.pdf?VersionId=KFta4mMQvg8alLwUeIdApmdmIhuIqUab,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2026-UNDERSTANDING-CHINAS-QUEST-QUANTUM-ADVANCEMENT.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2026-UNDERSTANDING-CHINAS-QUEST-QUANTUM-ADVANCEMENT.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2026-UNDERSTANDING-CHINAS-QUEST-QUANTUM-ADVANCEMENT.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2026-UNDERSTANDING-CHINAS-QUEST-QUANTUM-ADVANCEMENT.md,官方PDF,10,235274,30429,97,ce0cdd3d383508ee6b58c43cf61f0135774be037c329a504e8b37f956a35fd93,是,研发治理与科研组织；关键与通用技术,中国量子科研、人才、平台和产业转化体系的专题分析,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2026-LEVERAGING-SBIR-QUANTUM-COMMERCIALIZATION-AND-SUPPLY-CHAIN-GROWTH,2026-03-30,Leveraging SBIR for Quantum Commercialization and Supply Chain Growth,Report,Report,https://www.csis.org/analysis/leveraging-sbir-quantum-commercialization-and-supply-chain-growth,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2026-03/260330_Singerman_Leveraging_SIBR.pdf?VersionId=gPY5q4UyVd1oPZ_BXP.F2x1_sNHKZ.82,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2026-LEVERAGING-SBIR-QUANTUM-COMMERCIALIZATION-AND-SUPPLY-CHAIN-GROWTH.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2026-LEVERAGING-SBIR-QUANTUM-COMMERCIALIZATION-AND-SUPPLY-CHAIN-GROWTH.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2026-LEVERAGING-SBIR-QUANTUM-COMMERCIALIZATION-AND-SUPPLY-CHAIN-GROWTH.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2026-LEVERAGING-SBIR-QUANTUM-COMMERCIALIZATION-AND-SUPPLY-CHAIN-GROWTH.md,官方PDF,11,263325,27896,3,ae7be1348f693045eb235cc9fa54a3591893cb7e7598ab3079bc51d011c4a862,否,技术创新与产业转化；关键与通用技术,用小企业创新研究机制推动量子技术商业化和供应能力,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2026-POWERING-INNOVATION-DATA-CENTERS-COMPUTE-AND-US-COMPETITIVENESS,2026-08-11,"Powering Innovation: Data Centers, Compute, and U.S. Competitiveness",Report,Report,https://www.csis.org/analysis/powering-innovation-data-centers-compute-and-us-competitiveness,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2026-08/260807_Shivakumar_Powering_Innovation_1.pdf?VersionId=au93kbwDEoh_aLY546FLv20t4e8OrIC9,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2026-POWERING-INNOVATION-DATA-CENTERS-COMPUTE-AND-US-COMPETITIVENESS.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2026-POWERING-INNOVATION-DATA-CENTERS-COMPUTE-AND-US-COMPETITIVENESS.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2026-POWERING-INNOVATION-DATA-CENTERS-COMPUTE-AND-US-COMPETITIVENESS.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2026-POWERING-INNOVATION-DATA-CENTERS-COMPUTE-AND-US-COMPETITIVENESS.md,官方PDF,9,262821,25357,0,db930fda26823fc5d51d1ef63198ed37a07987e1d0f0205e4cab5a2bcde4904c,否,技术创新与产业转化；关键与通用技术,算力基础设施约束、扩张机制与创新竞争力,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2022-WHAT-CAN-PATENT-DATA-REVEAL-ABOUT-US-CHINA-TECHNOLOGY-COMPETITION,2022-09-19,What Can Patent Data Reveal about U.S.-China Technology Competition?,Article,Critical Questions,https://www.csis.org/analysis/what-can-patent-data-reveal-about-us-china-technology-competition,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2022-WHAT-CAN-PATENT-DATA-REVEAL-ABOUT-US-CHINA-TECHNOLOGY-COMPETITION.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2022-WHAT-CAN-PATENT-DATA-REVEAL-ABOUT-US-CHINA-TECHNOLOGY-COMPETITION.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2022-WHAT-CAN-PATENT-DATA-REVEAL-ABOUT-US-CHINA-TECHNOLOGY-COMPETITION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2022-WHAT-CAN-PATENT-DATA-REVEAL-ABOUT-US-CHINA-TECHNOLOGY-COMPETITION.md,官方网页正文,0,31193,7980,15,a541a840abb470c5891dfd57ac317649ed4529df408bdcb4d88ef8b83d1b5c70,是,创新政策与研发治理；国际合作开放科学与比较,专利数据衡量中美技术创新能力的适用范围与指标边界,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2022-CHINA-INNOVATION-CHALLENGE-CONVERSATION-PROFESSOR-JONATHAN-BARNETT,2022-12-09,The China Innovation Challenge: A Conversation with Professor Jonathan Barnett,Article,Transcript,https://www.csis.org/analysis/china-innovation-challenge-conversation-professor-jonathan-barnett,https://csis-website-prod.s3.amazonaws.com/s3fs-public/2023-01/230123_China_Innovation_Barnett.pdf?VersionId=ez1jHqZ1WWz47LU5JYD61o_ZmH6mqN8x,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSIS-RAI-2022-CHINA-INNOVATION-CHALLENGE-CONVERSATION-PROFESSOR-JONATHAN-BARNETT.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2022-CHINA-INNOVATION-CHALLENGE-CONVERSATION-PROFESSOR-JONATHAN-BARNETT.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2022-CHINA-INNOVATION-CHALLENGE-CONVERSATION-PROFESSOR-JONATHAN-BARNETT.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2022-CHINA-INNOVATION-CHALLENGE-CONVERSATION-PROFESSOR-JONATHAN-BARNETT.md,官方PDF,20,273696,46541,18,5e7ebbb481e8b23f7ee979d0d987a2889125755095aad192e66d9f9f3ab2f24f,是,创新政策与研发治理；技术创新与产业转化,知识产权制度、技术扩散与中国创新能力之间的机制讨论,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2024-INTELLECTUAL-PROPERTY-RIGHTS-US-CHINA-INNOVATION-COMPETITION,2024-05-16,Intellectual Property Rights in the U.S.-China Innovation Competition,Article,Commentary,https://www.csis.org/analysis/intellectual-property-rights-us-china-innovation-competition,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2024-INTELLECTUAL-PROPERTY-RIGHTS-US-CHINA-INNOVATION-COMPETITION.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2024-INTELLECTUAL-PROPERTY-RIGHTS-US-CHINA-INNOVATION-COMPETITION.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2024-INTELLECTUAL-PROPERTY-RIGHTS-US-CHINA-INNOVATION-COMPETITION.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2024-INTELLECTUAL-PROPERTY-RIGHTS-US-CHINA-INNOVATION-COMPETITION.md,官方网页正文,0,37332,12277,40,5779549629fbfacf33f0a2921081845b4006d1676b6b2e9af3213d51ee5e2f74,是,创新政策与研发治理；技术创新与产业转化,中美创新竞争中知识产权保护、研发激励与技术商业化关系,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2024-WHAT-RISC-V-MEANS-FUTURE-CHIP-DEVELOPMENT,2024-11-13,What RISC-V Means for the Future of Chip Development,Article,Critical Questions,https://www.csis.org/analysis/what-risc-v-means-future-chip-development,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2024-WHAT-RISC-V-MEANS-FUTURE-CHIP-DEVELOPMENT.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2024-WHAT-RISC-V-MEANS-FUTURE-CHIP-DEVELOPMENT.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2024-WHAT-RISC-V-MEANS-FUTURE-CHIP-DEVELOPMENT.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2024-WHAT-RISC-V-MEANS-FUTURE-CHIP-DEVELOPMENT.md,官方网页正文,0,31548,9853,7,025d18a40241307f71d217683bccbce216fa7a7d9d5ad0da9f08cd35f1bb5f0d,是,关键与通用技术；国际合作开放科学与比较,RISC-V开放指令集、跨国技术生态与中国芯片研发能力,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
C-CSIS-RAI-2025-INNOVATION-LIGHTBULB-INNOVATION-COMPETITION-CHIP-DESIGN-BETWEEN-US-AND-CHINA,2025-02-21,Innovation Lightbulb: Innovation Competition in Chip Design Between the U.S. and China,Article,Newsletter,https://www.csis.org/analysis/innovation-lightbulb-innovation-competition-chip-design-between-us-and-china,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2025-INNOVATION-LIGHTBULB-INNOVATION-COMPETITION-CHIP-DESIGN-BETWEEN-US-AND-CHINA.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-CSIS-RAI-2025-INNOVATION-LIGHTBULB-INNOVATION-COMPETITION-CHIP-DESIGN-BETWEEN-US-AND-CHINA.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSIS-RAI-2025-INNOVATION-LIGHTBULB-INNOVATION-COMPETITION-CHIP-DESIGN-BETWEEN-US-AND-CHINA.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSIS-RAI-2025-INNOVATION-LIGHTBULB-INNOVATION-COMPETITION-CHIP-DESIGN-BETWEEN-US-AND-CHINA.md,官方网页正文,0,26748,4573,19,f8514d1a01a1bdd61d4d4ab79d5d2e18b3e371d1b7698c286d3b724a4d30709a,是,关键与通用技术；技术创新与产业转化,中美芯片设计企业数量、能力演进与产业创新生态比较,跨期节点；直接解释科学、技术与创新机制；安全议题仅在改变创新能力时纳入,2026-08-23
