报告ID,机构ID,发布日期,报告名称,转向节点,战略主题,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-KISTEP-PRG0720220058,kistep,2022-10-31,중소기업의 디지털 전환 지원정책 재설계를 위한 기업 R&D 활동 빅데이터 실증분석 연구,N3,T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720220058&rpt_tp=831-007,中或低,目录层关注方向,保留轻量目录,不下载,与已保存项目评估、基础研究或企业创新材料重叠，保留韩文正式目录,2026-08-22
C-KISTEP-RES0220220146,kistep,2022-10-19,2021년도 예비타당성조사 보고서 바이오파운드리 구축 및 활용기술개발사업,N3,T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220146&rpt_tp=831-003,中或低,目录层关注方向,保留轻量目录,不下载,与已保存项目评估、基础研究或企业创新材料重叠，保留韩文正式目录,2026-08-22
C-KISTEP-RES0220220145,kistep,2022-10-19,2022년도 사업계획 적정성 재검토 보고서 바이오 연구 소재 활용기반 조성 사업,N3,T2_技术创新与关键技术;T4_人才大学与科研组织,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220220145&rpt_tp=831-003,中或低,目录层关注方向,保留轻量目录,不下载,与已保存项目评估、基础研究或企业创新材料重叠，保留韩文正式目录,2026-08-22
C-OECD-DOI-2DB44E8B-EN,oecd-sti,2023-11-24,Income-based tax relief for R&D and innovation,N4,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.oecd.org/en/publications/income-based-tax-relief-for-r-d-and-innovation_2db44e8b-en.html,中或低,目录层关注方向,保留轻量目录,不下载,与已选研发资助、企业研发或政策组合材料机制重叠，保留目录待专题触发,2026-08-22
C-OECD-DOI-4889F5F2-EN,oecd-sti,2023-10-16,Measuring governments’ R&D funding response to COVID-19,N4,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.oecd-ilibrary.org/science-and-technology/measuring-governments-r-d-funding-response-to-covid-19_4889f5f2-en,高,危机条件下政府研发投入,第三批精选全文,本地资产已保存,补足疫情冲击下各国研发资助响应和科学政策优先序变化,2026-08-22
C-OECD-DOI-1937AC6B-EN,oecd-sti,2023-10-09,The Impact of R&D tax incentives,N4,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.oecd-ilibrary.org/science-and-technology/the-impact-of-r-d-tax-incentives_1937ac6b-en,中或低,目录层关注方向,保留轻量目录,不下载,与已选研发资助、企业研发或政策组合材料机制重叠，保留目录待专题触发,2026-08-22
C-OECD-DOI-4805D3F5-EN,oecd-sti,2022-09-16,Micro-data based insights on trends in business R&D performance and funding,N3,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T5_产业创新转化与区域生态,否,https://www.oecd-ilibrary.org/science-and-technology/micro-data-based-insights-on-trends-in-business-r-d-performance-and-funding_4805d3f5-en,高,企业研发绩效与资金结构,第三批精选全文,本地资产已保存,提供企业微观数据层面的研发执行、资金来源和结构变化证据,2026-08-22
C-OECD-DOI-1C416F43-EN,oecd-sti,2022-06-22,Integrity and security in the global research ecosystem,N3,T1_科学体系与基础研究;T6_国际合作开放科学与比较;T7_安全供应链与治理边界,否,https://www.oecd-ilibrary.org/science-and-technology/integrity-and-security-in-the-global-research-ecosystem_1c416f43-en,中或低,目录层关注方向,保留轻量目录,不下载,与已选研发资助、企业研发或政策组合材料机制重叠，保留目录待专题触发,2026-08-22
C-OECD-DOI-7B43B038-EN,oecd-sti,2021-06-28,Measuring the AI content of government-funded R&D projects,N3,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://www.oecd.org/en/publications/measuring-the-ai-content-of-government-funded-r-d-projects_7b43b038-en.html,高,政府资助AI研发测量,第三批精选全文,本地资产已保存,补足如何识别公共研发项目中的AI内容及其政策组合,2026-08-22
C-OECD-DOI-65234003-EN,oecd-sti,2020-09-03,The effects of R&D tax incentives and their role in the innovation policy mix,N2,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.oecd-ilibrary.org/science-and-technology/the-effects-of-r-d-tax-incentives-and-their-role-in-the-innovation-policy-mix_65234003-en,高,研发税收激励政策组合,第三批精选全文,本地资产已保存,补足研发税收激励与直接资助之间的互补、替代和企业响应机制,2026-08-22
C-OECD-DOI-20F80FA1-EN,oecd-sti,2020-07-08,OECD case study of Norway’s digital science and innovation policy and governance landscape,N2,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://www.oecd-ilibrary.org/science-and-technology/oecd-case-study-of-norway-s-digital-science-and-innovation-policy-and-governance-landscape_20f80fa1-en,中或低,目录层关注方向,保留轻量目录,不下载,与已选研发资助、企业研发或政策组合材料机制重叠，保留目录待专题触发,2026-08-22
C-KISTEP-RES0220200166,kistep,2020-05-29,분야별 이질성을 고려한 기초과학분야 정부R&D 투자의 생산성 분석 연구,N2,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200166&rpt_tp=831-001,中或低,目录层关注方向,保留轻量目录,不下载,官方PDF为112160241字节，超过当前单文件版本化阈值；保留目录、入口和体量核验记录,2026-08-22
C-KISTEP-RES0220200140,kistep,2020-03-24,2019년 기초연구진흥협의회 운영 지원,N2,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220200140&rpt_tp=831-002,高,基础研究协调机制,第三批精选全文,本地资产已保存,补足基础研究促进委员会、政策协调和投入治理的组织材料；官方附件为图像型PDF，列入OCR待补,2026-08-22
C-KISTEP-RES0220190142,kistep,2019-04-17,2018년 기초연구진흥협의회 운영 지원,N2,T1_科学体系与基础研究;T3_创新政策与研发治理,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220190142&rpt_tp=831-002,中或低,目录层关注方向,保留轻量目录,不下载,与已保存项目评估、基础研究或企业创新材料重叠，保留韩文正式目录,2026-08-22
C-US-OSTP-2020-TRUMP-ADMINISTRATION-ST-HIGHLIGHTS-2017-2020,us-ostp,2020-10-27,"Advancing America’s Global Leadership in Science and Technology, Trump Administration Highlights: 2017-2020",N2,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理;T6_国际合作开放科学与比较,否,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/10/Trump-Administration-ST-Highlights-2017-2020.pdf,中或低,目录层关注方向,保留轻量目录,不下载,综合政绩材料与具体研发计划相比证据粒度较低，保留目录,2026-08-22
C-US-OSTP-2020-A-STRATEGIC-VISION-FOR-AMERICAS-QUANTUM-NETWORKS-FEB-2020,us-ostp,2020-02-07,A Strategic Vision for America’s Quantum Networks,N2,T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/A-Strategic-Vision-for-Americas-Quantum-Networks-Feb-2020.pdf,高,量子网络技术路线,第三批精选全文,本地资产已保存,与量子信息科学早期基线衔接，观察从科学机会到网络基础设施的路线推进,2026-08-22
C-US-OSTP-2019-AI-RESEARCH-AND-DEVELOPMENT-PROGRESS-REPORT-2016-2019,us-ostp,2019-11-20,2016-2019 Progress Report: Advancing Artificial Intelligence R&D,N2,T1_科学体系与基础研究;T2_技术创新与关键技术;T3_创新政策与研发治理,否,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/11/AI-Research-and-Development-Progress-Report-2016-2019.pdf,高,国家AI研发进展,第三批精选全文,本地资产已保存,补足2016至2019年美国AI研发计划、机构分工和项目推进的阶段总结,2026-08-22
C-FRAUNHOFER-ISI-DP-86,fraunhofer-isi,2024-01-01,Redefining Criticality in a Changing World Combining Domestic and Global Perspectives on Enabling Technologies,N4,T6_国际合作开放科学与比较,否,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_86_2024.pdf,中或低,目录层关注方向,保留轻量目录,不下载,关键性与供应链议题的科技创新机制增量有限，保留目录,2026-08-22
C-KISTEP-PRG0720190004,kistep,2018-12-31,대학의 연구개발 관리 현황 분석 및 개선방안 연구,N1,T3_创新政策与研发治理;T4_人才大学与科研组织,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720190004&rpt_tp=831-007,高,大学研发管理组织,第三批精选全文,本地资产已保存,补足大学科研管理、产学合作组织和制度改进的韩国经验,2026-08-22
C-KISTEP-RES0220180246,kistep,2018-12-11,2017년도 예비타당성조사 보고서-중소기업글로벌혁신기술개발사업,N1,T3_创新政策与研发治理;T5_产业创新转化与区域生态;T6_国际合作开放科学与比较,否,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180246&rpt_tp=831-003,中或低,目录层关注方向,保留轻量目录,不下载,与已保存项目评估、基础研究或企业创新材料重叠，保留韩文正式目录,2026-08-22
