报告ID,发布日期,报告名称,官方文类,官方文号,官方落地页,官方PDF入口,本地原始PDF,本地页面HTML,本地文本,本地切片,页数,字节数,清洗文本字符数,China词形命中数,SHA256,科技创新主轴,科技创新复用角色,选择理由,获取日期
C-EU-STOA-EPRS-STU-2021-697184,2021-12-16,Key enabling technologies for Europe's technological sovereignty,Study,EPRS_STU(2021)697184,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2021)697184,http://www.europarl.europa.eu/RegData/etudes/STUD/2021/697184/EPRS_STU(2021)697184_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-STOA-EPRS-STU-2021-697184.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-STOA-EPRS-STU-2021-697184.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-STOA-EPRS-STU-2021-697184.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-STOA-EPRS-STU-2021-697184.md,113,3153000,306051,181,7545da0e84cf804197ad5b48cf8b32fdbe4003b2696f759e08a6360511280d7c,关键技术与产业转化；创新政策与区域能力,关键使能技术、产业能力和技术主权的政策组合,跨期节点；解释科学体系、技术评估、研发政策或技术转化机制；安全与一般治理不单独触发,2026-08-23
C-EU-STOA-EPRS-STU-2021-697197,2021-12-21,European pharmaceutical research and development: Could public infrastructure overcome market failures?,Study,EPRS_STU(2021)697197,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2021)697197,https://www.europarl.europa.eu/RegData/etudes/STUD/2021/697197/EPRS_STU(2021)697197(ANN02)_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-STOA-EPRS-STU-2021-697197.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-STOA-EPRS-STU-2021-697197.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-STOA-EPRS-STU-2021-697197.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-STOA-EPRS-STU-2021-697197.md,4,72587,15016,0,638cfbbb84b44a75317ea20666794155e975da4abe868e2850e4499af982ec8f,科研体系与研发资助；关键技术与产业转化,公共科研基础设施介入药物研发市场失灵的组织机制,跨期节点；解释科学体系、技术评估、研发政策或技术转化机制；安全与一般治理不单独触发,2026-08-23
C-EU-STOA-EPRS-STU-2022-697218,2022-05-05,A reimbursement system based on a fixed lump sum - Is it the right tool for the EU Framework Programme for research?,Study,EPRS_STU(2022)697218,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2022)697218,http://www.europarl.europa.eu/RegData/etudes/STUD/2022/697218/EPRS_STU(2022)697218_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-STOA-EPRS-STU-2022-697218.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-STOA-EPRS-STU-2022-697218.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-STOA-EPRS-STU-2022-697218.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-STOA-EPRS-STU-2022-697218.md,57,1120021,141475,0,4c435b9d84eac4f5bbad1cd0aea5f1c622f1aa1e15e1efe0c4f07de39fad5def,科研体系与研发资助；创新政策与区域能力,欧盟科研项目资助和报销机制改革的制度评估,跨期节点；解释科学体系、技术评估、研发政策或技术转化机制；安全与一般治理不单独触发,2026-08-23
C-EU-STOA-EPRS-STU-2022-737114,2022-10-19,Fostering coherence in EU health research: Strengthening EU research for better health,Study,EPRS_STU(2022)737114,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2022)737114,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/737114/EPRS_STU(2022)737114_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-STOA-EPRS-STU-2022-737114.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-STOA-EPRS-STU-2022-737114.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-STOA-EPRS-STU-2022-737114.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-STOA-EPRS-STU-2022-737114.md,63,1826481,179060,16,f14c6d2fae21c28f267a9bf8b0a81217b7b19a7834d43fbacc164f87107938c8,科研体系与研发资助；国际科研合作与开放条件,健康研究计划协调、跨层级治理与科研能力建设,跨期节点；解释科学体系、技术评估、研发政策或技术转化机制；安全与一般治理不单独触发,2026-08-23
C-EU-STOA-EPRS-STU-2023-740259,2023-06-15,Analysis exploring risks and opportunities linked to the use of collaborative industrial robots in Europe,Study,EPRS_STU(2023)740259,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2023)740259,https://www.europarl.europa.eu/RegData/etudes/STUD/2023/740259/EPRS_STU(2023)740259_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-STOA-EPRS-STU-2023-740259.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-STOA-EPRS-STU-2023-740259.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-STOA-EPRS-STU-2023-740259.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-STOA-EPRS-STU-2023-740259.md,51,3589920,122230,5,3cf4d532f82a281ab06b71870374a68c63cb88bad17b2373a3720b7691149b69,关键技术与产业转化；创新政策与区域能力,协作机器人产业应用、技术能力与劳动组织的综合评估,跨期节点；解释科学体系、技术评估、研发政策或技术转化机制；安全与一般治理不单独触发,2026-08-23
C-EU-STOA-EPRS-STU-2023-753166,2023-11-23,Improving public access to medicines and promoting pharmaceutical innovation,Study,EPRS_STU(2023)753166,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2023)753166,https://www.europarl.europa.eu/RegData/etudes/STUD/2023/753166/EPRS_STU(2023)753166_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-STOA-EPRS-STU-2023-753166.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-STOA-EPRS-STU-2023-753166.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-STOA-EPRS-STU-2023-753166.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-STOA-EPRS-STU-2023-753166.md,107,1416142,324409,4,3e407b741f4a84f77c7f6929f72a87971e4e0a81456e5031294e012fe14a9276,关键技术与产业转化；科研体系与研发资助,药物可及性与制药创新激励之间的政策机制,跨期节点；解释科学体系、技术评估、研发政策或技术转化机制；安全与一般治理不单独触发,2026-08-23
C-EU-STOA-EPRS-STU-2024-757813,2024-07-04,The Horizon Europe Programme: A strategic assessment of selected items,Study,EPRS_STU(2024)757813,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2024)757813,https://www.europarl.europa.eu/RegData/etudes/STUD/2024/757813/EPRS_STU(2024)757813_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-STOA-EPRS-STU-2024-757813.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-STOA-EPRS-STU-2024-757813.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-STOA-EPRS-STU-2024-757813.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-STOA-EPRS-STU-2024-757813.md,97,1450677,264482,5,c15b2686a6febb242129ea136f6d7ac008197dfdec28ca9b6436deffad421b7b,科研体系与研发资助；创新政策与区域能力,Horizon Europe执行结构、任务工具和创新绩效的战略评估,跨期节点；解释科学体系、技术评估、研发政策或技术转化机制；安全与一般治理不单独触发,2026-08-23
C-EU-STOA-EPRS-STU-2024-762848,2024-07-17,The role of research and innovation in ensuring a safe and sustainable supply of critical raw materials in the EU,Study,EPRS_STU(2024)762848,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2024)762848,https://www.europarl.europa.eu/RegData/etudes/STUD/2024/762848/EPRS_STU(2024)762848_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-STOA-EPRS-STU-2024-762848.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-STOA-EPRS-STU-2024-762848.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-STOA-EPRS-STU-2024-762848.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-STOA-EPRS-STU-2024-762848.md,84,2983919,243366,32,9704716d57d2180394c96b2034aac4de9670b911dc94e1f17bbc379c2619bf7b,关键技术与产业转化；国际科研合作与开放条件,以关键原材料为对象分析研发创新、替代技术和循环利用能力,跨期节点；解释科学体系、技术评估、研发政策或技术转化机制；安全与一般治理不单独触发,2026-08-23
C-EU-STOA-EPRS-STU-2025-765780,2025-06-19,Evolution and/or disruption? Designing the next Framework Programme for Research and Innovation,Study,EPRS_STU(2025)765780,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2025)765780,https://www.europarl.europa.eu/RegData/etudes/STUD/2025/765780/EPRS_STU(2025)765780_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-STOA-EPRS-STU-2025-765780.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-STOA-EPRS-STU-2025-765780.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-STOA-EPRS-STU-2025-765780.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-STOA-EPRS-STU-2025-765780.md,135,4235987,384096,5,3f5cad36d59104a5bf243581162a24649b08e2c8acb184a9e1d33aa8a269ba27,科研体系与研发资助；技术评估与前瞻方法,面向下一期欧盟科研创新框架计划的情景设计和制度重构,跨期节点；解释科学体系、技术评估、研发政策或技术转化机制；安全与一般治理不单独触发,2026-08-23
C-EU-STOA-EPRS-STU-2026-774682,2026-05-22,'Widening' Indicator: Leveraging the potential for inclusive European research and innovation,Study,EPRS_STU(2026)774682,https://www.europarl.europa.eu/stoa/en/document/EPRS_STU(2026)774682,https://www.europarl.europa.eu/RegData/etudes/STUD/2026/774682/EPRS_STU(2026)774682_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-STOA-EPRS-STU-2026-774682.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-STOA-EPRS-STU-2026-774682.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-STOA-EPRS-STU-2026-774682.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-STOA-EPRS-STU-2026-774682.md,67,1012763,110554,15,43bddae5efdce32b6502bdadf36f17eb9d7211cad776f1e35052de07856e3084,创新政策与区域能力；科研体系与研发资助,以指标体系评估科研创新能力扩散和区域收敛的新节点,跨期节点；解释科学体系、技术评估、研发政策或技术转化机制；安全与一般治理不单独触发,2026-08-23
