报告ID,机构ID,机构名称,发布日期,日期精度,报告名称,官方文类,语言,官方落地页,官方PDF入口,来源列表页,科技创新相关度,科技创新主轴,中国直接信号,全文策略,获取日期
C-UK-RS-2019-UK-SCIENCE-AND-IMMIGRATION-WHY-THE-UK-NEEDS--950F5F,uk-royal-society,The Royal Society,2019-07-18,日,UK science and immigration: Why the UK needs an internationally competitive visa offer,Factsheet,English,https://royalsociety.org/news-resources/publications/2019/uk-science-and-immigration-why-the-uk-needs-an-internationally-competitive-visa-offer/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究；人才大学与科研组织；国际合作开放科学与比较,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2019-OPPORTUNITIES-AND-CHALLENGES-FOR-RESEARCH-AN-D1AC9C,uk-royal-society,The Royal Society,2019-10-02,日,Opportunities and challenges for research and innovation in the Republic of Ireland and Northern Ireland,Factsheet,English,https://royalsociety.org/news-resources/publications/2019/opportunities-and-challenges-for-research-and-innovation-in-ireland/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；产业创新转化与区域生态,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2019-UK-RESEARCH-AND-INNOVATION-UKRI-EXPLAINER-6A7C73,uk-royal-society,The Royal Society,2019-10-03,日,UK Research and Innovation (UKRI) explainer,Factsheet,English,https://royalsociety.org/news-resources/publications/2019/ukri-explainer/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；产业创新转化与区域生态,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2019-BREXIT-UNCERTAINTY-HARMING-UK-SCIENCE-9F918B,uk-royal-society,The Royal Society,2019-10-16,日,Brexit uncertainty harming UK science,Factsheet,English,https://royalsociety.org/news/2019/10/brexit-uncertainty-harming-uk-science/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2020-RESEARCH-AND-INNOVATION-CLUSTERS-3173BE,uk-royal-society,The Royal Society,2020-09-15,日,Research and innovation clusters,Report,English,https://royalsociety.org/news-resources/publications/2020/research-and-innovation-clusters/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；产业创新转化与区域生态,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2020-THE-ROLE-OF-PUBLIC-AND-NON-PROFIT-RESEARCH-O-A0FA33,uk-royal-society,The Royal Society,2020-09-22,日,The role of public and non-profit research organisations in the UK research and innovation landscape,Factsheet,English,https://royalsociety.org/news-resources/publications/2020/uk-research-organisations/,https://royalsociety.org/-/media/policy/publications/2020/2020-09-the-role-of-public-and-non-profit-research-organisations-explainer.pdf,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态,否,已进入精选全文；本地保存官方入口、全文Markdown代理、清洗文本和科技创新切片,2026-08-23
C-UK-RS-2020-INVESTING-IN-UK-RESEARCH-AND-DEVELOPMENT-61574C,uk-royal-society,The Royal Society,2020-11-23,日,Investing in UK Research and Development,Factsheet,English,https://royalsociety.org/news-resources/projects/investing-in-uk-research-development/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2020-DIGITAL-TECHNOLOGY-AND-THE-PLANET-HARNESSING-8A3F62,uk-royal-society,The Royal Society,2020-12-03,日,Digital technology and the planet: harnessing computing to achieve net zero,Report,English,https://royalsociety.org/news-resources/projects/digital-technology-and-the-planet/,https://royalsociety.org/-/media/policy/projects/digital-technology-and-the-planet/digital-technology-and-the-planet-report.pdf,https://royalsociety.org/news-resources/projects/digital-technology-and-the-planet/,核心,技术创新与关键技术,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2021-THE-RESEARCH-AND-TECHNICAL-WORKFORCE-IN-THE--8FF6F1,uk-royal-society,The Royal Society,2021-02-15,日,The research and technical workforce in the UK,Report,English,https://royalsociety.org/news-resources/publications/2021/research-and-technical-workforce-uk/,https://royalsociety.org/-/media/policy/publications/2021/2021-02-12-research-and-technical-workforce-in-the-uk.pdf,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,人才大学与科研组织,否,已进入精选全文；本地保存官方入口、全文Markdown代理、清洗文本和科技创新切片,2026-08-23
C-UK-RS-2021-THE-UK-SHARED-PROSPERITY-FUND-SHOULD-HELP-TO-DA4FBE,uk-royal-society,The Royal Society,2021-03-05,日,The UK Shared Prosperity Fund should help to grow research and innovation capacity across the UK,Factsheet,English,https://royalsociety.org/news-resources/publications/2021/uk-shared-prosperity-fund-explainer/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；产业创新转化与区域生态,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2021-THE-GOVERNMENT-S-ACTIONS-UNDERMINE-ITS-AMBIT-B577E6,uk-royal-society,The Royal Society,2021-03-18,日,The Government's actions undermine its ambition for the UK to be a science superpower,Factsheet,English,https://royalsociety.org/news-resources/publications/2021/government-actions-undermine-its-ambition-for-uk-to-be-science-superpower/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2021-RESEARCH-AND-INNOVATION-IN-SCOTLAND-F84B6F,uk-royal-society,The Royal Society,2021-05-28,日,Research and innovation in Scotland,Factsheet,English,https://royalsociety.org/news-resources/publications/2021/factsheet-research-and-innovation-scotland/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；产业创新转化与区域生态,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2022-REGIONAL-ABSORPTIVE-CAPACITY-THE-SKILLS-DIME-BB5B95,uk-royal-society,The Royal Society,2022-04-13,日,Regional absorptive capacity: the skills dimension,Report,English,https://royalsociety.org/news-resources/publications/2022/absorptive-capacity/,https://royalsociety.org/-/media/policy/publications/2022/absorptive-capacity-report.pdf,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,人才大学与科研组织；产业创新转化与区域生态,否,已进入精选全文；本地保存官方入口、全文Markdown代理、清洗文本和科技创新切片,2026-08-23
C-UK-RS-2023-FROM-PRIVACY-TO-PARTNERSHIP-THE-ROLE-OF-PRIV-767617,uk-royal-society,The Royal Society,2023-01-23,日,From privacy to partnership: the role of Privacy Enhancing Technologies in data governance and collaborative analysis,Report,English,https://royalsociety.org/news-resources/projects/privacy-enhancing-technologies/,https://royalsociety.org/-/media/policy/projects/privacy-enhancing-technologies/from-privacy-to-partnership.pdf,https://royalsociety.org/news-resources/projects/privacy-enhancing-technologies/,核心,技术创新与关键技术,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2023-RESEARCH-AND-INNOVATION-IN-SCOTLAND-AA7611,uk-royal-society,The Royal Society,2023-06-14,日,Research and Innovation in Scotland,Factsheet,English,https://royalsociety.org/news-resources/publications/2023/factsheet-research-and-innovation-scotland/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；产业创新转化与区域生态,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2023-RESEARCH-AND-INNOVATION-IN-THE-EAST-OF-ENGLA-D775C6,uk-royal-society,The Royal Society,2023-06-14,日,Research and Innovation in the East of England,Factsheet,English,https://royalsociety.org/news-resources/publications/2023/factsheet-research-and-innovation-east-of-england/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；产业创新转化与区域生态,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2023-RESEARCH-AND-INNOVATION-IN-THE-SOUTH-WEST-7779C2,uk-royal-society,The Royal Society,2023-06-14,日,Research and Innovation in the South West,Factsheet,English,https://royalsociety.org/news-resources/publications/2023/factsheet-research-and-innovation-south-west/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；产业创新转化与区域生态,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2023-RESEARCH-AND-INNOVATION-IN-WALES-2456B0,uk-royal-society,The Royal Society,2023-06-14,日,Research and Innovation in Wales,Factsheet,English,https://royalsociety.org/news-resources/publications/2023/factsheet-research-and-innovation-wales/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；产业创新转化与区域生态,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2023-THE-BORDERS-OF-SCIENCE-MAKING-UK-VISAS-WORK--0CA995,uk-royal-society,The Royal Society,2023-07-18,日,The borders of science: making UK visas work for short-term researcher mobility,Report,English,https://royalsociety.org/news-resources/publications/2023/borders-of-science-short-term-researcher-mobility-visas/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究；人才大学与科研组织,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2023-UK-SCIENCE-AND-IMMIGRATION-ATTRACTING-TOP-IN-3F10D5,uk-royal-society,The Royal Society,2023-09-25,日,UK science and immigration: attracting top international talent,Factsheet,English,https://royalsociety.org/news-resources/publications/2023/uk-science-immigration-attracting-top-international-talent/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究；人才大学与科研组织；国际合作开放科学与比较,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2023-TRANSFORMING-UK-TRANSLATION-SIX-YEARS-IN-1A8BFB,uk-royal-society,The Royal Society,2023-10-18,日,Transforming UK Translation - six years in,Report,English,https://royalsociety.org/news-resources/publications/2023/transforming-uk-translation-six-years-in/,https://royalsociety.org/-/media/policy/publications/2023/transforming-uk-translation-6-year-review-2023.pdf,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,产业创新转化与区域生态,否,已进入精选全文；本地保存官方入口、全文Markdown代理、清洗文本和科技创新切片,2026-08-23
C-UK-RS-2023-A-MANIFESTO-FOR-SCIENCE-BUILDING-A-MORE-RESI-74FDFD,uk-royal-society,The Royal Society,2023-11-30,日,A manifesto for science: building a more resilient and prosperous future,Report,English,https://royalsociety.org/news-resources/publications/2023/manifesto-for-science/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究；创新政策与研发治理,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2023-WHY-THE-UK-NEEDS-A-COMPREHENSIVE-INTERNATION-ACB0B5,uk-royal-society,The Royal Society,2023-12-05,日,Why the UK needs a comprehensive international science strategy,Factsheet,English,https://royalsociety.org/news-resources/publications/2023/uk-international-science-strategy/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究；国际合作开放科学与比较,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2024-SCIENCE-IN-THE-AGE-OF-AI-788E10,uk-royal-society,The Royal Society,2024-05-28,日,Science in the age of AI,Report,English,https://royalsociety.org/news-resources/projects/science-in-the-age-of-ai/,https://royalsociety.org/-/media/policy/projects/science-in-the-age-of-ai/science-in-the-age-of-ai-report.pdf,https://royalsociety.org/news-resources/projects/science-in-the-age-of-ai/,核心,科学体系与基础研究；技术创新与关键技术,否,已进入精选全文；本地保存官方入口、全文Markdown代理、清洗文本和科技创新切片,2026-08-23
C-UK-RS-2024-SCIENCE-AND-THE-ECONOMY-6436B2,uk-royal-society,The Royal Society,2024-07-03,日,Science and the economy,Policy briefing,English,https://royalsociety.org/news-resources/publications/2024/science-and-the-economy/,https://royalsociety.org/-/media/policy/publications/2024/science-2040-economic-value-of-science.pdf,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究；创新政策与研发治理；产业创新转化与区域生态,否,已进入精选全文；本地保存官方入口、全文Markdown代理、清洗文本和科技创新切片,2026-08-23
C-UK-RS-2024-UK-RESEARCH-AND-INNOVATION-BY-REGION-7BCC82,uk-royal-society,The Royal Society,2024-07-31,日,"UK research and Innovation, by region",Factsheets,English,https://royalsociety.org/news-resources/publications/2024/uk-research-and-innovation-by-region/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,创新政策与研发治理；产业创新转化与区域生态,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2024-UK-SCIENCE-BUILDING-A-MORE-RESILIENT-AND-PRO-C5FD7A,uk-royal-society,The Royal Society,2024-07-31,日,UK science: building a more resilient and prosperous future,Policy briefing,English,https://royalsociety.org/news-resources/publications/2024/uk-science-building-a-more-resilient-and-prosperous-future/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2024-SUMMARY-OF-VISA-COSTS-ANALYSIS-2024-D103BB,uk-royal-society,The Royal Society,2024-08-06,日,Summary of visa costs analysis 2024,Report,English,https://royalsociety.org/news-resources/publications/2024/summary-visa-costs-analysis-2024/,,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,支撑,人才大学与科研组织,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2025-SCIENCE-2040-INTERIM-REPORT-CEF6AF,uk-royal-society,The Royal Society,2025-05-15,日,Science 2040 Interim Report,Report,English,https://royalsociety.org/-/media/policy/projects/science-2040/science-2040-interim-report.pdf,https://royalsociety.org/-/media/policy/projects/science-2040/science-2040-interim-report.pdf,https://royalsociety.org/news-resources/projects/uk-research-and-innovation/most-recent/,核心,科学体系与基础研究；创新政策与研发治理,否,已进入精选全文；本地保存官方入口、全文Markdown代理、清洗文本和科技创新切片,2026-08-23
C-UK-RS-2025-DISABILITY-TECHNOLOGY-568003,uk-royal-society,The Royal Society,2025-06-23,日,Disability technology,Report,English,https://royalsociety.org/news-resources/projects/disability-technology/,,https://royalsociety.org/news-resources/projects/disability-technology/,核心,技术创新与关键技术,否,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
C-UK-RS-2026-2026-CHINA-UK-SCIENCE-POLICY-DIALOGUE-ON-FOO-3F4631,uk-royal-society,The Royal Society,2026-06-26,日,2026 China-UK Science Policy Dialogue on food systems and biodiversity loss,Conference report,English,https://royalsociety.org/news-resources/publications/2026/2026-china-uk-dialogue/,https://royalsociety.org/-/media/policy/publications/2026/joint-statement.pdf,https://royalsociety.org/news-resources/publications/,核心,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；国际合作开放科学与比较,是,已进入精选全文；本地保存官方入口、全文Markdown代理、清洗文本和科技创新切片,2026-08-23
C-UK-RS-2026-2026-CAS-RS-AI-ETHICS-WORKSHOP-ETHICAL-CONSI-B592B9,uk-royal-society,The Royal Society,2026-07-24,日,2026 CAS-RS AI ethics workshop: Ethical considerations in physical AI systems,Conference report,English,https://royalsociety.org/news-resources/publications/2026/ai-ethics-workshop-2026/,,https://royalsociety.org/news-resources/publications/,核心,技术创新与关键技术,是,轻量目录保留；仅按科学体系、技术创新、中国科研合作和跨期增量精选全文,2026-08-23
