主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
能源、环境与绿色转型,核心科技直接材料,C-CRDS-FY2016-RR-01,2016-06-01,W1,我が国における拠点形成事業の展開　～課題と展望～,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-01.html,官方PDF已保存并校验
科技创新政策、科研体系与人才,核心科技直接材料,C-CRDS-FY2016-RR-01,2016-06-01,W1,我が国における拠点形成事業の展開　～課題と展望～,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-01.html,官方PDF已保存并校验
研究安全、科技外交与国际比较,核心科技直接材料,C-CRDS-FY2016-RR-01,2016-06-01,W1,我が国における拠点形成事業の展開　～課題と展望～,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-01.html,官方PDF已保存并校验
人工智能、机器人与计算系统,核心科技直接材料,C-CRDS-FY2016-RR-02,2016-06-01,W1,平成27年度検討報告書 「自然科学と人文・社会科学の連携に関する検討 —対話の場の形成と科学技術イノベーションの実現に向けて—」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-02.html,官方PDF已保存并校验
先进材料、纳米与制造技术,核心科技直接材料,C-CRDS-FY2016-RR-02,2016-06-01,W1,平成27年度検討報告書 「自然科学と人文・社会科学の連携に関する検討 —対話の場の形成と科学技術イノベーションの実現に向けて—」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-02.html,官方PDF已保存并校验
生命科学、生物技术与医疗,核心科技直接材料,C-CRDS-FY2016-RR-02,2016-06-01,W1,平成27年度検討報告書 「自然科学と人文・社会科学の連携に関する検討 —対話の場の形成と科学技術イノベーションの実現に向けて—」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-02.html,官方PDF已保存并校验
能源、环境与绿色转型,核心科技直接材料,C-CRDS-FY2016-RR-02,2016-06-01,W1,平成27年度検討報告書 「自然科学と人文・社会科学の連携に関する検討 —対話の場の形成と科学技術イノベーションの実現に向けて—」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-02.html,官方PDF已保存并校验
科技创新政策、科研体系与人才,核心科技直接材料,C-CRDS-FY2016-RR-02,2016-06-01,W1,平成27年度検討報告書 「自然科学と人文・社会科学の連携に関する検討 —対話の場の形成と科学技術イノベーションの実現に向けて—」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-02.html,官方PDF已保存并校验
研究安全、科技外交与国际比较,核心科技直接材料,C-CRDS-FY2016-RR-02,2016-06-01,W1,平成27年度検討報告書 「自然科学と人文・社会科学の連携に関する検討 —対話の場の形成と科学技術イノベーションの実現に向けて—」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-02.html,官方PDF已保存并校验
人工智能、机器人与计算系统,核心科技直接材料,C-CRDS-FY2016-RR-03,2016-09-01,W1,医療・介護データ活用のための情報科学と社会基盤,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-03.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-03.html,官方PDF已保存并校验
芯片、量子、通信与网络安全,核心科技直接材料,C-CRDS-FY2016-RR-03,2016-09-01,W1,医療・介護データ活用のための情報科学と社会基盤,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-03.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-03.html,官方PDF已保存并校验
先进材料、纳米与制造技术,核心科技直接材料,C-CRDS-FY2016-RR-03,2016-09-01,W1,医療・介護データ活用のための情報科学と社会基盤,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-03.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-03.html,官方PDF已保存并校验
生命科学、生物技术与医疗,核心科技直接材料,C-CRDS-FY2016-RR-03,2016-09-01,W1,医療・介護データ活用のための情報科学と社会基盤,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-03.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-03.html,官方PDF已保存并校验
能源、环境与绿色转型,核心科技直接材料,C-CRDS-FY2016-RR-03,2016-09-01,W1,医療・介護データ活用のための情報科学と社会基盤,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-03.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-03.html,官方PDF已保存并校验
科技创新政策、科研体系与人才,核心科技直接材料,C-CRDS-FY2016-RR-03,2016-09-01,W1,医療・介護データ活用のための情報科学と社会基盤,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-03.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-03.html,官方PDF已保存并校验
研究安全、科技外交与国际比较,核心科技直接材料,C-CRDS-FY2016-RR-03,2016-09-01,W1,医療・介護データ活用のための情報科学と社会基盤,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-03.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-03.html,官方PDF已保存并校验
人工智能、机器人与计算系统,核心科技直接材料,C-CRDS-FY2016-XR-02,2016-12-01,W1,政策セミナー「２１世紀の科学的知識と科学技術イノベーション政策」シリーズ　座談会録「２１世紀の科学・社会を支える  新たな教養のあり方を考える」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-XR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-XR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-XR-02.html,官方PDF已保存并校验
先进材料、纳米与制造技术,核心科技直接材料,C-CRDS-FY2016-XR-02,2016-12-01,W1,政策セミナー「２１世紀の科学的知識と科学技術イノベーション政策」シリーズ　座談会録「２１世紀の科学・社会を支える  新たな教養のあり方を考える」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-XR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-XR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-XR-02.html,官方PDF已保存并校验
生命科学、生物技术与医疗,核心科技直接材料,C-CRDS-FY2016-XR-02,2016-12-01,W1,政策セミナー「２１世紀の科学的知識と科学技術イノベーション政策」シリーズ　座談会録「２１世紀の科学・社会を支える  新たな教養のあり方を考える」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-XR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-XR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-XR-02.html,官方PDF已保存并校验
能源、环境与绿色转型,核心科技直接材料,C-CRDS-FY2016-XR-02,2016-12-01,W1,政策セミナー「２１世紀の科学的知識と科学技術イノベーション政策」シリーズ　座談会録「２１世紀の科学・社会を支える  新たな教養のあり方を考える」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-XR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-XR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-XR-02.html,官方PDF已保存并校验
科技创新政策、科研体系与人才,核心科技直接材料,C-CRDS-FY2016-XR-02,2016-12-01,W1,政策セミナー「２１世紀の科学的知識と科学技術イノベーション政策」シリーズ　座談会録「２１世紀の科学・社会を支える  新たな教養のあり方を考える」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-XR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-XR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-XR-02.html,官方PDF已保存并校验
研究安全、科技外交与国际比较,核心科技直接材料,C-CRDS-FY2016-XR-02,2016-12-01,W1,政策セミナー「２１世紀の科学的知識と科学技術イノベーション政策」シリーズ　座談会録「２１世紀の科学・社会を支える  新たな教養のあり方を考える」,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-XR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-XR-02.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-XR-02.html,官方PDF已保存并校验
人工智能、机器人与计算系统,核心科技直接材料,E-CRDS-2017-ENERGY,2017-03-01,W1,エネルギー分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENERGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENERGY.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-02.html,复用库内既有资产
芯片、量子、通信与网络安全,核心科技直接材料,E-CRDS-2017-ENERGY,2017-03-01,W1,エネルギー分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENERGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENERGY.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-02.html,复用库内既有资产
先进材料、纳米与制造技术,核心科技直接材料,E-CRDS-2017-ENERGY,2017-03-01,W1,エネルギー分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENERGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENERGY.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-02.html,复用库内既有资产
生命科学、生物技术与医疗,核心科技直接材料,E-CRDS-2017-ENERGY,2017-03-01,W1,エネルギー分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENERGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENERGY.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-02.html,复用库内既有资产
能源、环境与绿色转型,核心科技直接材料,E-CRDS-2017-ENERGY,2017-03-01,W1,エネルギー分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENERGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENERGY.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-02.html,复用库内既有资产
科技创新政策、科研体系与人才,核心科技直接材料,E-CRDS-2017-ENERGY,2017-03-01,W1,エネルギー分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENERGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENERGY.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-02.html,复用库内既有资产
研究安全、科技外交与国际比较,核心科技直接材料,E-CRDS-2017-ENERGY,2017-03-01,W1,エネルギー分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENERGY.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENERGY.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-02.html,复用库内既有资产
人工智能、机器人与计算系统,核心科技直接材料,E-CRDS-2017-ENV,2017-03-01,W1,環境分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENV.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENV.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-03.html,复用库内既有资产
先进材料、纳米与制造技术,核心科技直接材料,E-CRDS-2017-ENV,2017-03-01,W1,環境分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENV.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENV.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-03.html,复用库内既有资产
生命科学、生物技术与医疗,核心科技直接材料,E-CRDS-2017-ENV,2017-03-01,W1,環境分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENV.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENV.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-03.html,复用库内既有资产
能源、环境与绿色转型,核心科技直接材料,E-CRDS-2017-ENV,2017-03-01,W1,環境分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENV.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENV.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-03.html,复用库内既有资产
科技创新政策、科研体系与人才,核心科技直接材料,E-CRDS-2017-ENV,2017-03-01,W1,環境分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENV.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENV.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-03.html,复用库内既有资产
研究安全、科技外交与国际比较,核心科技直接材料,E-CRDS-2017-ENV,2017-03-01,W1,環境分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2017-ENV.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-CRDS-2017-ENV.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-03.html,复用库内既有资产
人工智能、机器人与计算系统,核心科技直接材料,S-CRDS-2017-01,2017-03-01,W1,システム・情報科学技術分野（2017年）,CRDS机构正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\S-CRDS-2017-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\S-CRDS-2017-01.txt,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-04.html,复用库内既有资产
