报告ID,机构ID,发布日期,观察窗,报告名称,主题线索,官方落地页,直接下载地址,本地PDF,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
E-CRDS-2021-NANO,jst-crds,2021-03-01,W2,Panoramic View Report: Nanotechnology/Materials Research Field (2021),关键技术国际比较；先进材料,https://www.jst.go.jp/crds/en/publications/CRDS-FY2020-FR-03.html,https://www.jst.go.jp/crds/pdf/2020/FR/CRDS-FY2020-FR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2021-NANO.pdf,11980129,7abfc1ca1539c71b892cb5f5c89aaa56175e856ae8a0bf4e61ef19d3d5d9992b,484,840920,官方PDF已保存并校验,,2026-08-22
E-CRDS-2021-LIFE,jst-crds,2021-03-01,W2,Panoramic View Report: Life Science and Clinical Research Field (2021),关键技术国际比较；生命科学,https://www.jst.go.jp/crds/en/publications/CRDS-FY2020-FR-04.html,https://www.jst.go.jp/crds/pdf/2020/FR/CRDS-FY2020-FR-04.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CRDS-2021-LIFE.pdf,13404410,53e367f9bd5b964a0cc91674cdce4f27e0ca659d85b2f783d306d224f19391f0,690,1296139,官方PDF已保存并校验,,2026-08-22
E-NISTEP-2017-IND,nistep,2017-08-01,W1,Digest of Japanese Science and Technology Indicators 2017,科技实力指标；中国国际比较,https://www.nistep.go.jp/en/?p=4248,https://www.nistep.go.jp/wp/wp-content/uploads/NISTEP-RM261-Summary_E.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-NISTEP-2017-IND.pdf,2022452,fbcd7d82137ecff38729b5e137211ad6b63c2759a53fab36c9c825982152fc36,28,56494,官方PDF已保存并校验,,2026-08-22
E-NISTEP-2018-IND,nistep,2018-10-01,W1,Digest of Japanese Science and Technology Indicators 2018,科技实力指标；中国国际比较,https://www.nistep.go.jp/en/?page_id=52,https://www.nistep.go.jp/wp/wp-content/uploads/NISTEP-RM274-SummaryE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-NISTEP-2018-IND.pdf,1210877,2d553c11185ca43b577cbca473a1022df4f4b71210d13fc61c251126969494ec,28,53886,官方PDF已保存并校验,,2026-08-22
E-NISTEP-2019-IND,nistep,2019-11-01,W2,Digest of Japanese Science and Technology Indicators 2019,科技实力指标；中国国际比较,https://www.nistep.go.jp/en/?page_id=52,https://www.nistep.go.jp/wp/wp-content/uploads/NISTEP-RM283-SummaryE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-NISTEP-2019-IND.pdf,1122872,48c36eebde02c8051d42cbe461b520ea8ef4187f059c826a344e0a2d6b0c8621,30,57088,官方PDF已保存并校验,,2026-08-22
E-NISTEP-2020-IND,nistep,2020-11-01,W2,Digest of Japanese Science and Technology Indicators 2020,科技实力指标；中国国际比较,https://www.nistep.go.jp/en/?page_id=52,https://www.nistep.go.jp/wp/wp-content/uploads/NISTEP-RM295-SummaryE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-NISTEP-2020-IND.pdf,1800949,32c4f193f50996b85b04386f89539c3d0f55f997c0f8038ebd1ad491a36f8d8b,24,46923,官方PDF已保存并校验,,2026-08-22
E-NISTEP-2021-IND,nistep,2021-11-01,W2,Digest of Japanese Science and Technology Indicators 2021,科技实力指标；中国国际比较,https://www.nistep.go.jp/en/?page_id=52,https://www.nistep.go.jp/wp/wp-content/uploads/NISTEP-RM311-SummaryE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-NISTEP-2021-IND.pdf,1481269,9e86e9a489b41e8b3201e16e01b485cd378aae9bc6cb3afcb06e408572b9c758,24,43497,官方PDF已保存并校验,,2026-08-22
E-OECD-2017-DEO,oecd-sti,2017-10-11,W1,OECD Digital Economy Outlook 2017,数字转型；开放与治理,https://www.oecd.org/en/publications/oecd-digital-economy-outlook-2017_9789264276284-en.html,https://www.oecd.org/content/dam/oecd/en/publications/reports/2017/10/oecd-digital-economy-outlook-2017_g1g7aa8d/9789264276284-en.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-OECD-2017-DEO.pdf,6927352,917f610158db0cc5a094a4316f3b04330b7f3ec88669cc38df788ef2bc796bd0,325,1043780,官方PDF已保存并校验,,2026-08-22
E-OECD-2019-GOING,oecd-sti,2019-03-11,W2,"Going Digital: Shaping Policies, Improving Lives",数字转型；综合政策框架,https://www.oecd.org/en/publications/going-digital-shaping-policies-improving-lives_9789264312012-en.html,https://www.oecd.org/content/dam/oecd/en/publications/reports/2019/03/going-digital-shaping-policies-improving-lives_g1g9f091/9789264312012-en.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-OECD-2019-GOING.pdf,3595868,14add90a1d2dc2f6e3635b5dd5e990508d2a02c53fca754dbf2d38edd5a4411e,171,569385,官方PDF已保存并校验,,2026-08-22
E-OECD-2019-MEASURE,oecd-sti,2019-03-11,W2,Measuring the Digital Transformation: A Roadmap for the Future,数字转型；指标体系,https://www.oecd.org/en/publications/measuring-the-digital-transformation_9789264311992-en.html,https://www.oecd.org/content/dam/oecd/en/publications/reports/2019/03/measuring-the-digital-transformation_g1g9f08f/9789264311992-en.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-OECD-2019-MEASURE.pdf,14674575,9d2ceac170f21bcf23b6874fbab82d5e40bce84615c9d7e69ade67197560aa48,262,883643,官方PDF已保存并校验,,2026-08-22
E-OECD-2019-AI,oecd-sti,2019-06-11,W2,Artificial Intelligence in Society,人工智能；可信治理,https://www.oecd.org/en/publications/2019/06/artificial-intelligence-in-society_c0054fa1.html,https://www.oecd.org/content/dam/oecd/en/publications/reports/2019/06/artificial-intelligence-in-society_c0054fa1/eedfee77-en.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-OECD-2019-AI.pdf,5075382,8bee66045415624ed73e6556f1fcb163f76da5d6ad3e5a5541501bd1170805eb,152,448473,官方PDF已保存并校验,,2026-08-22
E-OECD-2020-DEO,oecd-sti,2020-11-27,W2,OECD Digital Economy Outlook 2020,数字转型；疫情冲击；数据治理,https://www.oecd.org/en/publications/oecd-digital-economy-outlook-2020_bb167041-en.html,https://www.oecd.org/content/dam/oecd/en/publications/reports/2020/11/oecd-digital-economy-outlook-2020_3f7b7e58/bb167041-en.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-OECD-2020-DEO.pdf,4533006,ddd3bf3a62af4efe5bf797ce85f6c26f2908b06382249e73b72ff5dd3d542adf,318,1199877,官方PDF已保存并校验,,2026-08-22
E-MERICS-2016-MIC,merics-tech,2016-08-12,W1,Made in China 2025: The Making of a High-Tech Superpower and Consequences for Industrial Countries,中国制造2025；产业政策,https://merics.org/en/report/made-china-2025,https://merics.org/sites/default/files/2020-04/Made%20in%20China%202025.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2016-MIC.pdf,1289914,f2926bf52549c2986b4fe2bab7b3b5d6b1d202d73381e7db8a901a45b3217e90,76,220926,官方PDF已保存并校验,,2026-08-22
E-MERICS-2018-SERVE,merics-tech,2018-10-18,W1,Serve the People: Innovation and IT in China’s Social Development Agenda,中国数字治理；社会应用,https://merics.org/report/serve-people,https://merics.org/sites/default/files/2020-04/MPOC_06_Serve_the_people_Web.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2018-SERVE.pdf,2561005,bb2b1133b9378cf5acd2454a04d81dd0f682614213ba25a44571bcfce6856d7d,76,206165,官方PDF已保存并校验,,2026-08-22
E-MERICS-2019-DIGITAL,merics-tech,2019-04-08,W2,China's Digital Rise: Challenges for Europe,中国数字崛起；欧洲应对,https://merics.org/en/report/chinas-digital-rise,https://merics.org/sites/default/files/2020-05/MPOC_No.7_ChinasDigitalRise_web_final_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2019-DIGITAL.pdf,2584761,04c8a48b397e7573d8e7a353cc79b4db091d2f78498b8e95b59f412868a39541,58,152833,官方PDF已保存并校验,,2026-08-22
E-MERICS-2019-MIC,merics-tech,2019-07-02,W2,Evolving Made in China 2025: China’s Industrial Policy in the Quest for Global Tech Leadership,中国制造2025；技术领导力,https://merics.org/en/report/evolving-made-china-2025,https://merics.org/sites/default/files/2020-04/MPOC_8_MadeinChina_2025_final_3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2019-MIC.pdf,3061166,629ce0b9bcde711dcbe44fa3494f9f824cce665cbd95e76c0cab42515a71eb7d,80,159329,官方PDF已保存并校验,,2026-08-22
E-MERICS-2020-DECOUPLING,merics-tech,2020-08-20,W2,Resilience and Decoupling in the Era of Great Power Competition,中美科技竞争；脱钩；韧性,https://merics.org/en/report/resilience-and-decoupling-era-great-power-competition,https://merics.org/sites/default/files/2020-08/Merics_ChinaMonitor_PowerCompetition.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2020-DECOUPLING.pdf,423711,50626bb0c59a7a61c9d373f7fada0889454eecfce6aceb1112011ba5376dd7ca,11,41029,官方PDF已保存并校验,,2026-08-22
E-MERICS-2021-DECOUPLING,merics-tech,2021-01-14,W2,Decoupling: Severed Ties and Patchwork Globalisation,技术脱钩；供应链；数据治理,https://merics.org/en/report/decoupling-severed-ties-and-patchwork-globalisation,https://merics.org/sites/default/files/2021-01/Decoupling_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2021-DECOUPLING.pdf,4339868,cdfa4c4010d58ab187c9759950334abf67cd86cec21f6b1c024c7b825dba911e,101,368221,官方PDF已保存并校验,,2026-08-22
E-ASPI-2018-BIGDATA,aspi,2018-06-22,W1,Big Data in China and the Battle for Privacy,中国大数据；隐私；治理,https://www.aspi.org.au/report/big-data-china-and-battle-privacy,https://ad-aspi.s3.ap-southeast-2.amazonaws.com/2018-06/Winner%20takes%20it%20all_0.pdf?VersionId=r0DDh71qxQgqwHtX8z8tmScoz55JQVyc,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2018-BIGDATA.pdf,3026282,59f708f6565a1337925ab64aa50497e29fc060ae1b1bb89bbed047eea72e24e2,20,43541,官方PDF已保存并校验,,2026-08-22
E-ASPI-2018-ENTANGLE,aspi,2018-06-28,W1,"Technological Entanglement: Cooperation, Competition and the Dual-Use Dilemma in Artificial Intelligence",中美AI合作；双用途风险,https://www.aspi.org.au/report/technological-entanglement,https://s3-ap-southeast-2.amazonaws.com/ad-aspi/2018-07/Tech-Entanglemen_PolicyBrief_20180702-v2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2018-ENTANGLE.pdf,3361910,a87324b22c4f2458d2ecddcb6466bde617e6c02416b63c8bdf4f65956adcc2ea,20,52984,官方PDF已保存并校验,,2026-08-22
E-ASPI-2018-HACKING,aspi,2018-09-25,W1,Hacking for Ca$h,中国网络活动；技术安全,https://www.aspi.org.au/report/hacking-cash/,https://ad-aspi.s3.ap-southeast-2.amazonaws.com/2018-09/Hacking%20for%20cash_0.pdf?VersionId=FHTEXSif5qZDfwPoxnAAhTliEw45dMR1,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2018-HACKING.pdf,1846184,c0ad983c2d53e15aecf1d58a65ff5313544f4935e5e99142ce994b99bc7aeaad,20,50485,官方PDF已保存并校验,,2026-08-22
E-ASPI-2019-MAP,aspi,2019-04-18,W2,Mapping China's Tech Giants,中国科技企业；全球扩张,https://www.aspi.org.au/report/mapping-chinas-tech-giants/,https://ad-aspi.s3.ap-southeast-2.amazonaws.com/2019-05/Mapping%20China%27s%20technology%20giants.pdf?VersionId=EINwiNpste_FojtgOPriHtlFSD2OD2tL,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2019-MAP.pdf,2009833,6308cdf308f8ccc945a92a51cc50f8ec8d881faaf0132e591970b63ce5cb0978,28,71987,官方PDF已保存并校验,,2026-08-22
E-ASPI-2019-MAP2,aspi,2019-11-28,W2,Mapping More of China's Tech Giants: AI and Surveillance,中国AI企业；监控技术,https://www.aspi.org.au/report/mapping-more-chinas-tech-giants/,https://ad-aspi.s3.ap-southeast-2.amazonaws.com/2019-12/Mapping%20more%20of%20Chinas%20tech%20giants.pdf?VersionId=wpDVHlKgXJHzeK8rZ.kmy0Ei63RxXMO.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2019-MAP2.pdf,2778370,da3d2ca91fece5b7ae59f5fdc27e96241d01e937273570ee4768993cf106c8a2,32,81485,官方PDF已保存并校验,,2026-08-22
E-ASPI-2020-TIKTOK,aspi,2020-09-08,W2,TikTok and WeChat: Curating and Controlling Global Information Flows,中国平台企业；信息治理,https://www.aspi.org.au/report/tiktok-wechat/,https://ad-aspi.s3.ap-southeast-2.amazonaws.com/2020-09/TikTok%20and%20WeChat.pdf?VersionId=7BNJWaoHImPVE.6KKcBP1JRD5fRnAVTZ,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2020-TIKTOK.pdf,7754704,7a51d5b45f7595ca445ac3a80f74fe7fbfa212ad115098095f97d195e15aed7e,72,170030,官方PDF已保存并校验,,2026-08-22
E-ASPI-2021-SUPPLY,aspi,2021-06-08,W2,Mapping China's Tech Giants: Supply Chains and the Global Data Collection Ecosystem,数字供应链；全球数据生态,https://www.aspi.org.au/report/mapping-chinas-tech-giants-supply-chains-and-global-data-collection-ecosystem/,https://ad-aspi.s3.ap-southeast-2.amazonaws.com/2021-06/Supply%20chains.pdf?VersionId=56J_tt8xYXYvsMuhriQt5dSsr92ADaZH,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2021-SUPPLY.pdf,4901533,ded61284ec5fc0e134a6ab3093c55c11a0c5cb7101a8950d927fc1370525c5d7,34,85666,官方PDF已保存并校验,,2026-08-22
E-ASPI-2021-REINING,aspi,2021-06-08,W2,Mapping China's Technology Giants: Reining in China’s Technology Giants,中国科技企业；技术自立,https://www.aspi.org.au/report/mapping-chinas-technology-giants-reining-chinas-technology-giants/,https://ad-aspi.s3.ap-southeast-2.amazonaws.com/2021-06/Reining%20in%20Chinas%20technology%20giants_0.pdf?VersionId=JUkREMWd6.9bWQuN_W9oXPIq2y4zHl2R,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ASPI-2021-REINING.pdf,3162995,1bc77c4ed8b8bce2b84167df45dd27b31f2fc590fbf3813ef2a082d5f6667c00,36,98874,官方PDF已保存并校验,,2026-08-22
E-CSIS-2018-DISRUPT,csis,2018-01-08,W1,"Disruptors, Innovators, and Thieves: Assessing Innovation in China’s Digital Economy",中国数字创新；产业竞争,https://www.csis.org/analysis/disruptors-innovators-and-thieves,https://csis-website-prod.s3.amazonaws.com/s3fs-public/publication/180108_Sacks_DisruptorsInnovatorsThieves_Web.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CSIS-2018-DISRUPT.pdf,3449128,c9003427b3404f69cfc3f37f199253fade63fdbe179a45cebf398bdd5d472017,38,76778,官方PDF已保存并校验,,2026-08-22
E-CSIS-2019-TRANSFER,csis,2019-09-04,W2,Emerging Technologies and Managing the Risk of Tech Transfer to China,技术转移；开放边界,https://www.csis.org/analysis/emerging-technologies-and-managing-risk-tech-transfer-china,https://csis-website-prod.s3.amazonaws.com/s3fs-public/publication/190904_Lewis_ChinaTechTransfer_WEB_v2_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CSIS-2019-TRANSFER.pdf,654879,335fbf94580a8c8ca08484943773374a975f35431a93b3be846c1fec7ebd028d,34,89083,官方PDF已保存并校验,,2026-08-22
E-CSIS-2020-DRIVE,csis,2020-02-27,W2,China’s Uneven High-Tech Drive: Implications for the United States,中国高技术产业；竞争力,https://www.csis.org/analysis/chinas-uneven-high-tech-drive-implications-united-states,https://csis-website-prod.s3.amazonaws.com/s3fs-public/publication/200302_Kennedy_ChinaUnevenDrive_v3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CSIS-2020-DRIVE.pdf,5370746,78a97454334ad0bc807db458b6b33a12dc90eebe056efadef54934de371ffdcb,66,163937,官方PDF已保存并校验,,2026-08-22
E-CSIS-2020-301,csis,2020-04-10,W2,"Section 301 Investigation: China’s Acts, Policies and Practices Related to Technology Transfer, Intellectual Property, and Innovation",技术转移；知识产权；产业政策,https://www.csis.org/analysis/section-301-investigation,https://csis-website-prod.s3.amazonaws.com/s3fs-public/publication/200422_Lewis_Investigation_v4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CSIS-2020-301.pdf,89456,d3e41181c6410fb3f231a9d2d72b7e1a20347639e9a716913d0e850d84e0cd03,8,24308,官方PDF已保存并校验,,2026-08-22
E-CSIS-2021-DEGREES,csis,2021-10-21,W2,Degrees of Separation: A Targeted Approach to U.S.-China Decoupling,选择性脱钩；AI；生物技术,https://www.csis.org/analysis/degrees-separation-targeted-approach-us-china-decoupling-final-report,https://csis-website-prod.s3.amazonaws.com/s3fs-public/publication/211021_Segal_DegreesSeparation_Final.pdf?VersionId=ivhSdtS5EaN75MV.21FWz4KnCOypU1Al,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-CSIS-2021-DEGREES.pdf,7961572,442ec3ed915f5a230464b4aea10d87d7f995078c6f53f6f05ed99b48be6e8193,74,224565,官方PDF已保存并校验,,2026-08-22
E-ITIF-2017-MERC,itif,2017-03-16,W1,"Stopping China’s Mercantilism: A Doctrine of Constructive, Alliance-Backed Confrontation",创新重商主义；联盟政策,https://itif.org/publications/2017/03/16/stopping-chinas-mercantilism-doctrine-constructive-alliance-backed/,https://www2.itif.org/2017-stopping-china-mercantilism.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ITIF-2017-MERC.pdf,673773,3da95d34354111d8d07599ee7a3cf42271b19fae9c202fb1afc17f4a8b7278b1,66,221480,官方PDF已保存并校验,,2026-08-22
E-ITIF-2018-TARIFF,itif,2018-03-16,W1,The Impact of Broad Tariffs on Chinese ICT Imports,ICT供应链；关税；竞争政策,https://itif.org/publications/2018/03/16/broad-tariffs-chinese-ict-products-would-impose-significant-costs-us-economy/,https://www2.itif.org/2018-ict-tariffs-china.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ITIF-2018-TARIFF.pdf,280499,4ab59cf3f0fcbbeb908bbdc76b5f2c451db06b362c6bb63f95a591c60228dad1,14,37820,官方PDF已保存并校验,,2026-08-22
E-ITIF-2019-CATCHUP,itif,2019-04-08,W2,Is China Catching Up to the United States in Innovation?,中美创新能力比较,https://itif.org/publications/2019/04/08/china-catching-united-states-innovation/,https://www2.itif.org/2019-china-catching-up-innovation.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-ITIF-2019-CATCHUP.pdf,448240,2583f803727da9ad36748ee4079ecc158384b309b9286aba93cabd4f07d1f38b,57,98484,官方PDF已保存并校验,,2026-08-22
