报告ID,统一目录报告ID,发布日期,日期精度,报告名称,政策节点角色,科学技术创新主题,中国关联,官方索引或落地页,官方PDF入口,时期来源,全文策略,源文件SHA256,采集日期
C-US-OSTP-2018-OCEAN-SCIENCE-AND-TECHNOLOGY-HIGHLIGHTS-SELECTED-PROJECTS-FROM-OUR-FEDERAL-AGENCIES,C-US-OSTP-2018-OCEAN-SCIENCE-AND-TECHNOLOGY-HIGHLIGHTS-SELECTED-PROJECTS-FROM-OUR-FEDERAL-AGENCIES,2018-06-28,日,Ocean Science and Technology Highlights: Selected Projects From Our Federal Agencies,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/06/Ocean-Science-and-Technology-Highlights-Selected-Projects-From-Our-Federal-Agencies.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-SUMMARY-OF-THE-2018-WHITE-HOUSE-STATE-FEDERAL-STEM-EDUCATION-SUMMIT,C-US-OSTP-2018-SUMMARY-OF-THE-2018-WHITE-HOUSE-STATE-FEDERAL-STEM-EDUCATION-SUMMIT,2018-06-28,日,Summary of the 2018 White House State-Federal STEM Education Summit,联邦科学技术战略、研发投入或创新体系节点,人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/06/Summary-of-the-2018-White-House-State-Federal-STEM-Education-Summit.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-M-18-22,C-US-OSTP-2018-M-18-22,2018-07-31,日,FY 2020 Administration Research and Development Budget Priorities,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/07/M-18-22.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-THE-NATIONAL-NANOTECHNOLOGY-INITIATIVE-SUPPLEMENT-TO-THE-PRESIDENT-S-2019-BUDGET,C-US-OSTP-2018-THE-NATIONAL-NANOTECHNOLOGY-INITIATIVE-SUPPLEMENT-TO-THE-PRESIDENT-S-2019-BUDGET,2018-08-16,日,The National Nanotechnology Initiative: Supplement to the President’s 2019 Budget,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/08/The-National-Nanotechnology-Initiative-Supplement-to-the-President’s-2019-Budget.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-FY2019-NITRD-SUPPLEMENT,C-US-OSTP-2018-FY2019-NITRD-SUPPLEMENT,2018-08-21,日,FY2019 Supplement to the President’s Budget for the Federal Networking and Information Technology Research and Development (NITRD) Program,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://www.nitrd.gov/pubs/FY2019-NITRD-Supplement.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-NATIONAL-STRATEGIC-OVERVIEW-FOR-QUANTUM-INFORMATION-SCIENCE,C-US-OSTP-2018-NATIONAL-STRATEGIC-OVERVIEW-FOR-QUANTUM-INFORMATION-SCIENCE,2018-09-24,日,National Strategic Overview for Quantum Information Science,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/09/National-Strategic-Overview-for-Quantum-Information-Science.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-SUMMARY-OF-THE-2018-WHITE-HOUSE-SUMMIT-ON-ADVANCING-AMERICAN-LEADERSHIP-IN-QUANTUM-INFORMATION-SCIENCE-UPDATED,C-US-OSTP-2018-SUMMARY-OF-THE-2018-WHITE-HOUSE-SUMMIT-ON-ADVANCING-AMERICAN-LEADERSHIP-IN-QUANTUM-INFORMATION-SCIENCE-UPDATED,2018-09-28,日,Summary of the 2018 White House Summit on Advancing American Leadership in Quantum Information Science,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/Summary-of-the-2018-White-House-Summit-on-Advancing-American-Leadership-in-Quantum-Information-Science-Updated.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-ADVANCED-MANUFACTURING-STRATEGIC-PLAN-2018,C-US-OSTP-2018-ADVANCED-MANUFACTURING-STRATEGIC-PLAN-2018,2018-10-05,日,Strategy for American Leadership in Advanced Manufacturing,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术；创新政策与研发治理；产业创新转化与区域生态,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/10/Advanced-Manufacturing-Strategic-Plan-2018.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-SCIENCE-AND-TECHNOLOGY-FOR-AMERICAS-OCEANS-A-DECADAL-VISION,C-US-OSTP-2018-SCIENCE-AND-TECHNOLOGY-FOR-AMERICAS-OCEANS-A-DECADAL-VISION,2018-11-16,日,Science and Technology for America’s Oceans: A Decadal Vision,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/11/Science-and-Technology-for-Americas-Oceans-A-Decadal-Vision.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-2018-11-30-AI-SELECT-COMMITTEE-UPDATE-REPORT,C-US-OSTP-2018-2018-11-30-AI-SELECT-COMMITTEE-UPDATE-REPORT,2018-11-30,日,Update from the NSTC Select Committee on Artificial Intelligence,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/12/2018.11.30-AI-Select-Committee-Update-Report.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-STEM-EDUCATION-STRATEGIC-PLAN-2018,C-US-OSTP-2018-STEM-EDUCATION-STRATEGIC-PLAN-2018,2018-12-04,日,Charting a Course for Success: America’s Strategy for STEM Education,联邦科学技术战略、研发投入或创新体系节点,创新政策与研发治理；人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/12/STEM-Education-Strategic-Plan-2018.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2018-SUMMARY-OF-2018-STEM-ED-STATEGIC-PLAN-RELEASE-EVENT,C-US-OSTP-2018-SUMMARY-OF-2018-STEM-ED-STATEGIC-PLAN-RELEASE-EVENT,2018-12-04,日,Summary of the White House Release Event for the 2018 STEM Education Strategic Plan,联邦科学技术战略、研发投入或创新体系节点,创新政策与研发治理；人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/12/Summary-of-2018-STEM-Ed-Stategic-Plan-Release-Event.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-ADMINISTRATION-2018-ST-HIGHLIGHTS,C-US-OSTP-2019-ADMINISTRATION-2018-ST-HIGHLIGHTS,2019-02-21,日,Science and Technology Highlights in the Second Year of the Trump Administration,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/02/Administration-2018-ST-Highlights.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-RESEARCH-AND-DEVELOPMENT-PRIORITIES-FOR-AMERICAN-LEADERSHIP-IN-WIRELESS-COMMUNICATIONS-REPORT-MAY-2019,C-US-OSTP-2019-RESEARCH-AND-DEVELOPMENT-PRIORITIES-FOR-AMERICAN-LEADERSHIP-IN-WIRELESS-COMMUNICATIONS-REPORT-MAY-2019,2019-05-30,日,Research and Development Priorities for American Leadership in Wireless Communications,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/05/Research-and-Development-Priorities-for-American-Leadership-in-Wireless-Communications-Report-May-2019.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-WHQIS-ACADEMIC-ROUNDTABLE-ON-INNOVATION-IN-QIS-MAY-31-2019,C-US-OSTP-2019-WHQIS-ACADEMIC-ROUNDTABLE-ON-INNOVATION-IN-QIS-MAY-31-2019,2019-05-31,日,Summary of the 2019 White House Academic Roundtable on Advancing American Leadership in Quantum Information Science,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/06/WHQIS-Academic-Roundtable-on-Innovation-in-QIS-May-31-2019.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-SUMMARY-OF-NSTC-CONFERENCE-BUILDING-BRIDGES-ACROSS-ST-ENTERPRISE-JUNE-2019,C-US-OSTP-2019-SUMMARY-OF-NSTC-CONFERENCE-BUILDING-BRIDGES-ACROSS-ST-ENTERPRISE-JUNE-2019,2019-06-12,日,Summary of the NSTC Conference on Building Bridges Across the Science and Technology Enterprise,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/07/Summary-of-NSTC-Conference-Building-Bridges-Across-ST-Enterprise-June-2019.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-FEDERAL-PRIZE-AND-CITIZEN-SCIENCE-IMPLEMENTATION-FY17-18-REPORT-JUNE-2019,C-US-OSTP-2019-FEDERAL-PRIZE-AND-CITIZEN-SCIENCE-IMPLEMENTATION-FY17-18-REPORT-JUNE-2019,2019-06-14,日,Implementation of Federal Prize and Citizen Science Authority: Fiscal Years 2017-18,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/06/Federal-Prize-and-Citizen-Science-Implementation-FY17-18-Report-June-2019.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-NATIONAL-AI-RESEARCH-AND-DEVELOPMENT-STRATEGIC-PLAN-2019-UPDATE-JUNE-2019,C-US-OSTP-2019-NATIONAL-AI-RESEARCH-AND-DEVELOPMENT-STRATEGIC-PLAN-2019-UPDATE-JUNE-2019,2019-06-21,日,National Artificial Intelligence R&D Strategic Plan: 2019 Update,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/06/National-AI-Research-and-Development-Strategic-Plan-2019-Update-June-2019.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-UPDATE-FROM-THE-NSTC-JOINT-COMMITTEE-ON-RESEARCH-ENVIRONMENTS-JULY-2019,C-US-OSTP-2019-UPDATE-FROM-THE-NSTC-JOINT-COMMITTEE-ON-RESEARCH-ENVIRONMENTS-JULY-2019,2019-07-09,日,Update from the NSTC Joint Committee on Research Environments,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/07/Update-from-the-NSTC-Joint-Committee-on-Research-Environments-July-2019.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-FY-21-RD-BUDGET-PRIORITIES,C-US-OSTP-2019-FY-21-RD-BUDGET-PRIORITIES,2019-08-30,日,FY 2021 Administration Research and Development Budget Priorities,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/08/FY-21-RD-Budget-Priorities.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-NNI-FY20-BUDGET-SUPPLEMENT-FINAL,C-US-OSTP-2019-NNI-FY20-BUDGET-SUPPLEMENT-FINAL,2019-08-30,日,The National Nanotechnology Initiative: Supplement to the President’s 2020 Budget,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://www.nano.gov/sites/default/files/NNI-FY20-Budget-Supplement-Final.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-FY2020-NITRD-AI-RD-BUDGET-SEPTEMBER-2019,C-US-OSTP-2019-FY2020-NITRD-AI-RD-BUDGET-SEPTEMBER-2019,2019-09-10,日,FY2020 Supplement to the President’s Budget for the Federal Networking and Information Technology Research and Development (NITRD) Program,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/09/FY2020-NITRD-AI-RD-Budget-September-2019.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
