报告ID,统一目录报告ID,发布日期,报告名称,摘要,官方主题,科学技术创新主题,中国关联,官方落地页,官方PDF入口,资料层级,全文策略,页面SHA256,采集日期
C-NESTA-2016-THE-FUSION-EFFECT-THE-ECONOMIC-RETURNS-TO-COMBINING-ARTS-AND-SCIENCE-SKI,C-NESTA-2016-THE-FUSION-EFFECT-THE-ECONOMIC-RETURNS-TO-COMBINING-ARTS-AND-SCIENCE-SKI,2016-06-14,The Fusion Effect: The economic returns to combining arts and science skills,This research explores the fusion of arts and science skills in UK companies and the impact of this combination on performance.,Innovation policy,科学体系与基础研究；创新政策与研发治理,否,https://www.nesta.org.uk/report/the-fusion-effect-the-economic-returns-to-combining-arts-and-science-skills/,https://www.nesta.org.uk/documents/501/the_fusion_effect_v6.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,ebd3032736e4ea1302740de2b831b82c7737aa802d03fccb7c6ee3809aa044f5,2026-08-23
C-NESTA-2016-THE-FUTURE-OF-PEOPLE-POWERED-HEALTH,C-NESTA-2016-THE-FUTURE-OF-PEOPLE-POWERED-HEALTH,2016-07-13,The Future of People Powered Health,This essay series offers insights from leaders and thinkers on how digital and social innovation can contribute to better health outcomes.,Health,技术创新与关键技术,否,https://www.nesta.org.uk/report/the-future-of-people-powered-health/,https://www.nesta.org.uk/documents/504/future_of_people_powered_health_essay_series.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,81a9cf143402c39fa1db2740fd1d38b65a1ae71d5cdd463c3136ce78e43b8657,2026-08-23
C-NESTA-2016-SPREADING-CHANGE-A-GUIDE-TO-ENABLING-THE-SPREAD-OF-PERSON-AND-COMMUNITY-,C-NESTA-2016-SPREADING-CHANGE-A-GUIDE-TO-ENABLING-THE-SPREAD-OF-PERSON-AND-COMMUNITY-,2016-09-05,Spreading change: A guide to enabling the spread of person- and community-centred approaches for health and wellbeing,This guide outlines how behavioural science can help spread the take-up of person- and community-centred approaches to health and wellbeing.,Health,科学体系与基础研究,否,https://www.nesta.org.uk/report/spreading-change-a-guide-to-enabling-the-spread-of-person-and-community-centred-approaches-for-health-and-wellbeing/,https://www.nesta.org.uk/documents/512/rtv-spreading-change.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,03dac53cab27fddd67cca66e9c0fcb2957a1511d265f7736d6fa6033a8a95202,2026-08-23
C-NESTA-2016-SUPPORTING-SELF-MANAGEMENT-A-GUIDE-TO-ENABLING-BEHAVIOUR-CHANGE-FOR-HEAL,C-NESTA-2016-SUPPORTING-SELF-MANAGEMENT-A-GUIDE-TO-ENABLING-BEHAVIOUR-CHANGE-FOR-HEAL,2016-09-05,Supporting self-management: A guide to enabling behaviour change for health and wellbeing using person- and community-centred approaches,This guide outlines how the science of behaviour can help people to self-manage their health and wellbeing.,Health,科学体系与基础研究,否,https://www.nesta.org.uk/report/supporting-self-management-a-guide-to-enabling-behaviour-change-for-health-and-wellbeing-using-person-and-community-centred-approaches/,https://www.nesta.org.uk/documents/513/rtv-supporting-self-management.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,85f77fe42dbd1b0885521a5f775da7a4ec1f4eb7fc127e9e4b5d1cefe1ef2ac1,2026-08-23
C-NESTA-2016-DIGITAL-INNOVATION-FUND-FOR-THE-ARTS-IN-WALES-INTERIM-REPORT,C-NESTA-2016-DIGITAL-INNOVATION-FUND-FOR-THE-ARTS-IN-WALES-INTERIM-REPORT,2016-09-28,Digital innovation Fund for the Arts in Wales: Interim Report,What we've learned so far about supporting arts organisations in Wales to make more effective use of digital technology.,Creative economy & culture,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/digital-innovation-fund-for-the-arts-in-wales-interim-report/,https://www.nesta.org.uk/documents/518/digital_innovation_fund_for_the_arts_in_wales_-_phase_one_interim_report.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,68498a0b72561df5ec148a9357345dd9276ecc024ed1ff827b3fa1b38eda6cd8,2026-08-23
C-NESTA-2016-THE-POWER-OF-PEER-SUPPORT,C-NESTA-2016-THE-POWER-OF-PEER-SUPPORT,2016-10-20,The power of peer support,This report reflects on the value of peer support and shares practical insights from 10 of the organisations we worked with in the Centre for Social Action Innovation Fund.,Health,创新政策与研发治理,否,https://www.nesta.org.uk/report/the-power-of-peer-support/,https://www.nesta.org.uk/documents/522/cfsaif_power_of_peer_support.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,840b1306ed6ca83fabf3be50364e1514a6d3c383c886df0b0de0e6844c933808,2026-08-23
C-NESTA-2016-WHAT-DOES-IT-TAKE-TO-GO-BIG-INSIGHTS-ON-SCALING-SOCIAL-INNOVATION,C-NESTA-2016-WHAT-DOES-IT-TAKE-TO-GO-BIG-INSIGHTS-ON-SCALING-SOCIAL-INNOVATION,2016-10-20,What does it take to go big? Insights on scaling social innovation,"This report shares lessons and practical insights from the 52 projects supported by the Centre for Social Action Innovation Fund, on what it takes to scale a social innovation.",Government innovation,创新政策与研发治理,否,https://www.nesta.org.uk/report/what-does-it-take-to-go-big-insights-on-scaling-social-innovation/,https://www.nesta.org.uk/documents/523/cfsaif_what_does_it_take_to_go_big.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,0ae8530d7e3a1fe7aea185faa97c479d58f267eda73941f0fb4e3c55d8a18eef,2026-08-23
C-NESTA-2016-POLICYMAKING-21ST-CENTURY-HOW-DIGITAL-TOOLS-CAN-HELP,C-NESTA-2016-POLICYMAKING-21ST-CENTURY-HOW-DIGITAL-TOOLS-CAN-HELP,2016-10-31,Policymaking for the 21st century: How digital tools can help,"This briefing provides an overview of how digital tools can transform the policy process to become more timely, inclusive, data-driven and user-focused.",Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/policymaking-21st-century-how-digital-tools-can-help/,https://www.nesta.org.uk/documents/717/Policymaking-for-the-21st-Century.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,4d147709ed5a293208c7168e88ac17af54025a3da77b580a65b97f3fe603ae5d,2026-08-23
C-NESTA-2016-DIGITAL-ENTREPRENEURSHIP-AN-IDEA-BANK-FOR-LOCAL-POLICYMAKERS,C-NESTA-2016-DIGITAL-ENTREPRENEURSHIP-AN-IDEA-BANK-FOR-LOCAL-POLICYMAKERS,2016-11-02,Digital entrepreneurship: An idea bank for local policymakers,This idea bank aims to help local European policymakers and influencers create better conditions for entrepreneurship at the regional or city level.,Innovation policy,技术创新与关键技术；创新政策与研发治理；产业创新转化与区域生态,否,https://www.nesta.org.uk/report/digital-entrepreneurship-an-idea-bank-for-local-policymakers/,https://www.nesta.org.uk/documents/526/digital_entrepreneurship_an_idea_bank_for_local_policymakers_.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,06c8683cf048a5ea2eb67f46bd879ae24357f7be281f420411fdd828d0d30257,2026-08-23
C-NESTA-2016-MAKING-DIGITAL-WORK-BUSINESS-MODELS,C-NESTA-2016-MAKING-DIGITAL-WORK-BUSINESS-MODELS,2016-12-14,Making Digital Work: Business Models,Distribution and business models is one of the major learning themes from the Digital R&D Fund for the Arts.,Creative economy & culture,科学体系与基础研究；技术创新与关键技术,否,https://www.nesta.org.uk/report/making-digital-work-business-models/,https://www.nesta.org.uk/documents/537/digitalrdfundguide_business.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,525989a312e2b3964c90459b5b272e42b884fcc7c649d8952cbf9d6020435ca7,2026-08-23
C-NESTA-2016-MAKING-DIGITAL-WORK-MOBILE,C-NESTA-2016-MAKING-DIGITAL-WORK-MOBILE,2016-12-14,Making Digital Work: Mobile,Mobile is one of the major learning themes from the Digital R&D Fund for the Arts.,Creative economy & culture,科学体系与基础研究；技术创新与关键技术,否,https://www.nesta.org.uk/report/making-digital-work-mobile/,https://www.nesta.org.uk/documents/538/digitalrdfundguide_mobile.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,fce4bf4350951521da619e466bc5fe8235969c859d31f74ab43690bda9c057b9,2026-08-23
C-NESTA-2017-DIGITAL-INNOVATION-FUND-FOR-THE-ARTS-IN-WALES-PHASE-TWO-INTERIM-REPORT,C-NESTA-2017-DIGITAL-INNOVATION-FUND-FOR-THE-ARTS-IN-WALES-PHASE-TWO-INTERIM-REPORT,2017-01-16,Digital Innovation Fund for the Arts in Wales: Phase Two Interim Report,This paper summarises what we've learned so far about supporting arts organisations in Wales to make more effective use of digital technology.,Creative economy & culture,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/digital-innovation-fund-for-the-arts-in-wales-phase-two-interim-report/,https://www.nesta.org.uk/documents/540/difaw_phase_two_report_english.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,8aca0a125b8201039a995c9e002646cc179e9beb9151d17b483ac705e0f513d5,2026-08-23
C-NESTA-2017-QUANTIFYING-ENTREPRENEURSHIP-USING-DOMAIN-NAME-REGISTRATION-DATA-METHODS,C-NESTA-2017-QUANTIFYING-ENTREPRENEURSHIP-USING-DOMAIN-NAME-REGISTRATION-DATA-METHODS,2017-02-15,"Quantifying entrepreneurship using domain name registration data: Methods and applications for Oxford and Cambridge, UK","What is the rate of entrepreneurship around the world? How does it differ by country, by region and by sector? Without a comprehensive, centralised and global registry for new firm founding, this question is difficult to answer.",Futurescoping,产业创新转化与区域生态,否,https://www.nesta.org.uk/report/quantifying-entrepreneurship-using-domain-name-registration-data-methods-and-applications-for-oxford-and-cambridge-uk/,https://www.nesta.org.uk/documents/545/working_paper_-_a.nagaraj_and_s.wang_final_paper.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,98ea96c6606129aa2ace2564f301c25bb94a240c3f962c7937589106e90607b2,2026-08-23
C-NESTA-2017-DIGITAL-DEMOCRACY-THE-TOOLS-TRANSFORMING-POLITICAL-ENGAGEMENT,C-NESTA-2017-DIGITAL-DEMOCRACY-THE-TOOLS-TRANSFORMING-POLITICAL-ENGAGEMENT,2017-02-20,Digital Democracy: The Tools Transforming Political Engagement,This paper shares lessons from Nesta’s research into some of the pioneering innovations in digital democracy which are taking place across Europe and beyond,Government innovation；Futurescoping,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-democracy-the-tools-transforming-political-engagement/,https://www.nesta.org.uk/documents/546/digital_democracy.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,dd811623f7e9f0b639454084b97bb668b8aeddb33bd4f944632c1b43b1d6218b,2026-08-23
C-NESTA-2017-DIGITAL-PULSE-HOW-READY-IS-THE-UK-FOR-THE-DIGITAL-LIFE,C-NESTA-2017-DIGITAL-PULSE-HOW-READY-IS-THE-UK-FOR-THE-DIGITAL-LIFE,2017-03-06,Digital Pulse: How ready is the UK for the digital life?,"New research by Readie finds major differences in attitude to new technology across Europe, with Germans most sceptical and Bulgarians most positive about its impact.",Creative economy & culture；Innovation policy；Futurescoping,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/digital-pulse-how-ready-is-the-uk-for-the-digital-life/,https://www.nesta.org.uk/documents/549/digital_pulse_-_how_ready_is_the_uk_for_the_digital_life_1.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,622436cbf85d05977614d22638b37726ea44ccfac1da85a7a895ba7dcaee460e,2026-08-23
C-NESTA-2017-DIGITAL-PULSE-HOW-READY-ARE-GERMANS-FOR-THE-DIGITAL-LIFE,C-NESTA-2017-DIGITAL-PULSE-HOW-READY-ARE-GERMANS-FOR-THE-DIGITAL-LIFE,2017-03-08,Digital Pulse: How ready are Germans for the digital life?,"New research by Readie finds major differences in attitude to new technology across Europe, with Germans most sceptical and Bulgarians most positive about its impact.",Creative economy & culture；Innovation policy；Futurescoping,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/digital-pulse-how-ready-are-germans-for-the-digital-life/,https://www.nesta.org.uk/documents/551/digital_pulse_-_how_ready_are_germans_for_the_digital_life_0.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,3a7fc2def0492ecf6dc11cd4455c706a6d1bfdffe88d3631290753ee91d38850,2026-08-23
C-NESTA-2017-EVIDENCE-REVIEW-THE-ADOPTION-OF-DIGITAL-TECHNOLOGY-IN-THE-ARTS,C-NESTA-2017-EVIDENCE-REVIEW-THE-ADOPTION-OF-DIGITAL-TECHNOLOGY-IN-THE-ARTS,2017-03-10,Evidence review: The adoption of digital technology in the arts,"A review of the evidence available about how digital technology is being successfully adopted by arts organisations, written by Golant Media Ventures",Creative economy & culture；Futurescoping,技术创新与关键技术,否,https://www.nesta.org.uk/report/evidence-review-the-adoption-of-digital-technology-in-the-arts/,https://www.nesta.org.uk/documents/555/difaw_gmv_e.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,23fbc290112233051b19214ee208e23729696ab6c1f190af9ea9190645b70eeb,2026-08-23
C-NESTA-2017-G39-AND-GOLANT-MEDIA-VENTURES,C-NESTA-2017-G39-AND-GOLANT-MEDIA-VENTURES,2017-03-14,g39 and Golant Media Ventures,"g39 and Golant Media Ventures have developed ART, a digital tool for enriching the audience experience and gathering data at non-ticketed visual arts spaces.",Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/g39-and-golant-media-ventures/,https://www.nesta.org.uk/documents/559/difaw_g39_e.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,b6afc61394a7bc3b720b637bd7ee78d605c5eb931e7db446b6a5e85b7add81d1,2026-08-23
C-NESTA-2017-OPEN-INNOVATION-IN-HEALTH-A-GUIDE-TO-TRANSFORMING-HEALTHCARE-THROUGH-COL,C-NESTA-2017-OPEN-INNOVATION-IN-HEALTH-A-GUIDE-TO-TRANSFORMING-HEALTHCARE-THROUGH-COL,2017-05-05,Open innovation in health: A guide to transforming healthcare through collaboration,"This report explores ways that companies, governments and researchers around the world are collaborating to improve the innovation process in health",Health,科学体系与基础研究,否,https://www.nesta.org.uk/report/open-innovation-in-health-a-guide-to-transforming-healthcare-through-collaboration/,https://www.nesta.org.uk/documents/564/open_innovation_in_health_0.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,6c33fd038d6fb042e541a863fcb5b6ab0ceb7c8c46cd720df0afdbf15d78b004,2026-08-23
C-NESTA-2017-WHAT-NEXT-FOR-DIGITAL-SOCIAL-INNOVATION-REALISING-THE-POTENTIAL-OF-PEOPL,C-NESTA-2017-WHAT-NEXT-FOR-DIGITAL-SOCIAL-INNOVATION-REALISING-THE-POTENTIAL-OF-PEOPL,2017-05-15,What next for digital social innovation? Realising the potential of people and technology to tackle social challenges,"This report, produced as part of the DSI4EU project, maps the projects and organisations using technology to tackle social challenges across Europe, and explores the barriers to the growth of digital social innovation",Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/what-next-for-digital-social-innovation-realising-the-potential-of-people-and-technology-to-tackle-social-challenges/,https://www.nesta.org.uk/documents/565/dsi_report.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,579322704a0dd3bba97f63b5edb0cdee47a45cbb97960c6916e21618072ef111,2026-08-23
C-NESTA-2017-THE-DIGITAL-ARTS-AND-CULTURAL-ACCELERATOR-AN-EVALUATION,C-NESTA-2017-THE-DIGITAL-ARTS-AND-CULTURAL-ACCELERATOR-AN-EVALUATION,2017-06-13,The Digital Arts and Cultural Accelerator: An evaluation,"An evaluation of the Digital Arts and Culture Accelerator, an intensive investment readiness and business development programme for arts and cultural organisations.",Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/the-digital-arts-and-cultural-accelerator-an-evaluation/,https://www.nesta.org.uk/documents/567/the_digital_arts_and_cultural_accelerator.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,9e76df0e0fe5fef9c37b85aa87877fd2544364063ed4c750a146644d7f4fdf6b,2026-08-23
C-NESTA-2017-DIGITAL-PULSE-HOW-READY-IS-SWEDEN-FOR-THE-DIGITAL-LIFE,C-NESTA-2017-DIGITAL-PULSE-HOW-READY-IS-SWEDEN-FOR-THE-DIGITAL-LIFE,2017-07-31,Digital Pulse: How ready is Sweden for the digital life?,"Research by Readie finds differences in attitude to new technology across Europe. Swedes are digitally savvy, but risk missing out on new developments.",Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/digital-pulse-how-ready-is-sweden-for-the-digital-life/,https://www.nesta.org.uk/documents/569/digital_pulse_-_how_ready_is_sweden_for_the_digital_life.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,f0588384527130d6d6d8d62dce93b87b19e293c3038a15b1b70e497ead217261,2026-08-23
C-NESTA-2017-INCLUSIVE-TECHNOLOGY-PRIZE,C-NESTA-2017-INCLUSIVE-TECHNOLOGY-PRIZE,2017-09-21,Inclusive Technology Prize,This report explores the insights and lessons learnt from the Inclusive Technology Prize.,Health,技术创新与关键技术,否,https://www.nesta.org.uk/report/inclusive-technology-prize/,https://www.nesta.org.uk/documents/575/inclusive_technology_prize_report.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,fe72f3905f8f27a7bc4e75075e6c8210d24b5f8867e6f5ec50948d4466bda9ed,2026-08-23
C-NESTA-2017-DIGITAL-CULTURE-2017,C-NESTA-2017-DIGITAL-CULTURE-2017,2017-09-26,Digital Culture 2017,Arts Council England and Nesta’s study of technology usage and impact among arts and culture organisations.,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2017/,https://www.nesta.org.uk/documents/576/digital_culture_2017.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,699c626394b479de1b6c9a78d3f9fa090ec3c43724054e87736f63f8aa59f63b,2026-08-23
C-NESTA-2017-DIGITAL-CULTURE-2017-COMBINED-ARTS,C-NESTA-2017-DIGITAL-CULTURE-2017-COMBINED-ARTS,2017-09-27,Digital Culture 2017: Combined Arts,Factsheet showing how the combined arts sector is using technology to support its work.,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2017-combined-arts/,https://www.nesta.org.uk/documents/577/dc2017_combined_arts_factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,d901585ce14cce5b8461bbcd8d9f61773ffc1943ccfdf966253e27e2e5f48cec,2026-08-23
