报告ID,机构ID,发布日期,报告名称,报告类型,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-FRAUNHOFER-ISI-DP-88,fraunhofer-isi,2024-01-01,"Definition of the research and innovation field of ""Artificial Intelligence"" and approaches to determining quality",Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_88_2024.pdf,高,人工智能研发质量,第九批精选全文,本地资产已保存,界定AI研究创新领域及质量判断方法，补足技术领域识别与科研评价证据,2026-08-22
C-FRAUNHOFER-ISI-DP-90,fraunhofer-isi,2025-01-01,Fostering Transformation. A Governance Frame for Large Public and Private Organisations as Change Agents in Transformations,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2025/25-06_discussionpaper_90_2025.pdf,高,大型组织变革能力,第九批精选全文,本地资产已保存,讨论大型公共与私人组织参与转型的治理条件和行动能力,2026-08-22
C-FRAUNHOFER-ISI-DP-93,fraunhofer-isi,2026-01-01,Polity configurations and the performance of state intervention in transformative policies: A conceptual framework,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2026/discussionpaper_93_2026.pdf,高,变革型政策国家能力,第九批精选全文,本地资产已保存,比较不同政体配置下国家干预的表现条件，深化变革型创新政策机制,2026-08-22
C-FRAUNHOFER-ISI-DP-94,fraunhofer-isi,2026-01-01,From High-Tech Strategy to High-Tech Agenda Germany,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2026/discussionpaper_94_2026.pdf,高,高技术战略议程演进,第九批精选全文,本地资产已保存,直接连接德国高技术战略与高技术议程，形成2016—2026纵向政策节点,2026-08-22
C-FRAUNHOFER-ISI-DP-53,fraunhofer-isi,2016-01-01,Societal Grand Challenges from a technological perspective – Methods and identification of classes of the International Patent Classification IPC,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2016/discussionpaper_53_2016.pdf,中或低,目录层关注方向,保留轻量目录或既有锚点,不下载,专利分类方法价值较窄，保留目录供技术识别方法专题调用,2026-08-22
C-FRAUNHOFER-ISI-DP-59,fraunhofer-isi,2018-01-01,From strategy to implementation – what is desirable and what realistic?,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2018/discussionpaper_59_2018.pdf,中或低,目录层关注方向,保留轻量目录或既有锚点,不下载,一般性战略实施讨论与已选任务导向政策材料重叠,2026-08-22
C-FRAUNHOFER-ISI-DP-65,fraunhofer-isi,2020-01-01,The Roles of the State in the Governance of Socio-Technical Systems' Transformation,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2020/discussionpaper_65_2020.pdf,中或低,目录层关注方向,保留轻量目录或既有锚点,不下载,国家角色框架与已选创新系统转型和国家干预材料重叠,2026-08-22
C-FRAUNHOFER-ISI-DP-74,fraunhofer-isi,2022-01-01,Concepts and methods to measure societal impacts – an overview,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2022/discussionpaper_74_2022.pdf,中或低,目录层关注方向,保留轻量目录或既有锚点,不下载,社会影响测量属于补充方法材料，当前纵向主链增量较低,2026-08-22
C-FRAUNHOFER-ISI-DP-83,fraunhofer-isi,2024-01-01,Innovation without growth? Exploring the (in)dependency of innovation on economic growth,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,比较参照,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/2024/discussionpaper_83_2024.pdf,中或低,目录层关注方向,保留轻量目录或既有锚点,不下载,创新与增长关系具有理论价值，但对科研组织和技术政策主链的直接增量有限,2026-08-22
S-FISI-2016-01,fraunhofer-isi,2016-01-01,Innovation System – Thinking Broader: Five Theses Addressing Innovation Policy,政策简报,比较参照,https://www.isi.fraunhofer.de/de/competence-center/politik-gesellschaft/publikationen/thesenpapiere.html,中或低,目录层关注方向,保留轻量目录或既有锚点,不下载,已作为正式锚点保存全文，无需重复下载,2026-08-22
