主题标签,中国关联层级,科技关联层级,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,本地原始资产,本地文本,官方落地页
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-B2E5F24124,2018-03-01,W1,NBR政策意见,Recommendations Regarding the Section 301 Investigation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-B2E5F24124.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-B2E5F24124.txt,https://www.nbr.org/publication/the-ip-commission-report/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-B2E5F24124,2018-03-01,W1,NBR政策意见,Recommendations Regarding the Section 301 Investigation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-B2E5F24124.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-B2E5F24124.txt,https://www.nbr.org/publication/the-ip-commission-report/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-B2E5F24124,2018-03-01,W1,NBR政策意见,Recommendations Regarding the Section 301 Investigation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-B2E5F24124.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-B2E5F24124.txt,https://www.nbr.org/publication/the-ip-commission-report/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-D5CD756BB0,2018-03-19,W1,NBR评论,TPP Minus One: The Urgent Need for U.S. Leadership,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D5CD756BB0.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D5CD756BB0.txt,https://www.nbr.org/publication/tpp-minus-one-the-urgent-need-for-u-s-leadership/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-D5CD756BB0,2018-03-19,W1,NBR评论,TPP Minus One: The Urgent Need for U.S. Leadership,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D5CD756BB0.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D5CD756BB0.txt,https://www.nbr.org/publication/tpp-minus-one-the-urgent-need-for-u-s-leadership/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-85CBE4E1DD,2018-05-01,W1,NBR政策意见,Written Comments on the Section 301 Tariffs,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-85CBE4E1DD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-85CBE4E1DD.txt,https://www.nbr.org/publication/the-ip-commission-report/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-85CBE4E1DD,2018-05-01,W1,NBR政策意见,Written Comments on the Section 301 Tariffs,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-85CBE4E1DD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-85CBE4E1DD.txt,https://www.nbr.org/publication/the-ip-commission-report/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-85CBE4E1DD,2018-05-01,W1,NBR政策意见,Written Comments on the Section 301 Tariffs,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-85CBE4E1DD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-85CBE4E1DD.txt,https://www.nbr.org/publication/the-ip-commission-report/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-8C5DE5597E,2018-12-20,W1,NBR评论,RCEP Negotiations and the Implications for the United States,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-8C5DE5597E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-8C5DE5597E.txt,https://www.nbr.org/publication/rcep-negotiations-and-the-implications-for-the-united-states/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-A7B75BBFF7,2019-02-01,W2,NBR研究报告,IP Commission 2019 Review: Progress and Updated Recommendations,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-A7B75BBFF7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-A7B75BBFF7.txt,https://www.nbr.org/publication/the-ip-commission-report/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-A7B75BBFF7,2019-02-01,W2,NBR研究报告,IP Commission 2019 Review: Progress and Updated Recommendations,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-A7B75BBFF7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-A7B75BBFF7.txt,https://www.nbr.org/publication/the-ip-commission-report/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-A7B75BBFF7,2019-02-01,W2,NBR研究报告,IP Commission 2019 Review: Progress and Updated Recommendations,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-A7B75BBFF7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-A7B75BBFF7.txt,https://www.nbr.org/publication/the-ip-commission-report/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-A7B75BBFF7,2019-02-01,W2,NBR研究报告,IP Commission 2019 Review: Progress and Updated Recommendations,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-A7B75BBFF7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-A7B75BBFF7.txt,https://www.nbr.org/publication/the-ip-commission-report/
生物、量子及其他前沿技术,含中国比较的印太技术材料,核心科技直接材料,C-NBR-A7B75BBFF7,2019-02-01,W2,NBR研究报告,IP Commission 2019 Review: Progress and Updated Recommendations,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-A7B75BBFF7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-A7B75BBFF7.txt,https://www.nbr.org/publication/the-ip-commission-report/
创新体系、标准与知识产权,区域技术基线,科技地缘经济基线,C-NBR-D327E03DFD,2019-02-14,W2,NBR研究报告,Charting a Path for a Stronger U.S.-Japan Economic Partnership,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D327E03DFD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-D327E03DFD.txt,https://www.nbr.org/publication/charting-a-path-for-a-stronger-u-s-japan-economic-partnership/
创新体系、标准与知识产权,直接涉华科技,科技地缘经济基线,C-NBR-CEA336FC09,2019-02-20,W2,NBR研究报告,"Answering China's Economic Challenge Preserving Power, Enhancing Prosperity",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CEA336FC09.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CEA336FC09.txt,https://www.nbr.org/publication/answering-chinas-economic-challenge-preserving-power-enhancing-prosperity/
人工智能、芯片与算力,直接涉华科技,核心科技直接材料,C-NBR-E917ECB57A,2019-10-03,W2,NBR背景材料,A Concise Guide to Huawei’s Cybersecurity Risks and the Global Responses,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E917ECB57A.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E917ECB57A.txt,https://www.nbr.org/publication/a-concise-guide-to-huaweis-cybersecurity-risks-and-the-global-responses/
网络安全与数字治理,直接涉华科技,核心科技直接材料,C-NBR-E917ECB57A,2019-10-03,W2,NBR背景材料,A Concise Guide to Huawei’s Cybersecurity Risks and the Global Responses,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E917ECB57A.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E917ECB57A.txt,https://www.nbr.org/publication/a-concise-guide-to-huaweis-cybersecurity-risks-and-the-global-responses/
创新体系、标准与知识产权,直接涉华科技,核心科技直接材料,C-NBR-E917ECB57A,2019-10-03,W2,NBR背景材料,A Concise Guide to Huawei’s Cybersecurity Risks and the Global Responses,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E917ECB57A.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E917ECB57A.txt,https://www.nbr.org/publication/a-concise-guide-to-huaweis-cybersecurity-risks-and-the-global-responses/
技术供应链与出口管制,直接涉华科技,科技地缘经济基线,C-NBR-787D6470AE,2019-11-04,W2,NBR研究报告,Partial Disengagement A New U.S. Strategy for Economic Competition with China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-787D6470AE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-787D6470AE.txt,https://www.nbr.org/publication/partial-disengagement-a-new-u-s-strategy-for-economic-competition-with-china/
创新体系、标准与知识产权,直接涉华科技,科技地缘经济基线,C-NBR-787D6470AE,2019-11-04,W2,NBR研究报告,Partial Disengagement A New U.S. Strategy for Economic Competition with China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-787D6470AE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-787D6470AE.txt,https://www.nbr.org/publication/partial-disengagement-a-new-u-s-strategy-for-economic-competition-with-china/
网络安全与数字治理,直接涉华科技,科技地缘经济基线,C-NBR-062DB43D39,2020-01-06,W2,NBR评论,China's Ten-Year Struggle against U.S. Financial Power,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-062DB43D39.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-062DB43D39.txt,https://www.nbr.org/publication/chinas-ten-year-struggle-against-u-s-financial-power/
创新体系、标准与知识产权,直接涉华科技,科技地缘经济基线,C-NBR-062DB43D39,2020-01-06,W2,NBR评论,China's Ten-Year Struggle against U.S. Financial Power,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-062DB43D39.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-062DB43D39.txt,https://www.nbr.org/publication/chinas-ten-year-struggle-against-u-s-financial-power/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-3F366CC44D,2020-01-06,W2,NBR评论,Assessing the Dollar's Status as a Reserve Currency in a Multipolar World,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F366CC44D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F366CC44D.txt,https://www.nbr.org/publication/assessing-the-dollars-status-as-a-reserve-currency-in-a-multipolar-world/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-3F366CC44D,2020-01-06,W2,NBR评论,Assessing the Dollar's Status as a Reserve Currency in a Multipolar World,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F366CC44D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F366CC44D.txt,https://www.nbr.org/publication/assessing-the-dollars-status-as-a-reserve-currency-in-a-multipolar-world/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-E27FC99DE4,2020-03-16,W2,NBR评论,Data Security in a 5G World Why It Matters More than Ever,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,https://www.nbr.org/publication/data-security-in-a-5g-world-why-it-matters-more-than-ever/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-E27FC99DE4,2020-03-16,W2,NBR评论,Data Security in a 5G World Why It Matters More than Ever,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,https://www.nbr.org/publication/data-security-in-a-5g-world-why-it-matters-more-than-ever/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-E27FC99DE4,2020-03-16,W2,NBR评论,Data Security in a 5G World Why It Matters More than Ever,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,https://www.nbr.org/publication/data-security-in-a-5g-world-why-it-matters-more-than-ever/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-E27FC99DE4,2020-03-16,W2,NBR评论,Data Security in a 5G World Why It Matters More than Ever,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,https://www.nbr.org/publication/data-security-in-a-5g-world-why-it-matters-more-than-ever/
生物、量子及其他前沿技术,含中国比较的印太技术材料,核心科技直接材料,C-NBR-E27FC99DE4,2020-03-16,W2,NBR评论,Data Security in a 5G World Why It Matters More than Ever,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E27FC99DE4.txt,https://www.nbr.org/publication/data-security-in-a-5g-world-why-it-matters-more-than-ever/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-CC06B8B7E4,2020-04-01,W2,NBR访谈,What Covid-19 Reveals about the Risks of Global Medical Supply Chains,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CC06B8B7E4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CC06B8B7E4.txt,https://www.nbr.org/publication/what-covid-19-reveals-about-the-risks-of-global-medical-supply-chains/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-CC06B8B7E4,2020-04-01,W2,NBR访谈,What Covid-19 Reveals about the Risks of Global Medical Supply Chains,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CC06B8B7E4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CC06B8B7E4.txt,https://www.nbr.org/publication/what-covid-19-reveals-about-the-risks-of-global-medical-supply-chains/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-CC06B8B7E4,2020-04-01,W2,NBR访谈,What Covid-19 Reveals about the Risks of Global Medical Supply Chains,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CC06B8B7E4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-CC06B8B7E4.txt,https://www.nbr.org/publication/what-covid-19-reveals-about-the-risks-of-global-medical-supply-chains/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-2D49B967C4,2020-04-10,W2,NBR评论,Covid-19’s Challenge to U.S. Leadership,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2D49B967C4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2D49B967C4.txt,https://www.nbr.org/publication/covid-19s-challenge-to-u-s-leadership/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-2D49B967C4,2020-04-10,W2,NBR评论,Covid-19’s Challenge to U.S. Leadership,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2D49B967C4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2D49B967C4.txt,https://www.nbr.org/publication/covid-19s-challenge-to-u-s-leadership/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-2D49B967C4,2020-04-10,W2,NBR评论,Covid-19’s Challenge to U.S. Leadership,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2D49B967C4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2D49B967C4.txt,https://www.nbr.org/publication/covid-19s-challenge-to-u-s-leadership/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-BC3DC9DDC8,2020-05-01,W2,NBR评论,The Emerging Public Health Challenges of Data Access in an Era of Globalization,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BC3DC9DDC8.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BC3DC9DDC8.txt,https://www.nbr.org/publication/the-emerging-public-health-challenges-of-data-access-in-an-era-of-globalization/
