报告ID,WordPress_ID,发布日期,观察窗,材料类型,报告名称,资料角色,主题标签,筛选依据,官方摘要,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-CSET-712,712,2019-12-01,W2,CSET原创研究报告,Chinese Public AI R&D Spending: Provisional Findings,作者/项目正式研究,人工智能与算力；国家创新体系与产业政策,正式报告涉华科技关键词命中,"China aims to become “the world’s primary AI innovation center” by 2030. Toward that end, the Chinese government is spending heavily on AI research and development (R&D)—but perhaps not as heavily as some have thought. This memo provides a provisional, open-source estimate of China’s spending.",https://cset.georgetown.edu/publication/chinese-public-ai-rd-spending-provisional-findings/,https://cset.georgetown.edu/wp-content/uploads/Chinese-Public-AI-RD-Spending-Provisional-Findings-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-712.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-712.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-712.md,301690,a62db0066d6d12a544fac4e8ff8abd1ec3c1e0a3d1e50993dc8ab2b6035fe122,31,70855,官方PDF已保存并校验,,2026-08-22
C-CSET-732,732,2019-12-01,W2,CSET原创研究报告,Maintaining the AI Chip Competitive Advantage of the United States and its Allies,作者/项目正式研究,人工智能与算力；技术转移与出口管制,正式报告涉华科技关键词命中,The United States and its allies enjoy a competitive advantage in the production of artificial intelligence chips necessary for leading AI research and implementation. This memo identifies chokepoints for limiting China’s access to key chipmaking equipment.,https://cset.georgetown.edu/publication/maintaining-the-ai-chip-competitive-advantage-of-the-united-states-and-its-allies/,https://cset.georgetown.edu/wp-content/uploads/CSET-Maintaining-the-AI-Chip-Competitive-Advantage-of-the-United-States-and-its-Allies-20191206.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-732.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-732.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-732.md,173112,cf1cae114b4efca228e81dac509370fa5dfa0293f270a148b14dceeeba6f1eda,8,16839,官方PDF已保存并校验,,2026-08-22
C-CSET-987,987,2019-12-09,W2,中国科技政策英译,National 13th Five-Year Plan for the Development of Strategic Emerging Industries,翻译材料，不代表机构观点,军民融合与国防科技；国家创新体系与产业政策,China主题下的科技政策英译,See our translation of the PRC government’s five-year (2016-2020) industrial development strategy for emerging technology.,https://cset.georgetown.edu/publication/national-13th-five-year-plan-for-the-development-of-strategic-emerging-industries/,https://cset.georgetown.edu/wp-content/uploads/Circular-of-the-State-Council-on-Issuing-the-National-13th-Five-Year-Plan-for-the-Development-of-Strategic-Emerging-Industries.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-987.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-987.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-987.md,807982,3a31854a09f9699eec47409911cf6706afbe60b6bc5b506a63f472d6e0bc04c4,59,213096,官方PDF已保存并校验,,2026-08-22
C-CSET-1205,1205,2019-12-11,W2,中国科技政策英译,Outline of the National Innovation-Driven Development Strategy,翻译材料，不代表机构观点,科技人才与科研安全；技术转移与出口管制；国家创新体系与产业政策,China主题下的科技政策英译,See our translation of a CPC Central Committee and PRC State Council strategy identifying industries that China feels would most benefit from increased indigenous innovation. The document also identifies foreign talent and technology transfer as crucial for China’s emerging technology sectors.,https://cset.georgetown.edu/publication/outline-of-the-national-innovation-driven-development-strategy/,https://cset.georgetown.edu/wp-content/uploads/t0076_innovation_driven_development_strategy_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1205.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1205.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1205.md,295998,30983dd23d678abf314cfa7f878af6f8a3647e790fdbe1d445074f4694ff6a0b,20,67350,官方PDF已保存并校验,,2026-08-22
C-CSET-1406,1406,2020-01-08,W2,中国科技政策英译,State Council Notice on the Publication of the National 13th Five-Year Plan for S&T Innovation,翻译材料，不代表机构观点,军民融合与国防科技；国家创新体系与产业政策,China主题下的科技政策英译,See our translation of China’s plan for science and technology innovation during the years of the 13th Five-Year Plan (2016-2020). The plan puts forward plan details specific technologies identified as near-term priorities for research and investment.,https://cset.georgetown.edu/publication/state-council-notice-on-the-publication-of-the-national-13th-five-year-plan-for-st-innovation/,https://cset.georgetown.edu/wp-content/uploads/t0085_13th_5YP_tech_innovation_EN-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1406.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1406.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1406.md,1041035,00aa7cb074c959b72c84c935dc80a772da957fd33c997935cdeb24c58812b612,89,337631,官方PDF已保存并校验,,2026-08-22
C-CSET-1403,1403,2020-01-15,W2,中国科技政策英译,WAIC Artificial Intelligence Security and Rule of Law Guidelines,翻译材料，不代表机构观点,人工智能与算力,China主题下的科技政策英译,See our translation of the World Artificial Intelligence Conference proposed legal guidelines related to AI security. The document puts forward legal means to ameliorate a wide variety of potential dangers posed by the rise of AI technology.,https://cset.georgetown.edu/publication/waic-artificial-intelligence-security-and-rule-of-law-guidelines/,https://cset.georgetown.edu/wp-content/uploads/t0088_WAIC_AI_security_law_principles_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1403.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1403.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1403.md,168014,15d00971f4a167a18ac1e436996bab2e169358c548f9abbbbd2c3395a34c0d0c,5,14624,官方PDF已保存并校验,,2026-08-22
C-CSET-1376,1376,2020-01-23,W2,CSET原创研究报告,The Question of Comparative Advantage in Artificial Intelligence: Enduring Strengths and Emerging Challenges for the United States,作者/项目正式研究,人工智能与算力,正式报告涉华科技关键词命中,"How do we measure leadership in artificial intelligence, and where does the United States rank? This policy brief examines potential AI strengths of the United States and China and prescribes recommendations to ensure the United States remains ahead.",https://cset.georgetown.edu/publication/the-question-of-comparative-advantage-in-artificial-intelligence-enduring-strengths-and-emerging-challenges-for-the-united-states/,https://cset.georgetown.edu/wp-content/uploads/CSET-The-Question-of-Comparative-Advantage-in-Artificial-Intelligence-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1376.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1376.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1376.md,520622,98e7941e65d7c3ac6502b5c2aa225be508ab862a1066da9c03e03aeefb213d78,56,133848,官方PDF已保存并校验,,2026-08-22
C-CSET-1618,1618,2020-02-01,W2,CSET原创研究报告,Recommendations on Export Controls for Artificial Intelligence,作者/项目正式研究,人工智能与算力；技术转移与出口管制,正式报告涉华科技关键词命中,"What U.S. export controls on AI-relevant technologies would help further aims such as stability and human rights abroad without impeding U.S. R&D? This issue brief assesses where such controls will be effective, ineffective or even damaging to the interests of the United States and its allies.",https://cset.georgetown.edu/publication/recommendations-on-export-controls-for-artificial-intelligence/,https://cset.georgetown.edu/wp-content/uploads/Recommendations-on-Export-Controls-for-Artificial-Intelligence-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1618.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1618.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1618.md,166205,2fef74eb84359562ced528d06b5e9f704e82d72a761853b6a6e07ef54f53b885,16,32589,官方PDF已保存并校验,,2026-08-22
C-CSET-1740,1740,2020-02-13,W2,中国科技政策英译,Notice on Applying for 2020 National Foreign Expert Projects,翻译材料，不代表机构观点,科技人才与科研安全,China主题下的科技政策英译,"See our translation of three different Chinese government programs designed to recruit foreign talent in 2020 in support of China’s economic development, particularly in tech fields.",https://cset.georgetown.edu/publication/notice-on-applying-for-2020-national-foreign-expert-projects/,https://cset.georgetown.edu/wp-content/uploads/t0100_belt_road_young_experts_EN-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1740.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1740.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1740.md,161683,271fb525095f37579369dac397b96e9eca63a175dff6645a1800133796bd4cbc,5,11185,官方PDF已保存并校验,,2026-08-22
C-CSET-1742,1742,2020-03-01,W2,中国科技政策英译,Notice Regarding the Establishment of the Ministry of Education AI Technology Innovation Expert Group,翻译材料，不代表机构观点,人工智能与算力；科技人才与科研安全；国家创新体系与产业政策,China主题下的科技政策英译,"See our translation of the announcement of the formation of the Ministry’s Artificial Intelligence Technology Innovation Expert Group and lists all members of the group. CSET has annotated this translation with additional information about each group member, gleaned from publicly available information.",https://cset.georgetown.edu/publication/notice-of-the-office-of-the-ministry-of-education-regarding-the-establishment-of-the-ministry-of-education-ai-technology-innovation-expert-group/,https://cset.georgetown.edu/wp-content/uploads/t0104_MOE_AI_groups_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1742.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1742.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1742.md,890899,b6cf871693a90a4377958db225ab44205acadbe890332c1cae7c37a2917264d3,19,43779,官方PDF已保存并校验,,2026-08-22
C-CSET-1744,1744,2020-03-11,W2,中国科技政策英译,China Creates National New Generation Artificial Intelligence Innovation and Development Pilot Zones,翻译材料，不代表机构观点,人工智能与算力；军民融合与国防科技；国家创新体系与产业政策,China主题下的科技政策英译,"See our translation of the Ministry of Science and Technology announcement of the establishment of four new AI Pilot Zones in cities across China, which encourage the expansion of China’s AI industry in cities where it is already developing. The ministry created the first seven such zones in 2019 and plans to build 20 by 2023.",https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/,https://cset.georgetown.edu/wp-content/uploads/t0109_AI_pilot_zones_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1744.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1744.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1744.md,180176,dcdc8b1c2152c1041cf82c94dd7eaa1636406609d78ac5f7b5c5d47013b65174,3,5744,官方PDF已保存并校验,,2026-08-22
C-CSET-1747,1747,2020-03-17,W2,中国科技政策英译,Notice Declaring the 2019 High-End Foreign Expert Recruitment Plan,翻译材料，不代表机构观点,科技人才与科研安全；军民融合与国防科技；国家创新体系与产业政策,China主题下的科技政策英译,"See our translation of the Ministry of Science and Technology describes a plan to entice foreign scientists, professors and entrepreneurs to work in China. Chinese companies, universities and research institutes apply on behalf of their prospective foreign employees.",https://cset.georgetown.edu/publication/notice-of-the-office-of-the-ministry-of-science-and-technology-declaring-the-2019-high-end-foreign-expert-recruitment-plan/,https://cset.georgetown.edu/wp-content/uploads/t0099_MOST_high_end_expert_recruitment_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1747.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1747.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1747.md,182807,8baaa0bf6ee0fe4811e0f792e59315ff646f400ffde6ec9cf0bfb55ae33e8b4b,6,15555,官方PDF已保存并校验,,2026-08-22
C-CSET-1749,1749,2020-03-24,W2,中国科技政策英译,Guidelines for National New Generation Artificial Intelligence Innovation and Development Pilot Zone Construction Work,翻译材料，不代表机构观点,人工智能与算力；国家创新体系与产业政策,China主题下的科技政策英译,"See our translation of guidelines issued by the PRC Ministry of Science and Technology in August 2019, describes a process by which Chinese cities can apply to establish “national new generation AI innovation and development pilot zones.”",https://cset.georgetown.edu/publication/guidelines-for-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zone-construction-work/,https://cset.georgetown.edu/wp-content/uploads/t0110_AI_pilot_zones_EN-1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1749.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1749.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1749.md,244528,7a87e5d1370c485a3e14493c91dbe0bd5550ac2aa98834e0724af873e62fddab,6,16383,官方PDF已保存并校验,,2026-08-22
C-CSET-1788,1788,2020-04-01,W2,CSET原创研究报告,Why AI Chips Matter,作者/项目正式研究,人工智能与算力,正式报告涉华科技关键词命中,"As artificial intelligence is applied to new and more complex tasks, the computational power necessary to develop and deploy it will become increasingly expensive. This policy brief offers a concise overview of the full report, “AI Chips: What They Are and Why They Matter.”",https://cset.georgetown.edu/publication/why-ai-chips-matter/,https://cset.georgetown.edu/wp-content/uploads/Why-AI-Chips-Matter.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CSET-1788.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CSET-1788.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CSET-1788.md,142683,7b35d9872dd725eb826ed57809b3b7d7153304c4d99eb8f68ed1c157472e821a,5,7848,官方PDF已保存并校验,,2026-08-22
