报告ID,统一目录报告ID,发布日期,报告名称,官方内容类型,官方子类型,作者,科技创新相关度,中国直接信号,官方落地页,页面摘要,资料层级,全文策略,采集日期
C-CSIS-RAI-2021-INTELLECTUAL-PROPERTY-VERSUS-BIG-TECH-PLATFORMS-IP-ANTITRUST-PARADOX,C-CSIS-RAI-2021-INTELLECTUAL-PROPERTY-VERSUS-BIG-TECH-PLATFORMS-IP-ANTITRUST-PARADOX,2021-09-28,Intellectual Property versus Big Tech Platforms: The IP-Antitrust Paradox,Article,Commentary,Kirti Gupta,核心,否,https://www.csis.org/analysis/intellectual-property-versus-big-tech-platforms-ip-antitrust-paradox,"If policymakers are concerned with stemming Big Tech firms’ growing influence, they should end the attack on intellectual property, as it is the most effective tool for stopping Big Tech’s increasing economic, social, and political concentration of power.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2021-WINNING-TECH-TALENT-COMPETITION,C-CSIS-RAI-2021-WINNING-TECH-TALENT-COMPETITION,2021-10-28,Winning the Tech Talent Competition,Report,Report,Remco Zwetsloot,支撑,是,https://www.csis.org/analysis/winning-tech-talent-competition,"Data show that China is quickly catching up to the United States due to intense investments in education and other high-tech talent initiatives. Without STEM immigration reforms, U.S. technology leadership will continue eroding.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2021-PATENT-WARS-ALARMISTS-TIME-MAKE-PEACE-EMPIRICAL-DATA,C-CSIS-RAI-2021-PATENT-WARS-ALARMISTS-TIME-MAKE-PEACE-EMPIRICAL-DATA,2021-11-05,"For ‘Patent Wars’ Alarmists, Time to Make Peace with the Empirical Data",Article,Commentary,Kirti Gupta and David J. Kappos,核心,否,https://www.csis.org/analysis/patent-wars-alarmists-time-make-peace-empirical-data,"Contrary to critics who claim that “patent wars” have brought the system to the brink, this current period of American innovation is no more prone to patent litigation than earlier periods of significant technological change.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2021-BIDEN-ADMINISTRATION-SHOULD-PRESERVE-STRONG-PATENT-PROTECTION-STANDARDIZED-TECHNOLOGY,C-CSIS-RAI-2021-BIDEN-ADMINISTRATION-SHOULD-PRESERVE-STRONG-PATENT-PROTECTION-STANDARDIZED-TECHNOLOGY,2021-11-09,Biden Administration Should Preserve Strong Patent Protection for Standardized Technology,Article,Commentary,Andrei Iancu and David J. Kappos,核心,否,https://www.csis.org/analysis/biden-administration-should-preserve-strong-patent-protection-standardized-technology,"It’s fine to revisit policies, but we must be careful about tinkering with the most powerful engine for our nation’s innovation economy: the U.S. patent system.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2021-SHOT-HEARD-AROUND-WORLD,C-CSIS-RAI-2021-SHOT-HEARD-AROUND-WORLD,2021-11-17,The Shot Heard around the World,Report,Report,"Andrei Iancu, Gary Locke, and David J. Kappos",核心,否,https://www.csis.org/analysis/shot-heard-around-world,"Vaccine diplomacy has never been more important. The United States has an opportunity to deploy its scientific and economic prowess in the service of all humanity. Yet, the United States has been slow to seize the opportunity while geopolitical rivals eagerly fill the gap.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2021-PROMOTING-COMPETITION-AMERICAN-ECONOMY,C-CSIS-RAI-2021-PROMOTING-COMPETITION-AMERICAN-ECONOMY,2021-11-29,Promoting Competition in the American Economy,Article,Critical Questions,Alexander Kersten and Gabrielle Athanasia,支撑,否,https://www.csis.org/analysis/promoting-competition-american-economy,"In July, President Biden issued an Executive Order on Promoting Competition in the American Economy. Yet, some recommendations contained in the order contradict and undermine the White House’s stated priority of maintaining U.S. leadership in 5G standards and deployment.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-WORLD-LEADERS-SHOULD-ACKNOWLEDGE-IP-PROTECTIONS-FACILITATE-VACCINE-ACCESS,C-CSIS-RAI-2022-WORLD-LEADERS-SHOULD-ACKNOWLEDGE-IP-PROTECTIONS-FACILITATE-VACCINE-ACCESS,2022-01-06,World Leaders Should Acknowledge That IP Protections Facilitate Vaccine Access,Article,Commentary,Andrei Iancu,语境,否,https://www.csis.org/analysis/world-leaders-should-acknowledge-ip-protections-facilitate-vaccine-access,"President Biden’s recent statement urging widespread support for waiving IP protections for Covid vaccines assumes there’s a global shortage, which an IP waiver would address. However, IP protections deserve the lion’s share of the credit for why we have vaccines at all.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-WILL-AMERICA-SQUANDER-ITS-NEW-SPUTNIK-MOMENT,C-CSIS-RAI-2022-WILL-AMERICA-SQUANDER-ITS-NEW-SPUTNIK-MOMENT,2022-01-19,Will America Squander Its New Sputnik Moment?,Report,Report,Walter G. Copan and Andrei Iancu,语境,是,https://www.csis.org/analysis/will-america-squander-its-new-sputnik-moment,"America faces a new Sputnik Moment today, as it is being outdone in strategy, technology, and manufacturing by China, another world superpower. Today though, it is not clear whether the current setbacks will move the United States into strategic action.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2022-SECURING-GLOBAL-STANDARDS-INNOVATION-AND-GROWTH,C-CSIS-RAI-2022-SECURING-GLOBAL-STANDARDS-INNOVATION-AND-GROWTH,2022-01-27,Securing Global Standards for Innovation and Growth,Report,Report,Sujai Shivakumar,核心,否,https://www.csis.org/analysis/securing-global-standards-innovation-and-growth,"To sustain the benefits of innovation, the United States should take steps to maintain a unified, global, and rules-based standards system. Securing the frameworks that establish standards is critical for accelerating innovation and promoting competition.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-DATA-PROTECTION-OR-DATA-UTILITY,C-CSIS-RAI-2022-DATA-PROTECTION-OR-DATA-UTILITY,2022-02-18,Data Protection or Data Utility?,Report,Report,Alexander Kersten and Isaac A. Robinson,核心,否,https://www.csis.org/analysis/data-protection-or-data-utility,"While the United States is poised to enter a new period of productivity growth driven by the deployment of AI technologies, this data driven economic growth model raises serious concerns over individuals’ data privacy.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-SECURING-INTELLECTUAL-PROPERTY-INNOVATION-AND-NATIONAL-SECURITY,C-CSIS-RAI-2022-SECURING-INTELLECTUAL-PROPERTY-INNOVATION-AND-NATIONAL-SECURITY,2022-03-03,Securing Intellectual Property for Innovation and National Security,Report,Report,Sujai Shivakumar,核心,是,https://www.csis.org/analysis/securing-intellectual-property-innovation-and-national-security,"The United States is in a close global technological competition, especially with China, and therefore needs to protect a rules-based and private sector–led standards ecosystem in partnership with its allies.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-MARCH-RIGHTS-AND-US-GLOBAL-COMPETITIVENESS,C-CSIS-RAI-2022-MARCH-RIGHTS-AND-US-GLOBAL-COMPETITIVENESS,2022-03-24,March-In Rights and U.S. Global Competitiveness,Article,Critical Questions,Alexander Kersten and Gabrielle Athanasia,语境,否,https://www.csis.org/analysis/march-rights-and-us-global-competitiveness,"The debate over march-in rights is once again on the table with the upcoming Xtandi trial. Would ""marching in"" pose a risk to sustaining the United States' world-leading, innovative industry?",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-SOLUTION-CHINESE-COURTS-INCREASINGLY-AGGRESSIVE-OVERREACH,C-CSIS-RAI-2022-SOLUTION-CHINESE-COURTS-INCREASINGLY-AGGRESSIVE-OVERREACH,2022-04-06,The Solution to Chinese Courts' Increasingly Aggressive Overreach,Article,Commentary,Andrei Iancu and Paul R. Michel,语境,是,https://www.csis.org/analysis/solution-chinese-courts-increasingly-aggressive-overreach,The Defending American Courts Act would deter those seeking to evade the U.S. judicial system and send a powerful message regarding overreach by Chinese courts: no foreign government will be permitted to impinge upon the sovereignty and independence of American courts.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-HOW-MOVES-WEAKEN-STANDARD-ESSENTIAL-PATENTS-SEPS-THREATEN-US-NATIONAL-SECURITY,C-CSIS-RAI-2022-HOW-MOVES-WEAKEN-STANDARD-ESSENTIAL-PATENTS-SEPS-THREATEN-US-NATIONAL-SECURITY,2022-04-12,How Moves to Weaken Standard-Essential Patents (SEPs) Threaten U.S. National Security,Article,Critical Questions,Alexander Kersten,核心,否,https://www.csis.org/analysis/how-moves-weaken-standard-essential-patents-seps-threaten-us-national-security,"Though well-intentioned, the recent policy statement launched by the Department of Justice, United States Patent and Trademark Office, and National Institute of Standards and Technology has wide-reaching negative implications for U.S. national security and competitiveness.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-REMOVING-PATENT-RIGHTS-LOWER-DRUG-COSTS-DANGEROUS-PRECEDENT,C-CSIS-RAI-2022-REMOVING-PATENT-RIGHTS-LOWER-DRUG-COSTS-DANGEROUS-PRECEDENT,2022-04-14,Removing Patent Rights to Lower Drug Costs Is a Dangerous Precedent,Article,Commentary,Walter G. Copan,核心,否,https://www.csis.org/analysis/removing-patent-rights-lower-drug-costs-dangerous-precedent,The Biden administration is considering a seismic policy shift that could stop companies from developing lifesaving drugs and other high-tech products—for any market application.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-PILLARS-NECESSARY-STRONG-DOMESTIC-SEMICONDUCTOR-INDUSTRY,C-CSIS-RAI-2022-PILLARS-NECESSARY-STRONG-DOMESTIC-SEMICONDUCTOR-INDUSTRY,2022-05-20,The Pillars Necessary for a Strong Domestic Semiconductor Industry,Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,否,https://www.csis.org/analysis/pillars-necessary-strong-domestic-semiconductor-industry,"U.S. leadership in semiconductor design and production is of strategic importance and is essential for competitiveness; however, the domestic semiconductor industry currently confronts a range of challenges that need to be addressed moving forward.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-UNTAPPED-INNOVATION,C-CSIS-RAI-2022-UNTAPPED-INNOVATION,2022-05-25,Untapped Innovation?,Report,Report,Alexander Kersten and Gabrielle Athanasia,核心,否,https://www.csis.org/analysis/untapped-innovation,"Building a more inclusive innovation economy demands greater attention to communities of color, women, and those in untapped regions. Renewing American innovation means making opportunity as universal as the talent that seeks it.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2022-RESHORING-SEMICONDUCTORS-CHIPS-ACT-KEY-LESSONS-ALBANY-NEW-YORK,C-CSIS-RAI-2022-RESHORING-SEMICONDUCTORS-CHIPS-ACT-KEY-LESSONS-ALBANY-NEW-YORK,2022-06-02,"Reshoring Semiconductors with the Chips Act: Key Lessons from Albany, New York",Article,Commentary,Charles Wessner and Thomas R. Howell,核心,否,https://www.csis.org/analysis/reshoring-semiconductors-chips-act-key-lessons-albany-new-york,"In terms of reshoring U.S. chip production, the state of New York’s recent, successful effort to establish world-class semiconductor research and manufacturing capabilities in the area around Albany offers important perspectives.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-SEMICONDUCTORS-AND-NATIONAL-DEFENSE-WHAT-ARE-STAKES,C-CSIS-RAI-2022-SEMICONDUCTORS-AND-NATIONAL-DEFENSE-WHAT-ARE-STAKES,2022-06-08,Semiconductors and National Defense: What Are the Stakes?,Article,Commentary,Sujai Shivakumar and Charles Wessner,核心,否,https://www.csis.org/analysis/semiconductors-and-national-defense-what-are-stakes,The erosion of U.S. capabilities in microelectronics is a direct threat to the United States’ ability to defend itself and its allies. Ensuring U.S. leadership in semiconductor technology is the preeminent national security concern of the modern era.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-RENEWING-US-LEADERSHIP-STANDARDS,C-CSIS-RAI-2022-RENEWING-US-LEADERSHIP-STANDARDS,2022-06-13,Renewing U.S. Leadership in Standards,Article,Commentary,Walter G. Copan and Kirti Gupta,支撑,否,https://www.csis.org/analysis/renewing-us-leadership-standards,The United States must renew its leadership of a rules-based global standards system—one that is founded on a market-driven process that rewards technological excellence in the development of new technologies.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-GET-MORE-WOMEN-AND-MINORITY-INVENTORS-WE-NEED-DATA,C-CSIS-RAI-2022-GET-MORE-WOMEN-AND-MINORITY-INVENTORS-WE-NEED-DATA,2022-06-22,"To Get More Women and Minority Inventors, We Need Data",Article,Commentary,Andrei Iancu and Michelle K. Lee,语境,否,https://www.csis.org/analysis/get-more-women-and-minority-inventors-we-need-data,"The United States needs to create an environment in which all potential U.S. inventors are equipped for success, regardless of gender, race, or economic background. To do that, we need better information on who is doing the inventing in America.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-RETHINKING-SHAREHOLDER-PRIMACY-NEW-INNOVATION-ECONOMY,C-CSIS-RAI-2022-RETHINKING-SHAREHOLDER-PRIMACY-NEW-INNOVATION-ECONOMY,2022-06-27,Rethinking Shareholder Primacy in the New Innovation Economy,Article,Commentary,Alexander Kersten and Sujai Shivakumar,核心,否,https://www.csis.org/analysis/rethinking-shareholder-primacy-new-innovation-economy,Policies that reward the maximization of shareholder value over the short term have encouraged the offshoring of production in leading industries to lower-wage economies and decreased domestic investments in a skilled technical workforce.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-OPPORTUNITIES-AND-PITFALLS-US-EU-COLLABORATION-SEMICONDUCTOR-VALUE-CHAIN-RESILIENCE,C-CSIS-RAI-2022-OPPORTUNITIES-AND-PITFALLS-US-EU-COLLABORATION-SEMICONDUCTOR-VALUE-CHAIN-RESILIENCE,2022-07-07,Opportunities and Pitfalls for U.S.-EU Collaboration on Semiconductor Value Chain Resilience,Article,Commentary,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,否,https://www.csis.org/analysis/opportunities-and-pitfalls-us-eu-collaboration-semiconductor-value-chain-resilience,The United States and European Union have proposed a coordinated implementation of industrial policies in the semiconductor sector—an unprecedented development in postwar transatlantic relations.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-GREAT-REWIRING-HOW-GLOBAL-SUPPLY-CHAINS-ARE-REACTING-TODAYS-GEOPOLITICS,C-CSIS-RAI-2022-GREAT-REWIRING-HOW-GLOBAL-SUPPLY-CHAINS-ARE-REACTING-TODAYS-GEOPOLITICS,2022-07-25,The Great Rewiring: How Global Supply Chains Are Reacting to Today’s Geopolitics,Article,Commentary,"Sujai Shivakumar, Gregory Arcuri, and Charles Wessner",支撑,是,https://www.csis.org/analysis/great-rewiring-how-global-supply-chains-are-reacting-todays-geopolitics,"The rise of an aggressive and revisionist China, a devastating global pandemic, the disruptive churn of technological advancement, and Russia’s invasion of Ukraine are prompting a dramatic rethinking of the value of globally distributed supply chains.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-LOOK-CHIPS-RELATED-PORTIONS-CHIPS,C-CSIS-RAI-2022-LOOK-CHIPS-RELATED-PORTIONS-CHIPS,2022-08-09,A Look at the CHIPS-Related Portions of CHIPS+,Article,Critical Questions,"Alexander Kersten, Gregory Arcuri, Gabrielle Athanasia, and Hideki Tomoshige",核心,否,https://www.csis.org/analysis/look-chips-related-portions-chips,"President Biden signed the CHIPS and Science Act of 2022 into law this week. In this Critical Questions piece, CSIS's Renewing American Innovation Project looks at the CHIPS-related portions in Division A of the CHIPS+ legislation.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-LOOK-SCIENCE-RELATED-PORTIONS-CHIPS,C-CSIS-RAI-2022-LOOK-SCIENCE-RELATED-PORTIONS-CHIPS,2022-08-11,A Look at the Science-Related Portions of CHIPS+,Article,Critical Questions,"Sujai Shivakumar, Gregory Arcuri, Hideki Tomoshige, and Benjamin Glanz",核心,否,https://www.csis.org/analysis/look-science-related-portions-chips,CSIS's Renewing American Innovation Project looks at the science-related portions in Division B of the CHIPS+ legislation.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-STREAMLINING-PERMITTING-PROCESS-FAB-CONSTRUCTION,C-CSIS-RAI-2022-STREAMLINING-PERMITTING-PROCESS-FAB-CONSTRUCTION,2022-08-29,Streamlining the Permitting Process for Fab Construction,Article,Commentary,"Phillip Singerman, Sujai Shivakumar, Gregory Arcuri, and Hideki Tomoshige",核心,否,https://www.csis.org/analysis/streamlining-permitting-process-fab-construction,"With the passing of the CHIPS and Science Act of 2022, a careful and comprehensive assessment of the permitting process for fab construction is underway.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-CAN-SEMICONDUCTOR-RESHORING-PRIME-US-MANUFACTURING-RENAISSANCE,C-CSIS-RAI-2022-CAN-SEMICONDUCTOR-RESHORING-PRIME-US-MANUFACTURING-RENAISSANCE,2022-09-01,Can Semiconductor Reshoring Prime a U.S. Manufacturing Renaissance?,Article,Commentary,"Sujai Shivakumar, Charles Wessner, and Tom Howell",核心,否,https://www.csis.org/analysis/can-semiconductor-reshoring-prime-us-manufacturing-renaissance,The new strategic focus on semiconductor manufacturing represents a more comprehensive understanding of the industry’s importance beyond a secure supply of chips for defense applications.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-OLD-NEW-MAKING-INNOVATION-WORK-EVERYONE,C-CSIS-RAI-2022-OLD-NEW-MAKING-INNOVATION-WORK-EVERYONE,2022-09-07,Old Is New: Making Innovation Work for Everyone,Article,Commentary,Tom Guevara,核心,否,https://www.csis.org/analysis/old-new-making-innovation-work-everyone,"To be effective, renewing U.S. innovation must mean encouraging and engaging with the multiplicity of local initiatives that connect the shared interests of communities and firms in building their region’s productive base and skilled technical workforce.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-RENEW-SBIR-JUST-DEFEND-RECIPIENTS-AGAINST-CHINA,C-CSIS-RAI-2022-RENEW-SBIR-JUST-DEFEND-RECIPIENTS-AGAINST-CHINA,2022-09-14,"Renew SBIR, Just Defend the Recipients against China",Report,Report,Charles Wessner and Sujai Shivakumar,核心,是,https://www.csis.org/analysis/renew-sbir-just-defend-recipients-against-china,"With the SBIR program up for reauthorization, it is more important than ever to reflect on this hugely successful program’s impacts on the U.S. economy and innovation.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
