报告ID,统一目录报告ID,WordPress记录ID,发布日期,报告名称,官方类型,科技创新相关度,中国直接信号,官方落地页,页面摘要,资料层级,全文策略,采集日期
C-FAS-2016-LEGACY-OF-FAS,C-FAS-2016-LEGACY-OF-FAS,4558,2016-05-09,The Legacy of the Federation of American Scientists,Report,语境,否,https://fas.org/publication/legacy-of-fas/,"The Federation of American Scientists (FAS) formed after the bombing of Hiroshima and Nagasaki, precisely because many scientists were genuinely concerned for the fate of the world now that nuclear weapons were a concrete reality. They passionately believed that, as scientific experts and citizens, they had a duty to educate the American public about the […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2016-REINVENTION-AND-RENEWAL,C-FAS-2016-REINVENTION-AND-RENEWAL,4569,2016-05-10,President’s Message: Reinvention and Renewal,Report,语境,否,https://fas.org/publication/reinvention-and-renewal/,"From its inception 70 years ago, the founders and members of the Federation of American Scientists were reinventing themselves. Imagine yourself as a 26-year old chemist having participated in building the first atomic bombs. You may have joined because your graduate school adviser was going to Los Alamos and encouraged you to come. You may […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2016-MORE-FROM-FAS-2,C-FAS-2016-MORE-FROM-FAS-2,4573,2016-06-28,More From FAS: Highlights and Achievements Throughout Recent Months,Report,语境,否,https://fas.org/publication/more-from-fas-2/,"NGOs AND THEIR ROLES IN THE VERIFICATION OF NUCLEAR AGREEMENTS – APRIL 2016 After finishing up his second MacArthur Foundation-sponsored research project on issues related to verifying a nuclear agreement with Iran, Christopher Bidwell, FAS Senior Fellow for Nonproliferation Law and Policy, and his team are now focused on a third project that will look […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2016-NUCLEAR-SECURITY-AND-SAFETY-IN-AMERICA,C-FAS-2016-NUCLEAR-SECURITY-AND-SAFETY-IN-AMERICA,4571,2016-06-28,Nuclear Security and Safety in America: A proposal on illicit trafficking of radioactive material and orphan sources,Report,语境,否,https://fas.org/publication/nuclear-security-and-safety-in-america/,"The special nature of nuclear energy requires particular safety and security conditions and stronger protective measures. The International Atomic Energy Agency (IAEA), as do other international and regional organizations, provides assessment, but it does not know a great deal about the security status of most Member States. It is necessary to learn of and determine […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2016-PRESIDENTS-MESSAGE-2,C-FAS-2016-PRESIDENTS-MESSAGE-2,4574,2016-06-28,President’s Message: What Will the Next President’s Nuclear Policies Be?,Report,语境,否,https://fas.org/publication/presidents-message-2/,"The presidential candidates’ debates will soon occur, and the voters must know where the candidates stand on protecting the United States against catastrophic nuclear attacks. While debating foreign policy and national security issues, the Democratic and Republican candidates could reach an apparent agreement about the greatest threat facing the United States, similar to what happened […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2016-PUBLIC-INTEREST-REPORT-JUNE-2016,C-FAS-2016-PUBLIC-INTEREST-REPORT-JUNE-2016,4664,2016-06-28,Public Interest Report: June 2016,Report,语境,否,https://fas.org/publication/public-interest-report-june-2016/,"President’s Message: What Will the Next President’s Nuclear Policies Be? by Charles D. Ferguson The presidential candidates’ debates will soon occur, and the voters must know where the candidates stand on protecting the United States against catastrophic nuclear attacks. Three-Dimensional Arms Control: A Thought Experiment by Heather Williams In order to move beyond old-school arms […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2016-THREE-DIMENSIONAL-ARMS-CONTROL,C-FAS-2016-THREE-DIMENSIONAL-ARMS-CONTROL,4572,2016-06-28,Three-Dimensional Arms Control: A Thought Experiment,Report,语境,否,https://fas.org/publication/three-dimensional-arms-control/,"The George W. Bush Administration is not typically viewed as the paragon of arms control. This was the Administration that withdrew from the Anti-Ballistic Missile (ABM) Treaty in 2002, agreed to the Moscow Treaty that same year with no verification provisions, and generally eschewed traditional approaches to arms control, including negotiations and treaties, as Cold […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2016-WELCOME-BACK-MOKVS,C-FAS-2016-WELCOME-BACK-MOKVS,4570,2016-06-28,"Welcome Back, Multiple Object Kill Vehicles",Report,语境,否,https://fas.org/publication/welcome-back-mokvs/,"Ever since the United States began developing a missile defense system, the focus has been on pursuing a robust missile defense system. As not much progress has been made on boost phase interception, it becomes mandatory to study a technology that could make the midcourse system of the ballistic missile more vulnerable to enemy missile defense system. […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2016-FRANCES-CHOICE-FOR-NAVAL-NUCLEAR-PROPULSION-WHY-LOW-ENRICHED-URANIUM-WAS-CHOSEN,C-FAS-2016-FRANCES-CHOICE-FOR-NAVAL-NUCLEAR-PROPULSION-WHY-LOW-ENRICHED-URANIUM-WAS-CHOSEN,4647,2016-12-06,France’s Choice for Naval Nuclear Propulsion: Why Low-Enriched Uranium Was Chosen,Report,语境,否,https://fas.org/publication/frances-choice-for-naval-nuclear-propulsion-why-low-enriched-uranium-was-chosen/,"This special report is a result of an FAS task force on French naval nuclear propulsion and explores France’s decision to switch from highly-enriched uranium (HEU) to low-enriched uranium (LEU). By detailing the French Navy’s choice to switch to LEU fuel, author Alain Tournyol du Clos — a lead architect of France’s nuclear propulsion program — explores […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2017-LIFE-OF-THE-SHIP-REACTORS-AND-ACCELERATED-TESTING-OF-NAVAL-PROPULSION-FUELS-AND-REACTORS,C-FAS-2017-LIFE-OF-THE-SHIP-REACTORS-AND-ACCELERATED-TESTING-OF-NAVAL-PROPULSION-FUELS-AND-REACTORS,4649,2017-04-07,Life-of-the-Ship Reactors and Accelerated Testing of Naval Propulsion Fuels and Reactors,Report,语境,否,https://fas.org/publication/life-of-the-ship-reactors-and-accelerated-testing-of-naval-propulsion-fuels-and-reactors/,This special report is a result of the FAS U.S.-French Naval Nuclear Task Force and is focused on the life-of-the-ship reactors and role of accelerated testing on naval propulsion fuels and reactors. The report is written by Dr. George Moore. https://issuu.com/fascientists/docs/life-of-the-ship-reactors-and-accel,FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2017-NUCLEAR-DYNAMICS-IN-A-MULTIPOLAR-STRATEGIC-BALLISTIC-MISSILE-DEFENSE-WORLD,C-FAS-2017-NUCLEAR-DYNAMICS-IN-A-MULTIPOLAR-STRATEGIC-BALLISTIC-MISSILE-DEFENSE-WORLD,4650,2017-08-03,Nuclear Dynamics in a Multipolar Strategic Ballistic Missile Defense World,Report,语境,是,https://fas.org/publication/nuclear-dynamics-in-a-multipolar-strategic-ballistic-missile-defense-world/,"This report examines the nuclear dynamics and implications for strategic relations in a world where four nuclear-armed states are developing strategic ballistic missile defenses (BMD). These states are the United States, Russia, China, and India. Each state appears to have the common rationale of wanting at least limited protection against ballistic missile attacks, and all […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2017-THE-NONPROLIFERATION-AND-DISARMAMENT-CHALLENGES-OF-NAVAL-NUCLEAR-PROPULSION,C-FAS-2017-THE-NONPROLIFERATION-AND-DISARMAMENT-CHALLENGES-OF-NAVAL-NUCLEAR-PROPULSION,4651,2017-08-23,The Nonproliferation and Disarmament Challenges of Naval Nuclear Propulsion,Report,语境,否,https://fas.org/publication/the-nonproliferation-and-disarmament-challenges-of-naval-nuclear-propulsion/,"A so-called loophole might allow a non-nuclear weapon state (NNWS) to use a naval reactor program to acquire nuclear weapons by taking nuclear material outside of safeguards and then potentially diverting some of that material. Additionally, nuclear-armed states with nuclear-powered warships might use their naval reactor programs to justify keeping a substantial inventory of highly […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2017-NUCLEAR-MONITORING-AND-VERIFICATION-IN-THE-DIGITAL-AGE-SEVEN-RECOMMENDATIONS-FOR-IMPROVING-THE-PROCESS,C-FAS-2017-NUCLEAR-MONITORING-AND-VERIFICATION-IN-THE-DIGITAL-AGE-SEVEN-RECOMMENDATIONS-FOR-IMPROVING-THE-PROCESS,4652,2017-09-15,Nuclear Monitoring and Verification in the Digital Age: Seven Recommendations for Improving the Process,Report,语境,否,https://fas.org/publication/nuclear-monitoring-and-verification-in-the-digital-age-seven-recommendations-for-improving-the-process/,"The goal of this Task Force report is to offer findings and make recommendations regarding nonproliferation monitoring and verification in general; our observations are grounded in large part on the Task Force’s continued attention to nonproliferation developments such as the Joint Comprehensive Plan of Action (JCPOA) between the P5+1 and Iran, nuclear developments in North […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2019-REPORT-OF-THE-INTERNATIONAL-STUDY-GROUP-ON-NORTH-KOREA-POLICY,C-FAS-2019-REPORT-OF-THE-INTERNATIONAL-STUDY-GROUP-ON-NORTH-KOREA-POLICY,4659,2019-01-04,Report of the International Study Group on North Korea Policy,Report,语境,否,https://fas.org/publication/report-of-the-international-study-group-on-north-korea-policy/,The FAS International Study Group on North Korea Policy convened to develop a strategy toward a North Korea that will in all likelihood remain nuclear-armed and under the control of the Kim family for the next two decades. The composition of the group reflects a conviction that a sustainable and realistic strategy must draw on […],FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2019-AIR-LAUNCHED-BALLISTIC-MISSILES,C-FAS-2019-AIR-LAUNCHED-BALLISTIC-MISSILES,4653,2019-11-07,Air-launched Ballistic Missiles,Report,语境,是,https://fas.org/publication/air-launched-ballistic-missiles/,"In 2018, Russia and China both tested an uncommon type of missile that flew a ballistic trajectory but could be launched from an aircraft. Air-launched ballistic missiles (ALBM) are just one curiosity at a time when many countries are rapidly expanding and upgrading their missile inventories, but the tests raised some understandable questions: Is this […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2019-CONVENTIONAL-DETERRENCE-OF-NORTH-KOREA,C-FAS-2019-CONVENTIONAL-DETERRENCE-OF-NORTH-KOREA,4654,2019-12-18,Conventional Deterrence of North Korea,Report,语境,否,https://fas.org/publication/conventional-deterrence-of-north-korea/,"The debate over whether North Korea could be deterred was eclipsed by the onset of negotiations in 2018. Yet, the last three years have been marked by rapid advancements in the regime’s military capabilities and apparent evolution in its military strategy, which now relies on the threat of preemptive attacks against allied conventional forces to […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-SMART-CITIES-TECHNOLOGIES-DRIVING-ECONOMIC-GROWTH-AND-COMMUNITY-RESILIENCE,C-FAS-2020-SMART-CITIES-TECHNOLOGIES-DRIVING-ECONOMIC-GROWTH-AND-COMMUNITY-RESILIENCE,17165,2020-03-31,Smart Cities Technologies: Driving Economic Growth and Community Resilience,Policy Memo,语境,否,https://fas.org/publication/smart-cities-technologies-driving-economic-growth-and-community-resilience/,A proposal for the federal government to help communities leverage smart-city technologies to help address social and economic challenges.,FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-MODERNIZING-RADIO-SPECTRUM-MANAGEMENT,C-FAS-2020-MODERNIZING-RADIO-SPECTRUM-MANAGEMENT,17163,2020-04-05,Modernizing Radio Spectrum Management,Policy Memo,语境,否,https://fas.org/publication/modernizing-radio-spectrum-management/,Rethinking spectrum policy through a set of targeted reforms can maximize productive use of the radio spectrum.,FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-MASS-DIGITIZING-BIODIVERSITY-COLLECTIONS-OF-THE-UNITED-STATE,C-FAS-2020-MASS-DIGITIZING-BIODIVERSITY-COLLECTIONS-OF-THE-UNITED-STATE,17161,2020-04-06,Mass-Digitizing Biodiversity Collections of the United States,Policy Memo,语境,否,https://fas.org/publication/mass-digitizing-biodiversity-collections-of-the-united-state/,A coordinated effort to mass digitize the physical specimens in U.S. biodiversity collections.,FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-DIMINISHING-RUSSIAN-INFLUENCES,C-FAS-2020-DIMINISHING-RUSSIAN-INFLUENCES,17159,2020-04-11,Combating Digital Disinformation: Resisting Foreign Influence Operations through Federal Policy,Policy Memo,语境,否,https://fas.org/publication/diminishing-russian-influences/,A two-part plan for federal action to thwart political disinformation efforts and preserve the sanctity of the American political process.,FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-CREATING-THE-HEALTH-ADVANCED-RESEARCH-PROJECTS-AGENCY-HARPA,C-FAS-2020-CREATING-THE-HEALTH-ADVANCED-RESEARCH-PROJECTS-AGENCY-HARPA,17157,2020-04-19,Creating the Health Advanced Research Projects Agency (HARPA),Policy Memo,核心,否,https://fas.org/publication/creating-the-health-advanced-research-projects-agency-harpa/,The federal government can directly address the massive market failures at the center of our healthcare enterprise by establishing a new Health Advanced Research Projects Agency.,FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-CLOSING-CRITICAL-GAPS,C-FAS-2020-CLOSING-CRITICAL-GAPS,17155,2020-04-23,Closing Critical Gaps from Lab to Market,Policy Memo,核心,否,https://fas.org/publication/closing-critical-gaps/,Forging a more effective commercialization pipeline to enhance U.S. long-term economic competitiveness and innovation leadership.,FAS官方WordPress Reports/Policy Memos元数据,已进入精选全文；按本地官方HTML正文、清洗文本和切片调用,2026-08-23
C-FAS-2020-MAKING-COMPUTER-SCIENCE-EDUCATION-UNIVERSAL-FOR-ALL-STUDENTS,C-FAS-2020-MAKING-COMPUTER-SCIENCE-EDUCATION-UNIVERSAL-FOR-ALL-STUDENTS,17153,2020-04-23,Making Computer Science Education Universal for All Students,Policy Memo,支撑,否,https://fas.org/publication/making-computer-science-education-universal-for-all-students/,The next administration should establish a national initiative to accelerate the implementation of rigorous computer science education for preschool through 12th grade students in the United States.,FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-A-CIVIC-RESEARCH-INITIATIVE-TO-TRANSFORM-STATE-AND-LOCAL-GOVERNMENT,C-FAS-2020-A-CIVIC-RESEARCH-INITIATIVE-TO-TRANSFORM-STATE-AND-LOCAL-GOVERNMENT,17147,2020-04-24,A Civic Research Initiative to Transform State and Local Government,Policy Memo,核心,否,https://fas.org/publication/a-civic-research-initiative-to-transform-state-and-local-government/,A proposed federal initiative would expand the emerging field of civic research as “R&D for state and local government.”,FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-ESTABLISHING-A-NATIONAL-MANUFACTURING-FOUNDATION,C-FAS-2020-ESTABLISHING-A-NATIONAL-MANUFACTURING-FOUNDATION,17149,2020-04-24,Establishing a National Manufacturing Foundation,Policy Memo,语境,否,https://fas.org/publication/establishing-a-national-manufacturing-foundation/,"Establishing a National Manufacturing Foundation to restore critical industrial commons, ensuring what is invented here can be made here.",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-A-NATIONAL-ENERGY-STORAGE-INITIATIVE,C-FAS-2020-A-NATIONAL-ENERGY-STORAGE-INITIATIVE,17151,2020-04-24,National Energy Storage Initiative,Policy Memo,语境,否,https://fas.org/publication/a-national-energy-storage-initiative/,"A proposal for a National Energy Storage Initiative to advance energy-storage technologies, boost domestic manufacturing.",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-AMBITIOUS-ACHIEVABLE-AND-SUSTAINABLE,C-FAS-2020-AMBITIOUS-ACHIEVABLE-AND-SUSTAINABLE,17145,2020-04-25,"Ambitious, Achievable, and Sustainable: A Blueprint for Reclaiming American Research Leadership",Policy Memo,核心,否,https://fas.org/publication/ambitious-achievable-and-sustainable/,A blueprint to restore the foundation for U.S. competitiveness by embarking on a new growth trajectory for federal research spending.,FAS官方WordPress Reports/Policy Memos元数据,已进入精选全文；按本地官方HTML正文、清洗文本和切片调用,2026-08-23
C-FAS-2020-A-NATIONAL-STRATEGY-ON-PRIVACY-AND-CIVIL-LIBERTIES,C-FAS-2020-A-NATIONAL-STRATEGY-ON-PRIVACY-AND-CIVIL-LIBERTIES,17141,2020-04-26,A National Strategy on Privacy and Civil Liberties,Policy Memo,语境,否,https://fas.org/publication/a-national-strategy-on-privacy-and-civil-liberties/,A proposal to institute meaningful protections against government surveillance in the United States.,FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-ADDRESSINGORGANDONORCRISIS,C-FAS-2020-ADDRESSINGORGANDONORCRISIS,17143,2020-04-26,Addressing the Organ Donor Crisis,Policy Memo,语境,否,https://fas.org/publication/addressingorgandonorcrisis/,Steps the federal government can take to end the organ transplant wait list.,FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-HAVE-YOUR-DATA-AND-USE-IT-TOO-A-FEDERAL-INITIATIVE-FOR-PROTECTING-PRIVACY-WHILE-ADVANCING-AI,C-FAS-2020-HAVE-YOUR-DATA-AND-USE-IT-TOO-A-FEDERAL-INITIATIVE-FOR-PROTECTING-PRIVACY-WHILE-ADVANCING-AI,17139,2020-04-26,Have Your Data and Use It Too: A Federal Initiative for Protecting Privacy while Advancing AI,Policy Memo,核心,否,https://fas.org/publication/have-your-data-and-use-it-too-a-federal-initiative-for-protecting-privacy-while-advancing-ai/,A proposal to address privacy concerns surrounding the growing use of artificial intelligence.,FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
C-FAS-2020-TEMPORARY-WORK-VISA-HOLDERS-IN-THE-UNITED-STATES-BY-THE-NUMBERS,C-FAS-2020-TEMPORARY-WORK-VISA-HOLDERS-IN-THE-UNITED-STATES-BY-THE-NUMBERS,4655,2020-06-12,"Temporary Work Visa Holders in the United States, By the Numbers",Report,语境,否,https://fas.org/publication/temporary-work-visa-holders-in-the-united-states-by-the-numbers/,"The Trump administration is expected to unveil an executive action in the near future that would significantly restrict temporary (“nonimmigrant”) work visa categories. While there are multiple public data sets available from the Department of Homeland Security and the Department of State relevant to these visa categories, they are unfortunately not sufficient to answer these […]",FAS官方WordPress Reports/Policy Memos元数据,总目录保留；科研机制、创新制度、关键技术、中国科技比较或跨期节点进入全文层,2026-08-23
