主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
生物、量子、航天与绿色技术,科技产业与经济安全基线,C-MERICS-B0E59142CC,2020-11-17,W2,Mapping and recalibrating Europe’s economic interdependence with China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-B0E59142CC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-B0E59142CC.txt,https://merics.org/en/report/mapping-and-recalibrating-europes-economic-interdependence-china,官方PDF已保存并校验
创新体系、科研与技术人才,科技产业与经济安全基线,C-MERICS-B0E59142CC,2020-11-17,W2,Mapping and recalibrating Europe’s economic interdependence with China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-B0E59142CC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-B0E59142CC.txt,https://merics.org/en/report/mapping-and-recalibrating-europes-economic-interdependence-china,官方PDF已保存并校验
供应链、技术管制与经济安全,科技产业与经济安全基线,C-MERICS-B0E59142CC,2020-11-17,W2,Mapping and recalibrating Europe’s economic interdependence with China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-B0E59142CC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-B0E59142CC.txt,https://merics.org/en/report/mapping-and-recalibrating-europes-economic-interdependence-china,官方PDF已保存并校验
人工智能、芯片与算力,科技产业与经济安全基线,E-MERICS-2021-DECOUPLING,2021-01-14,W2,Decoupling - Severed Ties and Patchwork Globalisation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2021-DECOUPLING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2021-DECOUPLING.txt,https://merics.org/en/report/decoupling-severed-ties-and-patchwork-globalisation,复用库内既有资产
网络安全、数据与数字治理,科技产业与经济安全基线,E-MERICS-2021-DECOUPLING,2021-01-14,W2,Decoupling - Severed Ties and Patchwork Globalisation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2021-DECOUPLING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2021-DECOUPLING.txt,https://merics.org/en/report/decoupling-severed-ties-and-patchwork-globalisation,复用库内既有资产
先进制造、机器人与交通技术,科技产业与经济安全基线,E-MERICS-2021-DECOUPLING,2021-01-14,W2,Decoupling - Severed Ties and Patchwork Globalisation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2021-DECOUPLING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2021-DECOUPLING.txt,https://merics.org/en/report/decoupling-severed-ties-and-patchwork-globalisation,复用库内既有资产
创新体系、科研与技术人才,科技产业与经济安全基线,E-MERICS-2021-DECOUPLING,2021-01-14,W2,Decoupling - Severed Ties and Patchwork Globalisation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2021-DECOUPLING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2021-DECOUPLING.txt,https://merics.org/en/report/decoupling-severed-ties-and-patchwork-globalisation,复用库内既有资产
供应链、技术管制与经济安全,科技产业与经济安全基线,E-MERICS-2021-DECOUPLING,2021-01-14,W2,Decoupling - Severed Ties and Patchwork Globalisation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2021-DECOUPLING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2021-DECOUPLING.txt,https://merics.org/en/report/decoupling-severed-ties-and-patchwork-globalisation,复用库内既有资产
网络安全、数据与数字治理,核心科技直接材料,C-MERICS-7CC8BEDA8C,2021-03-26,W2,China sets hopes on blockchain to close cyber security gaps,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-7CC8BEDA8C.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-7CC8BEDA8C.txt,https://merics.org/en/report/china-sets-hopes-blockchain-close-cyber-security-gaps,官方PDF已保存并校验
先进制造、机器人与交通技术,核心科技直接材料,C-MERICS-7CC8BEDA8C,2021-03-26,W2,China sets hopes on blockchain to close cyber security gaps,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-7CC8BEDA8C.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-7CC8BEDA8C.txt,https://merics.org/en/report/china-sets-hopes-blockchain-close-cyber-security-gaps,官方PDF已保存并校验
生物、量子、航天与绿色技术,核心科技直接材料,C-MERICS-7CC8BEDA8C,2021-03-26,W2,China sets hopes on blockchain to close cyber security gaps,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-7CC8BEDA8C.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-7CC8BEDA8C.txt,https://merics.org/en/report/china-sets-hopes-blockchain-close-cyber-security-gaps,官方PDF已保存并校验
创新体系、科研与技术人才,核心科技直接材料,C-MERICS-7CC8BEDA8C,2021-03-26,W2,China sets hopes on blockchain to close cyber security gaps,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-7CC8BEDA8C.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-7CC8BEDA8C.txt,https://merics.org/en/report/china-sets-hopes-blockchain-close-cyber-security-gaps,官方PDF已保存并校验
供应链、技术管制与经济安全,核心科技直接材料,C-MERICS-7CC8BEDA8C,2021-03-26,W2,China sets hopes on blockchain to close cyber security gaps,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-7CC8BEDA8C.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-7CC8BEDA8C.txt,https://merics.org/en/report/china-sets-hopes-blockchain-close-cyber-security-gaps,官方PDF已保存并校验
网络安全、数据与数字治理,核心科技直接材料,C-MERICS-90B299F015,2021-05-19,W2,China bets on open-source technologies to boost domestic innovation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-90B299F015.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-90B299F015.txt,https://merics.org/en/report/china-bets-open-source-technologies-boost-domestic-innovation,官方PDF已保存并校验
先进制造、机器人与交通技术,核心科技直接材料,C-MERICS-90B299F015,2021-05-19,W2,China bets on open-source technologies to boost domestic innovation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-90B299F015.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-90B299F015.txt,https://merics.org/en/report/china-bets-open-source-technologies-boost-domestic-innovation,官方PDF已保存并校验
创新体系、科研与技术人才,核心科技直接材料,C-MERICS-90B299F015,2021-05-19,W2,China bets on open-source technologies to boost domestic innovation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-90B299F015.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-90B299F015.txt,https://merics.org/en/report/china-bets-open-source-technologies-boost-domestic-innovation,官方PDF已保存并校验
网络安全、数据与数字治理,核心科技直接材料,C-MERICS-C03FB77E81,2021-06-15,W2,"The CCP's next century: expanding economic control, digital governance and national security",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-C03FB77E81.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-C03FB77E81.txt,https://merics.org/en/report/ccps-next-century-expanding-economic-control-digital-governance-and-national-security,官方PDF已保存并校验
人工智能、芯片与算力,核心科技直接材料,C-MERICS-D5CD59BF14,2021-06-24,W2,The Connection of Everything: China and the Internet of Things,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-D5CD59BF14.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-D5CD59BF14.txt,https://merics.org/en/report/connection-everything-china-and-internet-things,官方PDF已保存并校验
网络安全、数据与数字治理,核心科技直接材料,C-MERICS-D5CD59BF14,2021-06-24,W2,The Connection of Everything: China and the Internet of Things,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-D5CD59BF14.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-D5CD59BF14.txt,https://merics.org/en/report/connection-everything-china-and-internet-things,官方PDF已保存并校验
先进制造、机器人与交通技术,核心科技直接材料,C-MERICS-D5CD59BF14,2021-06-24,W2,The Connection of Everything: China and the Internet of Things,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-D5CD59BF14.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-D5CD59BF14.txt,https://merics.org/en/report/connection-everything-china-and-internet-things,官方PDF已保存并校验
生物、量子、航天与绿色技术,核心科技直接材料,C-MERICS-D5CD59BF14,2021-06-24,W2,The Connection of Everything: China and the Internet of Things,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-D5CD59BF14.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-D5CD59BF14.txt,https://merics.org/en/report/connection-everything-china-and-internet-things,官方PDF已保存并校验
创新体系、科研与技术人才,核心科技直接材料,C-MERICS-D5CD59BF14,2021-06-24,W2,The Connection of Everything: China and the Internet of Things,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-D5CD59BF14.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-D5CD59BF14.txt,https://merics.org/en/report/connection-everything-china-and-internet-things,官方PDF已保存并校验
供应链、技术管制与经济安全,核心科技直接材料,C-MERICS-D5CD59BF14,2021-06-24,W2,The Connection of Everything: China and the Internet of Things,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-D5CD59BF14.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-D5CD59BF14.txt,https://merics.org/en/report/connection-everything-china-and-internet-things,官方PDF已保存并校验
人工智能、芯片与算力,核心科技直接材料,C-MERICS-8A53E25339,2021-06-24,W2,"Lofty principles, conflicting incentives: AI ethics and governance in China",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-8A53E25339.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-8A53E25339.txt,https://merics.org/en/report/lofty-principles-conflicting-incentives-ai-ethics-and-governance-china,官方PDF已保存并校验
网络安全、数据与数字治理,核心科技直接材料,C-MERICS-8A53E25339,2021-06-24,W2,"Lofty principles, conflicting incentives: AI ethics and governance in China",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-8A53E25339.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-8A53E25339.txt,https://merics.org/en/report/lofty-principles-conflicting-incentives-ai-ethics-and-governance-china,官方PDF已保存并校验
先进制造、机器人与交通技术,核心科技直接材料,C-MERICS-8A53E25339,2021-06-24,W2,"Lofty principles, conflicting incentives: AI ethics and governance in China",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-8A53E25339.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-8A53E25339.txt,https://merics.org/en/report/lofty-principles-conflicting-incentives-ai-ethics-and-governance-china,官方PDF已保存并校验
生物、量子、航天与绿色技术,核心科技直接材料,C-MERICS-8A53E25339,2021-06-24,W2,"Lofty principles, conflicting incentives: AI ethics and governance in China",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-8A53E25339.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-8A53E25339.txt,https://merics.org/en/report/lofty-principles-conflicting-incentives-ai-ethics-and-governance-china,官方PDF已保存并校验
创新体系、科研与技术人才,核心科技直接材料,C-MERICS-8A53E25339,2021-06-24,W2,"Lofty principles, conflicting incentives: AI ethics and governance in China",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-8A53E25339.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-8A53E25339.txt,https://merics.org/en/report/lofty-principles-conflicting-incentives-ai-ethics-and-governance-china,官方PDF已保存并校验
供应链、技术管制与经济安全,核心科技直接材料,C-MERICS-8A53E25339,2021-06-24,W2,"Lofty principles, conflicting incentives: AI ethics and governance in China",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-8A53E25339.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-8A53E25339.txt,https://merics.org/en/report/lofty-principles-conflicting-incentives-ai-ethics-and-governance-china,官方PDF已保存并校验
人工智能、芯片与算力,核心科技直接材料,C-MERICS-FEE5C5B124,2021-06-30,W2,Mapping China’s semiconductor ecosystem in global context: Strategic dimensions and conclusions,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-FEE5C5B124.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-FEE5C5B124.txt,https://merics.org/en/report/mapping-chinas-semiconductor-ecosystem-global-context-strategic-dimensions-and-conclusions,官方PDF已保存并校验
先进制造、机器人与交通技术,核心科技直接材料,C-MERICS-FEE5C5B124,2021-06-30,W2,Mapping China’s semiconductor ecosystem in global context: Strategic dimensions and conclusions,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-FEE5C5B124.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-FEE5C5B124.txt,https://merics.org/en/report/mapping-chinas-semiconductor-ecosystem-global-context-strategic-dimensions-and-conclusions,官方PDF已保存并校验
创新体系、科研与技术人才,核心科技直接材料,C-MERICS-FEE5C5B124,2021-06-30,W2,Mapping China’s semiconductor ecosystem in global context: Strategic dimensions and conclusions,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-FEE5C5B124.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-FEE5C5B124.txt,https://merics.org/en/report/mapping-chinas-semiconductor-ecosystem-global-context-strategic-dimensions-and-conclusions,官方PDF已保存并校验
