报告ID,统一目录报告ID,DOI,ISSN,系列,发布日期,报告名称,作者,科学技术创新主题,中国关联,DOI入口,OECD落地页,登记机构,资料层级,全文策略,源文件SHA256,采集日期
C-OECD-DOI-5JLWQVHG3L31-EN,C-OECD-DOI-5JLWQVHG3L31-EN,10.1787/5jlwqvhg3l31-en,2071-6826,OECD Digital Economy Papers,2016-06-16,Stimulating digital innovation for growth and inclusiveness,,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/5jlwqvhg3l31-en,https://www.oecd-ilibrary.org/science-and-technology/stimulating-digital-innovation-for-growth-and-inclusiveness_5jlwqvhg3l31-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLWQF2R97G5-EN,C-OECD-DOI-5JLWQF2R97G5-EN,10.1787/5jlwqf2r97g5-en,2071-6826,OECD Digital Economy Papers,2016-06-17,Economic and Social Benefits of Internet Openness,,技术创新与关键技术,否,https://doi.org/10.1787/5jlwqf2r97g5-en,https://www.oecd.org/en/publications/economic-and-social-benefits-of-internet-openness_5jlwqf2r97g5-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLWNKLT820X-EN,C-OECD-DOI-5JLWNKLT820X-EN,10.1787/5jlwnklt820x-en,2071-6826,OECD Digital Economy Papers,2016-06-21,New Forms of Work in the Digital Economy,,技术创新与关键技术,否,https://doi.org/10.1787/5jlwnklt820x-en,https://www.oecd-ilibrary.org/science-and-technology/new-forms-of-work-in-the-digital-economy_5jlwnklt820x-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLWNKLZPLHG-EN,C-OECD-DOI-5JLWNKLZPLHG-EN,10.1787/5jlwnklzplhg-en,2071-6826,OECD Digital Economy Papers,2016-06-21,ICTs and Jobs: Complements or Substitutes?,,技术创新与关键技术,否,https://doi.org/10.1787/5jlwnklzplhg-en,https://www.oecd-ilibrary.org/science-and-technology/icts-and-jobs-complements-or-substitutes_5jlwnklzplhg-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLWNKM2FC9X-EN,C-OECD-DOI-5JLWNKM2FC9X-EN,10.1787/5jlwnkm2fc9x-en,2071-6826,OECD Digital Economy Papers,2016-06-21,New Skills for the Digital Economy,,技术创新与关键技术；人才大学与科研组织,否,https://doi.org/10.1787/5jlwnkm2fc9x-en,https://www.oecd-ilibrary.org/science-and-technology/new-skills-for-the-digital-economy_5jlwnkm2fc9x-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLVC7SL1W7H-EN,C-OECD-DOI-5JLVC7SL1W7H-EN,10.1787/5jlvc7sl1w7h-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2016-07-07,Measuring the Link between Public Procurement and Innovation,,创新政策与研发治理,否,https://doi.org/10.1787/5jlvc7sl1w7h-en,https://www.oecd-ilibrary.org/science-and-technology/measuring-the-link-between-public-procurement-and-innovation_5jlvc7sl1w7h-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-5JLV8ZMP86JG-EN,C-OECD-DOI-5JLV8ZMP86JG-EN,10.1787/5jlv8zmp86jg-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2016-07-12,Where to Locate Innovative Activities in Global Value Chains,,国际合作开放科学与比较,否,https://doi.org/10.1787/5jlv8zmp86jg-en,https://www.oecd-ilibrary.org/science-and-technology/where-to-locate-innovative-activities-in-global-value-chains_5jlv8zmp86jg-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-5JLV73SQQP8R-EN,C-OECD-DOI-5JLV73SQQP8R-EN,10.1787/5jlv73sqqp8r-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2016-07-16,OECD Taxonomy of Economic Activities Based on R&D Intensity,,科学体系与基础研究,否,https://doi.org/10.1787/5jlv73sqqp8r-en,https://www.oecd-ilibrary.org/science-and-technology/oecd-taxonomy-of-economic-activities-based-on-r-d-intensity_5jlv73sqqp8r-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-5JLRCM216XKL-EN,C-OECD-DOI-5JLRCM216XKL-EN,10.1787/5jlrcm216xkl-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2016-09-03,Estimating CO2 Emissions Embodied in Final Demand and Trade Using the OECD ICIO 2015,,创新政策与研发治理,否,https://doi.org/10.1787/5jlrcm216xkl-en,https://www.oecd-ilibrary.org/science-and-technology/estimating-co2-emissions-embodied-in-final-demand-and-trade-using-the-oecd-icio-2015_5jlrcm216xkl-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-5JLR8VFZDSR2-EN,C-OECD-DOI-5JLR8VFZDSR2-EN,10.1787/5jlr8vfzdsr2-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2016-09-09,Global Action to Drive Innovation in Alzheimer's Disease and Other Dementias,,创新政策与研发治理；国际合作开放科学与比较,否,https://doi.org/10.1787/5jlr8vfzdsr2-en,https://www.oecd-ilibrary.org/science-and-technology/global-action-to-drive-innovation-in-alzheimer-s-disease-and-other-dementias_5jlr8vfzdsr2-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-5JLR8FLDQK7J-EN,C-OECD-DOI-5JLR8FLDQK7J-EN,10.1787/5jlr8fldqk7j-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2016-09-10,"R&D Tax Incentives: Evidence on design, incidence and impacts",,科学体系与基础研究,否,https://doi.org/10.1787/5jlr8fldqk7j-en,https://www.oecd-ilibrary.org/science-and-technology/r-d-tax-incentives-evidence-on-design-incidence-and-impacts_5jlr8fldqk7j-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-5JLR2Z70K0BX-EN,C-OECD-DOI-5JLR2Z70K0BX-EN,10.1787/5jlr2z70k0bx-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2016-09-22,Drivers and Implications of Scientific Open Access Publishing,,科学体系与基础研究,否,https://doi.org/10.1787/5jlr2z70k0bx-en,https://www.oecd-ilibrary.org/science-and-technology/drivers-and-implications-of-scientific-open-access-publishing_5jlr2z70k0bx-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-5JLPQ84V57KG-EN,C-OECD-DOI-5JLPQ84V57KG-EN,10.1787/5jlpq84v57kg-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2016-10-11,Impact of apprenticeships on individuals and firms,,产业创新转化与区域生态,否,https://doi.org/10.1787/5jlpq84v57kg-en,https://www.oecd-ilibrary.org/science-and-technology/impact-of-apprenticeships-on-individuals-and-firms_5jlpq84v57kg-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-5JLPL4SGC9HJ-EN,C-OECD-DOI-5JLPL4SGC9HJ-EN,10.1787/5jlpl4sgc9hj-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2016-10-20,Hedonic Prices for Fixed Broadband Services,,科学技术创新综合目录,否,https://doi.org/10.1787/5jlpl4sgc9hj-en,https://www.oecd-ilibrary.org/science-and-technology/hedonic-prices-for-fixed-broadband-services_5jlpl4sgc9hj-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-5JLNB5Q64KTD-EN,C-OECD-DOI-5JLNB5Q64KTD-EN,10.1787/5jlnb5q64ktd-en,2071-6826,OECD Digital Economy Papers,2016-11-03,Online Product Safety Sweep Results,,科学技术创新综合目录,否,https://doi.org/10.1787/5jlnb5q64ktd-en,https://www.oecd-ilibrary.org/science-and-technology/online-product-safety-sweep-results_5jlnb5q64ktd-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLNB5Q93JLT-EN,C-OECD-DOI-5JLNB5Q93JLT-EN,10.1787/5jlnb5q93jlt-en,2071-6826,OECD Digital Economy Papers,2016-11-03,Online Product Safety,,科学技术创新综合目录,否,https://doi.org/10.1787/5jlnb5q93jlt-en,https://www.oecd-ilibrary.org/science-and-technology/online-product-safety_5jlnb5q93jlt-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5JLN7VNPXS32-EN,C-OECD-DOI-5JLN7VNPXS32-EN,10.1787/5jln7vnpxs32-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2016-11-08,Research Ethics and New Forms of Data for Social and Economic Research,,科学体系与基础研究；技术创新与关键技术,否,https://doi.org/10.1787/5jln7vnpxs32-en,https://www.oecd-ilibrary.org/science-and-technology/research-ethics-and-new-forms-of-data-for-social-and-economic-research_5jln7vnpxs32-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-STI-IN-OUTLOOK-2016-EN,S-OECD-2016-01,10.1787/sti_in_outlook-2016-en,2518-6167,"OECD Science, Technology and Innovation Outlook",2016-12-08,"OECD Science, Technology and Innovation Outlook 2016",,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/sti_in_outlook-2016-en,https://www.oecd.org/en/publications/oecd-science-technology-and-innovation-outlook-2016_sti_in_outlook-2016-en.html,OECD Publishing,DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,6521bad92d3d68148a2a52f94b0efff8679d6fbfd4db405de0775b2be5b28f16,2026-08-22
C-OECD-DOI-59084781-EN,C-OECD-DOI-59084781-EN,10.1787/59084781-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2016-12-22,OECD Evaluation Framework for Modern Apprenticeships in Scotland,,创新政策与研发治理,否,https://doi.org/10.1787/59084781-en,https://www.oecd.org/en/publications/oecd-evaluation-framework-for-modern-apprenticeships-in-scotland_59084781-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-C2203C35-EN,C-OECD-DOI-C2203C35-EN,10.1787/c2203c35-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2017-01-20,Use of Behavioural Insights in Consumer Policy,,创新政策与研发治理,否,https://doi.org/10.1787/c2203c35-en,https://www.oecd-ilibrary.org/industry-and-services/use-of-behavioural-insights-in-consumer-policy_c2203c35-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-AB16C396-EN,C-OECD-DOI-AB16C396-EN,10.1787/ab16c396-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2017-02-18,ICT: A new taxonomy based on the international patent classification,,科学体系与基础研究；技术创新与关键技术；国际合作开放科学与比较,否,https://doi.org/10.1787/ab16c396-en,https://www.oecd.org/en/publications/ict-a-new-taxonomy-based-on-the-international-patent-classification_ab16c396-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-76D78FBB-EN,C-OECD-DOI-76D78FBB-EN,10.1787/76d78fbb-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2017-04-10,The links between global value chains and global innovation networks,,创新政策与研发治理；国际合作开放科学与比较,否,https://doi.org/10.1787/76d78fbb-en,https://www.oecd-ilibrary.org/science-and-technology/the-links-between-global-value-chains-and-global-innovation-networks_76d78fbb-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,已按真实科技创新机制缺口定点下载,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-C9BB055F-EN,C-OECD-DOI-C9BB055F-EN,10.1787/c9bb055f-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2017-04-21,Making policy evaluation work,,创新政策与研发治理,否,https://doi.org/10.1787/c9bb055f-en,https://www.oecd-ilibrary.org/science-and-technology/making-policy-evaluation-work_c9bb055f-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-A09A3A5D-EN,C-OECD-DOI-A09A3A5D-EN,10.1787/a09a3a5d-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2017-04-25,Inclusive innovation policies,,创新政策与研发治理,否,https://doi.org/10.1787/a09a3a5d-en,https://www.oecd-ilibrary.org/science-and-technology/inclusive-innovation-policies_a09a3a5d-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-60BD3AE7-FR,C-OECD-DOI-60BD3AE7-FR,10.1787/60bd3ae7-fr,2071-6826,OECD Digital Economy Papers,2017-05-03,Résultats de l’investigation surprise de l’OCDE sur la sécurité des produits vendus en ligne,,科学技术创新综合目录,否,https://doi.org/10.1787/60bd3ae7-fr,https://www.oecd.org/fr/publications/resultats-de-l-investigation-surprise-de-l-ocde-sur-la-securite-des-produits-vendus-en-ligne_60bd3ae7-fr.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-B6AB7104-FR,C-OECD-DOI-B6AB7104-FR,10.1787/b6ab7104-fr,2071-6826,OECD Digital Economy Papers,2017-05-03,Sécurité des produits vendus en ligne,,科学技术创新综合目录,否,https://doi.org/10.1787/b6ab7104-fr,https://www.oecd-ilibrary.org/science-and-technology/securite-des-produits-vendus-en-ligne_b6ab7104-fr,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-892A4787-EN,C-OECD-DOI-892A4787-EN,10.1787/892a4787-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2017-05-05,Having the right mix: The role of skill bundles for comparative advantage and industry performance in GVCs,,人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较,否,https://doi.org/10.1787/892a4787-en,https://www.oecd.org/en/publications/having-the-right-mix-the-role-of-skill-bundles-for-comparative-advantage-and-industry-performance-in-gvcs_892a4787-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-953F3853-EN,C-OECD-DOI-953F3853-EN,10.1787/953f3853-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2017-05-12,The great divergence(s),,科学技术创新综合目录,否,https://doi.org/10.1787/953f3853-en,https://www.oecd-ilibrary.org/science-and-technology/the-great-divergence-s_953f3853-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-2069B6A3-EN,C-OECD-DOI-2069B6A3-EN,10.1787/2069b6a3-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2017-05-16,The Multiprod project,,科学技术创新综合目录,否,https://doi.org/10.1787/2069b6a3-en,https://www.oecd-ilibrary.org/science-and-technology/the-multiprod-project_2069b6a3-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
