报告ID,报告编号,发布日期,观察窗,日文题名,语言,报告类型,资料角色,科技关联层级,主题标签,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-CRDS-FY2016-FR-07,CRDS-FY2016-FR-07,2017-03-01,W1,主要国の研究開発戦略（2017年）,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较；中国科技政策与能力比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-07.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-07.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-FR-07.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-FR-07.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-FR-07.md,14870397,95f0187b9b5da01b8b801ad66137349e66b6f46ed0b308f0296b46d4901fda99,213,299820,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2016-FR-08,CRDS-FY2016-FR-08,2017-03-01,W1,本編　概要版（2017年）,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-FR-08.html,https://www.jst.go.jp/crds/pdf/2016/FR/CRDS-FY2016-FR-08.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-FR-08.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-FR-08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-FR-08.md,12209498,869c6110ede8f57a0ed76ad896bf6da99017eaab9836f3245bd4ded3f2acacce,73,105902,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2016-RR-04,CRDS-FY2016-RR-04,2017-03-01,W1,欧州における科学技術イノベーションネットワーク形成とデータ連結・拡張の動向,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-RR-04.html,https://www.jst.go.jp/crds/pdf/2016/RR/CRDS-FY2016-RR-04.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-RR-04.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-RR-04.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-RR-04.md,5321244,265ef9b6f3a5ff45034f96ef78060bb08847e3c1def53a014205a9da54d30617,52,92958,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2016-SP-01,CRDS-FY2016-SP-01,2017-03-01,W1,植物と微生物叢の相互作用の研究開発戦略　−理解の深化から農業/物質生産への展開−,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-SP-01.html,https://www.jst.go.jp/crds/pdf/2016/SP/CRDS-FY2016-SP-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-SP-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-SP-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-SP-01.md,8513668,f8203006c5942f507d55bbf7df098f31cfc2aa323ca72d2546a2c005b51df035,72,78158,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2016-SP-02,CRDS-FY2016-SP-02,2017-03-01,W1,トポロジカル量子戦略　～量子力学の新展開がもたらすデバイスイノベーション～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-SP-02.html,https://www.jst.go.jp/crds/pdf/2016/SP/CRDS-FY2016-SP-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-SP-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-SP-02.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-SP-02.md,3305200,f4d41af4313c62c053070856494f81d20896dbf72d07eddfc627b0bbc396c7c6,53,79869,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2016-SP-03,CRDS-FY2016-SP-03,2017-03-01,W1,我が国における拠点形成事業の最適展開に向けて　−組織の持続的な強みの形成とイノベーションの実現のために−,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-SP-03.html,https://www.jst.go.jp/crds/pdf/2016/SP/CRDS-FY2016-SP-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-SP-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-SP-03.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-SP-03.md,6992880,5e6af3644a5315d963de7c3828f5ef0bc481a934d233719417c605918a38d75b,63,69712,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2016-SP-04,CRDS-FY2016-SP-04,2017-03-01,W1,未来エネルギーネットワークの基盤技術とエネルギー需要科学　−2050年超の一般家庭でのエネルギー需給構造変化に向けて−,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2016-SP-04.html,https://www.jst.go.jp/crds/pdf/2016/SP/CRDS-FY2016-SP-04.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2016-SP-04.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2016-SP-04.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2016-SP-04.md,2921611,373d88111a417b2288a312447a63cb9eab8a9157425e2dcd3941eda4d99b6d7c,45,20842,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2017-FR-01,CRDS-FY2017-FR-01,2018-03-01,W1,主要国の研究開発戦略（2018年）,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较；中国科技政策与能力比较,https://www.jst.go.jp/crds/report/CRDS-FY2017-FR-01.html,https://www.jst.go.jp/crds/pdf/2017/FR/CRDS-FY2017-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2017-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2017-FR-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2017-FR-01.md,18961910,fd0971e443e73ca580721de2d703d98c28f8c865f1df06157f48550b0b27dff7,226,465445,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2017-RR-01,CRDS-FY2017-RR-01,2018-03-01,W1,医療研究開発プラットフォーム　—大学病院における研究システムの海外事例比較—,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2017-RR-01.html,https://www.jst.go.jp/crds/pdf/2017/RR/CRDS-FY2017-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2017-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2017-RR-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2017-RR-01.md,7264483,fd670fd630fb39114ad8f193e038ebb7d48a23003f6018d07f68f38bb789155b,81,92967,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2017-RR-02,CRDS-FY2017-RR-02,2018-03-01,W1,調査検討報告書 ４次元生体組織リモデリング：“組織・臓器”の“適応・修復”のサイエンスと健康・医療技術シーズの創出～組織・臓器の宇宙を覗く～,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2017-RR-02.html,https://www.jst.go.jp/crds/pdf/2017/RR/CRDS-FY2017-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2017-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2017-RR-02.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2017-RR-02.md,13905141,5e60a6acc7d95f2faf05f7bc113b5cb9577165660fc1610b5d2b31dac9b8650c,124,130072,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2017-RR-03,CRDS-FY2017-RR-03,2018-03-01,W1,「科学技術イノベーション政策の科学」のコアコンテンツ作成に向けた国内外教育研究プログラム調査,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2017-RR-03.html,https://www.jst.go.jp/crds/pdf/2017/RR/CRDS-FY2017-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2017-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2017-RR-03.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2017-RR-03.md,11656637,5f96eb9ffbec1279ccac43e7733f93052209e30de2275a14f030e2d72a7fcf17,80,62303,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2017-SP-01,CRDS-FY2017-SP-01,2018-03-01,W1,革新的デジタルツイン　～ものづくりの未来を担う複合現象モデリングとその先進設計・製造基盤技術確立～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2017-SP-01.html,https://www.jst.go.jp/crds/pdf/2017/SP/CRDS-FY2017-SP-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2017-SP-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2017-SP-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2017-SP-01.md,7198569,0a6a3ff2c79d7aaa30916dfee9dad358bb688173edaea59debca2af205e13ffc,59,30408,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2017-SP-02,CRDS-FY2017-SP-02,2018-03-01,W1,革新的コンピューティング　～計算ドメイン志向による基盤技術の創出～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2017-SP-02.html,https://www.jst.go.jp/crds/pdf/2017/SP/CRDS-FY2017-SP-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2017-SP-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2017-SP-02.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2017-SP-02.md,3847444,b242f82f27868981d282faeb6b1740457359048b8cd810b190e1225761ddf182,58,91505,官方PDF已保存并校验,,2026-08-22
