报告ID,机构ID,发布日期,报告名称,报告类型,中国关联,官方链接,证据增量等级,主要增量机制,复核结论,全文状态,复核理由,复核日期
C-OECD-DOI-D7917B11-EN,oecd-sti,2023-06-13,The contribution of R&D specialist institutions to R&D performance,"OECD Science, Technology and Industry Working Papers",比较参照,https://www.oecd.org/en/publications/the-contribution-of-r-d-specialist-institutions-to-r-d-performance_d7917b11-en.html,高,专业研发机构,第八批精选全文,本地资产已保存,提供专业研发机构的部门归类、资金来源及其对国家研发绩效的贡献测量,2026-08-22
C-OECD-DOI-BA2AAF7B-EN,oecd-sti,2024-04-24,"OECD Agenda for Transformative Science, Technology and Innovation Policies","OECD Science, Technology and Industry Policy Papers",比较参照,https://www.oecd-ilibrary.org/science-and-technology/oecd-agenda-for-transformative-science-technology-and-innovation-policies_ba2aaf7b-en,高,变革型科技创新政策,第八批精选全文,本地资产已保存,形成变革型STI政策议程、政策能力与工具组合的系统参照,2026-08-22
C-OECD-DOI-1EE956A5-EN,oecd-sti,2025-03-13,Proactive portfolio management in mission-oriented innovation policy,"OECD Science, Technology and Industry Policy Papers",比较参照,https://www.oecd.org/en/publications/proactive-portfolio-management-in-mission-oriented-innovation-policy_1ee956a5-en.html,高,任务导向创新组合管理,第八批精选全文,本地资产已保存,补足任务导向创新政策的主动组合管理、项目调整与学习机制,2026-08-22
C-OECD-DOI-D725304C-EN,oecd-sti,2025-03-03,Challenges and opportunities of mission-oriented innovation policy in Korea,"OECD Science, Technology and Industry Policy Papers",东亚参照,https://www.oecd.org/en/publications/challenges-and-opportunities-of-mission-oriented-innovation-policy-in-korea_d725304c-en.html,高,韩国任务导向创新,第八批精选全文,本地资产已保存,提供东亚科技体系中任务导向政策设计与实施的可比案例,2026-08-22
C-OECD-DOI-5E55E7AB-EN,oecd-sti,2025-12-08,An overview of national strategies and policies for quantum technologies,OECD Digital Economy Papers,含中国比较,https://www.oecd.org/en/publications/an-overview-of-national-strategies-and-policies-for-quantum-technologies_5e55e7ab-en.html,高,量子技术国家战略,第八批精选全文,本地资产已保存,比较各国量子技术战略、研发支持、基础设施、人才和产业化安排,2026-08-22
S-CSIS-2020-01,csis,2020-09-01,"From Industrial Policy to Innovation Strategy: Lessons from Japan, Europe, and the United States",正式报告,中国竞争语境,https://www.csis.org/analysis/industrial-policy-innovation-strategy-lessons-japan-europe-and-united-states,高,产业政策向创新战略转化,第八批精选全文,本地资产已保存,提炼政府支持关键技术创新的历史经验和政策设计原则，并明确中国崛起语境,2026-08-22
C-CSET-20366,cset,2024-11-20,AI Safety and Automation Bias,CSET正式报告轻量目录,目录语境,https://cset.georgetown.edu/publication/ai-safety-and-automation-bias/,中或低,目录层关注方向,保留轻量目录,不下载,AI安全、治理、标准、风险或事故报告材料保持目录级覆盖，当前不增加科技创新机制全文,2026-08-22
C-CSET-19631,cset,2024-10-01,Securing Critical Infrastructure in the Age of AI,CSET正式报告轻量目录,目录语境,https://cset.georgetown.edu/publication/securing-critical-infrastructure-in-the-age-of-ai/,中或低,目录层关注方向,保留轻量目录,不下载,AI安全、治理、标准、风险或事故报告材料保持目录级覆盖，当前不增加科技创新机制全文,2026-08-22
C-CSET-18992,cset,2024-07-09,Enabling Principles for AI Governance,CSET正式报告轻量目录,目录语境,https://cset.georgetown.edu/publication/enabling-principles-for-ai-governance/,中或低,目录层关注方向,保留轻量目录,不下载,AI安全、治理、标准、风险或事故报告材料保持目录级覆盖，当前不增加科技创新机制全文,2026-08-22
C-CSET-18518,cset,2024-06-13,Key Concepts in AI Safety: Reliable Uncertainty Quantification in Machine Learning,CSET正式报告轻量目录,目录语境,https://cset.georgetown.edu/publication/key-concepts-in-ai-safety-reliable-uncertainty-quantification-in-machine-learning/,中或低,目录层关注方向,保留轻量目录,不下载,AI安全、治理、标准、风险或事故报告材料保持目录级覆盖，当前不增加科技创新机制全文,2026-08-22
C-CSET-18636,cset,2024-05-15,Putting Teeth into AI Risk Management,CSET正式报告轻量目录,目录语境,https://cset.georgetown.edu/publication/putting-teeth-into-ai-risk-management/,中或低,目录层关注方向,保留轻量目录,不下载,AI安全、治理、标准、风险或事故报告材料保持目录级覆盖，当前不增加科技创新机制全文,2026-08-22
C-CSET-17919,cset,2024-03-19,An Argument for Hybrid AI Incident Reporting,CSET正式报告轻量目录,目录语境,https://cset.georgetown.edu/publication/an-argument-for-hybrid-ai-incident-reporting/,中或低,目录层关注方向,保留轻量目录,不下载,AI安全、治理、标准、风险或事故报告材料保持目录级覆盖，当前不增加科技创新机制全文,2026-08-22
C-CSET-16648,cset,2023-11-30,Repurposing the Wheel: Lessons for AI Standards,CSET正式报告轻量目录,目录语境,https://cset.georgetown.edu/publication/repurposing-the-wheel/,中或低,目录层关注方向,保留轻量目录,不下载,AI安全、治理、标准、风险或事故报告材料保持目录级覆盖，当前不增加科技创新机制全文,2026-08-22
C-CSET-14591,cset,2023-07-26,Adding Structure to AI Harm,CSET正式报告轻量目录,目录语境,https://cset.georgetown.edu/publication/adding-structure-to-ai-harm/,中或低,目录层关注方向,保留轻量目录,不下载,AI安全、治理、标准、风险或事故报告材料保持目录级覆盖，当前不增加科技创新机制全文,2026-08-22
C-OECD-DOI-4154CDBF-EN,oecd-sti,2025-06-24,Mapping the semiconductor value chain,"OECD Science, Technology and Industry Policy Papers",目录语境,https://www.oecd.org/en/publications/mapping-the-semiconductor-value-chain_4154cdbf-en.html,中或低,目录层关注方向,保留轻量目录,不下载,半导体价值链材料与既有产业链证据重叠，继续保留目录供定点调用,2026-08-22
C-OECD-DOI-0254AE07-EN,oecd-sti,2026-03-02,The OECD Going Digital Integrated Policy Framework 2026,OECD Digital Economy Papers,目录语境,https://www.oecd.org/en/publications/the-oecd-going-digital-integrated-policy-framework-2026_0254ae07-en.html,中或低,目录层关注方向,保留轻量目录,不下载,综合数字政策框架范围过宽，对科学与技术创新机制的独立增量有限,2026-08-22
C-FRAUNHOFER-ISI-DP-86,fraunhofer-isi,2024-01-01,Redefining Criticality in a Changing World Combining Domestic and Global Perspectives on Enabling Technologies,Fraunhofer ISI Innovation Systems and Policy Analysis Discussion Paper,目录语境,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_86_2024.pdf,中或低,目录层关注方向,保留轻量目录,不下载,关键性与供应链语境较强，暂不以安全标签触发全文,2026-08-22
C-US-OSTP-2025-OSTP-GUIDANCE-FOR-GSS-JUNE-2025,us-ostp,2025-06-23,Agency Guidance for Implementing Gold Standard Science in the Conduct & Management of Scientific Activities,OSTP/NSTC科学技术创新政策文件,目录语境,https://www.whitehouse.gov/wp-content/uploads/2025/03/OSTP-Guidance-for-GSS-June-2025.pdf,中或低,目录层关注方向,保留轻量目录,不下载,研究规范争议与当前科技创新主轴的增量尚需进一步核验,2026-08-22
