主题标签,科技关联层级,观察窗,韩文报告类型,本地状态,材料数
产业创新、创业与区域体系,科技创新政策与能力基线,W2,기타연구,官方PDF已保存并校验,17
产业创新、创业与区域体系,科技创新政策与能力基线,W2,기타연구,官方目录无PDF,1
产业创新、创业与区域体系,科技创新政策与能力基线,W2,정책연구,官方PDF已保存并校验,70
产业创新、创业与区域体系,科技创新政策与能力基线,W2,정책연구,官方目录无PDF,4
产业创新、创业与区域体系,科技创新政策与能力基线,W2,정책자료,官方PDF已保存并校验,6
产业创新、创业与区域体系,科技创新政策与能力基线,W2,정책자료,官方目录无PDF,1
产业创新、创业与区域体系,科技创新政策与能力基线,W2,조사연구,官方PDF已保存并校验,8
产业创新、创业与区域体系,科技创新政策与能力基线,W2,조사연구,官方目录无PDF,5
产业创新、创业与区域体系,科技创新政策与能力基线,W3,기타연구,官方PDF已保存并校验,28
产业创新、创业与区域体系,科技创新政策与能力基线,W3,정책연구,官方PDF已保存并校验,77
产业创新、创业与区域体系,科技创新政策与能力基线,W3,정책자료,官方PDF已保存并校验,18
产业创新、创业与区域体系,科技创新政策与能力基线,W3,조사연구,官方PDF已保存并校验,35
人工智能、数据与数字技术,核心科技直接材料,W1,기타연구,官方PDF已保存并校验,3
人工智能、数据与数字技术,核心科技直接材料,W1,정책연구,官方PDF已保存并校验,6
人工智能、数据与数字技术,核心科技直接材料,W1,조사연구,官方PDF已保存并校验,2
人工智能、数据与数字技术,核心科技直接材料,W2,기타연구,官方PDF已保存并校验,3
人工智能、数据与数字技术,核心科技直接材料,W2,정책연구,官方PDF已保存并校验,13
人工智能、数据与数字技术,核心科技直接材料,W2,정책연구,官方目录无PDF,2
人工智能、数据与数字技术,核心科技直接材料,W2,조사연구,官方PDF已保存并校验,1
人工智能、数据与数字技术,核心科技直接材料,W3,기타연구,官方PDF已保存并校验,1
人工智能、数据与数字技术,核心科技直接材料,W3,정책연구,官方PDF已保存并校验,19
人工智能、数据与数字技术,核心科技直接材料,W3,정책자료,官方PDF已保存并校验,3
人工智能、数据与数字技术,核心科技直接材料,W3,조사연구,官方PDF已保存并校验,1
人工智能、数据与数字技术,科技创新政策与能力基线,W1,기타연구,官方PDF已保存并校验,3
人工智能、数据与数字技术,科技创新政策与能力基线,W1,정책연구,官方PDF已保存并校验,34
人工智能、数据与数字技术,科技创新政策与能力基线,W1,정책자료,官方PDF已保存并校验,5
人工智能、数据与数字技术,科技创新政策与能力基线,W1,조사연구,官方PDF已保存并校验,11
人工智能、数据与数字技术,科技创新政策与能力基线,W2,기타연구,官方PDF已保存并校验,12
人工智能、数据与数字技术,科技创新政策与能力基线,W2,정책연구,官方PDF已保存并校验,45
人工智能、数据与数字技术,科技创新政策与能力基线,W2,정책자료,官方PDF已保存并校验,5
人工智能、数据与数字技术,科技创新政策与能力基线,W2,조사연구,官方PDF已保存并校验,3
人工智能、数据与数字技术,科技创新政策与能力基线,W3,기타연구,官方PDF已保存并校验,19
人工智能、数据与数字技术,科技创新政策与能力基线,W3,정책연구,官方PDF已保存并校验,33
人工智能、数据与数字技术,科技创新政策与能力基线,W3,정책자료,官方PDF已保存并校验,9
人工智能、数据与数字技术,科技创新政策与能力基线,W3,조사연구,官方PDF已保存并校验,27
半导体、量子与战略技术,核心科技直接材料,W1,정책연구,官方PDF已保存并校验,3
半导体、量子与战略技术,核心科技直接材料,W1,조사연구,官方PDF已保存并校验,1
半导体、量子与战略技术,核心科技直接材料,W1,조사연구,官方目录无PDF,2
半导体、量子与战略技术,核心科技直接材料,W2,기타연구,官方PDF已保存并校验,1
半导体、量子与战略技术,核心科技直接材料,W2,정책연구,官方PDF已保存并校验,3
半导体、量子与战略技术,核心科技直接材料,W2,정책연구,官方目录无PDF,2
半导体、量子与战略技术,核心科技直接材料,W2,조사연구,官方目录无PDF,1
半导体、量子与战略技术,核心科技直接材料,W3,정책연구,官方PDF已保存并校验,8
半导体、量子与战略技术,核心科技直接材料,W3,정책자료,官方PDF已保存并校验,3
半导体、量子与战略技术,核心科技直接材料,W3,조사연구,官方PDF已保存并校验,1
半导体、量子与战略技术,科技创新政策与能力基线,W1,기타연구,官方PDF已保存并校验,1
半导体、量子与战略技术,科技创新政策与能力基线,W1,정책연구,官方PDF已保存并校验,7
半导体、量子与战略技术,科技创新政策与能力基线,W1,조사연구,官方PDF已保存并校验,1
半导体、量子与战略技术,科技创新政策与能力基线,W2,기타연구,官方PDF已保存并校验,3
半导体、量子与战略技术,科技创新政策与能力基线,W2,정책연구,官方PDF已保存并校验,8
半导体、量子与战略技术,科技创新政策与能力基线,W2,정책자료,官方PDF已保存并校验,1
半导体、量子与战略技术,科技创新政策与能力基线,W2,조사연구,官方PDF已保存并校验,1
半导体、量子与战略技术,科技创新政策与能力基线,W3,기타연구,官方PDF已保存并校验,14
半导体、量子与战略技术,科技创新政策与能力基线,W3,정책연구,官方PDF已保存并校验,14
半导体、量子与战略技术,科技创新政策与能力基线,W3,정책자료,官方PDF已保存并校验,8
半导体、量子与战略技术,科技创新政策与能力基线,W3,조사연구,官方PDF已保存并校验,7
技术安全、供应链与国际合作,核心科技直接材料,W1,기타연구,官方PDF已保存并校验,1
技术安全、供应链与国际合作,核心科技直接材料,W2,기타연구,官方PDF已保存并校验,2
技术安全、供应链与国际合作,核心科技直接材料,W2,정책연구,官方PDF已保存并校验,3
技术安全、供应链与国际合作,核心科技直接材料,W3,정책연구,官方PDF已保存并校验,10
技术安全、供应链与国际合作,核心科技直接材料,W3,정책자료,官方PDF已保存并校验,3
技术安全、供应链与国际合作,核心科技直接材料,W3,조사연구,官方PDF已保存并校验,1
技术安全、供应链与国际合作,科技创新政策与能力基线,W1,정책연구,官方PDF已保存并校验,5
技术安全、供应链与国际合作,科技创新政策与能力基线,W1,정책자료,官方PDF已保存并校验,7
技术安全、供应链与国际合作,科技创新政策与能力基线,W1,조사연구,官方PDF已保存并校验,1
技术安全、供应链与国际合作,科技创新政策与能力基线,W2,기타연구,官方PDF已保存并校验,4
技术安全、供应链与国际合作,科技创新政策与能力基线,W2,정책연구,官方PDF已保存并校验,19
技术安全、供应链与国际合作,科技创新政策与能力基线,W2,정책연구,官方目录无PDF,1
技术安全、供应链与国际合作,科技创新政策与能力基线,W2,정책자료,官方PDF已保存并校验,2
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,기타연구,官方PDF已保存并校验,7
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,정책연구,官方PDF已保存并校验,18
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,정책자료,官方PDF已保存并校验,6
技术安全、供应链与国际合作,科技创新政策与能力基线,W3,조사연구,官方PDF已保存并校验,6
生命科学、生物技术与健康,核心科技直接材料,W1,기타연구,官方PDF已保存并校验,2
生命科学、生物技术与健康,核心科技直接材料,W1,정책연구,官方PDF已保存并校验,4
生命科学、生物技术与健康,核心科技直接材料,W1,정책연구,官方目录无PDF,2
生命科学、生物技术与健康,核心科技直接材料,W2,기타연구,官方PDF已保存并校验,2
生命科学、生物技术与健康,核心科技直接材料,W2,정책연구,官方PDF已保存并校验,4
生命科学、生物技术与健康,核心科技直接材料,W2,정책연구,官方目录无PDF,1
生命科学、生物技术与健康,核心科技直接材料,W3,정책연구,官方PDF已保存并校验,6
生命科学、生物技术与健康,核心科技直接材料,W3,정책자료,官方PDF已保存并校验,2
生命科学、生物技术与健康,科技创新政策与能力基线,W1,기타연구,官方PDF已保存并校验,2
生命科学、生物技术与健康,科技创新政策与能力基线,W1,정책연구,官方PDF已保存并校验,18
生命科学、生物技术与健康,科技创新政策与能力基线,W1,정책자료,官方PDF已保存并校验,1
生命科学、生物技术与健康,科技创新政策与能力基线,W1,조사연구,官方PDF已保存并校验,5
生命科学、生物技术与健康,科技创新政策与能力基线,W2,기타연구,官方PDF已保存并校验,4
生命科学、生物技术与健康,科技创新政策与能力基线,W2,정책연구,官方PDF已保存并校验,22
生命科学、生物技术与健康,科技创新政策与能力基线,W2,정책자료,官方PDF已保存并校验,2
生命科学、生物技术与健康,科技创新政策与能力基线,W3,기타연구,官方PDF已保存并校验,15
生命科学、生物技术与健康,科技创新政策与能力基线,W3,정책연구,官方PDF已保存并校验,10
生命科学、生物技术与健康,科技创新政策与能力基线,W3,정책자료,官方PDF已保存并校验,6
生命科学、生物技术与健康,科技创新政策与能力基线,W3,조사연구,官方PDF已保存并校验,5
科技人才、大学与知识流动,核心科技直接材料,W1,기타연구,官方PDF已保存并校验,3
科技人才、大学与知识流动,核心科技直接材料,W1,정책연구,官方PDF已保存并校验,5
科技人才、大学与知识流动,核心科技直接材料,W1,조사연구,官方PDF已保存并校验,2
科技人才、大学与知识流动,核心科技直接材料,W2,기타연구,官方PDF已保存并校验,3
科技人才、大学与知识流动,核心科技直接材料,W2,정책연구,官方PDF已保存并校验,12
科技人才、大学与知识流动,核心科技直接材料,W2,조사연구,官方PDF已保存并校验,1
科技人才、大学与知识流动,核心科技直接材料,W3,정책연구,官方PDF已保存并校验,10
科技人才、大学与知识流动,核心科技直接材料,W3,정책자료,官方PDF已保存并校验,3
科技人才、大学与知识流动,核心科技直接材料,W3,조사연구,官方PDF已保存并校验,2
科技人才、大学与知识流动,科技创新政策与能力基线,W1,기타연구,官方PDF已保存并校验,8
科技人才、大学与知识流动,科技创新政策与能力基线,W1,정책연구,官方PDF已保存并校验,57
科技人才、大学与知识流动,科技创新政策与能力基线,W1,정책연구,官方目录无PDF,1
科技人才、大学与知识流动,科技创新政策与能力基线,W1,정책자료,官方PDF已保存并校验,11
科技人才、大学与知识流动,科技创新政策与能力基线,W1,조사연구,官方PDF已保存并校验,21
科技人才、大学与知识流动,科技创新政策与能力基线,W2,기타연구,官方PDF已保存并校验,15
科技人才、大学与知识流动,科技创新政策与能力基线,W2,정책연구,官方PDF已保存并校验,59
科技人才、大学与知识流动,科技创新政策与能力基线,W2,정책자료,官方PDF已保存并校验,6
科技人才、大学与知识流动,科技创新政策与能力基线,W2,조사연구,官方PDF已保存并校验,8
科技人才、大学与知识流动,科技创新政策与能力基线,W3,기타연구,官方PDF已保存并校验,24
科技人才、大学与知识流动,科技创新政策与能力基线,W3,정책연구,官方PDF已保存并校验,62
科技人才、大学与知识流动,科技创新政策与能力基线,W3,정책자료,官方PDF已保存并校验,16
科技人才、大学与知识流动,科技创新政策与能力基线,W3,조사연구,官方PDF已保存并校验,29
科技创新政策与研究体系,科技创新政策与能力基线,W1,기타연구,官方目录无PDF,1
科技创新政策与研究体系,科技创新政策与能力基线,W1,정책연구,官方目录无PDF,2
科技创新政策与研究体系,科技创新政策与能力基线,W1,정책자료,官方PDF已保存并校验,1
科技创新政策与研究体系,科技创新政策与能力基线,W1,조사연구,官方目录无PDF,1
科技创新政策与研究体系,科技创新政策与能力基线,W2,기타연구,官方目录无PDF,1
科技创新政策与研究体系,科技创新政策与能力基线,W2,정책연구,官方PDF已保存并校验,1
科技创新政策与研究体系,科技创新政策与能力基线,W2,정책연구,官方目录无PDF,4
科技创新政策与研究体系,科技创新政策与能力基线,W2,조사연구,官方PDF已保存并校验,3
科技创新政策与研究体系,科技创新政策与能力基线,W2,조사연구,官方目录无PDF,2
科技创新政策与研究体系,科技创新政策与能力基线,W3,정책연구,官方PDF已保存并校验,3
科技创新政策与研究体系,科技创新政策与能力基线,W3,정책연구,官方目录无PDF,1
科技前瞻与未来社会,核心科技直接材料,W1,기타연구,官方PDF已保存并校验,3
科技前瞻与未来社会,核心科技直接材料,W1,정책연구,官方PDF已保存并校验,5
科技前瞻与未来社会,核心科技直接材料,W1,조사연구,官方PDF已保存并校验,1
科技前瞻与未来社会,核心科技直接材料,W2,기타연구,官方PDF已保存并校验,1
科技前瞻与未来社会,核心科技直接材料,W2,정책연구,官方PDF已保存并校验,12
科技前瞻与未来社会,核心科技直接材料,W3,정책연구,官方PDF已保存并校验,17
科技前瞻与未来社会,核心科技直接材料,W3,정책자료,官方PDF已保存并校验,4
科技前瞻与未来社会,核心科技直接材料,W3,조사연구,官方PDF已保存并校验,1
科技前瞻与未来社会,科技创新政策与能力基线,W1,기타연구,官方PDF已保存并校验,6
科技前瞻与未来社会,科技创新政策与能力基线,W1,정책연구,官方PDF已保存并校验,48
科技前瞻与未来社会,科技创新政策与能力基线,W1,정책자료,官方PDF已保存并校验,10
科技前瞻与未来社会,科技创新政策与能力基线,W1,조사연구,官方PDF已保存并校验,19
科技前瞻与未来社会,科技创新政策与能力基线,W1,조사연구,官方目录无PDF,1
科技前瞻与未来社会,科技创新政策与能力基线,W2,기타연구,官方PDF已保存并校验,7
科技前瞻与未来社会,科技创新政策与能力基线,W2,정책연구,官方PDF已保存并校验,60
科技前瞻与未来社会,科技创新政策与能力基线,W2,정책자료,官方PDF已保存并校验,6
科技前瞻与未来社会,科技创新政策与能力基线,W2,조사연구,官方PDF已保存并校验,9
科技前瞻与未来社会,科技创新政策与能力基线,W2,조사연구,官方目录无PDF,1
科技前瞻与未来社会,科技创新政策与能力基线,W3,기타연구,官方PDF已保存并校验,18
科技前瞻与未来社会,科技创新政策与能力基线,W3,정책연구,官方PDF已保存并校验,67
科技前瞻与未来社会,科技创新政策与能力基线,W3,정책자료,官方PDF已保存并校验,12
科技前瞻与未来社会,科技创新政策与能力基线,W3,조사연구,官方PDF已保存并校验,26
科研体系、研发投入与评价,核心科技直接材料,W1,기타연구,官方PDF已保存并校验,3
科研体系、研发投入与评价,核心科技直接材料,W1,정책연구,官方PDF已保存并校验,7
科研体系、研发投入与评价,核心科技直接材料,W1,정책연구,官方目录无PDF,2
科研体系、研发投入与评价,核心科技直接材料,W1,조사연구,官方PDF已保存并校验,2
科研体系、研发投入与评价,核心科技直接材料,W2,기타연구,官方PDF已保存并校验,3
科研体系、研发投入与评价,核心科技直接材料,W2,정책연구,官方PDF已保存并校验,15
科研体系、研发投入与评价,核心科技直接材料,W2,조사연구,官方PDF已保存并校验,1
科研体系、研发投入与评价,核心科技直接材料,W3,정책연구,官方PDF已保存并校验,21
科研体系、研发投入与评价,核心科技直接材料,W3,정책자료,官方PDF已保存并校验,4
科研体系、研发投入与评价,核心科技直接材料,W3,조사연구,官方PDF已保存并校验,2
科研体系、研发投入与评价,科技创新政策与能力基线,W1,기타연구,官方PDF已保存并校验,10
科研体系、研发投入与评价,科技创新政策与能力基线,W1,정책연구,官方PDF已保存并校验,60
科研体系、研发投入与评价,科技创新政策与能力基线,W1,정책연구,官方目录无PDF,1
科研体系、研发投入与评价,科技创新政策与能力基线,W1,정책자료,官方PDF已保存并校验,12
科研体系、研发投入与评价,科技创新政策与能力基线,W1,조사연구,官方PDF已保存并校验,23
科研体系、研发投入与评价,科技创新政策与能力基线,W1,조사연구,官方目录无PDF,3
科研体系、研发投入与评价,科技创新政策与能力基线,W2,기타연구,官方PDF已保存并校验,16
科研体系、研发投入与评价,科技创新政策与能力基线,W2,정책연구,官方PDF已保存并校验,75
科研体系、研发投入与评价,科技创新政策与能力基线,W2,정책연구,官方目录无PDF,1
科研体系、研发投入与评价,科技创新政策与能力基线,W2,정책자료,官方PDF已保存并校验,6
科研体系、研发投入与评价,科技创新政策与能力基线,W2,조사연구,官方PDF已保存并校验,20
科研体系、研发投入与评价,科技创新政策与能力基线,W2,조사연구,官方目录无PDF,3
科研体系、研发投入与评价,科技创新政策与能力基线,W3,기타연구,官方PDF已保存并校验,27
科研体系、研发投入与评价,科技创新政策与能力基线,W3,정책연구,官方PDF已保存并校验,94
科研体系、研发投入与评价,科技创新政策与能力基线,W3,정책자료,官方PDF已保存并校验,20
科研体系、研发投入与评价,科技创新政策与能力基线,W3,조사연구,官方PDF已保存并校验,38
能源、气候与绿色转型,核心科技直接材料,W1,기타연구,官方PDF已保存并校验,1
能源、气候与绿色转型,核心科技直接材料,W1,조사연구,官方PDF已保存并校验,1
能源、气候与绿色转型,核心科技直接材料,W2,기타연구,官方PDF已保存并校验,1
能源、气候与绿色转型,核心科技直接材料,W2,정책연구,官方PDF已保存并校验,2
能源、气候与绿色转型,核心科技直接材料,W3,정책연구,官方PDF已保存并校验,6
能源、气候与绿色转型,核心科技直接材料,W3,정책자료,官方PDF已保存并校验,1
能源、气候与绿色转型,核心科技直接材料,W3,조사연구,官方PDF已保存并校验,1
能源、气候与绿色转型,科技创新政策与能力基线,W1,기타연구,官方PDF已保存并校验,3
能源、气候与绿色转型,科技创新政策与能力基线,W1,정책연구,官方PDF已保存并校验,13
能源、气候与绿色转型,科技创新政策与能力基线,W1,정책자료,官方PDF已保存并校验,2
能源、气候与绿色转型,科技创新政策与能力基线,W1,조사연구,官方PDF已保存并校验,7
能源、气候与绿色转型,科技创新政策与能力基线,W2,기타연구,官方PDF已保存并校验,6
能源、气候与绿色转型,科技创新政策与能力基线,W2,정책연구,官方PDF已保存并校验,25
能源、气候与绿色转型,科技创新政策与能力基线,W2,정책연구,官方目录无PDF,1
能源、气候与绿色转型,科技创新政策与能力基线,W2,정책자료,官方PDF已保存并校验,3
能源、气候与绿色转型,科技创新政策与能力基线,W3,기타연구,官方PDF已保存并校验,12
能源、气候与绿色转型,科技创新政策与能力基线,W3,정책연구,官方PDF已保存并校验,26
能源、气候与绿色转型,科技创新政策与能力基线,W3,정책자료,官方PDF已保存并校验,4
能源、气候与绿色转型,科技创新政策与能力基线,W3,조사연구,官方PDF已保存并校验,12
