报告ID,发布日期,观察窗,报告名称,作者,资料角色,科技关联层级,主题标签,筛选依据,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
E-MERICS-2021-DECOUPLING,2021-01-14,W2,Decoupling - Severed Ties and Patchwork Globalisation,Mikko Huotari；Jacob Gunter；Carl Hayward；Max J. Zenglein；John Lee；Rebecca Arcesati；Caroline Meinhardt；Ester Cañada Amela；Tom Groot Haar,作者/项目正式研究,科技产业与经济安全基线,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/decoupling-severed-ties-and-patchwork-globalisation,https://merics.org/sites/default/files/2021-01/Decoupling_EN.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\E-MERICS-2021-DECOUPLING.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\E-MERICS-2021-DECOUPLING.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\E-MERICS-2021-DECOUPLING.md,4339868,cdfa4c4010d58ab187c9759950334abf67cd86cec21f6b1c024c7b825dba911e,101,368221,复用库内既有资产,,2026-08-22
C-MERICS-7CC8BEDA8C,2021-03-26,W2,China sets hopes on blockchain to close cyber security gaps,Kai von Carnap,作者/项目正式研究,核心科技直接材料,网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/china-sets-hopes-blockchain-close-cyber-security-gaps,https://merics.org/sites/default/files/2021-03/MERICS%20Primer%20Unchaining%20Blockchain%20in%20China%202021.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-7CC8BEDA8C.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-7CC8BEDA8C.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-7CC8BEDA8C.md,760190,ec9670b3c4ea31f9221e4f41ab927802442f7df555d0f1fc6b35fafcfe91dd23,10,18185,官方PDF已保存并校验,,2026-08-22
C-MERICS-90B299F015,2021-05-19,W2,China bets on open-source technologies to boost domestic innovation,Rebecca Arcesati；Caroline Meinhardt,作者/项目正式研究,核心科技直接材料,网络安全、数据与数字治理；先进制造、机器人与交通技术；创新体系、科研与技术人才,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/china-bets-open-source-technologies-boost-domestic-innovation,https://merics.org/sites/default/files/2021-05/MERICS%20Primer%20Open%20Source%202021_0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-90B299F015.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-90B299F015.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-90B299F015.md,519679,7537fa0304cedf3c2400f8e5e33f1cd7cc5a6f1ca696e2c5b24e9afa58e2bde0,11,22507,官方PDF已保存并校验,,2026-08-22
C-MERICS-C03FB77E81,2021-06-15,W2,"The CCP's next century: expanding economic control, digital governance and national security",Nis Grünberg；Katja Drinhausen；Mikko Huotari；John Lee；Helena Legarda,作者/项目正式研究,核心科技直接材料,网络安全、数据与数字治理,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/ccps-next-century-expanding-economic-control-digital-governance-and-national-security,https://merics.org/sites/default/files/2021-07/MERICSPapersOnChinaCCP100_3_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-C03FB77E81.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-C03FB77E81.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-C03FB77E81.md,2570092,58eb5519fa04043c66cca0784b2046eff010819a1a4f1f841b7902486b39cb79,78,182504,官方PDF已保存并校验,,2026-08-22
C-MERICS-D5CD59BF14,2021-06-24,W2,The Connection of Everything: China and the Internet of Things,John Lee,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/connection-everything-china-and-internet-things,https://merics.org/sites/default/files/2023-02/MericsChinaMonitor70InternetOfThings2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-D5CD59BF14.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-D5CD59BF14.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-D5CD59BF14.md,212992,02af375e1e9a7cf8e064e5da1ed4057ec46ac38d69e4ebbf02aeaac81093457f,16,58660,官方PDF已保存并校验,,2026-08-22
C-MERICS-8A53E25339,2021-06-24,W2,"Lofty principles, conflicting incentives: AI ethics and governance in China",Rebecca Arcesati,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/lofty-principles-conflicting-incentives-ai-ethics-and-governance-china,https://merics.org/sites/default/files/2023-02/MERICSChinaMonitor69AIEthics4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-8A53E25339.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-8A53E25339.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-8A53E25339.md,521570,b5dc1a66e21978dd878930fde0c6e70bb1285b8bb5d81b672e0e1bf2fcaf22c2,20,75023,官方PDF已保存并校验,,2026-08-22
C-MERICS-FEE5C5B124,2021-06-30,W2,Mapping China’s semiconductor ecosystem in global context: Strategic dimensions and conclusions,John Lee；Jan-Peter Kleinhans,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；先进制造、机器人与交通技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/mapping-chinas-semiconductor-ecosystem-global-context-strategic-dimensions-and-conclusions,https://merics.org/sites/default/files/2021-06/China%E2%80%99s%20Semiconductor%20Ecosystem_0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-FEE5C5B124.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-FEE5C5B124.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-FEE5C5B124.md,2111187,19ff3f06d0d8a4c74632b00699b316b7d71203a5400b055226806e32bdbfdbc4,91,245450,官方PDF已保存并校验,,2026-08-22
C-MERICS-F2BD67D38E,2021-09-01,W2,In the driver's seat: China's electric vehicle makers target Europe,Gregor Williams (Sebastian),作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/drivers-seat-chinas-electric-vehicle-makers-target-europe,https://merics.org/sites/default/files/2023-02/MericsChinaMonitorAutomotiveindustry%2071_final2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-F2BD67D38E.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-F2BD67D38E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-F2BD67D38E.md,1539206,81822e39bb91068c14a1d03ff9dab97aefa6f8e5a8d4891f2ab898e8a891c720,24,59712,官方PDF已保存并校验,,2026-08-22
C-MERICS-B7A2EF119B,2021-12-08,W2,China's rise in semiconductors and Europe: Recommendations for policy makers,John Lee；Jan-Peter Kleinhans,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/chinas-rise-semiconductors-and-europe-recommendations-policy-makers,https://merics.org/sites/default/files/2021-12/MERICS%20SNV%20China%27s%20rise%20in%20semiconductors%20and%20Europe.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-B7A2EF119B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-B7A2EF119B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-B7A2EF119B.md,369221,0e61b4aa7a124c687356460fbb60a4efebbba07d67f64aaed7b8047dee5cb942,33,81940,官方PDF已保存并校验,,2026-08-22
C-MERICS-4C1E37B922,2022-03-17,W3,E-government and Covid-19: Digital China goes global,Rebecca Arcesati,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/e-government-and-covid-19-digital-china-goes-global,https://merics.org/sites/default/files/2022-03/MERICS-Primer-Digital-Governance-2021_final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-4C1E37B922.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-4C1E37B922.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-4C1E37B922.md,1468773,e07f711d19e7c9b9967d713b7e9ddb3c255f0285eae6b89ba0c4c205ac39be38,11,23960,官方PDF已保存并校验,,2026-08-22
C-MERICS-69315FFB02,2022-06-08,W3,"China’s innovation ecosystem: Right for many, but not for all",Jeroen Groenewegen-Lau；Jacob Gunter,作者/项目正式研究,核心科技直接材料,网络安全、数据与数字治理；先进制造、机器人与交通技术；创新体系、科研与技术人才,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/chinas-innovation-ecosystem-right-many-not-all,https://merics.org/sites/default/files/2023-06/China%27s%20Innovation%20Ecosystem-Right%20for%20many%2C%20but%20not%20for%20all.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-69315FFB02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-69315FFB02.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-69315FFB02.md,1013375,2afb9442e514bc7ccf482b015b4ddcd2753f756444efa5a846e77fdb7d7e928a,29,68093,官方PDF已保存并校验,,2026-08-22
C-MERICS-A625417EFE,2022-06-28,W3,"China’s nascent green hydrogen sector: How policy, research and business are forging a new industry",Alexander Brown；Nis Grünberg,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/chinas-nascent-green-hydrogen-sector-how-policy-research-and-business-are-forging-new,https://merics.org/sites/default/files/2023-02/MERICS_China_Monitor_No_77_Green-Hydrogen_EN_final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-A625417EFE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-A625417EFE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-A625417EFE.md,2886247,b85e2dcbdf9345f85cad4773f45b36153b160e3663dc5dc741438ba31492129f,24,63815,官方PDF已保存并校验,,2026-08-22
C-MERICS-0DF61D12DE,2022-08-25,W3,Fasten your seatbelts: How to manage China’s economic coercion,Aya Adachi；Alexander Brown；Max J. Zenglein,作者/项目正式研究,科技产业与经济安全基线,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/fasten-your-seatbelts-how-manage-chinas-economic-coercion,https://merics.org/sites/default/files/2023-02/Merics_ChinaMonitor_EconomicCoercion_EN-4.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-0DF61D12DE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-0DF61D12DE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-0DF61D12DE.md,507092,b53d4d446c7b2b9974e33f867a763465a933cde476aa3a9b5bfb6f2dc324e669,17,46536,官方PDF已保存并校验,,2026-08-22
C-MERICS-488685D87B,2023-02-02,W3,Controlling the innovation chain,Jeroen Groenewegen-Lau；Michael Laha,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/controlling-innovation-chain,https://merics.org/sites/default/files/2023-11/merics-report-controlling-the-innovation-chain.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-488685D87B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-488685D87B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-488685D87B.md,2656919,4e62a8a761361ebc0b88d9b3fda44a42e491ca8483753860921db5011f07004f,22,65111,官方PDF已保存并校验,,2026-08-22
