主题标签,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,官方摘要,本地原始资产,本地文本,官方落地页
网络安全与数字治理,C-ATL-373955,2021-04-06,W2,议题简报,"The digital Yuan, digital Euro, and the Diem: Key issues for public debate",作者/项目政策简报,"As momentum grows for the development of CBDCs many policy questions remain unanswered. For insights into how CBDCs may develop, it will be important to watch where the current leaders, the People’s Bank of China (PBOC) and the European Central Bank (ECB), converge and diverge.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-373955.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-373955.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/the-digital-yuan-digital-euro-and-the-diem-key-issues-for-public-debate/
综合科技竞争,C-ATL-418681,2021-07-29,W2,议题简报,Xi Jinping’s politics in command economy,作者/项目政策简报,This issue brief examines the key role of Xi Jinping and the CCP in the development of a new strategy for state capitalism in modern China.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-418681.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-418681.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/issue-brief-xi-jinpings-politics-in-command-economy/
综合科技竞争,C-ATL-428120,2021-08-31,W2,议题简报,"Trusted connectivity: A framework for a free, open, and connected world",作者/项目政策简报,"As democracies address the global demand for a free, open, and connected world while ensuring that local and global emissions targets are met, they need an organizing framework: the concept of “trusted connectivity.”",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-428120.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-428120.txt,https://www.atlanticcouncil.org/in-depth-research-reports/trusted-connectivity-a-framework-for-a-free-open-and-connected-world/
网络安全与数字治理,C-ATL-444219,2021-10-14,W2,正式研究报告,Standardizing the future: How can the United States navigate the geopolitics of international technology standards?,作者/项目正式研究,"Standards for data and technology represent a key part of the world’s digital ecosystem, and as such, they can have significant implications for geopolitics. This report, published in partnership with the American Edge Project, endeavors to study the geopolitical dynamics surrounding technology standards setting to better inform related US policy.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-444219.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-444219.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/standardizing-the-future-how-can-the-united-states-navigate-the-geopolitics-of-international-technology-standards/
综合科技竞争,C-ATL-448323,2021-11-02,W2,正式研究报告,Deterring Chinese strategic attack: Grappling with the implications of China’s strategic forces buildup,作者/项目正式研究,"To counter the increasing threat from China’s assertive foreign policy and growing nuclear capabilities, Matthew Kroenig outlines a strategy for Washington and allies to reliably deter Chinese strategic attack.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-448323.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-448323.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/deterring-chinese-strategic-attack-grappling-with-the-implications-of-chinas-strategic-forces-buildup/
网络安全与数字治理,C-ATL-460660,2021-11-23,W2,议题简报,Competing data governance models threaten the free flow of information and hamper world trade,作者/项目政策简报,The EU framework is comprehensive and puts a strong emphasis on the protection of personal data both from the government and private companies. It also establishes that EU citizens’ data can be transferred only to countries with an adequate privacy protection regime (adequacy to be determined by the European Commission).,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-460660.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-460660.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/competing-data-governance-models-threaten-the-free-flow-of-information-and-hamper-world-trade/
综合科技竞争,C-ATL-465525,2021-12-08,W2,正式研究报告,Unpacking the geopolitics of technology,作者/项目正式研究,"In this paper, authors from the Atlantic Council and the Ministry for Foreign Affairs of Finland examine the transformation of technology and work in a broader social and political context, look at strategies that different regions of the world employ, and evaluate the transition’s geopolitical impact through alternative futures.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-465525.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-465525.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/unpacking-the-geopolitics-of-technology/
综合科技竞争,C-ATL-465922,2021-12-08,W2,正式研究报告,Europe in a bipolar tech world,作者/项目正式研究,"With no sign of Beijing backing down, the US administration lays out a strategy for restructuring NATO to be targeted on Russia and China, combining its allies from Asia and Europe into an enlarged, redefined alliance.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-465525.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-465525.txt,https://www.atlanticcouncil.org/blogs/geotech-cues/europe-in-a-bipolar-tech-world/
网络安全与数字治理,C-ATL-470291,2021-12-22,W2,议题简报,Beyond the peninsula: US-ROK cooperation on digital connectivity in the Indo-Pacific,作者/项目政策简报,This issue brief examines digital connectivity efforts through a snapshot of Indonesia and Vietnam to show how China’s neighbors in Asia are on different trajectories in response to US-China strategic competition.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-470291.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-470291.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/beyond-the-peninsula-us-rok-cooperation-on-digital-connectivity-in-the-indo-pacific/
网络安全与数字治理,C-ATL-479132,2022-01-25,W3,正式研究报告,Cybersecurity for innovative small and medium enterprises and academia,作者/项目正式研究,"Innovation is fundamental to United States global leadership, critical both for the economy and for national security. Yet the resilience of the US innovation ecosystem against adversary cyber espionage and attack—most specifically from China—has not received the attention required, particularly given the essential innovation roles played by small and medium-sized enterprises (SMEs) and by academia.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-479132.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-479132.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/cybersecurity-for-innovative-small-and-medium-enterprises-and-academia/
创新体系与产业政策,C-ATL-479132,2022-01-25,W3,正式研究报告,Cybersecurity for innovative small and medium enterprises and academia,作者/项目正式研究,"Innovation is fundamental to United States global leadership, critical both for the economy and for national security. Yet the resilience of the US innovation ecosystem against adversary cyber espionage and attack—most specifically from China—has not received the attention required, particularly given the essential innovation roles played by small and medium-sized enterprises (SMEs) and by academia.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-479132.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-479132.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/cybersecurity-for-innovative-small-and-medium-enterprises-and-academia/
人工智能、芯片与算力,C-ATL-508327,2022-04-01,W3,议题简报,"Foreign direct investment, infrastructure, and supply chain resiliency: A new nexus for US industrial strategy",作者/项目政策简报,"Introduction The United States’ aging infrastructure is currently unable to support the kind of economic growth and productivity it needs to successfully compete with other advanced and emerging economies. This includes the present state of nontraditional infrastructure, such as the semiconductor industry; and recent shortages have highlighted US dependency on foreign producers. Inbound FDI stock […]",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-508327.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-508327.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/foreign-direct-investment-infrastructure-and-supply-chain-resiliency-a-new-nexus-for-us-industrial-strategy/
技术供应链与出口管制,C-ATL-508327,2022-04-01,W3,议题简报,"Foreign direct investment, infrastructure, and supply chain resiliency: A new nexus for US industrial strategy",作者/项目政策简报,"Introduction The United States’ aging infrastructure is currently unable to support the kind of economic growth and productivity it needs to successfully compete with other advanced and emerging economies. This includes the present state of nontraditional infrastructure, such as the semiconductor industry; and recent shortages have highlighted US dependency on foreign producers. Inbound FDI stock […]",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-508327.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-508327.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/foreign-direct-investment-infrastructure-and-supply-chain-resiliency-a-new-nexus-for-us-industrial-strategy/
创新体系与产业政策,C-ATL-514493,2022-04-19,W3,议题简报,Can China transform its economy to be innovation-led?,作者/项目政策简报,"The ability of the Chinese economy to transform itself will depends on three key areas: input mobilization, R&D, and output implementation.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-514493.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-514493.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/can-china-transform-its-economy-to-be-innovation-led/
综合科技竞争,C-ATL-513726,2022-04-20,W3,正式研究报告,China’s discourse power operations in the Global South,作者/项目正式研究,"An overview of China’s discourse power activities in the Global South, including the regions of Sub-Saharan Africa, Latin America, and the Middle East. It outlines the processes through which China leverages its diplomatic, media, and political positions in these regions to gain influence, and assesses the impacts of these activities for democratic resilience worldwide.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-513726.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-513726.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/chinas-discourse-power-operations-in-the-global-south/
国防、航天与无人系统,C-ATL-513154,2022-05-05,W3,正式研究报告,Small satellites: The implications for national security,作者/项目正式研究,Forward Defense nonresident senior fellow Nicholas Eftimiades considers how the US government can better leverage commercial satellites to enhance space security.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-513154.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-513154.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/small-satellites-the-implications-for-national-security/
人工智能、芯片与算力,C-ATL-527708,2022-05-25,W3,正式研究报告,Eye to eye in AI: Developing artificial intelligence for national security and defense,作者/项目正式研究,"As artificial intelligence transforms national security and defense, it is imperative for the Department of Defense, Congress, and the private sector to closely collaborate in order to advance major AI development priorities. However, key barriers remain. As China and Russia develop their own capabilities, the stakes of the military AI competition are high, and time is short.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-527708.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-527708.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/eye-to-eye-in-ai/
技术供应链与出口管制,C-ATL-531656,2022-06-01,W3,正式研究报告,A Democratic Trade Partnership: Ally shoring to counter coercion and secure supply chains,作者/项目正式研究,"A Democratic Trade and Economic Partnership could provide an integrated framework for leading democracies and other partners to selectively decouple from revisionist autocracies and foster free, fair, and secure trade.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-531656.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-531656.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/strategic-decoupling-building-a-democratic-trade-and-economic-partnership-d-tep/
创新体系与产业政策,C-ATL-532026,2022-06-13,W3,正式研究报告,Toward a Democratic Technology Alliance: An innovation edge that favors freedom,作者/项目正式研究,"A Democratic Technology Alliance would facilitate the development of common rules and norms in the technology space, consistent with democratic values, and ensure that the free world prevails in the race for advanced technologies.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-532026.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-532026.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/toward-a-democratic-technology-alliance-an-innovation-edge-that-favors-freedom/
综合科技竞争,C-ATL-539475,2022-06-28,W3,议题简报,Twenty-first-century diplomacy: Strengthening US diplomacy for the challenges of today and tomorrow,作者/项目政策简报,"The practice of diplomacy has changed over the past several decades, and significant work remains to be done to fully adapt US diplomacy to the challenges of our time.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-539475.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-539475.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/twenty-first-century-diplomacy-strengthening-us-diplomacy-for-the-challenges-of-today-and-tomorrow/
网络安全与数字治理,C-ATL-555866,2022-08-24,W3,深度研究报告,Chinese discourse power: Ambitions and reality in the digital domain,作者/项目正式研究,The CCP has embarked on a concerted strategy to gain control over the global digital and information environment. Its goal: create an alternative global order with China at its heart.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-555866.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-555866.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/chinese-discourse-power-ambitions-and-reality-in-the-digital-domain/
技术供应链与出口管制,C-ATL-564749,2022-09-13,W3,议题简报,Alternative battery chemistries and diversifying clean energy supply chains,作者/项目政策简报,"In an ecosystem of growth for batteries for grid storage and electric vehicle applications, alternatives to the lithium-ion battery chemistry may play an increasing role in alleviating supply chain woes and enabling deep decarbonization.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-564749.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-564749.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/alternative-battery-chemistries-and-diversifying-clean-energy-supply-chains/
网络安全与数字治理,C-ATL-546678,2022-09-14,W3,正式研究报告,Dragon tails: Preserving international cybersecurity research,作者/项目正式研究,"A quantitative study on whether legal context can impact the supply of vulnerability research with detrimental effects for cybersecurity writ large through the coordinated vulnerability disclosure process (CVD), using recent regulations in China as a case study.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-546678.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-546678.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/preserving-international-cybersecurity-research/
技术供应链与出口管制,C-ATL-569240,2022-09-27,W3,议题简报,"TTC, IPEF, and the road to an Indo-Pacific trade deal: A new model",作者/项目政策简报,"The Biden administration’s “trade policy for the middle class” is taking shape. Exemplified by the TTC and IPEF, its is “beyond-the-border” issues, such as regulatory alignment and standard setting, attempts to improve supply chain resilience, and efforts to promote high labor and environmental standards. However, to achieve its strategic goals, the administration should consider adding traditional market access components.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-569240.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-569240.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/ttc-ipef-and-the-road-to-an-indo-pacific-trade-deal-a-new-model/
综合科技竞争,C-ATL-576180,2022-10-18,W3,议题简报,An allied strategy for China after the 20th Party Congress,作者/项目政策简报,"Chinese president Xi Jinping secured a third term in power as general secretary, and China is likely to continue along a more assertive course in global affairs. The United States and its allies need an updated strategy to navigate this period of relations with China.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-576180.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-576180.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/an-allied-strategy-for-china-after-the-20th-party-congress/
综合科技竞争,C-ATL-589599,2022-11-28,W3,议题简报,How the Chinese government is financing its way to becoming a techno-superpower,作者/项目政策简报,"Beijing is committed to becoming a state-led and self-sufficient techno-superpower. In doing so, the Chinese government is consolidating its influence in both the domestic market and overseas markets where Chinese firms are active, while simultaneously mobilizing public, private, and public-private investment vehicles to support these tech ambitions.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-589599.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-589599.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/how-the-chinese-government-is-financing-its-way-to-becoming-a-techno-superpower/
综合科技竞争,C-ATL-603166,2023-01-20,W3,正式研究报告,China and the new globalization,作者/项目正式研究,"The unitary globalized economy no longer exists. Driven in significant part by security considerations, a new and more diverse globalization is both required and being built. The transition is ongoing, and its final form is yet to be determined.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-603166.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-603166.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/china-and-the-new-globalization/
人工智能、芯片与算力,C-ATL-614190,2023-02-23,W3,议题简报,United States–China semiconductor standoff: A supply chain under stress,作者/项目政策简报,What are the implications of US semiconductor policy for global semiconductor supply chains and the competition for primacy in an industry critical to the economy and global security?,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-614190.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-614190.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/united-states-china-semiconductor-standoff-a-supply-chain-under-stress/
技术供应链与出口管制,C-ATL-614190,2023-02-23,W3,议题简报,United States–China semiconductor standoff: A supply chain under stress,作者/项目政策简报,What are the implications of US semiconductor policy for global semiconductor supply chains and the competition for primacy in an industry critical to the economy and global security?,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-614190.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-614190.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/united-states-china-semiconductor-standoff-a-supply-chain-under-stress/
