报告ID,机构ID,机构名称,发布日期,日期精度,报告名称,官方文类,官方出版组,官方科学领域,作者,摘要,DOI,官方落地页,官方PDF入口,科技创新相关度,科技创新主轴,中国直接信号,全文策略,获取日期
C-EU-JRC-JRC104678,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Modelling corporate tax reform in the EU: New simulations with the CORTAX model - JRC Working Papers on Taxation and Structural Reforms No 8/2016,Report,Science for policy,Innovation and growth,ALVAREZ MARTINEZ Maria Teresa；BARRIOS Salvador；D'ANDRIA Diego；GESUALDO Maria；PONTIKAKIS Dimitrios；PYCROFT Jonathan,"This study investigates the economic impact of a recent proposal for a common corporate tax base (CCTB), European Commission (2016a), and a common consolidated corporate tax base with formula apportionment (CCCTB) within the EU, European Commission (2016b). On top of the common base, it considers proposals to reduce the debt bias in corporate taxation. To do so, we employ an applied general equilibrium model (CORTAX) covering all EU Member States, featuring different firm types and modelling many key features of corporate tax regimes, including multinational profit shifting, investment decisions, loss compensation and the debt-equity choice of firms. First, the economic impact of C(C)CTB is assessed, restricting the scope of the reforms to multinationals only. Macroeconomic results show that the common tax base simulations directly affect the cost of capital, which on average falls across the EU, boosting investment, and therefore driving the increase in GDP. Second, C(C)CTB is simulated together with proposals to reduce or eliminate the debt bias in corporate taxation, principally: the comprehensive business income tax (CBIT), the allowance for corporate equity (ACE) and the allowance for corporate capital (ACC). From a financing prospective, all proposals incentivise firms to rely less on debt-financing. From a macroeconomic perspective, the simulations which narrow the tax base by introducing addition deductions, i.e. ACE and ACC, raise GDP, despite the fact that the (ex-ante) CIT revenue is maintained by adjusting the CIT rate. The opposite is the case for the CBIT, which causes a fall in GDP. Third, a group of sensitivity simulations are presented to check for robustness. Among the insights from the sensitivity simulations, one notes that the inclusion of domestic firms in the CCCTB proposal somewhat increases the positive impact on GDP. A broader harmonised tax base results in lower welfare and GDP outcomes than a narrower harmonised tax base, because it more directly impacts the marginal investment decision. Reducing profit shifting slightly lowers investment, though on balance does not negatively impact welfare. The model results are robust to varying the capital-labour substitutability. In summary, the results of this economic modelling evaluation suggest that a fairer and more efficient tax system can be introduced whilst maintaining, and perhaps improving, GDP and welfare in the EU.",,https://publications.jrc.ec.europa.eu/repository/handle/JRC104678,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104678/JRC104678_01.pdf,核心,创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104692,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Evaluation of the 2012 EC interlaboratory comparison on gross alpha/beta activity concentration in drinking water,Report,Science for policy,Nuclear safety and security,JOBBAGY Viktor；MERESOVA Jana；ALTZITZOGLOU Timotheos；HULT Mikael；MALO Petya；WAETJEN Uwe,"An interlaboratory comparison was organized among 71 environmental radioactivity monitoring laboratories for the determination of gross alpha/beta activity concentration in drinking water. The performance of participating laboratories was evaluated with respect to the reference values using relative deviations. Sample preparation and measurement methods used by the participating laboratories are detailed, in particular in view of method-dependency of the results. Many of the participants’ results deviate by more than two orders of magnitude from the reference values. This clearly demonstrates gross methods as unreliable and inaccurate in its present form and suggests revising the written standards for gross methods and restricting their application under clearly defined rules. Repeating this interlaboratory comparison is considered.",10.2789/573272,https://publications.jrc.ec.europa.eu/repository/handle/JRC104692,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104692/science%20for%20policy%20report_evaluation%20of%20the%202012%20ec%20interlaboratory%20comparison%20on%20gross%20alphabeta%20activity%20concentration%20in%20drinking%20water.pdf,支撑,科学体系与科研能力；创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104706,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,"Scientific, Technical and Economic Committee for Fisheries (STECF) - 2016 Mediterranean assessments part 1 (STECF-16-22)",Report,Science for policy,Environment and climate change,,"Commission Decision of 25 February 2016 setting up a Scientific, Technical and Economic Committee for Fisheries, C(2016) 1084, OJ C 74, 26.2.2016, p. 4–10. The Commission may consult the group on any matter relating to marine and fisheries biology, fishing gear technology, fisheries economics, fisheries governance, ecosystem effects of fisheries, aquaculture or similar disciplines. The Expert Working Group meeting of the Scientific, Technical and Economic Committee for Fisheries EWG 16-13 was held from 26 Sep-30 Sep 2016 in Barza, Italy to assess the status of demersal and small pelagic stocks in the Mediterranean Sea against the proposed FMSY reference points.The report was reviewed by the STECF plenary in October 2016.",10.2788/69989,https://publications.jrc.ec.europa.eu/repository/handle/JRC104706,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104706/lb-ax-16-022-en-n.pdf,核心,科学体系与科研能力；关键与新兴技术,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104713,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Digital Reading in PISA 2012 and ICT Uses: How do VET and General Education Students Perform?,Report,Science for policy,Innovation and growth,DINIS MOTA DA COSTA Patricia；DE SOUSA LOBO BORGES DE ARAUJO Luisa,"The analyses presented in this report indicate that in several Member States (MS) 15 year-old students in vocational-oriented programmes (VET) perform better in digital reading than in print reading in PISA 2012. When differentiated by programme of study – VET versus general education programmes – VET students perform better in digital than in print reading in Belgium, France, Italy, Portugal and the Slovak Republic. Moreover, VET students display specific patterns of ICT-related practices. For example, they have more access to computers at school than at home and their engagement in frequent browsing of the internet for school work is associated with higher digital reading achievement. Results suggest that schools should help VET students develop further digital skills to support their learning.",10.2791/900596,https://publications.jrc.ec.europa.eu/repository/handle/JRC104713,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104713/jrc104713_ict_reportfinal_7_12_identifiers.pdf,核心,科技人才与技能,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104721,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Data Catalogue Knowledge Centre on Migration and Demography,Report,Technical reports,Information society,GAMMIERI Vincenzo；ALVAREZ ALVAREZ Marlene；BARBAS Thomas,"The Migration Data Catalogue is an inventory of migration relevant datasets made available by international organisations, European institutions, in including in particular the European Commission and EU agencies as well as several EU Member State administrations. This thematic catalogue classifies and organises the datasets in domains addressed by the European Agenda on Migration reflecting current Commission priorities, including topics like legal migration and integration, asylum and refugees, irregular migration and returns and unaccompanied minors. In addition to finding data for each of these predefined domains, the catalogue can be searched using keywords. For each dataset the catalogue gives key information e.g. on its content, methodology of collection, geographical and temporal coverage and frequency of update. By giving this insight into the usability of the datasets for analysis, the catalogue provides guidance on available migration related data not only to EU policymakers but also to other interested parties. The purpose of this document is to describe the catalogue, its implementation and its functionalities.",10.2788/226897,https://publications.jrc.ec.europa.eu/repository/handle/JRC104721,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104721/jrc104721_online_05_01_ipo.pdf,支撑,,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104764,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,The water-energy nexus and the implications for the flexibility of the Greek power system,Report,Technical reports,Energy and transport；Environment and climate change,FERNANDEZ BLANCO CARRAMOLINO Ricardo；KAVVADIAS Konstantinos；DE ROO Arie；BISSELINK Bernard；HIDALGO GONZALEZ Ignacio,"The operation of the power systems is constrained by the availability of water resources, which are necessary for cooling thermal power plants and determine the generation of hydro reservoirs and run-of-river power plants. The interactions between the water and power systems have impacts on the quantity and quality of the water resources, thus affecting human uses and the environment. The European power system has witnessed in the past several examples of the consequences of reduced availability of water, which range from monetary losses, to demand restrictions, or increased wear and tear of the power plants. The importance of these impacts, and the expectation that climate change will produce similar episodes in the future more often, raises several research questions relevant for policy making. Some of these questions may be addressed by WATERFLEX, an exploratory research project carried out by units C7 (Knowledge for the Energy Union) and D2 (Water and Marine Resources) of the European Commission's Joint Research Centre (JRC). The main goal of WATERFLEX is to assess the potential of hydropower as a source of flexibility to the European power system, as well as analysing the Water-Energy nexus against the background of the EU initiatives towards a low-carbon energy system. The method proposed in the WATERFLEX project for better representing and analysing the complex interdependencies between the power and water sectors consists of combining two of the modelling tools available at the JRC, the LISFLOOD hydrological model [1] and the Dispa-SET unit commitment and dispatch model [2], with a medium-term hydrothermal coordination model. In order to test and validate the proposed approach described above, this document describes a case study carried out to analyse the implications of different hydrologic scenarios for the flexibility of the Greek power system.",10.2760/361084,https://publications.jrc.ec.europa.eu/repository/handle/JRC104764,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104764/waterflex%20d2%2020170113.pdf,支撑,,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104803,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,SMART GRIDS LABORATORIES INVENTORY 2016,Report,Science for policy,Energy and transport,ANDREADOU Nikoleta；OLARIAGA-GUARDIOLA Miguel；PAPAIOANNOU Ioulia；PRETTICO Giuseppe,"The smart grid implies that a vast amount of information needs to be handled and requires an effective energy management. Assessing the new technological solutions that would best accommodate the needs of a smart grid is of vital importance. This report aims at collecting information about the smart grid topics of research, the technologies and the standards used by top organizations that hold smart grid activities at a laboratory level. For this purpose an online questionnaire has been used. The report presents aggregated results that give an insight into the state-of-the-art regarding the smart grid field.","['10.2790/946498 (print)', '10.2790/099953 (online)']",https://publications.jrc.ec.europa.eu/repository/handle/JRC104803,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104803/jrc104803_sgli_report_2016_pdf_version.pdf,支撑,科学体系与科研能力,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104827,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Network of European Facilities I: European Network of Crisis Management Laboratories (ENCML),Report,Science for policy,Safety and security,FONIO Chiara；ANNUNZIATO Alessandro,"This policy report focuses on the Network of European Facilities. It draws attention to requirements to initiate the network, methods to carry out experiments and to how the activities of the ENCML will feed into the Disaster Risk Management Knowledge Centre (DRMKC)",10.2788/291111,https://publications.jrc.ec.europa.eu/repository/handle/JRC104827,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104827/jrc104827_final%281%29.pdf,支撑,科学体系与科研能力,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104828,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,"Analysis of Air Pollutant Emission Scenarios for the Danube region: Benefits of modal shifts in transport, climate mitigation and climate-efficient air pollution mitigation in the Danube region",Report,Technical reports,Environment and climate change,VAN DINGENEN Rita；MUNTEAN Marilena；JANSSENS-MAENHOUT Greet；VALENTINI Luana；WILLUMSEN Tanja；GUIZZARDI Diego；SCHAAF Edwin,"This report investigates air quality, health and crop production impacts in the Danube region for two types of air pollutant emission scenarios: 1. A modal shift in freight transport scenarios for inland waterways and road modes only, which includes a reference scenario and a scenario in which we increase the inland waterways freight transport in the Danube region by 20%; this is complemented by a fictitious modal shift scenario in which 50% of the road freight transport is assumed to shift to inland waterways. The pollutant emissions for these scenarios are based on JRC’s global pollutant and greenhouse gas emission database EDGAR. 2. Climate mitigation scenarios, developed in a framework of identifying climate-efficient air quality controls with optimal climate benefits at a global scale focusing on the impact of shorter-lived pollutants which directly or indirectly influence the climate. The pollutant emissions for the latter scenarios are available as a public dataset from the FP5 ECLIPSE research project. For both analyses, the pollutant emission scenarios are analysed with JRC’s global reduced-form air quality model TM5-FASST, which provides pollutant concentrations and their associated impacts on human health and agricultural crop production losses. The modal shift scenario analysis indicates that a 20% increase of present day inland waterway transport (without a modification in road freight transport) has a negligible impact on air quality in the Danube countries. One extreme scenario case whereby road freight transport is assumed to use modern, low-emission trucks, 50% of which moves to waterway transport with current cargo ships, leads to a net deterioration of air quality with potentially an increase of annual premature mortalities in the Danube region with about 300. The opposite extreme case, assuming the 50% road freight shift to waterways is exclusively with old-type high-emission heavy duty vehicles, leads to a net effect of the same magnitude but opposite sign, i.e. a net improvement of air quality with a decrease in annual premature mortalities of about 300. The analysis of the ECLIPSE climate mitigation scenarios (both greenhouse gases and short-lived pollutants) focusing on the Danube basin region suggests a maximum potential decrease in annual air pollution-induced mortalities, relative to a current air quality legislation scenario without climate mitigation of 40000 by 2050. The corresponding reduction in crop losses in the area is estimated to be a combined total of 3.7 MTonnes/year in 2050 for wheat, maize, rice and soy beans.",10.2760/37423,https://publications.jrc.ec.europa.eu/repository/handle/JRC104828,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104828/jrc104828_scenario_analysis_for_the_danube_region_final_w_identifiers.pdf,支撑,,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104861,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Synergies for innovation: Lessons learnt from the S2E national events,Factsheet,Science for policy,Innovation and growth,CONTE Andrea；ÖZBOLAT Nida Kamil,"In this issue - Smart Specialisation Strategies (S3) play a key role in fostering an efficient and inclusive Research and Innovation (R&I) ecosystem by creating the right framework for focused investments based on selected high value added priorities and a shared vision of territorial development. - Building synergies can contribute to two complementary objectives: helping to close the innovation divide across European territories and increasing the efficiency and effectiveness of public policy intervention. - Synergies between ESIF and other funding programmes (e.g. COSME, Horizon 2020) could maximise the specific value added of S3 investments such as the capacity to support effectively research capacity building and the exploitation of research results for raising the overall social/economic impact of European R&I. - Quality of R&I ""governance"" (e.g. long-term planning, monitoring and evaluation, stakeholders' involvement) appears as the key factor for achieving a successful implementation of R&I investments under the current S3.",,https://publications.jrc.ec.europa.eu/repository/handle/JRC104861,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104861/JRC104861_01.pdf,核心,研发投入与创新政策；创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104870,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Universities and collaborative innovation in EC-funded research projects: An analysis based on Innovation Radar data,Report,Science for policy,Information society；Innovation and growth,PESOLE Annarosa；NEPELSKI Daniel,"The European Commission's Framework Programme (FP) constitutes an important share in R&D expenditures in Europe. For example, the Horizon 2020 is the biggest EU Research and Innovation programme ever with nearly €80 billion of funding available over 7 years (2014 to 2020). In addition to finance science and technology development, one of the main objectives of the FP is to foster international collaboration among research organizations and private firms, both large and SMEs. Collaboration is a key conduit for innovation-related knowledge flows both for firms that use R&D and for those that are not R&D-active. The main idea behind is that innovation often results from the interaction and cooperative efforts of different organisation devoted to the achievement of a common goal. This study builds on the first IR report, it extends the number of reviewed projects, it looks at the relationship between the type of innovators and the potential of their innovations. A particular emphasis is put on the collaborations between universities and private organizations. Furthermore, the report analyses whether universities and private organizations face different needs and bottlenecks to bring their innovations to the market.","['10.2791/244949 (online)', '10.2791/011771']",https://publications.jrc.ec.europa.eu/repository/handle/JRC104870,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104870/jrc104870_innovation-radar_2_final.pdf,核心,科学体系与科研能力；研发投入与创新政策；关键与新兴技术；国际合作与中国比较,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104889,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,"Scientific, Technical and Economic Committee for Fisheries (STECF) – Joint Recommendation for Natura 2000 sites under CFP Article 11 (STECF-16-24)",Report,Science for policy,Environment and climate change,,"Commission Decision of 25 February 2016 setting up a Scientific, Technical and Economic Committee for Fisheries, C(2016) 1084, OJ C 74, 26.2.2016, p. 4–10. The Commission may consult the group on any matter relating to marine and fisheries biology, fishing gear technology, fisheries economics, fisheries governance, ecosystem effects of fisheries, aquaculture or similar disciplines. This report deals with Joint Recommendation for Natura 2000 sites under CFP Article 11.",10.2788/040146,https://publications.jrc.ec.europa.eu/repository/handle/JRC104889,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104889/lb-ax-16-024-en-n.pdf,核心,科学体系与科研能力；关键与新兴技术,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104891,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Enhancing activity and population mapping: Exploratory research project interim report,Report,Technical reports,Innovation and growth,BATISTA E SILVA Filipe；CRAGLIA Massimo；FREIRE Sérgio；ROSINA Konstantin；LAVALLE Carlo；MARÍN HERRERA Mario Alberto；SCHIAVINA Marcello,"ENACT (“ENhancing ACTivity and population mapping”) is a JRC Exploratory Research Project involving various units at the JRC, and spanning 2 years (2016-2017). Current knowledge of population distribution is still very limited even for Europe. Existing spatial datasets refer only to ‘residential’ population distribution, and more complete datasets reflecting spatiotemporal population variations are still lacking. Yet, this type of information is essential for multiple purposes such as analysis of human exposure, regional and urban planning and impact assessment of new investments or infrastructures. ENACT aims at contributing to fill the existing knowledge gap by producing consistent, seamless, multi-temporal and high-resolution population distribution grid maps for Europe that take into account major daily and seasonal population variations. Most of ENACT’s tasks consist of exploring and combining new and unconventional datasets which can be useful to map spatiotemporal population distribution. In the herein interim report we describe with some detail ENACT’s scope, objectives and workflow, and make an account of the state of the work conducted so far, with highlight to the tasks related to the literature review, activity mapping, and collection of population statistics at regional level.",10.2791/056071,https://publications.jrc.ec.europa.eu/repository/handle/JRC104891,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104891/jrc104891_enact_interim_report_final.pdf,核心,创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104895,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Statistical Validation and Skill Assessment of Hyflux2 Model,Report,Technical reports,Environment and climate change；Safety and security,PETROLIAGKIS Thomas；PROBST Pamela；ANNUNZIATO Alessandro；BREYIANNIS George,"The Joint Research Center (JRC) has developed extensive experience in tsunami early warning systems, using the JRC-SWAN finite difference code for wave propagation simulation and the JRC finite-volume HyFlux2 code for wave propagation and inundation modelling over the last years. Since 2011, NWP (Numerical Weather Prediction) atmospheric forcing terms have been included in the HyFlux2 code for simulating storm surge events. In the current work, the skill assessment of Hylfux2 is performed. A wide range of verification metrics has been utilised for both Hyflux2 model data sets namely NOF (raw forecasts with no adjustment) and YOF (post forecasts by applying an optimal type of offset). Investigating over typical metrics as bias, root mean square error (RMSE) and centred root mean square differences (CRMSD), inter-comparisons were possible versus another integrated storm surge forecast system namely KASSANDRA (KASS) of ISMAR-CNR. Referring to the ability of reproducing the variability of observations, inter-comparing over 10 common stations revealed that Hyflux2 YOF configuration although in the right direction, is not reaching the quality of KASS system for T+24-hour horizon. Hyflux2 normalised standard deviation manages to reach the 0.81 value compared to 0.97 value of KASS (with perfect score: 1.0). On the other hand, the most important message seems to be the one coming from the inter-comparison between CRMSD scores. Hylfux2 YOF forecasts appear to have a comparable CRMSD score (6.42 cm) to the score coming from KASS system (5.86 cm) for T+24 hours. Furthermore, there are stations (like Civitavecchia, Genova, Napoli and Palermo) over which Hyflux2 YOF forecasts score considerably better than KASS system, whereas the rest of YOF forecasts appear to have a lower (but still of high quality) correlation coefficient (0.80) score compared to the one coming from KASS system (0.89 cm) for T+24 hours. Another important area that special type of metrics was used (such as accuracy, frequency bias, hit rate, false alarm ratio, probability of false detection, success ratio, threat score, equitable threat score, true skill statistics, odds ratio and odds ratio skill score) has been the ability of Hyflux2 to provide useful (warning) forecast guidance in cases of high-intensity storm surge events. The selection of an optimal (95% percentile) threshold was made being high enough to be considered as extreme but also capable of providing enough cases for robust statistics. The main outcome of such an approach has revealed that 72% (T+72 hours) to 79% (T+12 hours) of all Hyflux2 forecasts were correct over central Mediterranean (CMEDI) for both NOF and YOF forecasts. The corresponding values for west Mediterranean (WMEDI) were reaching even higher values (80 - 81% to 88%) with similar skill values for both NOF and YOF configurations, but it should be stressed out that these results have considered a large number of correct negatives (referring to non-extremes events). Focussing over high-intensity events (that have been observed) Hylfux2 appears to have considerable forecasting limitations being able to capture only the 23% (T+72) to 34% (T+12) of events while missing more than 70% of the high-intensity events at T+48 hours. Such forecasting limitations become obvious during the in-depth analysis over two case study extreme events taken place over Ravenna (6 February 2015) and Venice (29 February 2016). The capabilities of both NOF & YOF forecasts based on ECMWF relatively low-resolution forcing terms to provide useful guidance in Ravenna case found to be limited even if both NOF & YOF managed to provide a relatively useful early warning for the extreme case of Venice. It appears that both NOF & YOF configurations (based on ECMWF forcing terms) have certain limitations to provide the best possible setup for detecting and simulating such high-impact events. On the other hand, HYflux2 YOF forecasts based on various COSMO model high-resolution forcing terms seem to do quite much better in capturing both events and providing useful (early) warning to the user. It seems that for such high-impact events higher-resolution forcing terms are necessary to correctly resolve the full extent and magnitude of the event. This higher resolution feature is most probably the reason why Hyflux2 based on COSMO model (run operationally by the Italian Air Force Weather Meteorological Service) high-resolution forcing terms provides much more useful guidance in cases of extreme events.",10.2788/371,https://publications.jrc.ec.europa.eu/repository/handle/JRC104895,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104895/statistical_validation_and_skill_assessment_of_hyflux2_model.pdf,支撑,科技人才与技能,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104897,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Exploring DELFT3D as an operational tool,Report,Technical reports,Environment and climate change；Safety and security,BREYIANNIS George；PETROLIAGKIS Thomas；ANNUNZIATO Alessandro,"One of the deliverables foreseen within the Coastal Risk exploratory research project was a prototype of an operational system that can tackle the task of an early information and awareness platform. The proposed prototype aimed to include an extensive range of physical processes including tides, waves and fluvial flows. One of the very few suites of codes that can handle the plethora of interactions considered and an open sourced one, is Delft3D (https://oss.deltares.nl/web/delft3d). Thus, the focus has been to develop a functional workflow based on this model and expand it to meet the requirements of the foreseen system. The capabilities of DELFT3D have been validated and tested extensively (see corresponding document at http://oss.deltares.nl/web/delft3d/download). However, its basic usage is to be used through a GUI based on MATLAB and on a case by case basis. In order to make the tools versatile enough to be used within a script-based operational system with on-demand functionality, a wrapper needed to be developed. Thus, a number of Python scripts have been written that provide pre-processing setup of the simulations avoiding the dependency on MATLAB. These command line scripts could form the basis of the operating system. The Mediterranean Sea was selected as a test case for validating and benchmarking the various components as well as testing the integration to an operational prototype. The outcome of this research suggest that a prototype system is feasible but there are still issues to be addressed. An overview and the status of development is presented below.",10.2788/783821,https://publications.jrc.ec.europa.eu/repository/handle/JRC104897,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104897/jrc104897_09_01_ipo.pdf,支撑,创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104918,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,"Scientific, Technical and Economic Committee for Fisheries (STECF) – Evaluation of DCF National work plans for 2017-2019 (STECF-16-25)",Report,Science for policy,Environment and climate change,,"Commission Decision of 25 February 2016 setting up a Scientific, Technical and Economic Committee for Fisheries, C(2016) 1084, OJ C 74, 26.2.2016, p. 4–10. The Commission may consult the group on any matter relating to marine and fisheries biology, fishing gear technology, fisheries economics, fisheries governance, ecosystem effects of fisheries, aquaculture or similar disciplines. This report deals with the evaluation of DCF National work plans for 2017-2019.",10.2788/101392,https://publications.jrc.ec.europa.eu/repository/handle/JRC104918,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104918/lb-ax-16-025-en-n.pdf,核心,科学体系与科研能力；关键与新兴技术；创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104930,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,A New Calibration for CORTAX: A computable general equilibrium model for simulating corporate tax reforms - JRC Working Papers on Taxation and Structural Reforms No 9/2016,Report,Science for policy,Innovation and growth,ALVAREZ MARTINEZ Maria Teresa；BARRIOS Salvador；BETTENDORF Leon；GESUALDO Maria；D'ANDRIA Diego；LORETZ Simon；PONTIKAKIS Dimitrios；PYCROFT Jonathan,"The paper presents a new calibration for CORTAX (short for CORporate TAXation), which is a computable general equilibrium (CGE) model covering all EU member states, the US, Japan and a tax haven. The CORTAX model was originally built by the Centraal Planbureau (CPB) in the Netherlands based on the earlier OECDTAX model of Sorensen (2001). The calibration presented in this paper updates the base year to 2012. As the previous calibration was for 2007, the two calibrations represent pre- and post-crisis data. CORTAX models many key features of the corporate tax regimes including multinational profit shifting, investment decisions, loss compensation and the debt-equity choice of firms. The model is designed to investigate many aspects of corporate income taxation (CIT), including adjustment or harmonisation of the CIT rate or base and reforms to address the debt bias in CIT. Furthermore, it can examine consolidation of multinational CIT base, which inter alia addresses some of the issues concerning base erosion and profit shifting (BEPS). Given the choices companies have when confronted with changes in their respective environments, it is important to assess the effects of the reform under a general framework, which takes into account the interactions between different parts of internationally open economies, such as the impact of CIT reforms on firms' investment decisions. Indeed, as a computable general equilibrium model, it simulates all main macroeconomic variables, including GDP, investment and employment. The paper gives an explanation of the model structure, describes the data used, the calibration method and provides descriptive statistics for the baseline values of the model, comparing those for 2012 with the previous 2007 values.",,https://publications.jrc.ec.europa.eu/repository/handle/JRC104930,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104930/JRC104930_01.pdf,核心,,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC104985,eu-jrc,European Commission Joint Research Centre,2016-01-01,年,Gaps and challenges in the knowledge of migration and demography: Proposals for new approaches and solutions,Report,Science for policy,JRC corporate,AMRAN Gemma；ANTAL Monika；CIAIAN Pavel；DAVIES Stephen；KANCS D'Artis；LANGEDIJK Sven；MIOLA Apollonia；NATALE Fabrizio；RAINOLDI Alessandro；SCHUMACHER Guenter；STILIANAKIS Nikolaos；SZCZEPANIKOVA Alice；THIELEN DEL POZO Jutta；TROUSSARD Xavier；URSO Giuliana；VAN CRIEKINGE Tine；WEZIAK-BIALOWOLSKA Dorota,"This report is the result of the research carried out under Task 5 of DG JRC's Task Force on Migration and Demography. The report is structured following the four pillars outlined in the European Agenda on Migration. A few additional chapters are included to cover some aspects not explicitly touched on in the Agenda, but still considered to have a relevant role in migration and an impact on demographic trends. Contributions answered the following questions: 1. What are main points/findings/debates concerning the priority area/sub-category allocated to you? 2. How does the information gathered in question 1 relate to the scope and the structure of the European Agenda on Migration? 3. What current information and data is available, who is producing it and how? 4. What and where are the main gaps and challenges? 5. What are the solutions or approaches to address these gaps and challenges based upon your research? To complement this review, two Annexes were created: the first being an overview of the main gaps and challenges as well as the suggested solutions for the whole report (Annex 1), and the second being a preliminary inventory of available migration data and data sources (Annex 2).",10.2760/87362,https://publications.jrc.ec.europa.eu/repository/handle/JRC104985,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC104985/final_report_pubsy_reviewed_1601%281%29.pdf,支撑,,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
